Well Name,PTN Well Name,Interest,Expire Date,Description,Page,Well Key
BEAL #1,BEAL 1,0.1275,3/26/2025,PRIMARY DECK,45,beal1
BENGE #1H,BENGE UNIT 1H,0.07625,9/30/2018,PRIMARY DECK,29,benge1h
BRADSHAW #1,BRADSHAW 1,0.07625,3/26/2025,PRIMARY DECK,29,bradshaw1
BUCHANAN #1,"BUCHANAN, R. UNIT 1 42041310230000 1",0.103846,3/26/2025,PRIMARY,9,buchanan1
CALDWELL #1,CALDWELL 1,0.1012498,3/26/2025,PRIMARY,12,caldwell1
CARROLL #1,CARROLL UNIT 1,0.09625,3/26/2025,PRIMARY,13,carroll1
CK #1,CK 1,0.07625,3/26/2025,PRIMARY DECK,60,ck1
COFFMAN #1,COFFMAN 1H,0.07015,5/12/2019,PRIMARY DECK,30,coffman1
DELLA #1,DELLA 1,0.1275,3/26/2025,PRIMARY DECK,46,della1
DRAKE #1,DRAKE 2,0.1168583,6/30/2010,PRIMARY DECK,29,drake1
ENDLER #1,ENDLER UNIT,0.0004218,3/26/2025,PRIMARY ORRI,14,endler1
EVA #1,EVA #1,0.065,3/26/2025,PRIMARY DECK,48,eva1
FEATHER CREST FARMS,FEATHER CREST FARMS 1,0.0668375,3/26/2025,PRIMARY,10,feathercrestfarms
FLORA #1,FLORA 1,0.1275,3/26/2025,PRIMARY DECK,46,flora1
FRIDEL #1,FRIDEL UNIT #1,0.065522,3/26/2025,PRIMARY LOE,10,fridel1
GALAH 3H,GALAH #3H,0.0200575,3/26/2025,PRIMARY,13,galah3h
GIBBS BROTHERS 2H,GIBBS BROTHERS,0.0152596,3/26/2025,PRIMARY DECK,31,gibbsbrothers2h
HARRISON #2H,HARRISON 2H,0.0728223,11/30/2013,PRIMARY DECK,31,harrison2h
HAYES NO 2H,HAYES 2,0.1140465,3/26/2025,PRIMARY DECK,5,hayesno2h
HERBICH #1H,HERBICH 1H,0.1275,3/26/2025,PRIMARY DECK,45,herbich1h
HERBICH #2,HERBICH UNIT 2H,0.1275,3/26/2025,PRIMARY DECK,45,herbich2
ISBELL #1,ISBELL 1,0.1275,3/26/2025,PRIMARY DECK,46,isbell1
JAM #1,JAM 1,0.1168583,4/30/2008,PRIMARY DECK,28,jam1
JAVELINA 1H,JAVELINA,0.0350297,3/26/2025,PRIMARY,12,javelina1h
JOYCE #1,JOYCE 1,0.1275,3/26/2025,PRIMARY DECK,4,joyce1
KADAV #1,KADAV 1,0.1,3/26/2025,PRIMARY,48,kadav1
KAGG #2,KAGG 2,0.1275,3/26/2025,PRIMARY DECK,46,kagg2
KENNEDY #1,KENNEDY 1,0.07625,3/26/2025,PRIMARY DECK,60,kennedy1
KNOTTS UNIT #1,KNOTTS UNIT #1H,0.0751828,3/26/2025,PRIMARY DECK-RE,45,knotts1
KNOTTS YEAGER #1,KNOTTS-YEAGER UNIT 1,0.1275,3/26/2025,PRIMARY DECK,45,knottsyeager1
LEON T BAR X #1,LEON T-BAR-X UNIT 42395305270000 1,0.1,3/26/2025,PRIMARY,48,leontbarx1
LLOYD #1,LLOYD #1,0.0655589,3/26/2025,PRIMARY LOE,11,lloyd1
LOTT-WILSON 1H,LOTT-WILSON #1H,0.0053708,3/26/2025,PRIMARY,12,lottwilson1h
MCDUFFIE 1,MCDUFFIE UNIT #1 42185304330000 1,0.098893,3/26/2025,PRIMARY DECK,45,mcduffie1
MOSLEY #1,MOSLEY 1,0.09625,3/26/2025,PRIMARY,13,mosley1
MT #1,MT UNIT 1H,0.0714844,3/26/2025,PRIMARY DECK,29,mt1
MURPHY SMITH #1,MURPHEY-SMITH 1,0.0664248,3/26/2025,PRIMARY,11,murphysmith1
MYRTLE #1,MYRTLE 1,0.1275,3/26/2025,PRIMARY DECK,4,myrtle1
NEVILLE-BEAL #1,NEVILL 1,0.1275,3/26/2025,PRIMARY DECK,45,nevillebeal1
ORTIZ #1,ORTIZ UNIT 42395304870000 1,0.065,3/26/2025,PRIMARY DECK,48,ortiz1
OWEN #1H,OWEN 1H,0.06625,3/26/2025,PRIMARY DECK,7,owen1h
PETERS #5,PETERS 5,0.1149188,3/26/2025,PRIMARY,14,peters5
PETERS #6,PETERS 6,0.1666666,3/26/2025,PRIMARY DECK,14,peters6
PETERS #7,PETERS UNIT 7,0.1666666,3/26/2025,PRIMARY DECK,14,peters7
POST OAK #2,POST OAK 2,0.1021108,3/26/2025,PRIMARY DECK,60,postoak2
RB CLARY #1,R.B. CLARY 1,0.122514,3/26/2025,PRIMARY DECK,45,rbclary1
RA #1,RA 1,0.1275,3/26/2025,PRIMARY DECK,4,ra1
RANGER 1H,RANGER (ALLOCATION),0.048683,3/26/2025,PRIMARY DECK,32,ranger1h
RIDGEBACK 1H,RIDGEBACK,0.0210664,3/26/2025,PRIMARY,12,ridgeback1h
RUEN #3X,RUEN 3X,0.1275,11/20/2016,PRIMARY DECK,5,ruen3x
SANDIFER #1,SANDIFER UNIT 1,0.1,3/26/2025,PRIMARY,49,sandifer1
SEAWASP 2H,SEA WASP #2H,0.0104575,3/26/2025,PRIMARY DECK,13,seawasp2h
GEORGETTE SMITH,"SMITH, GEORGETTE 42395302700000 1",0.065,3/26/2025,PRIMARY DECK,49,georgettesmith
SPILLER T BAR X #1,SOCAUSKY/T-BAR-X #1,0.1,3/26/2025,PRIMARY,49,spillertbarx1
SOELL #1,STILLWAGON,0.065,3/26/2025,PRIMARY DECK,49,soell1
STINGRAY #2H,STINGRAY #2H,0.0034356,3/26/2025,PRIMARY,13,stingray2h
SUTTON #3,SUTTON 3,0.1115625,3/26/2025,PRIMARY DECK,5,sutton3
THOMAS #1,THOMAS (ALLOCATION),0.085,8/19/2014,PRIMARY DECK,65,thomas1
TIMOTHY #1,TIMOTHY UNIT,0.065,3/26/2025,PRIMARY DECK,49,timothy1
URSO #1 (LANG #1),URSO 1,0.1484567,3/26/2025,PRIMARY,12,urso1(lang1)
WARREN #1-H,WARREN H 1,0.072173,3/26/2025,PRIMARY,11,warren1h
WATSON-BUCK #1,WATSON-BUCK 1H,0.07625,3/26/2025,PRIMARY DECK,30,watsonbuck1
WHITE-SPRINGER #1,WHITE-SPRINGER 1,0.1005084,3/26/2025,PRIMARY DECK,29,whitespringer1
WIESE #1-H UNIT,WIESE 1H,0.07625,5/1/2011,PRIMARY DECK,29,wiese1h
WILLIAM #1,WILLIAM 1,0.1275,3/26/2025,PRIMARY DECK,4,william1
WILSON UNIT,WILSON 1,0.0694985,3/26/2025,PRIMARY,12,wilson
WILSON 191 NO 1H,WILSON 191 #1H,0.0487149,3/26/2025,PRIMARY,12,wilson191no1h
WOMBAT 2H,WOMBAT #2H,0.011682,3/26/2025,PRIMARY,13,wombat2h
AARON #1,,0.0549862,3/26/2025,PRIMARY AFTER E,28,aaron1
AB PAD 10 STATE #1,,0.0752135,5/31/2018,PRIMARY REVISED,43,abpad10state1
ABENAKI 10 STATE #1,,0.0776055,3/26/2025,PRIMARY WF,40,abenaki10state1
ABENAKI 10 STATE #2,,0.0776055,3/26/2025,PRIMARY WF,42,abenaki10state2
ABENAKI 10 STATE #3,,0.0776055,3/26/2025,PRIMARY WF,42,abenaki10state3
ACCT,,0.1011834,3/31/2023,PRIMARY DECK,79,acct
ALLEN #1,,0.05134,11/5/2012,PRIMARY DECK,8,allen1
ALLEN #1 REENTRY,,0.064175,12/31/2020,PRIMARY,67,allen1reentry
ALLEN #1 REENTRY (IN,,0.064175,12/31/2020,PRIMARY,8,allen1reentry(in
ALLEN COM #2,,0.0125,9/1/2008,PRIMARY DECK,33,allencom2
ALLEN COM #3,,0.0125,9/1/2008,PRIMARY DECK,34,allencom3
AMBROSE 36 STATE #1,,0.052735,6/18/2008,PRIMARY DECK BP,38,ambrose36state1
AMERICAN BRECO #1,,0.05,12/6/2006,PRIMARY DECK,54,americanbreco1
AMERICAN BRECO #2,,0.0625,12/7/2010,PRIMARY DECK,54,americanbreco2
AMERICAN BRECO #3X-D,,0.05,5/31/2018,PRIMARY DECK,55,americanbreco3xd
AMERICAN BRECO #4,,0.05,5/31/2018,PRIMARY DECK,55,americanbreco4
AMERICAN BRECO #5,,0.05,10/4/2007,PRIMARY DECK,55,americanbreco5
ANIKEN #1,,0.0320875,11/18/2015,PRIMARY DECK,27,aniken1
ANN #1,,0.085,9/15/2023,PRIMARY DECK,65,ann1
ANNPICK #1,,0.0534263,3/26/2025,PRIMARY DECK,80,annpick1
ARIS,,0.08,3/31/2013,PRIMARY DECK,9,aris
BACAK #1 (OTTO #1),,0.1325,8/1/2012,PRIMARY DECK,16,bacak1(otto1)
BAIR,,0.07875,11/1/2007,PRIMARY DECK,18,bair
BAIRD - NEWTON #1,,0.07875,12/22/2011,PRIMARY DECK CM,18,bairdnewton1
BAIRD NEWTON #1 (ACC,,0.07875,1/31/2009,PRIMARY DECK CM,18,bairdnewton1(acc
BALFOUR #1,,0.0999219,3/26/2025,PRIMARY DECK,76,balfour1
BALTHROP #1,,0.093261,10/1/2010,PRIMARY DECK,46,balthrop1
BARNES #1,,0.05134,10/31/2015,PRIMARY DECK,80,barnes1
BARR,,0.064175,3/26/2025,PRIMARY DECK,61,barr
BARRETT #1,,0.07625,3/26/2025,PRIMARY DECK,31,barrett1
BARRIER #1,,0.0414831,3/26/2025,REVISED PRIMARY,61,barrier1
BATSON #1,,0.08,7/26/2010,PRIMARY DECK,62,batson1
BATSON #2,,0.08,7/20/2009,PRIMARY DECK,62,batson2
BAUMBACH #1,,0.063393,4/5/2017,PRIMARY DECK,3,baumbach1
BAXT,,0.01,10/31/2006,PRIMARY DECK,84,baxt
BEAMS 15 STATE #1,,0.0776055,3/26/2025,PRIMARY WF,40,beams15state1
BEAMS 15 STATE #2,,0.0776055,3/26/2025,PRIMARY WF,41,beams15state2
BEAMS 15 STATE #3,,0.0776055,7/2/2020,PRIMARY WF,41,beams15state3
BEAMS 15 STATE #4,,0.0776055,3/26/2025,PRIMARY WF,42,beams15state4
BEELER 16RE,,0.02,1/1/2018,PRIMARY,73,beeler16re
BEELER 1H,,0.02,1/1/2018,PRIMARY,73,beeler1h
BEELER 2H,,0.02,3/26/2025,PRIMARY NC,73,beeler2h
BEELER 3H,,0.02,1/1/2018,PRIMARY,73,beeler3h
BEELER 4H,,0.0328319,3/26/2025,PRIMARY NC,73,beeler4h
BEELER 5ST,,0.02,1/1/2018,PRIMARY,73,beeler5st
BEELER 6H,,0.0328319,3/26/2025,PRIMARY NC,73,beeler6h
BEELER 7H,,0.02,3/26/2025,PRIMARY,73,beeler7h
BEELER 8H,,0.02,1/1/2018,PRIMARY,73,beeler8h
BEELER CENTRAL COMPR,,0.02,12/31/2020,PRIMARY,75,beelercentralcompr
BEELER HP SALES PIPE,,0.02,12/31/2020,PRIMARY,75,beelerhpsalespipe
BEELER RANCH #1,,0.0573049,3/26/2025,PRIMARY AFTER E,28,beelerranch1
BEELER UNIT A 9H,,0.02,1/1/2018,PRIMARY,73,beelera9h
BEELER UNIT C 20H,,0.02,1/1/2018,PRIMARY,73,beelerc20h
BEELER UNIT E 17H,,0.0285714,3/26/2025,PRIMARY,73,beelere17h
BEELER UNIT F 19H,,0.02,1/1/2018,PRIMARY,73,beelerf19h
BEELER UNIT H 26H,,0.05,3/26/2025,PRIMARY W ENERG,74,beelerh26h
BEELER UNIT J 24H,,0.02,3/1/2019,PRIMARY,74,beelerj24h
BELL #1,,0.1275,3/31/2015,PRIMARY DECK,4,bell1
BELLA,,0.0810744,12/31/2016,PRIMARY DECK,13,bella
BENGE #8,,0.0369336,3/26/2025,NON-OP PRIMARY,31,benge8
BERC,,0.07375,6/30/2009,PRIMARY DECK,53,berc
