Date,Time,Oil (BBLS),Np bbl,Arps Rate (t),Error,,,,,,,Forecast Params,1.1,,,,,
,0,0,0,18000.00,,,,qi ,18000,,,"t, months",Arps Rate,Decline Rate,,,,
12/1/2018,1,9642,9642,12560.69,30%,,,di ,41.54%,,,58,392.6469835,2.10%,,Economic Limit,130.00,bpm
1/1/2019,2,15104,24746,9487.61,37%,,,b,0.780640343,,,63.8,349.5725596,,,Np,266063,bbl
2/1/2019,3,13043,37789,7537.97,42%,,,,,,,70.18,311.064191,,,Np Reserves,18378.04717,bbl
3/1/2019,4,20628,58417,6202.83,70%,,,t0 Arps,0,,,77.198,276.6679339,,,EUR Np,284441,bbl
4/1/2019,5,21315,79732,5237.50,75%,,,Sum of Error,2236%,,,84.9178,245.969276,,,,,
5/1/2019,6,20998,100730,4510.64,79%,,,,,,,,,,,,,
6/1/2019,7,17560,118290,3945.81,78%,,,,,,,,,,,,,
7/1/2019,8,15755,134045,3495.68,78%,,,,,,,,,,,,,
8/1/2019,9,18063,152108,3129.50,83%,,,,,,,,,,,,,
9/1/2019,10,17938,170046,2826.45,84%,,,,,,,,,,,,,
10/1/2019,11,13275,183321,2571.97,81%,,,,,,,,,,,,,
11/1/2019,12,9757,193078,2355.61,76%,,,,,,,,,,,,,
12/1/2019,13,10671,203749,2169.66,80%,,,,,,,,,,,,,
1/1/2020,14,7725,211474,2008.33,74%,,,,,,,,,,,,,
2/1/2020,15,5908,217382,1867.19,68%,,,,,,,,,,,,,
3/1/2020,16,5503,222885,1742.79,68%,,,,,,,,,,,,,
4/1/2020,17,3593,226478,1632.41,55%,,,,,,,,,,,,,
5/1/2020,18,3549,230027,1533.90,57%,,,,,,,,,,,,,
6/1/2020,19,658,230685,1445.50,120%,,,,,,,,,,,,,
7/1/2020,20,1013,231698,1365.77,35%,,,,,,,,,,,,,
8/1/2020,21,1052,232750,1293.56,23%,,,,,,,,,,,,,
9/1/2020,22,1147,233897,1227.87,7%,,,,,,,,,,,,,
10/1/2020,23,1246,235143,1167.89,6%,,,,,,,,,,,,,
11/1/2020,24,1719,236862,1112.94,35%,,,,,,,,,,,,,
12/1/2020,25,1698,238560,1062.44,37%,,,,,,,,,,,,,
1/1/2021,26,1420,239980,1015.87,28%,,,,,,,,,,,,,
2/1/2021,27,925,240905,972.82,5%,,,,,,,,,,,,,
3/1/2021,28,917,241822,932.91,2%,,,,,,,,,,,,,
4/1/2021,29,1324,243146,895.82,32%,,,,,,,,,,,,,
5/1/2021,30,1858,245004,861.29,54%,,,,,,,,,,,,,
6/1/2021,31,1354,246358,829.05,39%,,,,,,,,,,,,,
7/1/2021,32,772,247130,798.90,3%,,,,,,,,,,,,,
8/1/2021,33,1115,248245,770.65,31%,,,,,,,,,,,,,
9/1/2021,34,670,248915,744.13,11%,,,,,,,,,,,,,
10/1/2021,35,2043,250958,719.19,65%,,,,,,,,,,,,,
11/1/2021,36,724,251682,695.71,4%,,,,,,,,,,,,,
12/1/2021,37,956,252638,673.55,30%,,,,,,,,,,,,,
1/1/2022,38,1097,253735,652.62,41%,,,,,,,,,,,,,
2/1/2022,39,635,254370,632.82,0%,,,,,,,,,,,,,
3/1/2022,40,666,255036,614.07,8%,,,,,,,,,,,,,
4/1/2022,41,456,255492,596.28,31%,,,,,,,,,,,,,
5/1/2022,42,701,256193,579.39,17%,,,,,,,,,,,,,
6/1/2022,43,809,257002,563.34,30%,,,,,,,,,,,,,
7/1/2022,44,1196,258198,548.06,54%,,,,,,,,,,,,,
8/1/2022,45,849,259047,533.50,37%,,,,,,,,,,,,,
9/1/2022,46,1169,260216,519.62,56%,,,,,,,,,,,,,
10/1/2022,47,451,260667,506.36,12%,,,,,,,,,,,,,
11/1/2022,48,515,261182,493.70,4%,,,,,,,,,,,,,
12/1/2022,49,611,261793,481.59,21%,,,,,,,,,,,,,
1/1/2023,50,634,262427,470.00,26%,,,,,,,,,,,,,
2/1/2023,51,488,262915,458.90,6%,,,,,,,,,,,,,
3/1/2023,52,516,263431,448.25,13%,,,,,,,,,,,,,
4/1/2023,53,501,263932,438.04,13%,,,,,,,,,,,,,
5/1/2023,54,526,264458,428.23,19%,,,,,,,,,,,,,
6/1/2023,55,447,264905,418.81,6%,,,,,,,,,,,,,
7/1/2023,56,310,265215,409.75,32%,,,,,,,,,,,,,
8/1/2023,57,491.6,265706.6,401.04,18%,,,,,,,,,,,,,
9/1/2023,58,356.6,266063.2,392.65,10%,,,,,,,,,,,,,
