Well Name,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Date
Carolpick #1,11542.0,5970.0,1534.0,18030.0,0.0,2014-07-01
Carolpick #1,22319.0,13278.0,167.0,19190.0,0.0,2014-08-01
Carolpick #1,22280.0,10169.0,121.0,14900.0,0.0,2014-09-01
Carolpick #1,27963.0,11068.0,92.0,12620.0,0.0,2014-10-01
Carolpick #1,24598.0,9629.0,22.0,10508.0,0.0,2014-11-01
Carolpick #1,28271.0,10260.0,105.0,9160.0,0.0,2014-12-01
Carolpick #1,26924.0,7487.0,244.0,7780.0,0.0,2015-01-01
Carolpick #1,25197.0,6424.0,172.0,6320.0,0.0,2015-02-01
Carolpick #1,23879.0,13060.0,451.0,10590.0,0.0,2015-03-01
Carolpick #1,16252.0,26850.0,326.0,19480.0,0.0,2015-04-01
Carolpick #1,11503.0,12654.0,123.0,17920.0,0.0,2015-05-01
Carolpick #1,9120.0,14755.0,41.0,14860.0,0.0,2015-06-01
Carolpick #1,8695.0,12143.0,32.0,11940.0,0.0,2015-07-01
Carolpick #1,7126.0,14619.0,67.0,12490.0,0.0,2015-08-01
Carolpick #1,6674.0,15170.0,193.0,11110.0,0.0,2015-09-01
Carolpick #1,5074.0,9309.0,50.0,10960.0,0.0,2015-10-01
Carolpick #1,4992.0,5543.0,13.0,11300.0,0.0,2015-11-01
Carolpick #1,4288.0,3729.0,8.0,8355.0,0.0,2015-12-01
Carolpick #1,6499.0,18571.0,82.0,11360.0,0.0,2016-01-01
Carolpick #1,5898.0,7378.0,330.0,8800.0,0.0,2016-02-01
Carolpick #1,4776.0,5037.0,427.0,7120.0,0.0,2016-03-01
Carolpick #1,3702.0,1054.0,255.0,5760.0,0.0,2016-04-01
Carolpick #1,2620.0,3415.0,39.0,6760.0,0.0,2016-05-01
Carolpick #1,3242.0,10348.0,38.0,6430.0,0.0,2016-06-01
Carolpick #1,1489.0,3755.0,77.0,3910.0,0.0,2016-07-01
Carolpick #1,2937.0,305.0,32.0,4740.0,0.0,2016-08-01
Carolpick #1,2283.0,2.0,88.0,4670.0,0.0,2016-09-01
Carolpick #1,2236.0,309.0,30.0,3900.0,0.0,2016-10-01
Carolpick #1,740.0,0.0,5.0,2170.0,0.0,2016-11-01
