Well Name,Date,Oil,Gas,Water,Page Number
BEELER 1H,2025-03-02,1.67,0.00,3.33,1
BEELER 1H,2025-03-01,1.67,0.00,3.33,1
BEELER 1H,2025-02-28,1.67,0.00,0.00,1
BEELER 1H,2025-02-27,1.67,0.00,0.00,1
BEELER 1H,2025-02-26,3.33,0.00,0.00,1
BEELER 1H,2025-02-25,1.67,0.00,0.00,1
BEELER 1H,2025-02-24,0.00,0.00,0.00,1
BEELER 1H,2025-02-23,0.00,0.00,0.00,1
BEELER 1H,2025-02-22,0.00,0.00,0.00,1
BEELER 1H,2025-02-21,0.00,0.00,0.00,1
BEELER 1H,2025-02-20,0.00,0.00,0.00,1
BEELER 1H,2025-02-19,0.00,0.00,0.00,1
BEELER 1H,2025-02-18,0.00,0.00,0.00,1
BEELER 1H,2025-02-17,1.67,0.00,0.00,1
BEELER 1H,2025-02-16,1.67,0.00,0.00,1
BEELER 1H,2025-02-15,0.00,0.00,25.01,1
BEELER 1H,2025-02-14,1.67,0.00,0.00,1
BEELER 1H,2025-02-13,5.00,0.00,0.00,2
BEELER 1H,2025-02-12,5.00,0.00,0.00,2
BEELER 1H,2025-02-11,5.00,0.00,0.00,2
BEELER 1H,2025-02-10,6.67,0.00,0.00,2
BEELER 1H,2025-02-09,6.67,0.00,0.00,2
BEELER 1H,2025-02-08,5.00,0.00,0.00,2
BEELER 1H,2025-02-07,5.00,0.00,0.00,2
BEELER 1H,2025-02-06,3.33,0.00,0.00,2
BEELER 1H,2025-02-05,0.00,0.00,10.00,2
BEELER 1H,2025-02-04,0.00,0.00,10.00,2
BEELER 1H,2025-02-03,0.00,0.00,0.00,2
BEELER 1H,2025-02-02,0.00,0.00,0.00,2
BEELER 1H,2025-01-31,0.00,0.00,0.00,2
BEELER 1H,2025-01-30,0.00,0.00,0.00,2
BEELER 1H,2025-01-29,0.00,0.00,0.00,2
BEELER 1H,2025-01-28,0.00,0.00,0.00,2
BEELER 1H,2025-01-27,0.00,0.00,0.00,2
BEELER 1H,2025-01-26,0.00,0.00,0.00,2
BEELER 1H,2025-01-25,0.00,0.00,0.00,2
BEELER 1H,2025-01-24,0.00,0.00,0.00,2
BEELER 1H,2025-01-23,0.00,0.00,0.00,2
BEELER 1H,2025-01-22,1.67,0.00,1.67,2
BEELER 1H,2025-01-21,0.00,0.00,0.00,2
BEELER 1H,2025-01-20,0.00,0.00,0.00,2
BEELER 1H,2025-01-19,0.00,0.00,0.00,2
BEELER 1H,2025-01-18,0.54,0.00,0.00,2
BEELER 1H,2025-01-17,0.00,0.00,0.00,3
BEELER 1H,2025-01-16,0.00,0.00,0.00,3
BEELER 1H,2025-01-15,1.67,0.00,0.00,3
BEELER 1H,2025-01-14,1.67,0.00,0.00,3
BEELER 1H,2025-01-13,3.33,0.00,0.00,3
BEELER 1H,2025-01-12,6.67,0.00,0.00,3
BEELER 2H,2025-03-02,0.00,0.00,3.33,3
BEELER 2H,2025-03-01,0.00,7.60,5.00,3
BEELER 2H,2025-02-28,0.00,2.60,5.00,3
BEELER 2H,2025-02-27,0.00,0.00,0.00,3
BEELER 2H,2025-02-26,0.00,0.00,0.00,3
BEELER 2H,2025-02-25,1.67,0.00,0.00,3
BEELER 2H,2025-02-24,0.00,0.00,0.00,3
BEELER 2H,2025-02-23,0.00,0.00,0.00,3
BEELER 2H,2025-02-22,0.00,0.00,0.00,3
BEELER 2H,2025-02-21,0.00,0.00,0.00,3
BEELER 2H,2025-02-20,0.00,0.00,0.00,3
BEELER 2H,2025-02-19,0.00,0.00,0.00,3
BEELER 2H,2025-02-18,0.00,0.00,0.00,3
BEELER 2H,2025-02-17,0.00,0.00,0.00,3
BEELER 2H,2025-02-16,0.00,0.00,0.00,3
BEELER 2H,2025-02-15,0.00,0.00,0.00,3
BEELER 2H,2025-02-14,0.00,0.00,0.00,3
BEELER 2H,2025-02-13,0.00,0.00,0.00,3
BEELER 2H,2025-02-12,0.00,0.00,0.00,4
BEELER 2H,2025-02-11,0.00,0.00,0.00,4
BEELER 2H,2025-02-10,1.67,0.00,3.33,4
BEELER 2H,2025-02-09,0.00,0.00,1.67,4
BEELER 2H,2025-02-08,0.00,0.00,0.00,4
BEELER 2H,2025-02-07,1.67,0.00,1.67,4
BEELER 2H,2025-02-06,1.67,0.00,5.00,4
BEELER 2H,2025-02-05,1.67,10.60,0.00,4
BEELER 2H,2025-02-04,3.33,19.80,1.67,4
BEELER 2H,2025-02-03,0.00,0.00,1.67,4
BEELER 2H,2025-02-02,0.00,0.00,1.67,4
BEELER 2H,2025-01-31,0.00,0.00,0.00,4
BEELER 2H,2025-01-30,0.00,1.00,0.00,4
BEELER 2H,2025-01-29,0.00,4.00,0.00,4
