"Well Name",Date,"Oil (BBLS)","Gas (MCF)","Water (BBLS)",TP,CP,Comments
"Aaron #1",06/09/2023,60.12,0.00,44.89,180,60,
"Aaron #1",06/10/2023,26.72,0.00,188.47,180,60,"Unit on"
"Aaron #1",06/11/2023,43.42,0.00,125.01,180,60,"Unit on"
"Aniken #1",06/09/2023,0.00,0.00,0.00,80,15,
"Aniken #1",06/10/2023,9.08,0.00,5.01,80,15,"Unit on"
"Aniken #1",06/11/2023,4.54,0.00,13.36,80,15,"Unit on"
"Annpick #1",06/09/2023,0.00,0.00,0.00,30,20,
"Annpick #1",06/10/2023,0.00,0.00,0.00,30,20,
"Annpick #1",06/11/2023,0.00,0.00,0.00,30,20,
"Balfour #1",06/09/2023,96.86,201.64,40.08,77.53,25,
"Balfour #1",06/10/2023,26.72,59.84,11.69,81.23,25,"Unit on compressor on"
"Balfour #1",06/11/2023,86.84,100.23,39.84,80.05,25,"Unit on compressor on"
"Barrier #1",06/09/2023,47.67,143.34,0.00,20,10,"Turned off per schedule"
"Barrier #1",06/10/2023,0.00,103.61,0.00,20,10,"Started unit"
"Barrier #1",06/11/2023,20.43,80.25,0.00,50,10,"Stopped unit"
"Beeler Ranch #1",06/09/2023,6.68,0.00,38.41,40,20,
"Beeler Ranch #1",06/10/2023,5.01,0.00,238.68,40,20,
"Beeler Ranch #1",06/11/2023,3.34,0.00,56.78,40,20,
"Bermuda #1",06/09/2023,0.00,0.00,0.00,10,10,"Turned off per schedule"
"Bermuda #1",06/10/2023,0.00,0.00,0.00,10,10,
"Bermuda #1",06/11/2023,0.00,0.00,0.00,10,10,
"Big Sonny #1",06/09/2023,3.34,24.41,40.08,30,20,"Turned off per schedule"
"Big Sonny #1",06/10/2023,0.00,21.65,0.00,30,20,"Started unit"
"Big Sonny #1",06/11/2023,5.01,40.16,45.09,30,20,"Stopped unit"
"Blackmon #1",06/09/2023,5.01,178.18,0.00,40,10,
"Blackmon #1",06/10/2023,0.00,156.54,0.00,40,10,"Unit on compressor on"
"Blackmon #1",06/11/2023,118.57,142.40,0.00,40,10,"Unit off compressor on"
"Blas Reyes #1",06/09/2023,0.00,23.06,0.00,10,70,
"Blas Reyes #1",06/10/2023,0.00,7.08,0.00,10,60,"Unit and gas jack down started and discovered well has hole in tbg"
"Blas Reyes #1",06/11/2023,0.00,11.15,0.00,0,40,"Unit and gas jack down hole in tbg"
"BMMP #1",06/09/2023,0.00,2.65,0.00,50,0,
"BMMP #1",06/10/2023,0.00,2.98,0.00,50,0,
"BMMP #1",06/11/2023,0.00,3.08,0.00,50,0,
"Bond #1",06/09/2023,0.00,0.00,0.00,40,30,"Turned off"
"Bond #1",06/10/2023,0.00,0.00,0.00,40,30,"Started unit"
"Bond #1",06/11/2023,3.34,0.00,0.00,40,30,"Stopped unit"
"Branton #1",06/09/2023,0.00,0.00,0.00,0,0,
"Branton #1",06/10/2023,0.00,0.00,0.00,0,0,
"Branton #1",06/11/2023,0.00,0.00,0.00,0,0,
"Bruce Weaver #1",06/09/2023,0.00,0.00,0.00,30,40,
"Bruce Weaver #1",06/10/2023,6.68,0.00,0.00,30,40,
"Bruce Weaver #1",06/11/2023,0.00,0.00,0.00,30,40,
"Bruce Weaver #2 Re",06/09/2023,353.19,2.39,0.00,48.67,30,
"Bruce Weaver #2 Re",06/10/2023,28.37,0.00,0.00,32.82,30,
"Bruce Weaver #2 Re",06/11/2023,0.00,0.00,0.00,118.69,30,"Well loaded up"
"Burns Ranch #2",06/09/2023,113.56,699.60,1.67,621.58,0,"Well online"
"Burns Ranch #2",06/10/2023,165.95,0.00,1.67,587.33,0,
"Burns Ranch #2",06/11/2023,114.86,701.80,1.67,654.87,0,
"Cannan #1",06/09/2023,6.81,203.70,20.04,180,40,"Unit & compressor online"
"Cannan #1",06/10/2023,15.89,209.98,80.16,180,40,
"Cannan #1",06/11/2023,6.39,207.92,29.80,180,40,
"Carolpick #1",06/09/2023,0.00,64.44,0.00,50,45,
"Carolpick #1",06/10/2023,18.37,122.62,0.00,50,45,
"Carolpick #1",06/11/2023,0.00,105.12,0.00,50,45,
"Carolyn #1",06/09/2023,10.02,0.00,0.00,45,45,
"Carolyn #1",06/10/2023,23.02,0.00,26.72,45,45,
"Carolyn #1",06/11/2023,26.72,0.00,44.88,45,45,
"Cenizo #1",06/09/2023,0.00,0.00,0.00,50,30,
"Cenizo #1",06/10/2023,13.36,0.00,0.00,50,30,"Unit on"
"Cenizo #1",06/11/2023,0.00,0.00,0.00,50,30,"Unit on"
"Chad #1",06/09/2023,0.00,29.68,0.00,50,25,
"Chad #1",06/10/2023,0.00,22.60,0.00,50,25,
"Chad #1",06/11/2023,0.00,15.90,0.00,50,25,
"Charles B #1",06/09/2023,21.71,4.44,0.00,10,10,"Turned off per schedule"
"Charles B #1",06/10/2023,0.00,0.41,0.00,60,20,"Started unit"
"Charles B #1",06/11/2023,6.68,15.77,0.00,140,20,"Stopped unit"
"Circle T #1",06/09/2023,29.51,0.00,0.00,210,30,"Unit online"
"Circle T #1",06/10/2023,29.51,0.00,3.34,200,30,
"Circle T #1",06/11/2023,24.24,0.00,1.67,200,30,
"CR #101",06/09/2023,16.70,128.30,0.00,120,50,"Unit on"
"CR #101",06/10/2023,3.34,133.89,6.68,190,50,"Unit on"
"CR #101",06/11/2023,1.67,115.90,1.67,180,40,"Unit on"
"CR #201",06/09/2023,20.04,30.35,3.34,120,60,"Unit off per schedule comp on"
"CR #201",06/10/2023,0.00,7.42,0.00,125,60,"Unit on per schedule comp on"
"CR #201",06/11/2023,18.37,46.07,3.34,125,60,"Unit off per schedule comp on"
"CR #301",06/09/2023,16.70,0.00,0.00,70,178.48,"Unit on comp down on low engine oil pressure won’t start"
"CR #301",06/10/2023,18.37,0.00,0.00,70,179,"Unit on comp down upon arrival put bol"
"CR #301",06/11/2023,46.76,71.72,0.00,70,175.44,"Unit on comp down on low oil pressure put bol"
"CR #302",06/09/2023,16.70,0.00,0.00,120,20,"Unit on"
"CR #302",06/10/2023,20.04,0.00,0.00,160,20,"Unit on"
"CR #302",06/11/2023,20.04,0.00,0.00,160,20,"Unit on"
"CR #401",06/09/2023,0.00,0.00,0.00,,,"Unit off per schedule"
"CR #401",06/10/2023,0.00,0.00,0.00,,,"Unit on per schedule"
"CR #401",06/11/2023,1.67,0.00,0.00,,,"Unit off per schedule"
"CR #501",06/09/2023,,,,100,30,
