t,q,t_model,q_model
2019-04-01,160.0,2021-04-01,4513.963397522255
2019-05-01,5866.0,2021-05-01,3952.1096334800486
2019-06-01,3836.0,2021-06-01,3538.417130389663
2019-07-01,2678.0,2021-07-01,3218.8276886673093
2019-08-01,4170.0,2021-08-01,2963.158811094341
2019-09-01,3119.0,2021-09-01,2753.1191193008613
2019-10-01,3134.0,2021-10-01,2576.921709075034
2019-11-01,5699.0,2021-11-01,2426.5993110921872
2019-12-01,5638.0,2021-12-01,2296.556200556314
2020-01-01,3124.0,2022-01-01,2182.736852914309
2020-02-01,2174.0,2022-02-01,2082.1238511944616
2020-03-01,2005.0,2022-03-01,1992.4216228650823
2020-04-01,1378.0,2022-04-01,1911.850035719851
2020-05-01,1385.0,2022-05-01,1839.0055412671127
2020-06-01,2022.0,2022-06-01,1772.765273953815
2020-07-01,3383.0,2022-07-01,1712.2192789014723
2020-08-01,4142.0,2022-08-01,1656.6216377153817
2020-09-01,3379.0,2022-09-01,1605.3545823637728
2020-10-01,4078.0,2022-10-01,1557.9017176670834
2020-11-01,2533.0,2022-11-01,1513.8277485697115
2020-12-01,2961.0,2022-12-01,1472.7629292843617
2021-01-01,3193.0,2023-01-01,1434.3909912682134
2021-02-01,971.0,2023-02-01,1398.439669063958
2021-03-01,5063.0,2023-03-01,1364.6731902418576
2021-04-01,4839.0,2023-04-01,1332.8862672282412
2021-05-01,3661.0,2023-05-01,1302.899249647282
2021-06-01,3035.0,2023-06-01,1274.5541821046263
2021-07-01,3515.0,2023-07-01,1247.711574764369
2021-08-01,3049.0,2023-08-01,1222.247739756984
2021-09-01,2423.0,2023-09-01,1198.0525802605994
2021-10-01,2672.0,2023-10-01,1175.0277443678074
2021-11-01,2366.0,2023-11-01,1153.0850749206738
2021-12-01,2305.0,2023-12-01,1132.1453010176117
2022-01-01,2654.0,2024-01-01,1112.1369280454628
2022-02-01,2025.0,2024-02-01,1092.995291718878
2022-03-01,1974.0,2024-03-01,1074.661748336497
2022-04-01,1882.0,2024-04-01,1057.0829787452667
2022-05-01,1815.0,2024-05-01,1040.2103876786116
2022-06-01,2193.0,2024-06-01,1023.999583453993
2022-07-01,1839.0,2024-07-01,1008.4099256712668
2022-08-01,1049.0,2024-08-01,993.4041306900136
2022-09-01,1710.0,2024-09-01,978.9479263922805
2022-10-01,1621.0,2024-10-01,965.0097491422457
2022-11-01,1335.0,2024-11-01,951.5604770021266
2022-12-01,1301.0,2024-12-01,938.57319420571
2023-01-01,1318.0,2025-01-01,926.0229826674467
2023-02-01,1356.0,2025-02-01,913.8867369479523
2023-03-01,1806.0,2025-03-01,902.1429996311219
2023-04-01,1472.0,2025-04-01,890.7718145139654
2023-05-01,1344.0,2025-05-01,879.7545953837242
2023-06-01,1532.0,2025-06-01,869.074008470736
2023-07-01,1441.0,2025-07-01,858.7138669302554
2023-08-01,1360.0,2025-08-01,848.6590359304786
2023-09-01,1152.0,2025-09-01,838.8953471141822
2023-10-01,1127.0,2025-10-01,829.4095213633268
2023-11-01,1127.0,2025-11-01,820.1890989342518
2023-12-01,1149.0,2025-12-01,811.2223761495139
2024-01-01,1111.0,2026-01-01,802.4983479341261
2024-02-01,957.0,2026-02-01,794.006655571505
2024-03-01,1443.0,2026-03-01,785.7375391300305
2024-04-01,1128.0,2026-04-01,777.6817940765184
2024-05-01,1096.0,2026-05-01,769.8307316496433
2024-06-01,1188.0,2026-06-01,762.1761426156736
2024-07-01,1198.0,2026-07-01,754.7102640718523
2024-08-01,1188.0,2026-08-01,747.4257490002923
2024-09-01,846.0,2026-09-01,740.3156383080868
2024-10-01,957.0,2026-10-01,733.373335118138
2024-11-01,842.0,2026-11-01,726.5925811004957
2024-12-01,455.0,2026-12-01,719.9674346562746
2025-01-01,515.0,2027-01-01,713.4922507858463
2025-02-01,360.0,2027-02-01,707.1616624903603
,,2027-03-01,700.9705635709944
,,2027-04-01,694.9140927039493
,,2027-05-01,688.9876186812907
,,2027-06-01,683.1867267184856
,,2027-07-01,677.5072057390656
,,2027-08-01,671.9450365553814
,,2027-09-01,666.4963808720571
,,2027-10-01,661.1575710455772
,,2027-11-01,655.9251005395599
,,2027-12-01,650.7956150207643
,,2028-01-01,645.765904045813
,,2028-02-01,640.8328932930472
,,2028-03-01,635.9936372979362
,,2028-04-01,631.2453126540632
,,2028-05-01,626.5852116449735
,,2028-06-01,622.0107362751079
,,2028-07-01,617.5193926707175
,,2028-08-01,613.1087858240658
,,2028-09-01,608.776614656415
,,2028-10-01,604.5206673772908
,,2028-11-01,600.338817119317
,,2028-12-01,596.22901782957
,,2029-01-01,592.1893003998938
,,2029-02-01,588.2177690199904
,,2029-03-01,584.3125977383445
,,2029-04-01,580.4720272171853
,,2029-05-01,576.69436166873
,,2029-06-01,572.9779659609085
,,2029-07-01,569.3212628816441
,,2029-08-01,565.7227305515681
,,2029-09-01,562.1808999757798
,,2029-10-01,558.6943527259427
,,2029-11-01,555.2617187446291
,,2029-12-01,551.8816742643942
,,2030-01-01,548.5529398345917
,,2030-02-01,545.2742784494259
,,2030-03-01,542.0444937711824
,,2030-04-01,538.8624284429953
,,2030-05-01,535.7269624858875
,,2030-06-01,532.6370117751734
,,2030-07-01,529.5915265916433
,,2030-08-01,526.589490243245
,,2030-09-01,523.6299177532616
,,2030-10-01,520.7118546112425
,,2030-11-01,517.8343755831854
,,2030-12-01,514.9965835776875
,,2031-01-01,512.1976085649962
,,2031-02-01,509.43660654607703
,,2031-03-01,506.7127585689971
,,2031-04-01,504.0252697900922
,,2031-05-01,501.37336857753365
,,2031-06-01,498.75630565506253
,,2031-07-01,496.173353283788
,,2031-08-01,493.6238044800762
,,2031-09-01,491.10697226766854
,,2031-10-01,488.62218896228217
,,2031-11-01,486.1688054870444
,,2031-12-01,483.7461907172088
,,2032-01-01,481.35373085269117
,,2032-02-01,478.9908288170448
,,2032-03-01,476.65690368157425
,,2032-04-01,474.35139011336025
,,2032-05-01,472.0737378460349
,,2032-06-01,469.82341117221193
,,2032-07-01,467.59988845653777
,,2032-08-01,465.4026616683832
,,2032-09-01,463.23123593325164
,,2032-10-01,461.08512910202677
,,2032-11-01,458.96387133723135
,,2032-12-01,456.86700471551165
,,2033-01-01,454.7940828456051
,,2033-02-01,452.74467050108416
,,2033-03-01,450.71834326721086
,,2033-04-01,448.7146872012669
,,2033-05-01,446.7332985057585
,,2033-06-01,444.7737832139261
