t,q,t_model,q_model
2014-08-01,1646.0,2015-05-01,1286.9594542505938
2014-09-01,0.0,2015-06-01,724.6189454048101
2014-10-01,1142.0,2015-07-01,576.5940614096925
2014-11-01,0.0,2015-08-01,498.66027159636667
2014-12-01,5.0,2015-09-01,448.2045528518653
2015-01-01,0.0,2015-10-01,411.94474332393753
2015-03-01,207.0,2015-11-01,384.1771370879828
2015-04-01,1554.0,2015-12-01,361.9808208927708
2015-05-01,1276.0,2016-01-01,343.68023214357856
2015-06-01,803.0,2016-02-01,328.23433803171866
2015-07-01,637.0,2016-03-01,314.9567494890546
2015-08-01,553.0,2016-04-01,303.3735833929115
2015-09-01,447.0,2016-05-01,293.14541657433557
2015-10-01,423.0,2016-06-01,284.021713010849
2015-11-01,250.0,2016-07-01,275.8128538490017
2015-12-01,280.0,2016-08-01,268.3722488621898
2016-01-01,0.0,2016-09-01,261.5844917632215
2016-02-01,0.0,2016-10-01,255.35728156803452
2016-03-01,655.0,2016-11-01,249.615769678628
2016-04-01,340.0,2016-12-01,244.2985148904329
2016-05-01,334.0,2017-01-01,239.35453137972135
2016-06-01,308.0,2017-02-01,234.74109632792175
2016-07-01,298.0,2017-03-01,230.42209604607382
2016-08-01,295.0,2017-04-01,226.3667606590402
2016-09-01,288.0,2017-05-01,222.54868366983388
2016-10-01,344.0,2017-06-01,218.94505343178523
2016-11-01,233.0,2017-07-01,215.5360443369742
2016-12-01,252.0,2017-08-01,212.30432984138102
2017-01-01,244.0,2017-09-01,209.2346894633871
2017-02-01,220.0,2017-10-01,206.31368900575558
2017-03-01,250.0,2017-11-01,203.52941837199242
2017-04-01,172.0,2017-12-01,200.87127508055883
2017-05-01,217.0,2018-01-01,198.3297843327446
2017-06-01,191.0,2018-02-01,195.89644854145354
2017-07-01,238.0,2018-03-01,193.56362077255335
2017-08-01,216.0,2018-04-01,191.32439772403762
2017-09-01,180.0,2018-05-01,189.17252876789286
2017-10-01,229.0,2018-06-01,187.1023382748835
2017-11-01,197.0,2018-07-01,185.10865898402764
2017-12-01,251.0,2018-08-01,183.18677460340587
