t,q,t_model,q_model
2013-04-01,6235.0,2013-05-01,15572.939474016406
2013-05-01,15631.0,2013-06-01,8402.551564707013
2013-06-01,8657.0,2013-07-01,5746.239732753431
2013-07-01,4423.0,2013-08-01,4363.208186521843
2013-08-01,3904.0,2013-09-01,3515.399004318699
2013-09-01,3394.0,2013-10-01,2942.6826687699368
2013-10-01,4254.0,2013-11-01,2529.95239015845
2013-11-01,3451.0,2013-12-01,2218.4389064715747
2013-12-01,3552.0,2014-01-01,1975.0070465224503
2014-01-01,2454.0,2014-02-01,1779.556284921279
2014-02-01,1531.0,2014-03-01,1619.1865818125693
2014-03-01,1089.0,2014-04-01,1485.2399071266254
2014-04-01,1371.0,2014-05-01,1371.6894574360222
2014-05-01,1648.0,2014-06-01,1274.2109332511577
2014-06-01,1480.0,2014-07-01,1189.621180418497
2014-07-01,742.0,2014-08-01,1115.5251664118643
2014-08-01,634.0,2014-09-01,1050.0863512949254
2014-09-01,610.0,2014-10-01,991.8729098671316
2014-10-01,624.0,2014-11-01,939.7521027651267
2014-11-01,507.0,2014-12-01,892.8160826204481
2014-12-01,497.0,2015-01-01,850.3287382175673
2015-01-01,428.0,2015-02-01,811.6869319719906
2015-02-01,360.0,2015-03-01,776.391780751177
2015-03-01,393.0,2015-04-01,744.0270701991807
2015-04-01,343.0,2015-05-01,714.2428178366492
2015-05-01,314.0,2015-06-01,686.742607109489
2015-06-01,783.0,2015-07-01,661.2737203837683
2015-07-01,1373.0,2015-08-01,637.6193750215023
2015-08-01,658.0,2015-09-01,615.5925575884432
2015-09-01,1886.0,2015-10-01,595.03108519306
2015-10-01,2490.0,2015-11-01,575.7936182160801
2015-11-01,2436.0,2015-12-01,557.7564172911518
2015-12-01,1172.0,2016-01-01,540.8106873784415
2016-01-01,1283.0,2016-02-01,524.860388584978
2016-02-01,907.0,2016-03-01,509.820420773818
2016-03-01,608.0,2016-04-01,495.6151095748002
2016-04-01,431.0,2016-05-01,482.17693699753005
2016-05-01,691.0,2016-06-01,469.4454717581401
2016-06-01,315.0,2016-07-01,457.366463604343
2016-07-01,267.0,2016-08-01,445.8910730401668
2016-08-01,302.0,2016-09-01,434.97521341213195
2016-09-01,243.0,2016-10-01,424.57898669173613
2016-10-01,335.0,2016-11-01,414.66619775008525
2016-11-01,124.0,2016-12-01,405.203934675936
2016-12-01,355.0,2017-01-01,396.16220489455014
2017-01-01,157.0,2017-02-01,387.5136186206401
2017-02-01,157.0,2017-03-01,379.233112615543
2017-03-01,172.0,2017-04-01,371.2977083870212
2017-04-01,182.0,2017-05-01,363.68629992439986
2017-05-01,167.0,2017-06-01,356.3794668447684
2017-06-01,131.0,2017-07-01,349.35930947120374
2017-07-01,151.0,2017-08-01,342.6093028978234
2017-08-01,145.0,2017-09-01,336.1141675399131
2017-09-01,152.0,2017-10-01,329.8597540371005
2017-10-01,169.0,2017-11-01,323.83294068691134
2017-11-01,213.0,2017-12-01,318.0215418458262
2017-12-01,198.0,2018-01-01,312.4142259538055
2018-01-01,162.0,2018-02-01,307.0004420232247
2018-02-01,206.0,2018-03-01,301.77035358998603
2018-03-01,198.0,2018-04-01,296.71477925791976
2018-04-01,152.0,2018-05-01,291.8251390813077
2018-05-01,168.0,2018-06-01,287.09340612760883
2018-06-01,126.0,2018-07-01,282.51206264584675
2018-07-01,167.0,2018-08-01,278.0740603378015
2018-08-01,162.0,2018-09-01,273.7727842909214
2018-09-01,102.0,2018-10-01,269.60202018523927
2018-10-01,111.0,2018-11-01,265.55592443278886
2018-11-01,280.0,2018-12-01,261.62899694812575
2018-12-01,105.0,2019-01-01,257.8160562834404
2019-01-01,99.0,2019-02-01,254.11221689216094
2019-02-01,124.0,2019-03-01,250.51286831150276
2019-03-01,140.0,2019-04-01,247.01365607766664
2019-04-01,158.0,2019-05-01,243.61046420777433
2019-05-01,89.0,2019-06-01,240.29939910053682
2019-06-01,37.0,2019-07-01,237.07677472341692
2019-07-01,250.0,2019-08-01,233.93909896794622
2019-08-01,0.0,2019-09-01,230.88306106713372
2019-09-01,190.0,2019-10-01,227.90551997976917
2019-10-01,139.0,2019-11-01,225.00349365604748
2019-11-01,150.0,2019-12-01,222.1741491074907
2019-12-01,130.0,2020-01-01,219.41479321173787
2020-01-01,58.0,2020-02-01,216.7228641895418
2020-02-01,43.0,2020-03-01,214.0959236973401
2020-03-01,184.0,2020-04-01,211.5316494841582
2020-04-01,37.0,2020-05-01,209.02782856641724
2020-05-01,0.0,2020-06-01,206.58235087853458
2020-06-01,0.0,2020-07-01,204.1932033610713
2020-07-01,377.0,2020-08-01,201.85846445165663
2020-08-01,89.0,2020-09-01,199.57629894703803
2020-09-01,3.0,2020-10-01,197.34495320741874
2020-10-01,0.0,2020-11-01,195.1627506767766
2020-11-01,0.0,2020-12-01,193.02808769514147
2020-12-01,0.0,2021-01-01,190.93942958087553
2021-01-01,29.0,2021-02-01,188.89530696286604
2021-02-01,24.0,2021-03-01,186.89431234423031
2021-03-01,0.0,2021-04-01,184.93509688066504
2021-04-01,0.0,2021-05-01,183.01636735796194
2021-05-01,7.0,2021-06-01,181.1368833544743
2021-06-01,10.0,2021-07-01,179.29545457546575
2021-07-01,2.0,2021-08-01,177.49093834731858
2021-08-01,0.0,2021-09-01,175.7222372605294
2021-09-01,67.0,2021-10-01,173.9882969512882
2021-10-01,278.0,2021-11-01,172.28810401222813
2021-11-01,234.0,2021-12-01,170.62068402365796
2021-12-01,339.0,2022-01-01,168.98509969724927
2022-01-01,263.0,2022-02-01,167.38044912475698
2022-02-01,220.0,2022-03-01,165.80586412490507
2022-03-01,314.0,2022-04-01,164.26050868207997
2022-04-01,149.0,2022-05-01,162.74357747093694
2022-05-01,277.0,2022-06-01,161.25429446145662
2022-06-01,210.0,2022-07-01,159.79191159938065
2022-07-01,175.0,2022-08-01,158.35570755731678
2022-08-01,54.0,2022-09-01,156.94498655213843
2022-09-01,171.0,2022-10-01,155.5590772246101
2022-10-01,291.0,2022-11-01,154.19733157745196
2022-11-01,114.0,2022-12-01,152.85912396831904
2022-12-01,88.0,2023-01-01,151.54385015441136
2023-01-01,49.0,2023-02-01,150.2509263856524
2023-02-01,143.0,2023-03-01,148.9797885435809
2023-03-01,156.0,2023-04-01,147.72989132329022
2023-04-01,78.0,2023-05-01,146.50070745592564
2023-05-01,65.0,2023-06-01,145.29172696941333
2023-06-01,98.0,2023-07-01,144.10245648524645
2023-07-01,332.0,2023-08-01,142.93241854929263
2023-08-01,123.0,2023-09-01,141.7811509947193
2023-09-01,89.0,2023-10-01,140.64820633525235
2023-10-01,106.0,2023-11-01,139.53315118709693
2023-11-01,72.0,2023-12-01,138.43556571795352
2023-12-01,194.0,2024-01-01,137.35504312165912
2024-01-01,23.0,2024-02-01,136.29118911707437
2024-02-01,225.0,2024-03-01,135.24362146992107
2024-03-01,209.0,2024-04-01,134.21196953635356
2024-04-01,94.0,2024-05-01,133.19587382712027
2024-05-01,88.0,2024-06-01,132.19498559123994
2024-06-01,68.0,2024-07-01,131.20896641818095
2024-07-01,164.0,2024-08-01,130.23748785759176
2024-08-01,130.0,2024-09-01,129.28023105568542
2024-09-01,73.0,2024-10-01,128.33688640743398
2024-10-01,112.0,2024-11-01,127.40715322377643
2024-11-01,68.0,2024-12-01,126.4907394130899
2024-12-01,117.0,2025-01-01,125.5873611762157
2025-01-01,204.0,2025-02-01,124.69674271437259
2025-02-01,122.0,2025-03-01,123.81861594932629
,,2025-04-01,122.95272025521922
,,2025-05-01,122.09880220149824
,,2025-06-01,121.2566153064079
,,2025-07-01,120.42591980054613
,,2025-08-01,119.60648240000671
,,2025-09-01,118.7980760886582
,,2025-10-01,118.00047990913257
,,2025-11-01,117.21347876212016
,,2025-12-01,116.43686321358858
,,2026-01-01,115.67042930956252
,,2026-02-01,114.91397839812134
,,2026-03-01,114.16731695828815
,,2026-04-01,113.4302564355013
,,2026-05-01,112.70261308337467
,,2026-06-01,111.98420781146847
,,2026-07-01,111.27486603880526
,,2026-08-01,110.57441755288085
,,2026-09-01,109.88269637393003
,,2026-10-01,109.1995406242211
,,2026-11-01,108.52479240216235
,,2026-12-01,107.85829766101571
,,2027-01-01,107.19990609202196
,,2027-02-01,106.54947101175122
,,2027-03-01,105.90684925350187
,,2027-04-01,105.27190106257916
,,2027-05-01,104.64448999529253
,,2027-06-01,104.02448282151906
,,2027-07-01,103.4117494306865
,,2027-08-01,102.80616274103683
,,2027-09-01,102.207598612038
,,2027-10-01,101.61593575981664
,,2027-11-01,101.03105567549115
,,2027-12-01,100.45284254628979
,,2028-01-01,99.88118317934368
,,2028-02-01,99.31596692804919
,,2028-03-01,98.75708562089983
,,2028-04-01,98.20443349269082
,,2028-05-01,97.65790711800527
,,2028-06-01,97.11740534689365
,,2028-07-01,96.58282924266308
,,2028-08-01,96.0540820216959
,,2028-09-01,95.53106899522074
,,2028-10-01,95.01369751296266
,,2028-11-01,94.50187690860214
,,2028-12-01,93.99551844697518
,,2029-01-01,93.49453527295042
,,2029-02-01,92.99884236192116
,,2029-03-01,92.50835647185343
,,2029-04-01,92.02299609683297
,,2029-05-01,91.542681422057
,,2029-06-01,91.06733428021865
,,2029-07-01,90.59687810923391
,,2029-08-01,90.13123791126317
,,2029-09-01,89.67034021298146
,,2029-10-01,89.21411302705303
,,2029-11-01,88.76248581476821
,,2029-12-01,88.31538944980144
,,2030-01-01,87.87275618305173
,,2030-02-01,87.43451960852806
,,2030-03-01,87.00061463024326
,,2030-04-01,86.57097743008241
,,2030-05-01,86.14554543661183
,,2030-06-01,85.72425729479711
