t,q,t_model,q_model
2015-12-01,5407.0,2018-04-01,8354.044989261007
2016-01-01,276.0,2018-05-01,5311.292168038945
2016-02-01,1644.0,2018-06-01,3934.8640369533337
2016-03-01,2796.0,2018-07-01,3143.216674951417
2016-04-01,2850.0,2018-08-01,2626.3779874788993
2016-05-01,1707.0,2018-09-01,2261.2216434274087
2016-06-01,4601.0,2018-10-01,1988.8891467949832
2016-07-01,3234.0,2018-11-01,1777.614270343188
2016-08-01,2747.0,2018-12-01,1608.7080686273086
2016-09-01,3446.0,2019-01-01,1470.4404035133148
2016-10-01,1467.0,2019-02-01,1355.068059244152
2016-11-01,758.0,2019-03-01,1257.2686135254175
2016-12-01,1043.0,2019-04-01,1173.2601062587528
2017-01-01,404.0,2019-05-01,1100.2795558093646
2017-02-01,817.0,2019-06-01,1036.2603053121811
2017-03-01,1550.0,2019-07-01,979.6249204768734
2017-04-01,1165.0,2019-08-01,929.1480114285935
2017-05-01,984.0,2019-09-01,883.8628627714129
2017-06-01,740.0,2019-10-01,842.9963503318488
2017-07-01,1761.0,2019-11-01,805.9226119863797
2017-08-01,909.0,2019-12-01,772.129446794853
2017-09-01,889.0,2020-01-01,741.193534756281
2017-10-01,967.0,2020-02-01,712.7618845562042
2017-11-01,820.0,2020-03-01,686.5377535205265
2017-12-01,1247.0,2020-04-01,662.2698284721744
2018-01-01,495.0,2020-05-01,639.7438176316463
2018-02-01,2497.0,2020-06-01,618.7758480642112
2018-03-01,6174.0,2020-07-01,599.2072311620343
2018-04-01,8336.0,2020-08-01,580.9002759119429
2018-05-01,5454.0,2020-09-01,563.7349127165858
2018-06-01,3690.0,2020-10-01,547.6059500797344
2018-07-01,3184.0,2020-11-01,532.4208296914429
2018-08-01,2784.0,2020-12-01,518.0977771816407
2018-09-01,2071.0,2021-01-01,504.564269351569
2018-10-01,2088.0,2021-02-01,491.75575632743147
2018-11-01,1706.0,2021-03-01,479.6145904126427
2018-12-01,1712.0,2021-04-01,468.0891235808676
2019-01-01,1598.0,2021-05-01,457.13294336632754
2019-02-01,1339.0,2021-06-01,446.7042229603483
2019-03-01,1343.0,2021-07-01,436.76516604475455
2019-04-01,1306.0,2021-08-01,427.28153060115835
2019-05-01,1245.0,2021-09-01,418.22221886658457
2019-06-01,1154.0,2021-10-01,409.5589229371746
2019-07-01,834.0,2021-11-01,401.26581738649236
2019-08-01,472.0,2021-12-01,393.3192917647754
2019-09-01,417.0,2022-01-01,385.69771705808444
2019-10-01,1199.0,2022-02-01,378.3812411715844
2019-11-01,652.0,2022-03-01,371.3516093055802
2019-12-01,57.0,2022-04-01,364.5920057526129
2020-01-01,108.0,2022-05-01,358.0869141872932
2020-02-01,1568.0,2022-06-01,351.82199396996725
2020-03-01,999.0,2022-07-01,345.78397035850486
2020-04-01,524.0,2022-08-01,339.96053683358616
2020-05-01,567.0,2022-09-01,334.3402680031214
2020-06-01,550.0,2022-10-01,328.9125417699436
2020-07-01,636.0,2022-11-01,323.66746963098535
2020-08-01,608.0,2022-12-01,318.5958341317174
2020-09-01,746.0,2023-01-01,313.689032631518
2020-10-01,552.0,2023-02-01,308.9390266477911
2020-11-01,492.0,2023-03-01,304.3382961423046
2020-12-01,719.0,2023-04-01,299.87979819501555
2021-01-01,914.0,2023-05-01,295.55692958079857
2021-02-01,588.0,2023-06-01,291.3634928248042
2021-03-01,385.0,2023-07-01,287.2936653641616
2021-04-01,388.0,2023-08-01,283.34197148865746
2021-05-01,375.0,2023-09-01,279.5032567719307
2021-06-01,411.0,2023-10-01,275.77266473849477
2021-07-01,59.0,2023-11-01,272.14561554128375
2021-08-01,329.0,2023-12-01,268.6177864500392
2021-09-01,538.0,2024-01-01,265.1850939732375
2021-10-01,491.0,2024-02-01,261.84367745585524
2021-11-01,647.0,2024-03-01,258.5898840124609
2021-12-01,362.0,2024-04-01,255.42025467022899
2022-01-01,508.0,2024-05-01,252.3315116097742
2022-02-01,204.0,2024-06-01,249.32054640344006
2022-03-01,627.0,2024-07-01,246.38440916104116
2022-04-01,643.0,2024-08-01,243.52029850223929
2022-05-01,788.0,2024-09-01,240.72555228286612
2022-06-01,584.0,2024-10-01,237.9976390097342
2022-07-01,823.0,2024-11-01,235.33414988490156
2022-08-01,417.0,2024-12-01,232.7327914260806
2022-09-01,494.0,2025-01-01,230.19137861498817
2022-10-01,403.0,2025-02-01,227.70782852999562
2022-11-01,338.0,2025-03-01,225.28015442351955
2022-12-01,230.0,2025-04-01,222.9064602082495
2023-01-01,299.0,2025-05-01,220.58493531958948
2023-02-01,253.0,2025-06-01,218.3138499246366
2023-03-01,282.0,2025-07-01,216.09155045067004
2023-04-01,216.0,2025-08-01,213.91645540850934
2023-05-01,314.0,2025-09-01,211.78705148825327
2023-06-01,195.0,2025-10-01,209.7018899068528
2023-07-01,178.0,2025-11-01,207.65958298872656
2023-08-01,194.0,2025-12-01,205.6588009622155
2023-09-01,221.0,2026-01-01,203.69826895611297
2023-10-01,177.0,2026-02-01,201.77676418180837
2023-11-01,134.0,2026-03-01,199.89311328777094
2023-12-01,146.0,2026-04-01,198.046189874171
2024-01-01,74.0,2026-05-01,196.2349121564195
2024-02-01,142.0,2026-06-01,194.45824076729482
2024-03-01,135.0,2026-07-01,192.71517668813917
2024-04-01,126.0,2026-08-01,191.00475930034804
2024-05-01,184.0,2026-09-01,189.32606454905255
2024-06-01,141.0,2026-10-01,187.6782032115124
2024-07-01,156.0,2026-11-01,186.06031926330465
2024-08-01,146.0,2026-12-01,184.47158833590916
,,2027-01-01,182.91121625976845
,,2027-02-01,181.3784376873335
,,2027-03-01,179.87251479100803
,,2027-04-01,178.39273603126946
,,2027-05-01,176.9384149905843
,,2027-06-01,175.50888926904435
,,2027-07-01,174.1035194379376
,,2027-08-01,172.72168804773085
,,2027-09-01,171.36279868718395
,,2027-10-01,170.0262750905403
,,2027-11-01,168.71156028994577
,,2027-12-01,167.41811581043868
,,2028-01-01,166.14542090503204
,,2028-02-01,164.89297182757196
,,2028-03-01,163.660281141209
,,2028-04-01,162.4468770604591
,,2028-05-01,161.2523028249617
,,2028-06-01,160.07611610316394
,,2028-07-01,158.9178884242714
,,2028-08-01,157.77720463691156
,,2028-09-01,156.65366239305206
,,2028-10-01,155.54687165580648
,,2028-11-01,154.45645422984583
,,2028-12-01,153.3820433132093
,,2029-01-01,152.3232830693837
,,2029-02-01,151.2798282185876
,,2029-03-01,150.2513436472594
,,2029-04-01,149.2375040348088
,,2029-05-01,148.23799349674528
,,2029-06-01,147.25250524334976
,,2029-07-01,146.28074125310363
,,2029-08-01,145.32241196013408
,,2029-09-01,144.37723595497746
,,2029-10-01,143.44493969800186
,,2029-11-01,142.52525724486694
,,2029-12-01,141.61792998343387
,,2030-01-01,140.7227063815709
,,2030-02-01,139.83934174533064
,,2030-03-01,138.96759798700336
,,2030-04-01,138.1072434025781
,,2030-05-01,137.25805245816844
,,2030-06-01,136.41980558498318
,,2030-07-01,135.59228898244515
,,2030-08-01,134.7752944290817
,,2030-09-01,133.96861910083064
,,2030-10-01,133.17206539642393
,,2030-11-01,132.38544076952837
,,2030-12-01,131.60855756734003
,,2031-01-01,130.84123287534382
,,2031-02-01,130.08328836796449
,,2031-03-01,129.33455016484965
,,2031-04-01,128.59484869253754
,,2031-05-01,127.86401855127541
,,2031-06-01,127.14189838676552
,,2031-07-01,126.42833076662693
,,2031-08-01,125.72316206137135
,,2031-09-01,125.02624232970176
,,2031-10-01,124.33742520795093
,,2031-11-01,123.65656780348617
,,2031-12-01,122.9835305919154
,,2032-01-01,122.31817731793618
,,2032-02-01,121.66037489967833
,,2032-03-01,121.00999333639676
,,2032-04-01,120.36690561937782
,,2032-05-01,119.73098764592967
,,2032-06-01,119.10211813633208
,,2032-07-01,118.48017855362751
,,2032-08-01,117.86505302614037
,,2032-09-01,117.25662827261654
,,2032-10-01,116.6547935298801
,,2032-11-01,116.05944048290907
,,2032-12-01,115.47046319723565
