t,q,t_model,q_model
2015-01-01,11441.0,2015-05-01,9378.654473453475
2015-02-01,13883.0,2015-06-01,8268.616034776885
2015-03-01,13303.0,2015-07-01,7324.57113511515
2015-04-01,11628.0,2015-08-01,6516.877457472721
2015-05-01,10801.0,2015-09-01,5821.989579731081
2015-06-01,7549.0,2015-10-01,5221.050309771504
2015-07-01,6547.0,2015-11-01,4698.840991953093
2015-08-01,6091.0,2015-12-01,4242.991285432338
2015-09-01,5050.0,2016-01-01,3843.378587431763
2015-10-01,5142.0,2016-02-01,3491.667509492062
2015-11-01,4805.0,2016-03-01,3180.9537906368914
2015-12-01,4523.0,2016-04-01,2905.4867999405596
2016-01-01,4143.0,2016-05-01,2660.451685443873
2016-02-01,3236.0,2016-06-01,2441.7971578840657
2016-03-01,3656.0,2016-07-01,2246.0984549688023
2016-04-01,3047.0,2016-08-01,2070.4476218635186
2016-05-01,2861.0,2016-09-01,1912.3651458495385
2016-06-01,2569.0,2016-10-01,1769.728391977083
2016-07-01,2104.0,2016-11-01,1640.7133382085813
2016-08-01,2073.0,2016-12-01,1523.7468994658527
2016-09-01,1891.0,2017-01-01,1417.4677290434006
2016-10-01,2127.0,2017-02-01,1320.6938426453428
2016-11-01,1734.0,2017-03-01,1232.3957608701
2016-12-01,1513.0,2017-04-01,1151.674136661397
2017-01-01,1476.0,2017-05-01,1077.7410444897375
2017-02-01,1608.0,2017-06-01,1009.9042722390162
2017-03-01,1130.0,2017-07-01,947.5540857153493
2017-04-01,1169.0,2017-08-01,890.1520374635816
2017-05-01,1116.0,2017-09-01,837.2214722929959
2017-06-01,1045.0,2017-10-01,788.3394462342964
2017-07-01,1121.0,2017-11-01,743.1298271374588
2017-08-01,1309.0,2017-12-01,701.2573865140507
2017-09-01,872.0,2018-01-01,662.4227256461261
2017-10-01,960.0,2018-02-01,626.3579060719816
2017-11-01,1059.0,2018-03-01,592.8226766011499
2017-12-01,1338.0,2018-04-01,561.6012070139723
2018-01-01,1159.0,2018-05-01,532.499253358086
2018-02-01,1048.0,2018-06-01,505.34169189243215
2018-03-01,1112.0,2018-07-01,479.9703687471589
2018-04-01,1147.0,2018-08-01,456.2422206623251
2018-05-01,818.0,2018-09-01,434.0276290575338
2018-06-01,311.0,2018-10-01,413.20897542397813
2018-07-01,114.0,2018-11-01,393.67937082584587
2018-08-01,115.0,2018-12-01,375.3415363161818
2018-09-01,0.0,2019-01-01,358.10681444843004
2018-10-01,7.0,2019-02-01,341.8942949091251
2018-11-01,17.0,2019-03-01,326.6300396995582
2018-12-01,46.0,2019-04-01,312.24639532845003
2019-01-01,42.0,2019-05-01,298.68138120434907
2019-02-01,0.0,2019-06-01,285.87814488558377
2019-03-01,0.0,2019-07-01,273.78447609842726
2019-04-01,85.0,2019-08-01,262.3523725049207
2019-05-01,123.0,2019-09-01,251.53765111897633
2019-06-01,156.0,2019-10-01,241.29960005663895
2019-07-01,158.0,2019-11-01,231.60066598353072
2019-08-01,0.0,2019-12-01,222.40617320608362
2019-09-01,0.0,2020-01-01,213.68407085710615
2019-10-01,0.0,2020-02-01,205.40470506221712
2019-11-01,0.0,2020-03-01,197.5406133515725
2019-12-01,0.0,2020-04-01,190.0663389094465
2020-01-01,0.0,2020-05-01,182.95826253965853
2020-02-01,0.0,2020-06-01,176.19445047353338
2020-03-01,0.0,2020-07-01,169.75451636415934
2020-04-01,0.0,2020-08-01,163.61949600046552
2020-05-01,0.0,2020-09-01,157.7717334408068
2020-06-01,0.0,2020-10-01,152.19477741146196
2020-07-01,0.0,2020-11-01,146.87328694343742
2020-08-01,0.0,2020-12-01,141.79294533355016
2020-09-01,0.0,2021-01-01,136.9403816149332
2020-10-01,0.0,2021-02-01,132.3030988095884
2020-11-01,0.0,2021-03-01,127.86940831289316
2020-12-01,0.0,2021-04-01,123.62836982832407
2021-01-01,0.0,2021-05-01,119.56973633120913
2021-02-01,0.0,2021-06-01,115.68390359402105
2021-03-01,0.0,2021-07-01,111.9618638534083
2021-04-01,0.0,2021-08-01,108.39516324156182
2021-05-01,0.0,2021-09-01,104.97586264225853
,,2021-10-01,101.69650166556272
,,2021-11-01,98.55006546518597
,,2021-12-01,95.52995414931989
,,2022-01-01,92.62995455974185
,,2022-02-01,89.84421421546381
,,2022-03-01,87.1672172364411
,,2022-04-01,84.59376208012685
,,2022-05-01,82.1189409391664
,,2022-06-01,79.73812066247092
,,2022-07-01,77.44692507446076
,,2022-08-01,75.24121857857381
,,2022-09-01,73.11709094132945
,,2022-10-01,71.07084316244202
,,2022-11-01,69.09897434478972
,,2022-12-01,67.19816948556259
,,2023-01-01,65.36528811671822
,,2023-02-01,63.5973537290357
,,2023-03-01,61.89154391964655
,,2023-04-01,60.245181207992886
,,2023-05-01,58.6557244697669
,,2023-06-01,57.120760942571366
,,2023-07-01,55.63799876084903
,,2023-08-01,54.20525998109398
,,2023-09-01,52.820474061515824
,,2023-10-01,51.48167176320837
,,2023-11-01,50.18697944249901
,,2023-12-01,48.9346137065572
,,2024-01-01,47.72287640652989
,,2024-02-01,46.550149944478704
,,2024-03-01,45.41489287222702
,,2024-04-01,44.31563576190528
,,2024-05-01,43.25097732952301
,,2024-06-01,42.21958079430732
,,2024-07-01,41.22017045784274
,,2024-08-01,40.25152848823786
,,2024-09-01,39.312491895636
,,2024-10-01,38.401949686392264
,,2024-11-01,37.518840184164254
,,2024-12-01,36.66214850701382
,,2025-01-01,35.830904190401284
,,2025-02-01,35.02417894667618
,,2025-03-01,34.24108455233414
,,2025-04-01,33.480770854924664
,,2025-05-01,32.742423892061545
,,2025-06-01,32.02526411551222
,,2025-07-01,31.328544713826858
,,2025-08-01,30.65155002741541
,,2025-09-01,29.99359405039651
,,2025-10-01,29.354019013924905
,,2025-11-01,28.73219404606003
,,2025-12-01,28.127513903568033
,,2026-01-01,27.539397771354544
