t,q,t_model,q_model
2010-09-01,0.0,2010-10-01,11502.305926665142
2010-10-01,12242.0,2010-11-01,9490.269318419038
2010-11-01,3816.0,2010-12-01,8119.406637951851
2010-12-01,14684.0,2011-01-01,7120.526588086868
2011-01-01,8735.0,2011-02-01,6357.6611228032925
2011-02-01,6020.0,2011-03-01,5754.420034607931
2011-03-01,5073.0,2011-04-01,5264.444918371934
2011-04-01,5526.0,2011-05-01,4857.904372308203
2011-05-01,4697.0,2011-06-01,4514.695733273918
2011-06-01,4148.0,2011-07-01,4220.757556717824
2011-07-01,3940.0,2011-08-01,3965.94652236274
2011-08-01,3508.0,2011-09-01,3742.753915425174
2011-09-01,2338.0,2011-10-01,3545.4974127164783
2011-10-01,3232.0,2011-11-01,3369.7942768914227
2011-11-01,2556.0,2011-12-01,3212.2076346101567
2011-12-01,2149.0,2012-01-01,3070.0027687716074
2012-01-01,2330.0,2012-02-01,2940.9753682113915
2012-02-01,2595.0,2012-03-01,2823.328043387228
2012-03-01,2296.0,2012-04-01,2715.5799478830186
2012-04-01,1362.0,2012-05-01,2616.4995646287307
2012-05-01,2255.0,2012-06-01,2525.053993894373
2012-06-01,2422.0,2012-07-01,2440.3701884572993
2012-07-01,3260.0,2012-08-01,2361.7049665501627
2012-08-01,2873.0,2012-09-01,2288.4215610668007
2012-09-01,2325.0,2012-10-01,2219.9710960736834
2012-10-01,2117.0,2012-11-01,2155.877819931145
2012-11-01,2515.0,2012-12-01,2095.7272324880123
2012-12-01,2337.0,2013-01-01,2039.156463470849
2013-01-01,2097.0,2013-02-01,1985.846417749681
2013-02-01,1983.0,2013-03-01,1935.51531896673
2013-03-01,2082.0,2013-04-01,1887.913368518022
2013-04-01,1863.0,2013-05-01,1842.8183006523182
2013-05-01,2020.0,2013-06-01,1800.0316624730497
2013-06-01,1660.0,2013-07-01,1759.375684110887
2013-07-01,1038.0,2013-08-01,1720.6906322824584
2013-08-01,1752.0,2013-09-01,1683.8325620295618
2013-09-01,1727.0,2013-10-01,1648.6713982182055
2013-10-01,1526.0,2013-11-01,1615.0892915244642
2013-11-01,1693.0,2013-12-01,1582.9792040008952
2013-12-01,1546.0,2014-01-01,1552.2436875426456
2014-01-01,1805.0,2014-02-01,1522.7938251375506
2014-02-01,1604.0,2014-03-01,1494.5483100541753
2014-03-01,1714.0,2014-04-01,1467.432642374296
2014-04-01,1590.0,2014-05-01,1441.3784257256038
2014-05-01,755.0,2014-06-01,1416.3227498818212
2014-06-01,1974.0,2014-07-01,1392.2076471995779
2014-07-01,2450.0,2014-08-01,1368.9796127549475
2014-08-01,2479.0,2014-09-01,1346.589179606591
2014-09-01,2062.0,2014-10-01,1324.9905419096538
2014-10-01,2090.0,2014-11-01,1304.1412196845913
2014-11-01,1904.0,2014-12-01,1284.0017599476985
2014-12-01,1857.0,2015-01-01,1264.5354696671466
2015-01-01,1762.0,2015-02-01,1245.708176645453
2015-02-01,1352.0,2015-03-01,1227.488014967288
2015-03-01,1756.0,2015-04-01,1209.8452321072505
2015-04-01,1715.0,2015-05-01,1192.7520151794731
2015-05-01,1357.0,2015-06-01,1176.1823341409154
2015-06-01,1666.0,2015-07-01,1160.1118000422362
2015-07-01,1547.0,2015-08-01,1144.5175366618423
2015-08-01,1482.0,2015-09-01,1129.3780640664008
2015-09-01,1371.0,2015-10-01,1114.6731928200193
2015-10-01,1334.0,2015-11-01,1100.38392771883
2015-11-01,1304.0,2015-12-01,1086.492380061476
2015-12-01,1316.0,2016-01-01,1072.981687582072
2016-01-01,1287.0,2016-02-01,1059.8359412731622
2016-02-01,1173.0,2016-03-01,1047.0401184141758
2016-03-01,1231.0,2016-04-01,1034.580021197717
2016-04-01,1158.0,2016-05-01,1022.4422204132884
2016-05-01,1148.0,2016-06-01,1010.6140037070126
2016-06-01,1045.0,2016-07-01,999.0833279877378
2016-07-01,1144.0,2016-08-01,987.8387755955247
2016-08-01,1083.0,2016-09-01,976.869513888738
2016-09-01,1024.0,2016-10-01,966.1652579414995
2016-10-01,1059.0,2016-11-01,955.7162360747058
2016-11-01,792.0,2016-12-01,945.5131579716941
2016-12-01,1088.0,2017-01-01,935.5471851543872
2017-01-01,1004.0,2017-02-01,925.8099036177531
2017-02-01,960.0,2017-03-01,916.2932984400265
2017-03-01,1011.0,2017-04-01,906.9897302036215
2017-04-01,949.0,2017-05-01,897.8919130772795
2017-05-01,974.0,2017-06-01,888.9928944239759
2017-06-01,923.0,2017-07-01,880.2860358116253
2017-07-01,860.0,2017-08-01,871.7649953148465
2017-08-01,908.0,2017-09-01,863.4237110061425
2017-09-01,893.0,2017-10-01,855.2563855439159
2017-10-01,898.0,2017-11-01,847.2574717729068
2017-11-01,778.0,2017-12-01,839.4216592600098
2017-12-01,988.0,2018-01-01,831.7438616950707
2018-01-01,917.0,2018-02-01,824.219205092269
2018-02-01,787.0,2018-03-01,816.8430167331362
2018-03-01,850.0,2018-04-01,809.6108147971753
2018-04-01,808.0,2018-05-01,802.5182986305168
2018-05-01,801.0,2018-06-01,795.5613396070995
2018-06-01,733.0,2018-07-01,788.7359725405454
2018-07-01,776.0,2018-08-01,782.0383876082517
2018-08-01,750.0,2018-09-01,775.4649227522711
2018-09-01,499.0,2018-10-01,769.0120565243343
2018-10-01,798.0,2018-11-01,762.6764013449065
2018-11-01,675.0,2018-12-01,756.4546971484837
2018-12-01,760.0,2019-01-01,750.3438053894549
2019-01-01,713.0,2019-02-01,744.3407033847963
2019-02-01,647.0,2019-03-01,738.442478971629
2019-03-01,711.0,2019-04-01,732.6463254593104
2019-04-01,663.0,2019-05-01,726.949536857212
2019-05-01,653.0,2019-06-01,721.3495033607056
2019-06-01,646.0,2019-07-01,715.8437070791477
2019-07-01,637.0,2019-08-01,710.4297179907943
2019-08-01,645.0,2019-09-01,705.1051901106579
2019-09-01,608.0,2019-10-01,699.8678578582862
2019-10-01,615.0,2019-11-01,694.7155326133567
2019-11-01,598.0,2019-12-01,689.6460994478065
2019-12-01,607.0,2020-01-01,684.6575140239906
2020-01-01,606.0,2020-02-01,679.7477996490735
2020-02-01,552.0,2020-03-01,674.9150444765118
2020-03-01,596.0,2020-04-01,670.1573988460976
2020-04-01,593.0,2020-05-01,665.4730727545926
2020-05-01,560.0,2020-06-01,660.8603334495039
2020-06-01,539.0,2020-07-01,656.3175031390379
2020-07-01,527.0,2020-08-01,651.8429568117124
2020-08-01,542.0,2020-09-01,647.4351201595288
2020-09-01,392.0,2020-10-01,643.092467598984
2020-10-01,679.0,2020-11-01,638.8135203845693
2020-11-01,630.0,2020-12-01,634.596844809732
2020-12-01,612.0,2021-01-01,630.4410504905853
2021-01-01,590.0,2021-02-01,626.344788727943
2021-02-01,482.0,2021-03-01,622.3067509435249
2021-03-01,557.0,2021-04-01,618.3256671864282
2021-04-01,552.0,2021-05-01,614.4003047061933
2021-05-01,577.0,2021-06-01,610.5294665890136
2021-06-01,479.0,2021-07-01,606.711990453838
2021-07-01,485.0,2021-08-01,602.94674720531
2021-08-01,481.0,2021-09-01,599.2326398406616
2021-09-01,500.0,2021-10-01,595.5686023078472
2021-10-01,499.0,2021-11-01,591.9535984123581
2021-11-01,476.0,2021-12-01,588.3866207703051
2021-12-01,504.0,2022-01-01,584.8666898054895
2022-01-01,498.0,2022-02-01,581.3928527883149
2022-02-01,440.0,2022-03-01,577.9641829145087
2022-03-01,502.0,2022-04-01,574.5797784217327
2022-04-01,456.0,2022-05-01,571.2387617422759
2022-05-01,469.0,2022-06-01,567.9402786901069
2022-06-01,438.0,2022-07-01,564.6834976806729
2022-07-01,446.0,2022-08-01,561.4676089819044
2022-08-01,462.0,2022-09-01,558.2918239949772
2022-09-01,412.0,2022-10-01,555.1553745634533
2022-10-01,447.0,2022-11-01,552.0575123095007
2022-11-01,401.0,2022-12-01,548.9975079959537
2022-12-01,447.0,2023-01-01,545.9746509130456
2023-01-01,417.0,2023-02-01,542.9882482887019
2023-02-01,405.0,2023-03-01,540.0376247213414
2023-03-01,419.0,2023-04-01,537.1221216341839
2023-04-01,427.0,2023-05-01,534.2410967501177
2023-05-01,422.0,2023-06-01,531.3939235862218
2023-06-01,411.0,2023-07-01,528.5799909670912
2023-07-01,424.0,2023-08-01,525.7987025561458
2023-08-01,397.0,2023-09-01,523.0494764041534
2023-09-01,406.0,2023-10-01,520.3317445142284
2023-10-01,366.0,2023-11-01,517.6449524226082
2023-11-01,400.0,2023-12-01,514.9885587945378
2023-12-01,396.0,2024-01-01,512.3620350346326
2024-01-01,333.0,2024-02-01,509.7648649111136
2024-02-01,570.0,2024-03-01,507.1965441933373
2024-03-01,534.0,2024-04-01,504.6565803020778
2024-04-01,497.0,2024-05-01,502.14449197203567
2024-05-01,491.0,2024-06-01,499.6598089260738
2024-06-01,420.0,2024-07-01,497.2020715607107
2024-07-01,465.0,2024-08-01,494.7708306424138
2024-08-01,404.0,2024-09-01,492.3656470142626
2024-09-01,436.0,2024-10-01,489.98609131256995
2024-10-01,420.0,2024-11-01,487.63174369306574
2024-11-01,409.0,2024-12-01,485.30219356626935
2024-12-01,405.0,2025-01-01,482.9970393416896
2025-01-01,409.0,2025-02-01,480.7158881805111
,,2025-03-01,478.4583557564376
,,2025-04-01,476.22406602437957
,,2025-05-01,474.01265099668655
,,2025-06-01,471.8237505266365
,,2025-07-01,469.6570120989088
,,2025-08-01,467.51209062677947
,,2025-09-01,465.38864825578395
,,2025-10-01,463.28635417361176
,,2025-11-01,461.20488442599805
,,2025-12-01,459.14392173839514
,,2026-01-01,457.1031553432106
,,2026-02-01,455.0822808124099
,,2026-03-01,453.0809998952897
,,2026-04-01,451.0990203612357
,,2026-05-01,449.1360558472857
,,2026-06-01,447.19182571032843
,,2026-07-01,445.26605488377226
,,2026-08-01,443.35847373852647
,,2026-09-01,441.46881794814516
,,2026-10-01,439.59682835798685
,,2026-11-01,437.74225085825117
,,2026-12-01,435.9048362607588
,,2027-01-01,434.0843401793463
,,2027-02-01,432.2805229137508
,,2027-03-01,430.49314933686765
,,2027-04-01,428.7219887852658
,,2027-05-01,426.96681495285173
,,2027-06-01,425.2274057875749
,,2027-07-01,423.5035433910761
,,2027-08-01,421.7950139211776
,,2027-09-01,420.1016074971243
,,2027-10-01,418.42311810748333
,,2027-11-01,416.7593435206159
,,2027-12-01,415.1100851976381
,,2028-01-01,413.4751482077889
,,2028-02-01,411.85434114612815
,,2028-03-01,410.2474760534913
,,2028-04-01,408.65436833862526
,,2028-05-01,407.07483670243994
,,2028-06-01,405.5087030643055
,,2028-07-01,403.95579249033295
,,2028-08-01,402.4159331235739
,,2028-09-01,400.8889561160817
,,2028-10-01,399.37469556277415
,,2028-11-01,397.8729884370433
,,2028-12-01,396.3836745280585
,,2029-01-01,394.90659637970924
,,2029-02-01,393.44159923114034
,,2029-03-01,391.98853095882885
,,2029-04-01,390.5472420201566
,,2029-05-01,389.1175853984342
,,2029-06-01,387.6994165493322
,,2029-07-01,386.2925933486773
,,2029-08-01,384.89697604157317
,,2029-09-01,383.5124271928071
,,2029-10-01,382.13881163850414
,,2029-11-01,380.7759964389922
,,2029-12-01,379.4238508328428
,,2030-01-01,378.08224619205293
,,2030-02-01,376.7510559783358
,,2030-03-01,375.4301557004874
,,2030-04-01,374.11942287279885
,,2030-05-01,372.81873697448424
,,2030-06-01,371.52797941009493
,,2030-07-01,370.2470334708924
,,2030-08-01,368.9757842971531
,,2030-09-01,367.7141188413779
,,2030-10-01,366.4619258323822
,,2030-11-01,365.21909574024085
,,2030-12-01,363.9855207420651
,,2031-01-01,362.7610946885879
,,2031-02-01,361.54571307153583
,,2031-03-01,360.33927299176514
,,2031-04-01,359.1416731281426
,,2031-05-01,357.9528137071484
,,2031-06-01,356.77259647318465
,,2031-07-01,355.60092465956774
,,2031-08-01,354.43770296018715
,,2031-09-01,353.2828375018134
,,2031-10-01,352.13623581703695
,,2031-11-01,350.9978068178212
,,2031-12-01,349.8674607696546
,,2032-01-01,348.7451092662845
,,2032-02-01,347.6306652050179
,,2032-03-01,346.52404276257533
,,2032-04-01,345.4251573714816
,,2032-05-01,344.33392569698077
,,2032-06-01,343.2502656144617
,,2032-07-01,342.1740961873803
,,2032-08-01,341.10533764566617
,,2032-09-01,340.04391136460146
,,2032-10-01,338.9897398441592
,,2032-11-01,337.94274668879046
,,2032-12-01,336.90285658764736
,,2033-01-01,335.8699952952335
,,2033-02-01,334.8440896124673
,,2033-03-01,333.8250673681529
,,2033-04-01,332.81285740084286
,,2033-05-01,331.8073895410876
