t,q,t_model,q_model
2024-04-01,6040.0,2024-05-01,7477.094343979238
2024-05-01,7477.0,2024-06-01,2903.602674818153
2024-06-01,3011.0,2024-07-01,2562.1187085868123
2024-07-01,2555.0,2024-08-01,2381.0038091959827
2024-08-01,2132.0,2024-09-01,2260.2421085944675
2024-09-01,2279.0,2024-10-01,2170.775014815055
2024-10-01,1985.0,2024-11-01,2100.2948102636583
2024-11-01,1885.0,2024-12-01,2042.4841608139632
2024-12-01,2556.0,2025-01-01,1993.6886668894485
2025-01-01,2513.0,2025-02-01,1951.6129476310807
2025-02-01,1454.0,2025-03-01,1914.7254624768311
,,2025-04-01,1881.955879880593
,,2025-05-01,1852.5282315988911
,,2025-06-01,1825.8629335275361
,,2025-07-01,1801.5162526044094
,,2025-08-01,1779.1413141984385
,,2025-09-01,1758.4620907870271
,,2025-10-01,1739.2555262215244
,,2025-11-01,1721.338932084056
,,2025-12-01,1704.5609006958866
,,2026-01-01,1688.79462380846
,,2026-02-01,1673.9328939977665
,,2026-03-01,1659.8843065416718
,,2026-04-01,1646.5703330156293
,,2026-05-01,1633.9230380181607
,,2026-06-01,1621.8832772506028
,,2026-07-01,1610.3992606087409
,,2026-08-01,1599.4253953865577
,,2026-09-01,1588.9213468042622
,,2026-10-01,1578.851268852838
,,2026-11-01,1569.1831698616982
,,2026-12-01,1559.8883855558634
,,2027-01-01,1550.9411385627209
,,2027-02-01,1542.3181679664697
,,2027-03-01,1533.9984160162385
,,2027-04-01,1525.96276177173
,,2027-05-01,1518.193793532266
,,2027-06-01,1510.6756134959494
,,2027-07-01,1503.3936693479302
,,2027-08-01,1496.3346084634957
,,2027-09-01,1489.4861511944594
,,2027-10-01,1482.8369803322512
,,2027-11-01,1476.3766443431032
,,2027-12-01,1470.0954723762438
,,2028-01-01,1463.9844993754123
,,2028-02-01,1458.0353998929593
,,2028-03-01,1452.240429426467
,,2028-04-01,1446.5923722797484
,,2028-05-01,1441.0844951007157
,,2028-06-01,1435.7105053738878
,,2028-07-01,1430.4645142498991
,,2028-08-01,1425.3410031820613
,,2028-09-01,1420.3347939138014
,,2028-10-01,1415.4410214231007
,,2028-11-01,1410.65510948284
,,2028-12-01,1405.9727485408382
,,2029-01-01,1401.3898756616288
,,2029-02-01,1396.9026563047692
,,2029-03-01,1392.5074677425514
,,2029-04-01,1388.200883944149
,,2029-05-01,1383.9796617740847
,,2029-06-01,1379.8407283709278
,,2029-07-01,1375.781169587769
,,2029-08-01,1371.7982193896087
,,2029-09-01,1367.8892501146443
,,2029-10-01,1364.0517635167755
,,2029-11-01,1360.283382515704
,,2029-12-01,1356.5818435889455
,,2030-01-01,1352.9449897470472
,,2030-02-01,1349.3707640394512
,,2030-03-01,1345.8572035438735
,,2030-04-01,1342.4024337968517
,,2030-05-01,1339.0046636273773
,,2030-06-01,1335.6621803592823
,,2030-07-01,1332.3733453514094
,,2030-08-01,1329.1365898475733
,,2030-09-01,1325.9504111109782
,,2030-10-01,1322.8133688201387
,,2030-11-01,1319.7240817054642
,,2030-12-01,1316.6812244075863
,,2031-01-01,1313.683524540202
,,2031-02-01,1310.729759941747
,,2031-03-01,1307.8187561015995
,,2031-04-01,1304.9493837477405
,,2031-05-01,1302.120556583944
,,2031-06-01,1299.3312291655627
,,2031-07-01,1296.5803949039007
,,2031-08-01,1293.8670841899989
,,2031-09-01,1291.1903626294004
,,2031-10-01,1288.5493293801546
,,2031-11-01,1285.9431155869395
,,2031-12-01,1283.3708829047391
,,2032-01-01,1280.831822106038
,,2032-02-01,1278.325151765951
,,2032-03-01,1275.8501170201453
,,2032-04-01,1273.4059883907985
,,2032-05-01,1270.992060676188
,,2032-06-01,1268.6076518998484
,,2032-07-01,1266.2521023155136
,,2032-08-01,1263.924773464355
,,2032-09-01,1261.6250472812653
,,2032-10-01,1259.3523252471755
,,2032-11-01,1257.106027584604
,,2032-12-01,1254.885592493832
,,2033-01-01,1252.6904754272846
,,2033-02-01,1250.520148399854
,,2033-03-01,1248.374099333066
,,2033-04-01,1246.251831431126
,,2033-05-01,1244.1528625870094
,,2033-06-01,1242.076724816891
