t,q,t_model,q_model
2024-04-01,151.0,2024-05-01,254.06957731550222
2024-05-01,254.0,2024-06-01,197.33647244176666
2024-06-01,217.0,2024-07-01,189.05226417112436
2024-07-01,148.0,2024-08-01,184.3427731588843
2024-08-01,190.0,2024-09-01,181.06559022380267
2024-09-01,191.0,2024-10-01,178.56085261331035
2024-10-01,186.0,2024-11-01,176.538583282486
2024-11-01,175.0,2024-12-01,174.84579699308196
,,2025-01-01,173.39202407225577
,,2025-02-01,172.11938072223495
,,2025-03-01,170.9886263284759
,,2025-04-01,169.97195121610247
,,2025-05-01,169.0489408229316
,,2025-06-01,168.20417432846213
,,2025-07-01,167.4257234639526
,,2025-08-01,166.70417512840766
,,2025-09-01,166.03197298569768
,,2025-10-01,165.40296089324386
,,2025-11-01,164.8120582829425
,,2025-12-01,164.25502428307428
,,2026-01-01,163.72828301305333
,,2026-02-01,163.2287919752079
,,2026-03-01,162.75394140177636
,,2026-04-01,162.3014762238945
,,2026-05-01,161.86943483194094
,,2026-06-01,161.45610047610757
,,2026-07-01,161.05996230486718
,,2026-08-01,160.67968383852212
,,2026-09-01,160.31407724028185
,,2026-10-01,159.96208215278338
,,2026-11-01,159.6227481626955
,,2026-12-01,159.29522017292027
,,2027-01-01,158.97872612331068
,,2027-02-01,158.6725666222157
,,2027-03-01,158.3761061433618
,,2027-04-01,158.08876551324886
,,2027-05-01,157.810015468867
,,2027-06-01,157.53937110811404
,,2027-07-01,157.27638708871717
,,2027-08-01,157.02065345789399
,,2027-09-01,156.77179201602732
,,2027-10-01,156.5294531344827
,,2027-11-01,156.29331296127936
,,2027-12-01,156.06307095933286
,,2028-01-01,155.83844773095663
,,2028-02-01,155.61918308965366
,,2028-03-01,155.40503434627485
,,2028-04-01,155.1957747816164
,,2028-05-01,154.991192281679
,,2028-06-01,154.7910881152706
,,2028-07-01,154.5952758365327
,,2028-08-01,154.40358029740293
,,2028-09-01,154.21583675708263
,,2028-10-01,154.03189007731456
,,2028-11-01,153.85159399375422
,,2028-12-01,153.67481045497576
,,2029-01-01,153.50140902172956
,,2029-02-01,153.33126631999036
,,2029-03-01,153.16426554212882
,,2029-04-01,153.00029599122192
,,2029-05-01,152.83925266411018
,,2029-06-01,152.681035869321
,,2029-07-01,152.52555087642327
,,2029-08-01,152.37270759376676
,,2029-09-01,152.22242027189725
,,2029-10-01,152.07460723023604
,,2029-11-01,151.92919060487176
,,2029-12-01,151.78609611554054
,,2030-01-01,151.6452528500727
,,2030-02-01,151.50659306476044
,,2030-03-01,151.37005199925872
,,2030-04-01,151.23556770477063
,,2030-05-01,151.1030808843908
,,2030-06-01,150.9725347445912
,,2030-07-01,150.84387485693074
,,2030-08-01,150.71704902915695
,,2030-09-01,150.59200718494606
,,2030-10-01,150.46870125159737
,,2030-11-01,150.34708505505984
,,2030-12-01,150.22711422172486
,,2031-01-01,150.10874608646992
,,2031-02-01,149.99193960648188
,,2031-03-01,149.87665528043107
,,2031-04-01,149.7628550726023
,,2031-05-01,149.6505023416238
,,2031-06-01,149.53956177346382
,,2031-07-01,149.4299993183928
,,2031-08-01,149.32178213163309
,,2031-09-01,149.21487851744084
,,2031-10-01,149.1092578763853
,,2031-11-01,149.0048906556087
,,2031-12-01,148.9017483018674
,,2032-01-01,148.79980321716985
,,2032-02-01,148.69902871684175
,,2032-03-01,148.5993989898604
,,2032-04-01,148.50088906131313
,,2032-05-01,148.40347475684527
,,2032-06-01,148.30713266897197
,,2032-07-01,148.21184012513885
,,2032-08-01,148.11757515742332
,,2032-09-01,148.02431647377705
,,2032-10-01,147.93204343071613
,,2032-11-01,147.84073600737307
,,2032-12-01,147.75037478082982
,,2033-01-01,147.66094090265685
,,2033-02-01,147.57241607658813
,,2033-03-01,147.4847825372674
