t,q,t_model,q_model
2018-01-01,22778.0,2018-11-01,10422.88133557773
2018-02-01,18500.0,2018-12-01,6104.279374673874
2018-03-01,22191.0,2019-01-01,4329.20017011233
2018-04-01,22329.0,2019-02-01,3359.3669462246867
2018-05-01,21231.0,2019-03-01,2747.3143930914703
2018-06-01,17706.0,2019-04-01,2325.52316171222
2018-07-01,13910.0,2019-05-01,2017.0230513770082
2018-08-01,11915.0,2019-06-01,1781.467892464366
2018-09-01,10709.0,2019-07-01,1595.6567535036595
2018-10-01,9610.0,2019-08-01,1445.2958534496618
2018-11-01,10486.0,2019-09-01,1321.095715126726
2018-12-01,5905.0,2019-10-01,1216.7559124285194
2019-01-01,4386.0,2019-11-01,1127.8514992302298
2019-02-01,2830.0,2019-12-01,1051.1829720859105
2019-03-01,3023.0,2020-01-01,984.3791946856511
2019-04-01,2587.0,2020-02-01,925.6453961994824
2019-05-01,2215.0,2020-03-01,873.5979349010373
2019-06-01,1945.0,2020-04-01,827.1528539768581
2019-07-01,1614.0,2020-05-01,785.4488432426626
2019-08-01,1572.0,2020-06-01,747.7928163048114
2019-09-01,1603.0,2020-07-01,713.620716048701
2019-10-01,1320.0,2020-08-01,682.4687967690452
2019-11-01,1101.0,2020-09-01,653.9522538881879
2019-12-01,1016.0,2020-10-01,627.7490968630096
2020-01-01,929.0,2020-11-01,603.5878228194006
2020-02-01,789.0,2020-12-01,581.2378849636982
2020-03-01,975.0,2021-01-01,560.5022431083204
2020-04-01,813.0,2021-02-01,541.211484100217
2020-05-01,831.0,2021-03-01,523.2191391033059
2020-06-01,905.0,2021-04-01,506.3979227007647
2020-07-01,782.0,2021-05-01,490.6366887408377
2020-08-01,741.0,2021-06-01,475.83794840097016
2020-09-01,660.0,2021-07-01,461.915832893485
2020-10-01,518.0,2021-08-01,448.7944105314231
2020-11-01,627.0,2021-09-01,436.40628823916865
2020-12-01,455.0,2021-10-01,424.69144293043433
2021-01-01,591.0,2021-11-01,413.5962398288057
2021-02-01,117.0,2021-12-01,403.0726037318206
2021-03-01,686.0,2022-01-01,393.0773161096815
2021-04-01,437.0,2022-02-01,383.57141628735957
2021-05-01,449.0,2022-03-01,374.5196891537077
2021-06-01,377.0,2022-04-01,365.89022514711286
2021-07-01,250.0,2022-05-01,357.6540408887347
2021-08-01,282.0,2022-06-01,349.78475092540555
2021-09-01,538.0,2022-07-01,342.2582827214922
2021-10-01,732.0,2022-08-01,335.0526283914905
2021-11-01,217.0,2022-09-01,328.14762776125
2021-12-01,315.0,2022-10-01,321.5247782383904
2022-01-01,511.0,2022-11-01,315.1670677027967
2022-02-01,276.0,2022-12-01,309.0588272282332
2022-03-01,300.0,2023-01-01,303.1856009413703
2022-04-01,471.0,2023-02-01,297.5340307348727
2022-05-01,245.0,2023-03-01,292.09175389251726
2022-06-01,196.0,2023-04-01,286.8473119692688
2022-07-01,243.0,2023-05-01,281.79006950799544
2022-08-01,257.0,2023-06-01,276.91014137523285
2022-09-01,253.0,2023-07-01,272.1983276677224
2022-10-01,256.0,2023-08-01,267.6460552847199
2022-11-01,239.0,2023-09-01,263.2453253826815
2022-12-01,404.0,2023-10-01,258.9886660324528
2023-01-01,225.0,2023-11-01,254.86908948746674
2023-02-01,182.0,2023-12-01,250.8800535471133
2023-03-01,221.0,2024-01-01,247.0154265643802
2023-04-01,240.0,2024-02-01,243.26945570274714
2023-05-01,159.0,2024-03-01,239.63673809552134
2023-06-01,200.0,2024-04-01,236.11219460248788
2023-07-01,196.0,2024-05-01,232.69104589488072
2023-08-01,200.0,2024-06-01,229.3687906310652
2023-09-01,172.0,2024-07-01,226.14118551264767
2023-10-01,193.0,2024-08-01,223.0042270345676
2023-11-01,246.0,2024-09-01,219.95413476356555
2023-12-01,184.0,2024-10-01,216.98733599767783
2024-01-01,187.0,2024-11-01,214.1004516754263
2024-02-01,222.0,2024-12-01,211.29028341746255
2024-03-01,228.0,2025-01-01,208.5538015958314
2024-04-01,604.0,2025-02-01,205.88813433697302
2024-05-01,690.0,2025-03-01,203.29055737425807
2024-06-01,188.0,2025-04-01,200.7584846744259
2024-07-01,233.0,2025-05-01,198.28945976989442
2024-08-01,161.0,2025-06-01,195.88114773566357
,,2025-07-01,193.53132775554212
,,2025-08-01,191.23788622777968
,,2025-09-01,188.99881036496294
,,2025-10-01,186.81218224730193
,,2025-11-01,184.67617329225317
,,2025-12-01,182.58903910684703
,,2026-01-01,180.54911469215898
,,2026-02-01,178.55480997212197
,,2026-03-01,176.60460562135913
,,2026-04-01,174.69704916895168
,,2026-05-01,172.83075135707082
,,2026-06-01,171.00438273522462
,,2026-07-01,169.2166704725127
,,2026-08-01,167.4663953717714
,,2026-09-01,165.75238907084048
,,2026-10-01,164.07353141740376
,,2026-11-01,162.4287480049667
,,2026-12-01,160.81700785854235
,,2027-01-01,159.23732125953464
,,2027-02-01,157.6887377001431
,,2027-03-01,156.17034395837447
,,2027-04-01,154.68126228544196
,,2027-05-01,153.2206486979661
,,2027-06-01,151.78769136797197
,,2027-07-01,150.3816091042072
,,2027-08-01,149.00164991879137
,,2027-09-01,147.6470896736515
,,2027-10-01,146.31723080160748
,,2027-11-01,145.0114010973456
,,2027-12-01,143.72895257386202
,,2028-01-01,142.46926038027465
,,2028-02-01,141.23172177719417
,,2028-03-01,140.0157551661108
,,2028-04-01,138.82079916950278
,,2028-05-01,137.64631175859873
,,2028-06-01,136.49176942593706
,,2028-07-01,135.35666640005957
,,2028-08-01,134.2405138998558
,,2028-09-01,133.14283942624115
,,2028-10-01,132.06318608900403
,,2028-11-01,131.00111196680106
,,2028-12-01,129.95618949841048
,,2029-01-01,128.92800490347574
,,2029-02-01,127.9161576310852
,,2029-03-01,126.92025983463868
,,2029-04-01,125.9399358715501
,,2029-05-01,124.97482182642518
,,2029-06-01,124.02456505643889
,,2029-07-01,123.08882375771515
,,2029-08-01,122.16726655158506
,,2029-09-01,121.2595720896678
,,2029-10-01,120.36542867678236
,,2029-11-01,119.48453391075711
,,2029-12-01,118.61659433826007
,,2030-01-01,117.76132512582397
,,2030-02-01,116.9184497452892
,,2030-03-01,116.08769967293179
,,2030-04-01,115.26881410158694
,,2030-05-01,114.46153966511727
,,2030-06-01,113.6656301746124
,,2030-07-01,112.88084636574077
,,2030-08-01,112.10695565670741
,,2030-09-01,111.34373191630134
,,2030-10-01,110.59095524154515
,,2030-11-01,109.84841174448593
,,2030-12-01,109.11589334769184
,,2031-01-01,108.39319758804207
,,2031-02-01,107.68012742842039
,,2031-03-01,106.97649107694312
,,2031-04-01,106.28210181337182
,,2031-05-01,105.59677782237965
,,2031-06-01,104.92034203335757
,,2031-07-01,104.2526219664631
,,2031-08-01,103.59344958462898
,,2031-09-01,102.94266115126484
,,2031-10-01,102.30009709339717
,,2031-11-01,101.66560187000708
,,2031-12-01,101.03902384533644
,,2032-01-01,100.42021516694537
,,2032-02-01,99.80903164831365
,,2032-03-01,99.20533265579063
,,2032-04-01,98.6089809997057
,,2032-05-01,98.01984282946253
,,2032-06-01,97.4377875324476
,,2032-07-01,96.86268763659193
,,2032-08-01,96.29441871643328
,,2032-09-01,95.73285930253255
,,2032-10-01,95.17789079410552
,,2032-11-01,94.62939737473752
,,2032-12-01,94.08726593105472
