t,q,t_model,q_model
2008-11-01,623.0,2009-01-01,4535.634864207473
2008-12-01,4902.0,2009-02-01,3694.0495358367134
2009-01-01,4716.0,2009-03-01,3185.3279785552913
2009-02-01,3467.0,2009-04-01,2836.381828752686
2009-03-01,3130.0,2009-05-01,2578.366321761198
2009-04-01,2702.0,2009-06-01,2377.815673280545
2009-05-01,2632.0,2009-07-01,2216.26862172414
2009-06-01,1617.0,2009-08-01,2082.606429451642
2009-07-01,2767.0,2009-09-01,1969.6843385605569
2009-08-01,2108.0,2009-10-01,1872.676363716436
2009-09-01,1986.0,2009-11-01,1788.190901021548
2009-10-01,1937.0,2009-12-01,1713.7661536988035
2009-11-01,1864.0,2010-01-01,1647.5666244745519
2009-12-01,1683.0,2010-02-01,1588.1924179960172
2010-01-01,1769.0,2010-03-01,1534.5549579104804
2010-02-01,1562.0,2010-04-01,1485.7934236098029
2010-03-01,1660.0,2010-05-01,1441.217034211264
2010-04-01,1508.0,2010-06-01,1400.2642394865818
2010-05-01,1490.0,2010-07-01,1362.473263985198
2010-06-01,1416.0,2010-08-01,1327.4604535473095
2010-07-01,1393.0,2010-09-01,1294.9040954557274
2010-08-01,1387.0,2010-10-01,1264.5321499141994
2010-09-01,1349.0,2010-11-01,1236.1128231975392
2010-10-01,1344.0,2010-12-01,1209.4472365673948
2010-11-01,1377.0,2011-01-01,1184.3636620867342
2010-12-01,1354.0,2011-02-01,1160.7129446292513
2011-01-01,950.0,2011-03-01,1138.364832210526
2011-02-01,1092.0,2011-04-01,1117.2050092252102
2011-03-01,1259.0,2011-05-01,1097.1326789462307
2011-04-01,1323.0,2011-06-01,1078.058579111984
2011-05-01,1199.0,2011-07-01,1059.9033418711606
2011-06-01,1186.0,2011-08-01,1042.5961296783178
2011-07-01,766.0,2011-09-01,1026.073493939475
2011-08-01,953.0,2011-10-01,1010.2784146941186
2011-09-01,967.0,2011-11-01,995.1594883759079
2011-10-01,1006.0,2011-12-01,980.6702374248609
2011-11-01,950.0,2012-01-01,966.7685207385218
2011-12-01,1018.0,2012-02-01,953.4160280200515
2012-01-01,1107.0,2012-03-01,940.5778442809118
2012-02-01,906.0,2012-04-01,928.2220732877288
2012-03-01,1027.0,2012-05-01,916.3195107590932
2012-04-01,948.0,2012-06-01,904.8433597330559
2012-05-01,937.0,2012-07-01,893.7689818270884
2012-06-01,877.0,2012-08-01,883.0736791659502
2012-07-01,918.0,2012-09-01,872.7365026106502
2012-08-01,939.0,2012-10-01,862.738082623321
2012-09-01,895.0,2012-11-01,853.0604796794306
2012-10-01,860.0,2012-12-01,843.6870516147169
2012-11-01,875.0,2013-01-01,834.6023356887756
2012-12-01,925.0,2013-02-01,825.7919434756108
2013-01-01,908.0,2013-03-01,817.2424669658373
2013-02-01,771.0,2013-04-01,808.9413944953264
2013-03-01,823.0,2013-05-01,800.8770353087509
2013-04-01,863.0,2013-06-01,793.0384517300389
2013-05-01,836.0,2013-07-01,785.4153980503322
2013-06-01,842.0,2013-08-01,777.9982653618304
2013-07-01,879.0,2013-09-01,770.7780316663308
2013-08-01,863.0,2013-10-01,763.7462166731519
2013-09-01,771.0,2013-11-01,756.8948407747586
2013-10-01,735.0,2013-12-01,750.2163877517253
2013-11-01,319.0,2014-01-01,743.7037708132616
2013-12-01,681.0,2014-02-01,737.3503016266943
2014-01-01,985.0,2014-03-01,731.149662030184
2014-02-01,798.0,2014-04-01,725.0958781584477
2014-03-01,936.0,2014-05-01,719.1832967421628
2014-04-01,790.0,2014-06-01,713.4065633686862
2014-05-01,655.0,2014-07-01,707.7606025152911
2014-06-01,689.0,2014-08-01,702.2405991867754
2014-07-01,795.0,2014-09-01,696.8419820074221
2014-08-01,731.0,2014-10-01,691.5604076332364
2014-09-01,684.0,2014-11-01,686.3917463644431
2014-10-01,740.0,2014-12-01,681.3320688506235
2014-11-01,680.0,2015-01-01,676.377633791859
2014-12-01,604.0,2015-02-01,671.5248765489596
2015-01-01,687.0,2015-03-01,666.7703985844934
2015-02-01,599.0,2015-04-01,662.1109576640008
2015-03-01,674.0,2015-05-01,657.5434587536116
2015-04-01,651.0,2015-06-01,653.0649455563718
2015-05-01,687.0,2015-07-01,648.6725926350321
2015-06-01,530.0,2015-08-01,644.3636980739141
2015-07-01,700.0,2015-09-01,640.1356766368322
2015-08-01,593.0,2015-10-01,635.9860533819601
2015-09-01,602.0,2015-11-01,631.912457698042
2015-10-01,611.0,2015-12-01,627.9126177295109
2015-11-01,601.0,2016-01-01,623.9843551609213
2015-12-01,605.0,2016-02-01,620.12558033367
2016-01-01,650.0,2016-03-01,616.3342876702945
2016-02-01,568.0,2016-04-01,612.6085513837373
2016-03-01,599.0,2016-05-01,608.9465214508529
2016-04-01,581.0,2016-06-01,605.3464198311607
2016-05-01,577.0,2016-07-01,601.8065369133989
2016-06-01,558.0,2016-08-01,598.325228173851
2016-07-01,559.0,2016-09-01,594.9009110317044
2016-08-01,596.0,2016-10-01,591.5320618878698
2016-09-01,583.0,2016-11-01,588.2172133347565
2016-10-01,569.0,2016-12-01,584.9549515254735
2016-11-01,482.0,2017-01-01,581.7439136918092
2016-12-01,633.0,2017-02-01,578.5827858011598
2017-01-01,637.0,2017-03-01,575.4703003433124
2017-02-01,524.0,2017-04-01,572.4052342386731
2017-03-01,575.0,2017-05-01,569.3864068601471
2017-04-01,554.0,2017-06-01,566.4126781614543
2017-05-01,527.0,2017-07-01,563.4829469051828
2017-06-01,505.0,2017-08-01,560.5961489843637
2017-07-01,493.0,2017-09-01,557.7512558318004
2017-08-01,525.0,2017-10-01,554.9472729117788
2017-09-01,509.0,2017-11-01,552.1832382891756
2017-10-01,527.0,2017-12-01,549.4582212713125
2017-11-01,487.0,2018-01-01,546.7713211182341
2017-12-01,494.0,2018-02-01,544.1216658173745
2018-01-01,522.0,2018-03-01,541.5084109188518
2018-02-01,455.0,2018-04-01,538.93073842788
2018-03-01,484.0,2018-05-01,536.387855751021
2018-04-01,566.0,2018-06-01,533.8789946932143
2018-05-01,756.0,2018-07-01,531.403410502718
2018-06-01,609.0,2018-08-01,528.9603809612864
2018-07-01,627.0,2018-09-01,526.5492055170714
