t,q,t_model,q_model
2013-03-01,2000.0,2013-07-01,14591.067329680502
2013-04-01,23845.0,2013-08-01,11392.166622075401
2013-05-01,20345.0,2013-09-01,9155.00943263236
2013-06-01,17963.0,2013-10-01,7527.042671468074
2013-07-01,14850.0,2013-11-01,6304.16233428369
2013-08-01,11179.0,2013-12-01,5361.407087933049
2013-09-01,8099.0,2014-01-01,4618.714778481692
2013-10-01,8031.0,2014-02-01,4022.8222096792692
2013-11-01,6111.0,2014-03-01,3537.1527957291664
2013-12-01,6112.0,2014-04-01,3135.8988010915973
2014-01-01,4743.0,2014-05-01,2800.4190594784145
2014-02-01,4127.0,2014-06-01,2516.9705079394407
2014-03-01,4605.0,2014-07-01,2275.2368531042143
2014-04-01,3421.0,2014-08-01,2067.3491781183666
2014-05-01,3187.0,2014-09-01,1887.2188556036992
2014-06-01,3103.0,2014-10-01,1730.0737687582491
2014-07-01,2958.0,2014-11-01,1592.1298891638496
2014-08-01,2356.0,2014-12-01,1470.354809656305
2014-09-01,1745.0,2015-01-01,1362.2948987902041
2014-10-01,0.0,2015-02-01,1265.947210582769
2014-11-01,0.0,2015-03-01,1179.6633587392287
2014-12-01,0.0,2015-04-01,1102.0765395771134
2015-01-01,1367.0,2015-05-01,1032.0455350041243
2015-02-01,1041.0,2015-06-01,968.6113186419673
2015-03-01,769.0,2015-07-01,910.9631192621456
2015-04-01,693.0,2015-08-01,858.4116533667727
2015-05-01,729.0,2015-09-01,810.3678440117641
2015-06-01,636.0,2015-10-01,766.3257752596768
2015-07-01,627.0,2015-11-01,725.8489438691021
2015-08-01,627.0,2015-12-01,688.5590976968438
2015-09-01,639.0,2016-01-01,654.1271182343016
2015-10-01,759.0,2016-02-01,622.2655296236452
2015-11-01,594.0,2016-03-01,592.7223102312416
2015-12-01,662.0,2016-04-01,565.2757537604634
2016-01-01,678.0,2016-05-01,539.730180937971
2016-02-01,621.0,2016-06-01,515.9123443141534
2016-03-01,688.0,2016-07-01,493.6684008124023
2016-04-01,652.0,2016-08-01,472.86135164110976
2016-05-01,803.0,2016-09-01,453.36886874544325
2016-06-01,461.0,2016-10-01,435.0814423884551
2016-07-01,618.0,2016-11-01,417.90079666230497
2016-08-01,605.0,2016-12-01,401.7385294574473
2016-09-01,588.0,2017-01-01,386.5149412058335
2016-10-01,627.0,2017-02-01,372.1580229806721
2016-11-01,592.0,2017-03-01,358.6025796011422
2016-12-01,592.0,2017-04-01,345.7894675041563
2017-01-01,588.0,2017-05-01,333.664930500231
2017-02-01,607.0,2017-06-01,322.1800192780166
2017-03-01,351.0,2017-07-01,311.29008278100514
2017-04-01,479.0,2017-08-01,300.954321444358
2017-05-01,468.0,2017-09-01,291.1353938242141
2017-06-01,473.0,2017-10-01,281.79906943572996
2017-07-01,481.0,2017-11-01,272.9139216870335
2017-08-01,476.0,2017-12-01,264.4510556925047
2017-09-01,469.0,2018-01-01,256.3838665012112
2017-10-01,460.0,2018-02-01,248.6878239099098
2017-11-01,408.0,2018-03-01,241.34028056515126
2017-12-01,6.0,2018-04-01,234.32030051224734
2018-01-01,337.0,2018-05-01,227.60850573380043
2018-02-01,269.0,2018-06-01,221.18693854829337
2018-03-01,349.0,2018-07-01,215.03893801910948
2018-04-01,273.0,2018-08-01,209.1490287638906
2018-05-01,0.0,2018-09-01,203.50282075966396
2018-06-01,0.0,2018-10-01,198.08691891591462
2018-07-01,0.0,2018-11-01,192.88884134012605
2018-08-01,0.0,2018-12-01,187.89694535191458
2018-09-01,73.0,2019-01-01,183.1003604158145
2018-10-01,299.0,2019-02-01,178.4889272616038
2018-11-01,199.0,2019-03-01,174.05314254697288
2018-12-01,297.0,2019-04-01,169.7841084921653
2019-01-01,421.0,2019-05-01,165.6734869815147
2019-02-01,263.0,2019-06-01,161.71345768388662
2019-03-01,456.0,2019-07-01,157.8966797940301
2019-04-01,499.0,2019-08-01,154.21625704071022
2019-05-01,468.0,2019-09-01,150.66570564604245
2019-06-01,442.0,2019-10-01,147.23892495439128
2019-07-01,498.0,2019-11-01,143.93017047912022
2019-08-01,355.0,2019-12-01,140.73402914191126
2019-09-01,397.0,2020-01-01,137.64539650275003
2019-10-01,403.0,2020-02-01,134.65945579938335
2019-11-01,404.0,2020-03-01,131.77165863342998
2019-12-01,335.0,2020-04-01,128.97770715664834
2020-01-01,369.0,2020-05-01,126.27353762538954
2020-02-01,331.0,2020-06-01,123.65530520420259
2020-03-01,325.0,2020-07-01,121.11936991110181
2020-04-01,391.0,2020-08-01,118.66228360731739
2020-05-01,14.0,2020-09-01,116.28077794357272
2020-06-01,0.0,2020-10-01,113.97175318319012
2020-07-01,218.0,2020-11-01,111.7322678297328
2020-08-01,269.0,2020-12-01,109.5595289935374
2020-09-01,264.0,2021-01-01,107.4508834374657
2020-10-01,266.0,2021-02-01,105.40380924758081
2020-11-01,122.0,2021-03-01,103.41590807929315
2020-12-01,235.0,2021-04-01,101.48489793389052
2021-01-01,297.0,2021-05-01,99.60860642430579
2021-02-01,189.0,2021-06-01,97.78496449253952
2021-03-01,282.0,2021-07-01,96.01200054437619
2021-04-01,228.0,2021-08-01,94.28783496995084
2021-05-01,189.0,2021-09-01,92.61067502136734
2021-06-01,170.0,2021-10-01,90.97881002096946
2021-07-01,175.0,2021-11-01,89.39060687604481
2021-08-01,202.0,2021-12-01,87.84450587772248
2021-09-01,194.0,2022-01-01,86.33901676362792
2021-10-01,182.0,2022-02-01,84.87271502549905
2021-11-01,179.0,2022-03-01,83.44423844446435
2021-12-01,194.0,2022-04-01,82.05228383804759
2022-01-01,172.0,2022-05-01,80.6956040042102
2022-02-01,172.0,2022-06-01,79.37300484888009
2022-03-01,205.0,2022-07-01,78.08334268445793
2022-04-01,144.0,2022-08-01,76.8255216877436
2022-05-01,121.0,2022-09-01,75.59849150659929
2022-06-01,113.0,2022-10-01,74.40124500546494
2022-07-01,101.0,2022-11-01,73.23281614057689
2022-08-01,107.0,2022-12-01,72.09227795641306
2022-09-01,142.0,2023-01-01,70.97874069550812
2022-10-01,144.0,2023-02-01,69.89135001435059
2022-11-01,141.0,2023-03-01,68.82928529859839
2022-12-01,118.0,2023-04-01,67.79175807133002
2023-01-01,78.0,2023-05-01,66.77801048849469
2023-02-01,89.0,2023-06-01,65.78731391613213
2023-03-01,46.0,2023-07-01,64.81896758431274
2023-04-01,102.0,2023-08-01,63.872297313095714
2023-05-01,89.0,2023-09-01,62.94665430612606
2023-06-01,87.0,2023-10-01,62.04141400778917
2023-07-01,85.0,2023-11-01,61.15597502011634
2023-08-01,84.0,2023-12-01,60.28975807589044
2023-09-01,68.0,2024-01-01,59.44220506463632
2023-10-01,72.0,2024-02-01,58.612778108399986
2023-11-01,65.0,2024-03-01,57.80095868442226
2023-12-01,72.0,2024-04-01,57.00624679200233
2024-01-01,111.0,2024-05-01,56.22816016101959
2024-02-01,41.0,2024-06-01,55.46623349974544
2024-03-01,69.0,2024-07-01,54.72001777972732
2024-04-01,76.0,2024-08-01,53.989079555666315
2024-05-01,70.0,2024-09-01,53.27300031834178
2024-06-01,55.0,2024-10-01,52.57137587875577
2024-07-01,175.0,2024-11-01,51.88381578178471
2024-08-01,20.0,2024-12-01,51.20994274772962
2024-09-01,33.0,2025-01-01,50.549392140255335
2024-10-01,13.0,2025-02-01,49.90181145929988
,,2025-03-01,49.26685985762096
,,2025-04-01,48.64420767972612
,,2025-05-01,48.033536022007205
,,2025-06-01,47.434536312969925
,,2025-07-01,46.84690991251363
,,2025-08-01,46.27036772927783
,,2025-09-01,45.70462985512821
,,2025-10-01,45.149425215908764
,,2025-11-01,44.60449123763623
,,2025-12-01,44.06957352735958
,,2026-01-01,43.54442556795146
,,2026-02-01,43.028808426139214
,,2026-03-01,42.522490473122005
,,2026-04-01,42.02524711715617
,,2026-05-01,41.53686054752528
,,2026-06-01,41.05711948934352
,,2026-07-01,40.585818968669905
,,2026-08-01,40.12276008744035
,,2026-09-01,39.667749807749935
,,2026-10-01,39.220600745043484
,,2026-11-01,38.78113096979522
,,2026-12-01,38.34916381728112
,,2027-01-01,37.92452770506764
,,2027-02-01,37.50705595786058
,,2027-03-01,37.09658663937608
,,2027-04-01,36.692962390913
,,2027-05-01,36.29603027632278
,,2027-06-01,35.90564163308769
,,2027-07-01,35.521651929233734
,,2027-08-01,35.14392062581756
,,2027-09-01,34.77231104474018
,,2027-10-01,34.4066902416526
,,2027-11-01,34.046928883729635
,,2027-12-01,33.69290113209989
,,2028-01-01,33.34448452872953
,,2028-02-01,33.00155988756787
