t,q,t_model,q_model
2010-01-01,2418.0,2010-08-01,2108.294018456959
2010-02-01,2994.0,2010-09-01,1480.9261587547514
2010-03-01,3161.0,2010-10-01,1177.2544555513007
2010-04-01,2650.0,2010-11-01,992.9136070337661
2010-05-01,2227.0,2010-12-01,867.1219546939818
2010-06-01,1896.0,2011-01-01,774.8661869852402
2010-07-01,2296.0,2011-02-01,703.8049274198182
2010-08-01,2027.0,2011-03-01,647.0869876012381
2010-09-01,1641.0,2011-04-01,600.5782395306961
2010-10-01,1307.0,2011-05-01,561.6236774100292
2010-11-01,990.0,2011-06-01,528.4335985012048
2010-12-01,975.0,2011-07-01,499.75389697637445
2011-01-01,794.0,2011-08-01,474.6774171363263
2011-02-01,623.0,2011-09-01,452.53034003316424
2011-03-01,534.0,2011-10-01,432.8007908999815
2011-04-01,498.0,2011-11-01,415.09234235974924
2011-05-01,492.0,2011-12-01,399.09279076718553
2011-06-01,410.0,2012-01-01,384.5526262611335
2011-07-01,405.0,2012-02-01,371.26983949037776
2011-08-01,332.0,2012-03-01,359.07897902807974
2011-09-01,606.0,2012-04-01,347.84312608466576
2011-10-01,467.0,2012-05-01,337.4479125563445
2011-11-01,385.0,2012-06-01,327.796996612972
2011-12-01,416.0,2012-07-01,318.80859520935235
2012-01-01,331.0,2012-08-01,310.41279452701673
2012-02-01,42.0,2012-09-01,302.5494408245288
2012-03-01,114.0,2012-10-01,295.16646973660886
2012-04-01,422.0,2012-11-01,288.21857058098067
2012-05-01,469.0,2012-12-01,281.66610933907725
2012-06-01,371.0,2013-01-01,275.47425331889025
2012-07-01,446.0,2013-02-01,269.6122544870497
2012-08-01,358.0,2013-03-01,264.052858680114
2012-09-01,391.0,2013-04-01,258.77181546381826
2012-10-01,296.0,2013-05-01,253.7474690554945
2012-11-01,74.0,2013-06-01,248.9604149833649
2012-12-01,315.0,2013-07-01,244.39321039699223
2013-01-01,297.0,2013-08-01,240.03012842995187
2013-02-01,280.0,2013-09-01,235.85694893924565
2013-03-01,305.0,2013-10-01,231.86077944481463
2013-04-01,297.0,2013-11-01,228.02990126868832
2013-05-01,63.0,2013-12-01,224.35363680242992
2013-06-01,256.0,2014-01-01,220.822234570115
2013-07-01,254.0,2014-02-01,217.42676934469395
2013-08-01,206.0,2014-03-01,214.15905505055343
2013-09-01,272.0,2014-04-01,211.01156856911106
2013-10-01,272.0,2014-05-01,207.97738287635244
2013-11-01,306.0,2014-06-01,205.05010819606804
2013-12-01,247.0,2014-07-01,202.2238400616333
2014-01-01,192.0,2014-08-01,199.49311335147164
2014-02-01,227.0,2014-09-01,196.8528615059348
2014-03-01,164.0,2014-10-01,194.29838025181675
2014-04-01,74.0,2014-11-01,191.82529525955326
