t,q,t_model,q_model
1992-09-01,858.0,1993-03-01,17688.8835279663
1992-10-01,63446.0,1993-04-01,10780.557589306267
1992-11-01,68806.0,1993-05-01,8199.023380140321
1992-12-01,27581.0,1993-06-01,6779.201201944445
1993-01-01,19494.0,1993-07-01,5859.167943404153
1993-02-01,14706.0,1993-08-01,5205.247690296118
1993-03-01,16778.0,1993-09-01,4711.887114837489
1993-04-01,12740.0,1993-10-01,4323.773223659555
1993-05-01,10126.0,1993-11-01,4008.857565281927
1993-06-01,8146.0,1993-12-01,3747.167830311162
1993-07-01,6962.0,1994-01-01,3525.548257141411
1993-08-01,5478.0,1994-02-01,3334.946622558439
1993-09-01,4414.0,1994-03-01,3168.9105376548223
1993-10-01,5487.0,1994-04-01,3022.7047383760223
1993-11-01,4200.0,1994-05-01,2892.7679609562474
1993-12-01,3833.0,1994-06-01,2776.3653785573533
1994-01-01,3655.0,1994-07-01,2671.358652406896
1994-02-01,2883.0,1994-08-01,2576.049380520529
1994-03-01,2891.0,1994-09-01,2489.069832708025
1994-04-01,2608.0,1994-10-01,2409.305007211213
1994-05-01,2598.0,1994-11-01,2335.835947105515
1994-06-01,2305.0,1994-12-01,2267.897802772065
1994-07-01,2023.0,1995-01-01,2204.8483221552933
1994-08-01,2178.0,1995-02-01,2146.1438443581396
1994-09-01,1822.0,1995-03-01,2091.3207777302014
1994-10-01,1814.0,1995-04-01,2039.9811443740969
1994-11-01,1610.0,1995-05-01,1991.7811791380122
1994-12-01,1544.0,1995-06-01,1946.4222504931747
1995-01-01,1495.0,1995-07-01,1903.6435658560486
1995-02-01,1475.0,1995-08-01,1863.21626225402
1995-03-01,1397.0,1995-09-01,1824.9385826093535
1995-04-01,1257.0,1995-10-01,1788.631910188173
1995-05-01,1290.0,1995-11-01,1754.1374869256283
1995-06-01,1140.0,1995-12-01,1721.3136808650245
1995-07-01,1105.0,1996-01-01,1690.0336976286399
1995-08-01,1099.0,1996-02-01,1660.1836533317373
1995-09-01,1019.0,1996-03-01,1631.6609435474768
1995-10-01,1007.0,1996-04-01,1604.3728561843297
1995-11-01,929.0,1996-05-01,1578.235386431637
1995-12-01,919.0,1996-06-01,1553.1722199821193
1996-01-01,993.0,1996-07-01,1529.1138570834091
1996-02-01,981.0,1996-08-01,1505.996854999425
1996-03-01,963.0,1996-09-01,1483.763170473515
1996-04-01,808.0,1996-10-01,1462.3595870032639
1996-05-01,865.0,1996-11-01,1441.7372143328244
1996-06-01,774.0,1996-12-01,1421.8510496737613
1996-07-01,625.0,1997-01-01,1402.6595918810795
1996-08-01,701.0,1997-02-01,1384.1245012160207
1996-09-01,707.0,1997-03-01,1366.2102984829005
1996-10-01,782.0,1997-04-01,1348.8840982820407
1996-11-01,709.0,1997-05-01,1332.1153719129602
1996-12-01,600.0,1997-06-01,1315.8757361217254
1997-01-01,431.0,1997-07-01,1300.1387644379547
1997-02-01,478.0,1997-08-01,1284.8798183098477
1997-03-01,774.0,1997-09-01,1270.0758956353593
1997-04-01,791.0,1997-10-01,1255.7054946169785
1997-05-01,742.0,1997-11-01,1241.7484911467077
1997-06-01,584.0,1997-12-01,1228.186028165214
1997-07-01,571.0,1998-01-01,1215.0004156415418
1997-08-01,610.0,1998-02-01,1202.175039992938
1997-09-01,0.0,1998-03-01,1189.6942819128362
1997-10-01,446.0,1998-04-01,1177.543441702774
1997-11-01,459.0,1998-05-01,1165.7086713141346
1997-12-01,500.0,1998-06-01,1154.1769124008026
1998-01-01,510.0,1998-07-01,1142.9358397663086
1998-02-01,449.0,1998-08-01,1131.97380966068
1998-03-01,410.0,1998-09-01,1121.279812444579
1998-04-01,518.0,1998-10-01,1110.843429192722
1998-05-01,512.0,1998-11-01,1100.6547918561441
1998-06-01,474.0,1998-12-01,1090.704546644546
1998-07-01,383.0,1999-01-01,1080.9838203265494
1998-08-01,403.0,1999-02-01,1071.484189177859
1998-09-01,332.0,1999-03-01,1062.1976503356964
1998-10-01,419.0,1999-04-01,1053.1165953428908
1998-11-01,412.0,1999-05-01,1044.2337856871616
1998-12-01,200.0,1999-06-01,1035.5423301607354
1999-01-01,343.0,1999-07-01,1027.0356638828523
1999-02-01,208.0,1999-08-01,1018.7075288431754
1999-03-01,193.0,1999-09-01,1010.5519558379048
1999-04-01,256.0,1999-10-01,1002.5632476826696
1999-05-01,276.0,1999-11-01,994.7359635972404
1999-06-01,245.0,1999-12-01,987.0649046669121
1999-07-01,253.0,2000-01-01,979.5451002941953
1999-08-01,49.0,2000-02-01,972.1717955623229
1999-09-01,296.0,2000-03-01,964.9404394391623
1999-10-01,117.0,2000-04-01,957.8466737564803
1999-11-01,47.0,2000-05-01,950.886322905235
1999-12-01,707.0,2000-06-01,944.0553841927383
2000-01-01,485.0,2000-07-01,937.3500188121858
2000-02-01,367.0,2000-08-01,930.766543379274
2000-03-01,410.0,2000-09-01,924.3014219944251
2000-04-01,287.0,2000-10-01,917.9512587926023
2000-05-01,323.0,2000-11-01,911.7127909458212
2000-06-01,253.0,2000-12-01,905.582882086314
2000-07-01,204.0,2001-01-01,899.5585161208779
2000-08-01,210.0,2001-02-01,893.6367914092953
2000-09-01,215.0,2001-03-01,887.8149152818532
2000-10-01,271.0,2001-04-01,882.090198872938
2000-11-01,175.0,2001-05-01,876.4600522494633
2000-12-01,158.0,2001-06-01,870.9219798145176
2001-01-01,186.0,2001-07-01,865.473575968102
2001-02-01,174.0,2001-08-01,860.1125210081891
2001-03-01,170.0,2001-09-01,854.8365772565849
2001-04-01,205.0,2001-10-01,849.6435853952107
2001-05-01,227.0,2001-11-01,844.5314609994788
2001-06-01,50.0,2001-12-01,839.4981912563901
2001-07-01,200.0,2002-01-01,834.5418318558729
2001-08-01,164.0,2002-02-01,829.6605040446943
2001-09-01,213.0,2002-03-01,824.8523918330216
2001-10-01,193.0,2002-04-01,820.1157393444065
2001-11-01,208.0,2002-05-01,815.448848300597
2001-12-01,285.0,2002-06-01,810.8500756331732
2002-01-01,301.0,2002-07-01,806.317831214541
2002-02-01,244.0,2002-08-01,801.8505757013206
2002-03-01,236.0,2002-09-01,797.4468184836343
2002-04-01,245.0,2002-10-01,793.1051157342177
2002-05-01,185.0,2002-11-01,788.8240685516854
2002-06-01,191.0,2002-12-01,784.6023211926422
2002-07-01,215.0,2003-01-01,780.438559387677
