t,q,t_model,q_model
2015-06-01,282.0,2015-07-01,5257.552070898127
2015-07-01,5258.0,2015-08-01,1143.170211188671
2015-08-01,1148.0,2015-09-01,879.6284571658533
2015-09-01,205.0,2015-10-01,753.9358094091222
2015-10-01,764.0,2015-11-01,675.6363104470145
2015-11-01,1911.0,2015-12-01,620.481850827118
2015-12-01,0.0,2016-01-01,578.7452243885784
2016-01-01,1738.0,2016-02-01,545.63812154639
2016-02-01,2.0,2016-03-01,518.4838545097211
2016-03-01,228.0,2016-04-01,495.64931950264366
2016-04-01,541.0,2016-05-01,476.0720811516209
2016-05-01,484.0,2016-06-01,459.0261007089721
2016-06-01,225.0,2016-07-01,443.99550380499966
2016-07-01,485.0,2016-08-01,430.601952481584
2016-08-01,32.0,2016-09-01,418.56059687424215
2016-09-01,52.0,2016-10-01,407.65217660573586
2016-10-01,223.0,2016-11-01,397.70469725251706
2016-11-01,10.0,2016-12-01,388.58101804643553
2016-12-01,2.0,2017-01-01,380.1702170846668
2017-01-01,0.0,2017-02-01,372.38144361434223
2017-02-01,0.0,2017-03-01,365.13945100471346
2017-03-01,0.0,2017-04-01,358.38129185094647
2017-04-01,702.0,2017-05-01,352.05383319907327
2017-05-01,698.0,2017-06-01,346.11186118211566
2017-06-01,414.0,2017-07-01,340.5166162642174
2017-07-01,267.0,2017-08-01,335.23464777800285
2017-08-01,191.0,2017-09-01,330.2369084309317
2017-09-01,312.0,2017-10-01,325.4980313984424
2017-10-01,708.0,2017-11-01,320.9957479206466
2017-11-01,650.0,2017-12-01,316.7104141480443
2017-12-01,1420.0,2018-01-01,312.62462375301595
2018-01-01,1401.0,2018-02-01,308.722888472488
2018-02-01,503.0,2018-03-01,304.99137290166647
2018-03-01,1554.0,2018-04-01,301.4176729479357
2018-04-01,2120.0,2018-05-01,297.9906296746184
2018-05-01,371.0,2018-06-01,294.7001720241645
2018-06-01,87.0,2018-07-01,291.5371832568966
2018-07-01,74.0,2018-08-01,288.4933869803657
2018-08-01,111.0,2018-09-01,285.5612494522585
2018-09-01,0.0,2018-10-01,282.7338954726576
2018-10-01,60.0,2018-11-01,280.00503568067217
2018-11-01,165.0,2018-12-01,277.3689034668351
2018-12-01,607.0,2019-01-01,274.8202000293542
2019-01-01,1533.0,2019-02-01,272.3540463568156
2019-02-01,247.0,2019-03-01,269.9659411256209
2019-03-01,45.0,2019-04-01,267.65172366754985
2019-04-01,245.0,2019-05-01,265.4075412992935
2019-05-01,362.0,2019-06-01,263.22982041775845
2019-06-01,50.0,2019-07-01,261.1152408572271
2019-07-01,50.0,2019-08-01,259.06071308085154
2019-08-01,24.0,2019-09-01,257.06335784247
2019-09-01,60.0,2019-10-01,255.12048800774207
2019-10-01,0.0,2019-11-01,253.22959226801183
2019-11-01,19.0,2019-12-01,251.38832051765652
2019-12-01,9.0,2020-01-01,249.59447069719582
2020-01-01,110.0,2020-02-01,247.84597693112286
2020-02-01,0.0,2020-03-01,246.14089881209173
2020-03-01,28.0,2020-04-01,244.47741170241184
2020-04-01,87.0,2020-05-01,242.85379794031405
2020-05-01,161.0,2020-06-01,241.26843885260655
2020-06-01,557.0,2020-07-01,239.71980748750505
2020-07-01,909.0,2020-08-01,238.20646199190847
2020-08-01,453.0,2020-09-01,236.7270395664521
2020-09-01,390.0,2020-10-01,235.2802509395218
2020-10-01,169.0,2020-11-01,233.86487530822754
2020-11-01,322.0,2020-12-01,232.4797557002704
2020-12-01,26.0,2021-01-01,231.1237947158126
2021-01-01,50.0,2021-02-01,229.79595061298645
2021-02-01,80.0,2021-03-01,228.4952337046434
2021-03-01,373.0,2021-04-01,227.22070303742677
2021-04-01,312.0,2021-05-01,225.9714633273143
2021-05-01,182.0,2021-06-01,224.7466621284759
2021-06-01,0.0,2021-07-01,223.54548721467702
2021-07-01,167.0,2021-08-01,222.36716415456692
2021-08-01,49.0,2021-09-01,221.21095406406022
2021-09-01,36.0,2021-10-01,220.07615152067993
2021-10-01,10.0,2021-11-01,218.96208262620587
2021-11-01,73.0,2021-12-01,217.86810320528696
2021-12-01,261.0,2022-01-01,216.7935971288478
2022-01-01,78.0,2022-02-01,215.7379747521695
2022-02-01,52.0,2022-03-01,214.70067145845957
2022-03-01,14.0,2022-04-01,213.68114629956892
2022-04-01,13.0,2022-05-01,212.67888072626508
2022-05-01,70.0,2022-06-01,211.69337740115031
2022-06-01,28.0,2022-07-01,210.7241590879228
2022-07-01,42.0,2022-08-01,209.77076761122615
2022-08-01,695.0,2022-09-01,208.8327628818321
2022-09-01,132.0,2022-10-01,207.90972198234482
2022-10-01,34.0,2022-11-01,207.001238309023
2022-11-01,57.0,2022-12-01,206.10692076568122
2022-12-01,25.0,2023-01-01,205.2263930059651
2023-01-01,17.0,2023-02-01,204.3592927205952
2023-02-01,5.0,2023-03-01,203.50527096645075
2023-03-01,161.0,2023-04-01,202.66399153461137
2023-04-01,70.0,2023-05-01,201.8351303547036
2023-05-01,91.0,2023-06-01,201.0183749331049
2023-06-01,110.0,2023-07-01,200.21342382274713
2023-07-01,387.0,2023-08-01,199.4199861224338
2023-08-01,334.0,2023-09-01,198.63778100374267
2023-09-01,67.0,2023-10-01,197.8665372637303
2023-10-01,55.0,2023-11-01,197.10599290178584
2023-11-01,142.0,2023-12-01,196.35589471910438
2023-12-01,154.0,2024-01-01,195.61599793935943
2024-01-01,72.0,2024-02-01,194.88606584925748
2024-02-01,151.0,2024-03-01,194.16586945775057
2024-03-01,89.0,2024-04-01,193.45518717276963
2024-04-01,194.0,2024-05-01,192.75380449442042
2024-05-01,330.0,2024-06-01,192.06151372365755
2024-06-01,195.0,2024-07-01,191.37811368551868
2024-07-01,186.0,2024-08-01,190.7034094660648
2024-08-01,88.0,2024-09-01,190.03721216222823
,,2024-10-01,189.37933864382458
,,2024-11-01,188.72961132703375
,,2024-12-01,188.0878579586998
,,2025-01-01,187.45391141084286
,,2025-02-01,186.82760948481473
,,2025-03-01,186.208794724566
,,2025-04-01,185.5973142385261
,,2025-05-01,184.9930195296302
,,2025-06-01,184.39576633305344
,,2025-07-01,183.80541446124272
,,2025-08-01,183.2218276558594
,,2025-09-01,182.64487344627105
,,2025-10-01,182.07442301425078
,,2025-11-01,181.51035106456473
,,2025-12-01,180.95253570114562
,,2026-01-01,180.40085830856907
,,2026-02-01,179.85520343856552
,,2026-03-01,179.3154587013159
,,2026-04-01,178.78151466129393
,,2026-05-01,178.25326473743135
,,2026-06-01,177.73060510739464
,,2026-07-01,177.21343461577462
,,2026-08-01,176.70165468599973
,,2026-09-01,176.1951692357964
,,2026-10-01,175.6938845960274
,,2026-11-01,175.19770943274983
,,2026-12-01,174.70655467234232
,,2027-01-01,174.22033342955913
,,2027-02-01,173.7389609383764
,,2027-03-01,173.26235448550327
,,2027-04-01,172.7904333464363
,,2027-05-01,172.32311872394357
,,2027-06-01,171.8603336888689
,,2027-07-01,171.40200312315392
,,2027-08-01,170.94805366497926
,,2027-09-01,170.498413655933
,,2027-10-01,170.0530130901174
,,2027-11-01,169.6117835651105
,,2027-12-01,169.1746582347031
,,2028-01-01,168.74157176333486
,,2028-02-01,168.3124602821584
,,2028-03-01,167.88726134666206
,,2028-04-01,167.46591389578663
,,2028-05-01,167.04835821247403
,,2028-06-01,166.63453588558855
,,2028-07-01,166.22438977315494
,,2028-08-01,165.81786396685874
,,2028-09-01,165.414903757759
,,2028-10-01,165.0154556031636
,,2028-11-01,164.61946709462114
,,2028-12-01,164.2268869269853
,,2029-01-01,163.83766486850848
,,2029-02-01,163.45175173192555
,,2029-03-01,163.0690993464881
,,2029-04-01,162.6896605309124
,,2029-05-01,162.31338906720708
,,2029-06-01,161.940239675345
,,2029-07-01,161.57016798874872
,,2029-08-01,161.20313053055787
,,2029-09-01,160.83908469064963
,,2029-10-01,160.4779887033836
,,2029-11-01,160.11980162604448
,,2029-12-01,159.76448331795672
,,2030-01-01,159.41199442024637
,,2030-02-01,159.06229633622664
,,2030-03-01,158.71535121238418
,,2030-04-01,158.3711219199447
,,2030-05-01,158.02957203699708
,,2030-06-01,157.69066583115594
,,2030-07-01,157.35436824274342
,,2030-08-01,157.02064486847206
,,2030-09-01,156.68946194561124
,,2030-10-01,156.36078633661992
,,2030-11-01,156.0345855142296
,,2030-12-01,155.7108275469625
,,2031-01-01,155.38948108506892
,,2031-02-01,155.07051534687062
,,2031-03-01,154.7539001054954
,,2031-04-01,154.43960567599035
,,2031-05-01,154.12760290280087
,,2031-06-01,153.81786314760274
,,2031-07-01,153.5103582774763
,,2031-08-01,153.20506065341075
,,2031-09-01,152.90194311912794
,,2031-10-01,152.60097899021517
,,2031-11-01,152.30214204355698
,,2031-12-01,152.00540650705605
,,2032-01-01,151.71074704963408
,,2032-02-01,151.4181387715034
,,2032-03-01,151.127557194701
,,2032-04-01,150.83897825387643
,,2032-05-01,150.55237828732533
,,2032-06-01,150.26773402826134
,,2032-07-01,149.9850225963186
,,2032-08-01,149.70422148927756
,,2032-09-01,149.4253085750076
,,2032-10-01,149.14826208361904
,,2032-11-01,148.87306059981915
,,2032-12-01,148.59968305546482
