t,q,t_model,q_model
2015-09-01,6437.0,2015-11-01,13099.221741050796
2015-10-01,13584.0,2015-12-01,9469.553198912827
2015-11-01,13403.0,2016-01-01,7521.90380990484
2015-12-01,9178.0,2016-02-01,6291.467293368939
2016-01-01,7506.0,2016-03-01,5437.05238760171
2016-02-01,5664.0,2016-04-01,4805.81262301949
2016-03-01,4709.0,2016-05-01,4318.547204970763
2016-04-01,3408.0,2016-06-01,3929.915101000086
2016-05-01,4298.0,2016-07-01,3611.996796125991
2016-06-01,3598.0,2016-08-01,3346.614411307266
2016-07-01,4222.0,2016-09-01,3121.398912310065
2016-08-01,4468.0,2016-10-01,2927.627102502264
2016-09-01,5118.0,2016-11-01,2758.9618373790454
2016-10-01,4064.0,2016-12-01,2610.682940391608
2016-11-01,1584.0,2017-01-01,2479.1988229922586
2016-12-01,4773.0,2017-02-01,2361.7257979623914
2017-01-01,3457.0,2017-03-01,2256.071348858709
2017-02-01,2509.0,2017-04-01,2160.483936300502
2017-03-01,2360.0,2017-05-01,2073.546595504572
2017-04-01,1869.0,2017-06-01,1994.1000718358641
2017-05-01,2293.0,2017-07-01,1921.1863195833143
2017-06-01,1991.0,2017-08-01,1854.006315307947
2017-07-01,1496.0,2017-09-01,1791.8881117885949
2017-08-01,1907.0,2017-10-01,1734.262335159909
2017-09-01,1792.0,2017-11-01,1680.6431705358673
2017-10-01,1511.0,2017-12-01,1630.613448353483
2017-11-01,1843.0,2018-01-01,1583.8128317449186
2017-12-01,1652.0,2018-02-01,1539.9283751223545
2018-01-01,1499.0,2018-03-01,1498.686914588901
2018-02-01,1327.0,2018-04-01,1459.8488869734542
2018-03-01,1485.0,2018-05-01,1423.203272895867
2018-04-01,1389.0,2018-06-01,1388.5634314964188
2018-05-01,1366.0,2018-07-01,1355.7636479382236
2018-06-01,1148.0,2018-08-01,1324.6562547797757
2018-07-01,1322.0,2018-09-01,1295.1092184994811
2018-08-01,1126.0,2018-10-01,1267.0041054388919
2018-09-01,2350.0,2018-11-01,1240.234359078536
2018-10-01,1511.0,2018-12-01,1214.703834214587
2018-11-01,1186.0,2019-01-01,1190.325544247029
2018-12-01,1141.0,2019-02-01,1167.0205861422435
2019-01-01,1048.0,2019-03-01,1144.7172142307563
2019-02-01,948.0,2019-04-01,1123.350039245146
2019-03-01,1006.0,2019-05-01,1102.8593331959535
2019-04-01,1012.0,2019-06-01,1083.1904240544334
2019-05-01,1115.0,2019-07-01,1064.293166935585
2019-06-01,968.0,2019-08-01,1046.121480688238
2019-07-01,895.0,2019-09-01,1028.6329406055909
2019-08-01,866.0,2019-10-01,1011.788419451102
2019-09-01,777.0,2019-11-01,995.5517702148156
2019-10-01,1247.0,2019-12-01,979.889545024404
2019-11-01,933.0,2020-01-01,964.7707454732897
2019-12-01,674.0,2020-02-01,950.1666003268421
2020-01-01,814.0,2020-03-01,936.0503671522071
2020-02-01,654.0,2020-04-01,922.397154908184
2020-03-01,1516.0,2020-05-01,909.1837649451284
2020-04-01,817.0,2020-06-01,896.3885482144697
2020-05-01,592.0,2020-07-01,883.9912767838921
2020-06-01,518.0,2020-08-01,871.9730280063875
2020-07-01,473.0,2020-09-01,860.3160799065115
2020-08-01,588.0,2020-10-01,849.0038165311955
2020-09-01,488.0,2020-11-01,838.0206421703314
2020-10-01,441.0,2020-12-01,827.3519034881222
2020-11-01,525.0,2021-01-01,816.983818723266
2020-12-01,741.0,2021-02-01,806.9034132172357
2021-01-01,582.0,2021-03-01,797.098460617605
2021-02-01,366.0,2021-04-01,787.5574291795195
2021-03-01,999.0,2021-05-01,778.2694326546834
2021-04-01,689.0,2021-06-01,769.2241853150571
2021-05-01,650.0,2021-07-01,760.4119607089798
2021-06-01,681.0,2021-08-01,751.8235537917094
2021-07-01,745.0,2021-09-01,743.4502461111944
2021-08-01,524.0,2021-10-01,735.2837737640674
2021-09-01,650.0,2021-11-01,727.31629786692
2021-10-01,704.0,2021-12-01,719.5403773144797
2021-11-01,661.0,2022-01-01,711.9489436197755
2021-12-01,587.0,2022-02-01,704.5352776521737
2022-01-01,612.0,2022-03-01,697.2929881075904
2022-02-01,601.0,2022-04-01,690.2159915615825
2022-03-01,788.0,2022-05-01,683.2984939705859
2022-04-01,598.0,2022-06-01,676.5349734995646
2022-05-01,749.0,2022-07-01,669.920164565929
2022-06-01,611.0,2022-08-01,663.4490429999477
2022-07-01,704.0,2022-09-01,657.1168122311489
2022-08-01,133.0,2022-10-01,650.9188904185298
2022-09-01,434.0,2022-11-01,644.8508984498498
2022-10-01,731.0,2022-12-01,638.9086487419942
2022-11-01,654.0,2023-01-01,633.088134780431
2022-12-01,484.0,2023-02-01,627.3855213412203
2023-01-01,499.0,2023-03-01,621.7971353439414
2023-02-01,840.0,2023-04-01,616.319457288338
2023-03-01,534.0,2023-05-01,610.9491132314822
2023-04-01,484.0,2023-06-01,605.6828672658911
2023-05-01,516.0,2023-07-01,600.5176144623126
2023-06-01,1024.0,2023-08-01,595.4503742438823
2023-07-01,661.0,2023-09-01,590.4782841610598
2023-08-01,679.0,2023-10-01,585.5985940392184
2023-09-01,551.0,2023-11-01,580.8086604729979
2023-10-01,404.0,2023-12-01,576.1059416435795
2023-11-01,711.0,2024-01-01,571.4879924368978
2023-12-01,571.0,2024-02-01,566.9524598425058
2024-01-01,584.0,2024-03-01,562.4970786143646
2024-02-01,462.0,2024-04-01,558.1196671762442
2024-03-01,816.0,2024-05-01,553.8181237557276
2024-04-01,462.0,2024-06-01,549.5904227319936
2024-05-01,704.0,2024-07-01,545.4346111836551
2024-06-01,470.0,2024-08-01,541.34880562392
2024-07-01,642.0,2024-09-01,537.3311889112729
2024-08-01,545.0,2024-10-01,533.3800073247131
,,2024-11-01,529.4935677933688
,,2024-12-01,525.6702352710173
,,2025-01-01,521.9084302467085
,,2025-02-01,518.2066263832894
,,2025-03-01,514.5633482761957
,,2025-04-01,510.97716932539055
,,2025-05-01,507.4467097138122
,,2025-06-01,503.97063448613306
,,2025-07-01,500.5476517220458
,,2025-08-01,497.17651079866835
,,2025-09-01,493.85600073701283
,,2025-10-01,490.58494862779133
,,2025-11-01,487.3622181321307
,,2025-12-01,484.18670805305237
,,2026-01-01,481.0573509738317
,,2026-02-01,477.97311195959713
,,2026-03-01,474.9329873187514
,,2026-04-01,471.9360034210097
,,2026-05-01,468.98121556904437
,,2026-06-01,466.0677069209075
,,2026-07-01,463.1945874605731
,,2026-08-01,460.3609930140997
,,2026-09-01,457.5660843090591
,,2026-10-01,454.8090460750201
,,2026-11-01,452.08908618299944
,,2026-12-01,449.4054348219173
,,2027-01-01,446.7573437102046
,,2027-02-01,444.1440853408158
,,2027-03-01,441.5649522580013
,,2027-04-01,439.01925636428155
,,2027-05-01,436.5063282561581
,,2027-06-01,434.0255165871715
,,2027-07-01,431.5761874569981
,,2027-08-01,429.157723825344
,,2027-09-01,426.76952494946636
,,2027-10-01,424.4110058442122
,,2027-11-01,422.08159676352415
,,2027-12-01,419.78074270242223
,,2028-01-01,417.50790291851627
,,2028-02-01,415.26255047216006
,,2028-03-01,413.0441717844003
,,2028-04-01,410.8522662119179
,,2028-05-01,408.68634563820183
,,2028-06-01,406.54593408023305
,,2028-07-01,404.4305673099926
,,2028-08-01,402.3397924901448
,,2028-09-01,400.2731678232742
,,2028-10-01,398.23026221409253
,,2028-11-01,396.21065494405343
,,2028-12-01,394.21393535784676
,,2029-01-01,392.23970256126546
,,2029-02-01,390.28756512996466
,,2029-03-01,388.35714082865655
,,2029-04-01,386.4480563403037
,,2029-05-01,384.55994700489714
,,2029-06-01,382.69245656742356
,,2029-07-01,380.8452369346442
,,2029-08-01,379.017947940329
,,2029-09-01,377.21025711859875
,,2029-10-01,375.4218394850544
,,2029-11-01,373.65237732537736
,,2029-12-01,371.90155999110584
,,2030-01-01,370.1690837023026
,,2030-02-01,368.454651356843
,,2030-03-01,366.757972346065
,,2030-04-01,365.07876237653255
,,2030-05-01,363.41674329767807
,,2030-06-01,361.7716429350949
,,2030-07-01,360.1431949292673
,,2030-08-01,358.53113857952866
,,2030-09-01,356.93521869305124
,,2030-10-01,355.3551854386782
,,2030-11-01,353.79079420541734
,,2030-12-01,352.2418054654221
,,2031-01-01,350.70798464129484
,,2031-02-01,349.1891019775533
,,2031-03-01,347.68493241610776
,,2031-04-01,346.1952554756023
,,2031-05-01,344.7198551344822
