t,q,t_model,q_model
2014-12-01,7846.0,2024-04-01,45.4641293840365
2015-01-01,2578.0,2024-05-01,24.192035582346985
2015-02-01,1340.0,2024-06-01,11.950069357500059
2015-03-01,3036.0,2024-07-01,5.371726320808479
2015-04-01,1156.0,2024-08-01,2.1342024787197342
2015-05-01,614.0,2024-09-01,0.7163038507923166
2015-06-01,1013.0,2024-10-01,0.18827769908250064
2015-07-01,1050.0,2024-11-01,0.03362514443971773
2015-08-01,511.0,2024-12-01,0.0029663854713004078
2015-09-01,187.0,2025-01-01,4.6736564190119124e-05
2015-10-01,279.0,2025-02-01,1.0618951395115072e-41
2015-11-01,621.0,2025-03-01,
2015-12-01,7.0,2025-04-01,
2016-01-01,589.0,2025-05-01,
2016-02-01,22.0,2025-06-01,
2016-03-01,329.0,2025-07-01,
2016-04-01,429.0,2025-08-01,
2016-05-01,494.0,2025-09-01,
2016-06-01,695.0,2025-10-01,
2016-07-01,733.0,2025-11-01,
2016-08-01,422.0,2025-12-01,
2016-09-01,316.0,2026-01-01,
2016-10-01,135.0,2026-02-01,
2016-11-01,0.0,2026-03-01,
2016-12-01,35.0,2026-04-01,
2017-01-01,0.0,2026-05-01,
2017-02-01,0.0,2026-06-01,
2017-03-01,0.0,2026-07-01,
2017-04-01,201.0,2026-08-01,
2017-05-01,155.0,2026-09-01,
2017-06-01,65.0,2026-10-01,
2017-07-01,184.0,2026-11-01,
2017-08-01,188.0,2026-12-01,
2017-09-01,176.0,2027-01-01,
2017-10-01,187.0,2027-02-01,
2017-11-01,139.0,2027-03-01,
2017-12-01,164.0,2027-04-01,
2018-01-01,111.0,2027-05-01,
2018-02-01,171.0,2027-06-01,
2018-03-01,117.0,2027-07-01,
2018-04-01,111.0,2027-08-01,
2018-05-01,73.0,2027-09-01,
2018-06-01,26.0,2027-10-01,
2018-07-01,158.0,2027-11-01,
2018-08-01,79.0,2027-12-01,
2018-09-01,75.0,2028-01-01,
2018-10-01,103.0,2028-02-01,
2018-11-01,140.0,2028-03-01,
2018-12-01,93.0,2028-04-01,
2019-01-01,139.0,2028-05-01,
2019-02-01,149.0,2028-06-01,
2019-03-01,135.0,2028-07-01,
2019-04-01,39.0,2028-08-01,
2019-05-01,126.0,2028-09-01,
2019-06-01,55.0,2028-10-01,
2019-07-01,77.0,2028-11-01,
2019-08-01,29.0,2028-12-01,
2019-09-01,35.0,2029-01-01,
2019-10-01,63.0,2029-02-01,
2019-11-01,100.0,2029-03-01,
2019-12-01,78.0,2029-04-01,
2020-01-01,58.0,2029-05-01,
2020-02-01,72.0,2029-06-01,
2020-03-01,50.0,2029-07-01,
2020-04-01,81.0,2029-08-01,
2020-05-01,57.0,2029-09-01,
2020-06-01,57.0,2029-10-01,
2020-07-01,76.0,2029-11-01,
2020-08-01,30.0,2029-12-01,
2020-09-01,20.0,2030-01-01,
2020-10-01,59.0,2030-02-01,
2020-11-01,38.0,2030-03-01,
2020-12-01,48.0,2030-04-01,
2021-01-01,6.0,2030-05-01,
2021-02-01,23.0,2030-06-01,
2021-03-01,0.0,2030-07-01,
2021-04-01,32.0,2030-08-01,
2021-05-01,65.0,2030-09-01,
2021-06-01,72.0,2030-10-01,
2021-07-01,56.0,2030-11-01,
2021-08-01,66.0,2030-12-01,
2021-09-01,75.0,2031-01-01,
2021-10-01,49.0,2031-02-01,
2021-11-01,36.0,2031-03-01,
2021-12-01,52.0,2031-04-01,
2022-01-01,44.0,2031-05-01,
2022-02-01,63.0,2031-06-01,
2022-03-01,39.0,2031-07-01,
2022-04-01,43.0,2031-08-01,
2022-05-01,15.0,2031-09-01,
2022-06-01,38.0,2031-10-01,
2022-07-01,27.0,2031-11-01,
2022-08-01,9.0,2031-12-01,
2022-09-01,37.0,2032-01-01,
2022-10-01,10.0,2032-02-01,
2022-11-01,16.0,2032-03-01,
2022-12-01,44.0,2032-04-01,
2023-01-01,27.0,2032-05-01,
2023-02-01,48.0,2032-06-01,
2023-03-01,68.0,2032-07-01,
2023-04-01,55.0,2032-08-01,
2023-05-01,44.0,2032-09-01,
2023-06-01,23.0,2032-10-01,
2023-07-01,64.0,2032-11-01,
2023-08-01,36.0,2032-12-01,
2023-09-01,74.0,2033-01-01,
2023-10-01,81.0,2033-02-01,
2023-11-01,28.0,2033-03-01,
2023-12-01,20.0,2033-04-01,
2024-01-01,37.0,2033-05-01,
2024-02-01,56.0,2033-06-01,
2024-03-01,56.0,2033-07-01,
2024-04-01,44.0,2033-08-01,
2024-05-01,26.0,2033-09-01,
2024-06-01,17.0,2033-10-01,
2024-07-01,1.0,2033-11-01,
2024-08-01,0.0,2033-12-01,
2024-09-01,0.0,2034-01-01,
2024-10-01,0.0,2034-02-01,
2024-11-01,0.0,2034-03-01,
2024-12-01,0.0,2034-04-01,
2025-01-01,0.0,2034-05-01,
2025-02-01,0.0,2034-06-01,
