t,q,t_model,q_model
2021-06-01,599.0,2022-02-01,420.425227048568
2021-07-01,1658.0,2022-03-01,107.02686434637525
2021-08-01,600.0,2022-04-01,25.821958615979746
2021-09-01,644.0,2022-05-01,5.87860767120243
2021-10-01,530.0,2022-06-01,1.2566146956095992
2021-11-01,586.0,2022-07-01,0.25080674493407173
2021-12-01,526.0,2022-08-01,0.04644222938714884
2022-01-01,469.0,2022-09-01,0.007920360915503317
2022-02-01,415.0,2022-10-01,0.0012335785665870318
2022-03-01,135.0,2022-11-01,0.00017374610693806887
2022-04-01,0.0,2022-12-01,2.1877346554668057e-05
2022-05-01,0.0,2023-01-01,2.429411880009114e-06
2022-06-01,0.0,2023-02-01,2.3409169592612553e-07
2022-07-01,0.0,2023-03-01,1.919288205826711e-08
2022-08-01,0.0,2023-04-01,1.3072560507053192e-09
2022-09-01,1.0,2023-05-01,7.180304019083523e-11
2022-10-01,0.0,2023-06-01,3.063431368339598e-12
2022-11-01,0.0,2023-07-01,9.674190166256437e-14
2022-12-01,0.0,2023-08-01,2.122196489752234e-15
2023-01-01,0.0,2023-09-01,2.9673770757104326e-17
2023-02-01,0.0,2023-10-01,2.344299880249961e-19
2023-03-01,0.0,2023-11-01,8.770364632413903e-22
2023-04-01,0.0,2023-12-01,1.1816586031706598e-24
2023-05-01,0.0,2024-01-01,3.6245493303916574e-28
2023-06-01,0.0,2024-02-01,1.0712858985269596e-32
2023-07-01,0.0,2024-03-01,4.427460294475852e-39
2023-08-01,0.0,2024-04-01,5.408715029131688e-50
2023-09-01,0.0,2024-07-01,1.6967373824236776e-231
2023-10-01,0.0,2024-08-01,
2023-11-01,0.0,2024-09-01,
2023-12-01,0.0,2024-10-01,
2024-01-01,0.0,2024-11-01,
2024-02-01,0.0,2024-12-01,
2024-03-01,0.0,2025-01-01,
2024-04-01,0.0,2025-02-01,
2024-07-01,0.0,2025-03-01,
,,2025-04-01,
,,2025-05-01,
,,2025-06-01,
,,2025-07-01,
,,2025-08-01,
,,2025-09-01,
,,2025-10-01,
,,2025-11-01,
,,2025-12-01,
,,2026-01-01,
,,2026-02-01,
,,2026-03-01,
,,2026-04-01,
,,2026-05-01,
,,2026-06-01,
,,2026-07-01,
,,2026-08-01,
,,2026-09-01,
,,2026-10-01,
,,2026-11-01,
,,2026-12-01,
,,2027-01-01,
,,2027-02-01,
,,2027-03-01,
,,2027-04-01,
,,2027-05-01,
,,2027-06-01,
,,2027-07-01,
,,2027-08-01,
,,2027-09-01,
,,2027-10-01,
,,2027-11-01,
,,2027-12-01,
,,2028-01-01,
,,2028-02-01,
,,2028-03-01,
,,2028-04-01,
,,2028-05-01,
,,2028-06-01,
,,2028-07-01,
,,2028-08-01,
,,2028-09-01,
,,2028-10-01,
,,2028-11-01,
,,2028-12-01,
,,2029-01-01,
,,2029-02-01,
,,2029-03-01,
,,2029-04-01,
,,2029-05-01,
,,2029-06-01,
,,2029-07-01,
,,2029-08-01,
,,2029-09-01,
,,2029-10-01,
,,2029-11-01,
,,2029-12-01,
,,2030-01-01,
,,2030-02-01,
,,2030-03-01,
,,2030-04-01,
,,2030-05-01,
,,2030-06-01,
,,2030-07-01,
,,2030-08-01,
,,2030-09-01,
,,2030-10-01,
,,2030-11-01,
,,2030-12-01,
,,2031-01-01,
,,2031-02-01,
,,2031-03-01,
,,2031-04-01,
,,2031-05-01,
,,2031-06-01,
,,2031-07-01,
,,2031-08-01,
,,2031-09-01,
,,2031-10-01,
,,2031-11-01,
,,2031-12-01,
,,2032-01-01,
,,2032-02-01,
,,2032-03-01,
,,2032-04-01,
,,2032-05-01,
,,2032-06-01,
,,2032-07-01,
,,2032-08-01,
,,2032-09-01,
,,2032-10-01,
,,2032-11-01,
