t,q,t_model,q_model
2010-12-01,6180.0,2011-01-01,4451.346812489415
2011-01-01,4463.0,2011-02-01,1686.8097189916768
2011-02-01,1622.0,2011-03-01,1185.0162292322009
2011-03-01,715.0,2011-04-01,950.2803672518488
2011-04-01,1022.0,2011-05-01,808.9644564344322
2011-05-01,275.0,2011-06-01,712.624479875517
2011-06-01,1382.0,2011-07-01,641.8410231109215
2011-07-01,1356.0,2011-08-01,587.1575515581851
2011-08-01,623.0,2011-09-01,543.3610853439291
2011-09-01,885.0,2011-10-01,507.3177884018096
2011-10-01,702.0,2011-11-01,477.0187438799934
2011-11-01,818.0,2011-12-01,451.110639883221
2011-12-01,264.0,2012-01-01,428.64504643354275
2012-01-01,434.0,2012-02-01,408.93548258144574
2012-02-01,885.0,2012-03-01,391.4715430921127
2012-03-01,421.0,2012-04-01,375.86502133138833
2012-04-01,313.0,2012-05-01,361.81485256940033
2012-05-01,286.0,2012-06-01,349.0835834329915
2012-06-01,354.0,2012-07-01,337.48114839022526
2012-07-01,258.0,2012-08-01,326.85341925435796
2012-08-01,334.0,2012-09-01,317.0739551805171
2012-09-01,224.0,2012-10-01,308.0379488931586
2012-10-01,271.0,2012-11-01,299.6577113047847
2012-11-01,307.0,2012-12-01,291.8592537487695
2012-12-01,197.0,2013-01-01,284.5796664327338
2013-01-01,315.0,2013-02-01,277.7650832164872
2013-02-01,241.0,2013-03-01,271.3690840900346
2013-03-01,254.0,2013-04-01,265.3514285069309
2013-04-01,233.0,2013-05-01,259.67704169145765
2013-05-01,173.0,2013-06-01,254.31519642257348
2013-06-01,294.0,2013-07-01,249.23884734543816
2013-07-01,154.0,2013-08-01,244.42408537800023
2013-08-01,214.0,2013-09-01,239.8496874736951
2013-09-01,202.0,2013-10-01,235.49674269211414
2013-10-01,383.0,2013-11-01,231.34833978246337
2013-11-01,220.0,2013-12-01,227.38930469370206
2013-12-01,142.0,2014-01-01,223.6059788685235
2014-01-01,98.0,2014-02-01,219.98603105431079
2014-02-01,38.0,2014-03-01,216.51829681603667
2014-03-01,46.0,2014-04-01,213.19264106809268
2014-04-01,95.0,2014-05-01,209.99983983089865
2014-05-01,29.0,2014-06-01,206.93147812075057
2014-06-01,0.0,2014-07-01,203.97986144023636
2014-07-01,0.0,2014-08-01,201.13793878375623
2014-08-01,0.0,2014-09-01,198.3992354325571
2014-09-01,0.0,2014-10-01,195.75779410485688
2014-10-01,0.0,2014-11-01,193.20812326340553
2014-11-01,274.0,2014-12-01,190.74515157632356
2014-12-01,565.0,2015-01-01,188.3641876859064
2015-01-01,8.0,2015-02-01,186.06088457108123
2015-02-01,432.0,2015-03-01,183.83120789768503
2015-03-01,322.0,2015-04-01,181.67140784093658
2015-04-01,40.0,2015-05-01,179.5779939397752
2015-05-01,406.0,2015-06-01,177.5477126058275
2015-06-01,156.0,2015-07-01,175.57752696281455
2015-07-01,43.0,2015-08-01,173.66459873697215
