t,q,t_model,q_model
2010-10-01,52.0,2010-11-01,17770.1938513424
2010-11-01,16697.0,2010-12-01,13873.578773297646
2010-12-01,14519.0,2011-01-01,11355.41047140129
2011-01-01,13324.0,2011-02-01,9597.196485793207
2011-02-01,13196.0,2011-03-01,8301.61966117015
2011-03-01,5597.0,2011-04-01,7308.232262730285
2011-04-01,8619.0,2011-05-01,6522.91837977623
2011-05-01,3281.0,2011-06-01,5886.871160691748
2011-06-01,3090.0,2011-07-01,5361.4775024951805
2011-07-01,3640.0,2011-08-01,4920.348330875337
2011-08-01,4529.0,2011-09-01,4544.843637888238
2011-09-01,4684.0,2011-10-01,4221.427296440457
2011-10-01,4546.0,2011-11-01,3940.035047404263
2011-11-01,3951.0,2011-12-01,3693.030395752924
2011-12-01,4110.0,2012-01-01,3474.5155072380617
2012-01-01,3423.0,2012-02-01,3279.8639450405917
2012-02-01,3091.0,2012-03-01,3105.396235504597
2012-03-01,3470.0,2012-04-01,2948.149837646561
2012-04-01,3245.0,2012-05-01,2805.7129772326734
2012-05-01,3065.0,2012-06-01,2676.1025914225024
2012-06-01,2566.0,2012-07-01,2557.673313242013
2012-07-01,2880.0,2012-08-01,2449.0486690313883
2012-08-01,2893.0,2012-09-01,2349.06841690858
2012-09-01,1509.0,2012-10-01,2256.747778674126
2012-10-01,2846.0,2012-11-01,2171.2455479129135
2012-11-01,2704.0,2012-12-01,2091.83890066745
2012-12-01,2528.0,2013-01-01,2017.903322410295
2013-01-01,2452.0,2013-02-01,1948.8964797682543
2013-02-01,2127.0,2013-03-01,1884.345162117089
2013-03-01,2216.0,2013-04-01,1823.8346329546694
2013-04-01,980.0,2013-05-01,1766.9998882235734
2013-05-01,1985.0,2013-06-01,1713.5184351082105
2013-06-01,2277.0,2013-07-01,1663.1042917636737
2013-07-01,2144.0,2013-08-01,1615.5029739807867
2013-08-01,2053.0,2013-09-01,1570.4872846412632
2013-09-01,1887.0,2013-10-01,1527.8537600356663
2013-10-01,1872.0,2013-11-01,1487.4196566425856
2013-11-01,1763.0,2013-12-01,1449.0203849419677
2013-12-01,1757.0,2014-01-01,1412.507314834438
2014-01-01,1728.0,2014-02-01,1377.7458914303043
2014-02-01,1515.0,2014-03-01,1344.6140112305782
2014-03-01,1624.0,2014-04-01,1313.0006177059286
2014-04-01,1651.0,2014-05-01,1282.8044824873707
2014-05-01,1678.0,2014-06-01,1253.9331441961099
2014-06-01,642.0,2014-07-01,1226.3019816525443
2014-07-01,540.0,2014-08-01,1199.8334020427646
2014-08-01,1402.0,2014-09-01,1174.456127761495
2014-09-01,1412.0,2014-10-01,1150.104568231337
2014-10-01,1467.0,2014-11-01,1126.7182651280327
2014-11-01,1365.0,2014-12-01,1104.241401206156
2014-12-01,463.0,2015-01-01,1082.6223643873727
2015-01-01,1436.0,2015-02-01,1061.8133599986804
2015-02-01,1349.0,2015-03-01,1041.7700650745267
2015-03-01,1408.0,2015-04-01,1022.4513194995718
2015-04-01,771.0,2015-05-01,1003.8188494966079
2015-05-01,1326.0,2015-06-01,985.8370195798125
2015-06-01,1191.0,2015-07-01,968.4726096160135
2015-07-01,1197.0,2015-08-01,951.6946140813137
2015-08-01,1133.0,2015-09-01,935.4740609799675
2015-09-01,1057.0,2015-10-01,919.7838482172339
2015-10-01,1078.0,2015-11-01,904.598595496664
2015-11-01,992.0,2015-12-01,889.8945100520767
2015-12-01,1030.0,2016-01-01,875.6492647312809
2016-01-01,988.0,2016-02-01,861.8418871273766
2016-02-01,834.0,2016-03-01,848.452658608374
2016-03-01,927.0,2016-04-01,835.4630222303894
2016-04-01,856.0,2016-05-01,822.8554986367569
2016-05-01,884.0,2016-06-01,810.6136091474895
2016-06-01,841.0,2016-07-01,798.7218053327617
2016-07-01,841.0,2016-08-01,787.1654044422181
2016-08-01,804.0,2016-09-01,775.9305301304582
2016-09-01,766.0,2016-10-01,765.0040579793033
2016-10-01,800.0,2016-11-01,754.3735653705087
2016-11-01,764.0,2016-12-01,744.0272853093837
2016-12-01,798.0,2017-01-01,733.954063841142
2017-01-01,758.0,2017-02-01,724.1433207384025
2017-02-01,714.0,2017-03-01,714.5850131707259
2017-03-01,735.0,2017-04-01,705.2696020958738
2017-04-01,937.0,2017-05-01,696.1880211381136
2017-05-01,1070.0,2017-06-01,687.3316477417144
2017-06-01,948.0,2017-07-01,678.6922764081396
2017-07-01,867.0,2017-08-01,670.2620938436232
2017-08-01,847.0,2017-09-01,662.0336558600906
2017-09-01,797.0,2017-10-01,653.999865886948
2017-10-01,793.0,2017-11-01,646.1539549643378
2017-11-01,735.0,2017-12-01,638.4894631001886
2017-12-01,558.0,2018-01-01,631.000221883944
2018-01-01,700.0,2018-02-01,623.6803382593536
2018-02-01,674.0,2018-03-01,616.5241793672712
2018-03-01,689.0,2018-04-01,609.5263583771391
2018-04-01,647.0,2018-05-01,602.6817212328099
2018-05-01,640.0,2018-06-01,595.9853342446829
2018-06-01,605.0,2018-07-01,589.4324724658437
2018-07-01,588.0,2018-08-01,583.018608795082
2018-08-01,562.0,2018-09-01,576.7394037543658
2018-09-01,530.0,2018-10-01,570.5906958926246
2018-10-01,605.0,2018-11-01,564.568492771578
2018-11-01,572.0,2018-12-01,558.6689624928796
2018-12-01,703.0,2019-01-01,552.8884257290769
2019-01-01,495.0,2019-02-01,547.2233482238146
2019-02-01,445.0,2019-03-01,541.6703337293987
2019-03-01,494.0,2019-04-01,536.2261173522872
2019-04-01,455.0,2019-05-01,530.8875592793095
2019-05-01,449.0,2019-06-01,525.6516388594735
2019-06-01,410.0,2019-07-01,520.5154490180946
2019-07-01,411.0,2019-08-01,515.4761909817015
2019-08-01,390.0,2019-09-01,510.5311692937558
2019-09-01,413.0,2019-10-01,505.6777871026749
2019-10-01,439.0,2019-11-01,500.9135417049764
2019-11-01,346.0,2019-12-01,496.23602032759374
2019-12-01,426.0,2020-01-01,491.64289613453803
2020-01-01,451.0,2020-02-01,487.1319244441239
2020-02-01,374.0,2020-03-01,482.70093914393243
2020-03-01,380.0,2020-04-01,478.3478492915717
2020-04-01,378.0,2020-05-01,474.07063589011005
2020-05-01,374.0,2020-06-01,469.86734882781127
2020-06-01,357.0,2020-07-01,465.73610397249905
2020-07-01,359.0,2020-08-01,461.6750804115215
2020-08-01,313.0,2020-09-01,457.68251782888484
2020-09-01,346.0,2020-10-01,453.7567140116781
2020-10-01,329.0,2020-11-01,449.89602247842066
2020-11-01,292.0,2020-12-01,446.0988502224458
2020-12-01,318.0,2021-01-01,442.3636555638659
2021-01-01,308.0,2021-02-01,438.68894610408404
2021-02-01,290.0,2021-03-01,435.0732767771885
2021-03-01,318.0,2021-04-01,431.51524799292736
2021-04-01,316.0,2021-05-01,428.013503866286
2021-05-01,301.0,2021-06-01,424.5667305289975
2021-06-01,326.0,2021-07-01,421.1736545186004
2021-07-01,262.0,2021-08-01,417.8330412409276
2021-08-01,281.0,2021-09-01,414.5436935021531
2021-09-01,262.0,2021-10-01,411.30445010675714
2021-10-01,380.0,2021-11-01,408.1141845179885
2021-11-01,352.0,2021-12-01,404.971803577599
2021-12-01,363.0,2022-01-01,401.8762462818168
2022-01-01,350.0,2022-02-01,398.8264826107026
2022-02-01,312.0,2022-03-01,395.8215124081931
2022-03-01,320.0,2022-04-01,392.8603643102935
2022-04-01,315.0,2022-05-01,389.9420947190248
2022-05-01,292.0,2022-06-01,387.06578681986485
2022-06-01,294.0,2022-07-01,384.2305496405501
2022-07-01,266.0,2022-08-01,381.43551714922387
2022-08-01,212.0,2022-09-01,378.67984739002725
2022-09-01,258.0,2022-10-01,375.96272165433334
2022-10-01,274.0,2022-11-01,373.28334368592505
2022-11-01,258.0,2022-12-01,370.6409389185057
2022-12-01,286.0,2023-01-01,368.03475374402205
2023-01-01,270.0,2023-02-01,365.4640548103572
2023-02-01,226.0,2023-03-01,362.9281283470285
2023-03-01,244.0,2023-04-01,360.42627951759965
2023-04-01,231.0,2023-05-01,357.9578317975796
2023-05-01,244.0,2023-06-01,355.52212637664815
2023-06-01,208.0,2023-07-01,353.1185215841071
2023-07-01,221.0,2023-08-01,350.746392336512
2023-08-01,199.0,2023-09-01,348.40512960649187
2023-09-01,216.0,2023-10-01,346.0941399118188
2023-10-01,187.0,2023-11-01,343.8128448238298
2023-11-01,224.0,2023-12-01,341.5606804943551
2023-12-01,213.0,2024-01-01,339.33709720034506
2024-01-01,200.0,2024-02-01,337.1415589054286
2024-02-01,211.0,2024-03-01,334.9735428376738
2024-03-01,183.0,2024-04-01,332.83253908285917
2024-04-01,166.0,2024-05-01,330.7180501925933
2024-05-01,207.0,2024-06-01,328.6295908066561
2024-06-01,164.0,2024-07-01,326.56668728896466
2024-07-01,198.0,2024-08-01,324.5288773765929
2024-08-01,188.0,2024-09-01,322.51570984130325
2024-09-01,197.0,2024-10-01,320.526744163075
2024-10-01,170.0,2024-11-01,318.56155021513484
2024-11-01,191.0,2024-12-01,316.61970796002043
2024-12-01,158.0,2025-01-01,314.70080715623163
2025-01-01,188.0,2025-02-01,312.8044470750383
,,2025-03-01,310.9302362270402
,,2025-04-01,309.0777920980893
,,2025-05-01,307.2467408942015
,,2025-06-01,305.4367172951055
,,2025-07-01,303.6473642160887
,,2025-08-01,301.87833257781597
,,2025-09-01,300.1292810838132
,,2025-10-01,298.3998760053193
,,2025-11-01,296.68979097322364
,,2025-12-01,294.998706776819
,,2026-01-01,293.3263111691109
,,2026-02-01,291.67229867843594
,,2026-03-01,290.0363704261523
,,2026-04-01,288.4182339501753
,,2026-05-01,286.81760303414086
,,2026-06-01,285.2341975419891
,,2026-07-01,283.66774325776845
,,2026-08-01,282.1179717304694
,,2026-09-01,280.5846201237046
,,2026-10-01,279.0674310700606
,,2026-11-01,277.56615252995164
,,2026-12-01,276.0805376548157
,,2027-01-01,274.61034465449666
,,2027-02-01,273.1553366686645
,,2027-03-01,271.71528164213146
,,2027-04-01,270.2899522039266
,,2027-05-01,268.87912554999775
,,2027-06-01,267.4825833294147
,,2027-07-01,266.1001115339524
,,2027-08-01,264.73150039093736
,,2027-09-01,263.3765442592469
,,2027-10-01,262.03504152835114
,,2027-11-01,260.70679452029697
,,2027-12-01,259.3916093945334
,,2028-01-01,258.0892960554829
,,2028-02-01,256.79966806276644
,,2028-03-01,255.52254254399529
,,2028-04-01,254.2577401100426
,,2028-05-01,253.00508477271435
,,2028-06-01,251.76440386474061
,,2028-07-01,250.53552796201038
,,2028-08-01,249.31829080797837
,,2028-09-01,248.1125292401727
,,2028-10-01,246.9180831187352
,,2028-11-01,245.73479525693062
,,2028-12-01,244.56251135356015
,,2029-01-01,243.40107992722
,,2029-02-01,242.25035225234578
,,2029-03-01,241.11018229698723
,,2029-04-01,239.98042666225783
,,2029-05-01,238.86094452340814
,,2029-06-01,237.7515975724719
,,2029-07-01,236.6522499624358
,,2029-08-01,235.56276825288685
,,2029-09-01,234.48302135709116
,,2029-10-01,233.41288049046062
,,2029-11-01,232.35221912036567
,,2029-12-01,231.30091291725282
,,2030-01-01,230.25883970702773
,,2030-02-01,229.22587942466615
,,2030-03-01,228.2019140690155
,,2030-04-01,227.18682765875175
,,2030-05-01,226.1805061894579
,,2030-06-01,225.18283759179002
,,2030-07-01,224.19371169069927
,,2030-08-01,223.21302016567964
,,2030-09-01,222.24065651201002
,,2030-10-01,221.27651600296304
,,2030-11-01,220.32049565295236
,,2030-12-01,219.37249418159072
,,2031-01-01,218.43241197863364
,,2031-02-01,217.50015106978248
,,2031-03-01,216.57561508332353
,,2031-04-01,215.65870921757792
,,2031-05-01,214.74934020914094
,,2031-06-01,213.84741630188788
,,2031-07-01,212.95284721672462
,,2031-08-01,212.0655441220627
,,2031-09-01,211.18541960499905
,,2031-10-01,210.31238764317942
,,2031-11-01,209.4463635773286
,,2031-12-01,208.58726408442772
,,2032-01-01,207.7350071515212
,,2032-02-01,206.88951205013677
,,2032-03-01,206.05069931130132
,,2032-04-01,205.21849070113643
,,2032-05-01,204.39280919701847
,,2032-06-01,203.57357896428775
,,2032-07-01,202.76072533349205
,,2032-08-01,201.95417477815027
,,2032-09-01,201.15385489302292
,,2032-10-01,200.35969437287503
,,2032-11-01,199.57162299171944
,,2032-12-01,198.78957158252757
,,2033-01-01,198.0134720173952
,,2033-02-01,197.2432571881518
,,2033-03-01,196.4788609874016
,,2033-04-01,195.72021828998524
,,2033-05-01,194.96726493485167
