t,q,t_model,q_model
2022-01-01,0.0,2022-09-01,268.93135930704574
2022-02-01,0.0,2022-10-01,266.53929037811554
2022-03-01,169.0,2022-11-01,264.1088384861178
2022-04-01,110.0,2022-12-01,261.6383808722739
2022-05-01,175.0,2023-01-01,259.1261813389309
2022-06-01,20.0,2023-02-01,256.5703790144701
2022-07-01,125.0,2023-03-01,253.96897565975132
2022-08-01,17.0,2023-04-01,251.31982127928865
2022-09-01,278.0,2023-05-01,248.6205977537417
2022-10-01,212.0,2023-06-01,245.86880015280434
2022-11-01,160.0,2023-07-01,243.06171531623167
2022-12-01,266.0,2023-08-01,240.19639720165682
2023-01-01,214.0,2023-09-01,237.26963838586482
2023-02-01,232.0,2023-10-01,234.27793696441552
2023-03-01,342.0,2023-11-01,231.21745791365558
2023-04-01,379.0,2023-12-01,228.08398774659597
2023-05-01,470.0,2024-01-01,224.87288099247533
2023-06-01,228.0,2024-02-01,221.57899663492643
2023-07-01,162.0,2024-03-01,218.19662212152926
2023-08-01,303.0,2024-04-01,214.71938185976757
2023-09-01,212.0,2024-05-01,211.1401261710814
2023-10-01,308.0,2024-06-01,207.45079538336722
2023-11-01,134.0,2024-07-01,203.64225195028652
2023-12-01,97.0,2024-08-01,199.70407096178437
2024-01-01,111.0,2024-09-01,195.62427579692203
2024-02-01,177.0,2024-10-01,191.3890004037078
2024-03-01,287.0,2024-11-01,186.9820518607968
2024-04-01,294.0,2024-12-01,182.38433497481833
2024-05-01,203.0,2025-01-01,177.57308212408796
2024-06-01,185.0,2025-02-01,172.52080184885565
2024-07-01,199.0,2025-03-01,167.19381054577966
2024-08-01,239.0,2025-04-01,161.55012731533472
,,2025-05-01,155.5363610955554
,,2025-06-01,149.08293521953405
,,2025-07-01,142.0964271325101
,,2025-08-01,134.44658136644432
,,2025-09-01,125.94268042791657
,,2025-10-01,116.2863318905822
,,2025-11-01,104.96390945746673
,,2025-12-01,90.947173572213
,,2026-01-01,71.49792660209314
,,2026-02-01,25.39751783837633
,,2026-03-01,
,,2026-04-01,
,,2026-05-01,
,,2026-06-01,
,,2026-07-01,
,,2026-08-01,
,,2026-09-01,
,,2026-10-01,
,,2026-11-01,
,,2026-12-01,
,,2027-01-01,
,,2027-02-01,
,,2027-03-01,
,,2027-04-01,
,,2027-05-01,
,,2027-06-01,
,,2027-07-01,
,,2027-08-01,
,,2027-09-01,
,,2027-10-01,
,,2027-11-01,
,,2027-12-01,
,,2028-01-01,
,,2028-02-01,
,,2028-03-01,
,,2028-04-01,
,,2028-05-01,
,,2028-06-01,
,,2028-07-01,
,,2028-08-01,
,,2028-09-01,
,,2028-10-01,
,,2028-11-01,
,,2028-12-01,
,,2029-01-01,
,,2029-02-01,
,,2029-03-01,
,,2029-04-01,
,,2029-05-01,
,,2029-06-01,
,,2029-07-01,
,,2029-08-01,
,,2029-09-01,
,,2029-10-01,
,,2029-11-01,
,,2029-12-01,
,,2030-01-01,
,,2030-02-01,
,,2030-03-01,
,,2030-04-01,
,,2030-05-01,
,,2030-06-01,
,,2030-07-01,
,,2030-08-01,
,,2030-09-01,
,,2030-10-01,
,,2030-11-01,
,,2030-12-01,
,,2031-01-01,
,,2031-02-01,
,,2031-03-01,
,,2031-04-01,
,,2031-05-01,
,,2031-06-01,
,,2031-07-01,
,,2031-08-01,
,,2031-09-01,
,,2031-10-01,
,,2031-11-01,
,,2031-12-01,
,,2032-01-01,
,,2032-02-01,
,,2032-03-01,
,,2032-04-01,
,,2032-05-01,
,,2032-06-01,
,,2032-07-01,
,,2032-08-01,
,,2032-09-01,
,,2032-10-01,
,,2032-11-01,
,,2032-12-01,
