t,q,t_model,q_model
2023-04-01,1360.0,2023-12-01,7222.753052796567
2023-05-01,18280.0,2024-01-01,5394.370026917714
2023-06-01,4931.0,2024-02-01,4448.458235726438
2023-07-01,6254.0,2024-03-01,3851.107599807907
2023-08-01,7910.0,2024-04-01,3431.956275640187
2023-09-01,7139.0,2024-05-01,3117.879859763565
2023-10-01,7498.0,2024-06-01,2871.708447792512
2023-11-01,5996.0,2024-07-01,2672.3292827402297
2023-12-01,7107.0,2024-08-01,2506.764002746536
2024-01-01,5972.0,2024-09-01,2366.5470728040536
2024-02-01,4051.0,2024-10-01,2245.895227902447
2024-03-01,3857.0,2024-11-01,2140.708234943545
2024-04-01,2752.0,2024-12-01,2047.9891880531454
2024-05-01,2832.0,2025-01-01,1965.4911190746905
2024-06-01,3940.0,2025-02-01,1891.4925287668864
2024-07-01,2741.0,2025-03-01,1824.6497714905909
2024-08-01,2283.0,2025-04-01,1763.897053168313
,,2025-05-01,1708.3769192617453
,,2025-06-01,1657.3908367847794
,,2025-07-01,1610.363357075557
,,2025-08-01,1566.8156642315862
,,2025-09-01,1526.3457401545534
,,2025-10-01,1488.6132779832085
,,2025-11-01,1453.3280584222205
,,2025-12-01,1420.2408885749373
,,2026-01-01,1389.1364623554825
,,2026-02-01,1359.827679480178
,,2026-03-01,1332.1510840242627
,,2026-04-01,1305.9631712130183
,,2026-05-01,1281.1373739741202
,,2026-06-01,1257.5615864080953
,,2026-07-01,1235.1361148452834
,,2026-08-01,1213.7719720365997
,,2026-09-01,1193.3894486823995
,,2026-10-01,1173.9169106271634
,,2026-11-01,1155.2897808337389
,,2026-12-01,1137.4496735565515
,,2027-01-01,1120.3436545787522
,,2027-02-01,1103.9236064170832
,,2027-03-01,1088.1456813645896
,,2027-04-01,1072.969828383949
,,2027-05-01,1058.3593823695846
,,2027-06-01,1044.2807063058465
,,2027-07-01,1030.7028784686868
,,2027-08-01,1017.5974181316296
,,2027-09-01,1004.9380443069284
,,2027-10-01,992.7004629288448
,,2027-11-01,980.8621786064784
,,2027-12-01,969.4023276687137
,,2028-01-01,958.3015297175177
,,2028-02-01,947.5417553169539
,,2028-03-01,937.1062077889891
,,2028-04-01,926.9792173755718
,,2028-05-01,917.1461462693136
,,2028-06-01,907.5933032202907
,,2028-07-01,898.3078666004155
,,2028-08-01,889.2778149547212
,,2028-09-01,880.4918641950445
,,2028-10-01,871.9394106994906
,,2028-11-01,863.6104796736092
,,2028-12-01,855.4956782088173
,,2029-01-01,847.5861525422479
,,2029-02-01,839.8735490815459
,,2029-03-01,832.3499788095606
,,2029-04-01,825.0079847285597
,,2029-05-01,817.8405120424841
,,2029-06-01,810.840880809702
,,2029-07-01,804.0027608283946
,,2029-08-01,797.3201485427163
,,2029-09-01,790.787345780697
,,2029-10-01,784.3989401549463
,,2029-11-01,778.1497869749161
,,2029-12-01,772.0349925351169
,,2030-01-01,766.0498986575041
,,2030-02-01,760.1900683785074
,,2030-03-01,754.4512726820511
,,2030-04-01,748.8294781895786
,,2030-05-01,743.3208357267101
,,2030-06-01,737.9216696938369
,,2030-07-01,732.6284681748149
,,2030-08-01,727.437873724056
,,2030-09-01,722.3466747778112
,,2030-10-01,717.3517976403706
,,2030-11-01,712.4502990003299
,,2030-12-01,707.6393589360629
,,2031-01-01,702.9162743731198
,,2031-02-01,698.2784529595108
,,2031-03-01,693.7234073277532
,,2031-04-01,689.2487497152019
,,2031-05-01,684.85218691657
,,2031-06-01,680.5315155447145
,,2031-07-01,676.284617577725
,,2031-08-01,672.1094561721344
,,2031-09-01,668.004071723695
,,2031-10-01,663.9665781586366
,,2031-11-01,659.9951594396686
,,2031-12-01,656.0880662722116
,,2032-01-01,652.2436129974653
,,2032-02-01,648.4601746599377
,,2032-03-01,644.7361842379997
,,2032-04-01,641.0701300268797
,,2032-05-01,637.4605531643024
,,2032-06-01,633.906045289687
,,2032-07-01,630.4052463284887
,,2032-08-01,626.9568423938647
,,2032-09-01,623.5595637984075
,,2032-10-01,620.2121831692027
,,2032-11-01,616.9135136599325
,,2032-12-01,613.6624072541917
