t,q,t_model,q_model
2022-08-01,0.0,2023-10-01,3568.570098437957
2022-09-01,0.0,2023-11-01,2426.793223247615
2022-10-01,0.0,2023-12-01,1990.0881421060888
2022-11-01,6879.0,2024-01-01,1739.553791611579
2022-12-01,7106.0,2024-02-01,1570.9587445738146
2023-01-01,6004.0,2024-03-01,1447.14103348591
2023-02-01,4246.0,2024-04-01,1351.0170611199817
2023-03-01,3464.0,2024-05-01,1273.4650572562496
2023-04-01,4488.0,2024-06-01,1209.1022635438746
2023-05-01,4298.0,2024-07-01,1154.5154341625885
2023-06-01,2844.0,2024-08-01,1107.4192433159863
2023-07-01,3172.0,2024-09-01,1066.2169178086162
2023-08-01,2098.0,2024-10-01,1029.7537877342643
2023-09-01,3414.0,2024-11-01,997.1709194067179
2023-10-01,3577.0,2024-12-01,967.8140365452683
2023-11-01,2409.0,2025-01-01,941.1746004694189
2023-12-01,1855.0,2025-02-01,916.8504203867528
2024-01-01,1803.0,2025-03-01,894.5185669811722
2024-02-01,1799.0,2025-04-01,873.9162850564569
2024-03-01,1367.0,2025-05-01,854.8272515589476
2024-04-01,1200.0,2025-06-01,837.0714928570009
2024-05-01,1436.0,2025-07-01,820.4978611084792
2024-06-01,1469.0,2025-08-01,804.9783347545217
2024-07-01,1076.0,2025-09-01,790.4036416979319
2024-08-01,839.0,2025-10-01,776.6798565021586
,,2025-11-01,763.725724984843
,,2025-12-01,751.4705390162858
,,2026-01-01,739.8524323958167
,,2026-02-01,728.8170024691254
,,2026-03-01,718.3161862474499
,,2026-04-01,708.3073372029687
,,2026-05-01,698.7524616520734
,,2026-06-01,689.617583060811
,,2026-07-01,680.8722096508523
,,2026-08-01,672.4888860020174
,,2026-09-01,664.4428133986593
,,2026-10-01,656.7115267802079
,,2026-11-01,649.2746185675046
,,2026-12-01,642.1135015185454
,,2027-01-01,635.2112042465991
,,2027-02-01,628.5521942043522
,,2027-03-01,622.1222238700742
,,2027-04-01,615.9081966187916
,,2027-05-01,609.8980493633825
,,2027-06-01,604.0806495381652
,,2027-07-01,598.445704394685
,,2027-08-01,592.9836809043918
,,2027-09-01,587.6857348301187
,,2027-10-01,582.5436477489424
,,2027-11-01,577.5497709920461
,,2027-12-01,572.6969756196231
,,2028-01-01,567.9786076763032
,,2028-02-01,563.3884480795143
,,2028-03-01,558.920676583263
,,2028-04-01,554.5698393359222
,,2028-05-01,550.3308196151529
,,2028-06-01,546.1988113779757
,,2028-07-01,542.1692953108413
,,2028-08-01,538.2380171046252
,,2028-09-01,534.4009677138605
,,2028-10-01,530.6543653891158
,,2028-11-01,526.994639296956
,,2028-12-01,523.418414564006
,,2029-01-01,519.9224986007856
,,2029-02-01,516.5038685776293
,,2029-03-01,513.1596599394983
,,2029-04-01,509.88715585915435
,,2029-05-01,506.6837775392403
,,2029-06-01,503.54707528352196
,,2029-07-01,500.4747202660816
,,2029-08-01,497.4644969347606
,,2029-09-01,494.5142959917776
,,2029-10-01,491.6221079002997
,,2029-11-01,488.7860168709266
,,2029-12-01,486.0041952866431
,,2030-01-01,483.274898528877
,,2030-02-01,480.59646017092916
,,2030-03-01,477.96728750828197
,,2030-04-01,475.38585739817574
,,2030-05-01,472.8507123834305
,,2030-06-01,470.36045707779545
,,2030-07-01,467.9137547921859
,,2030-08-01,465.50932438302374
,,2030-09-01,463.14593730557215
,,2030-10-01,460.82241485665924
,,2030-11-01,458.53762559254227
,,2030-12-01,456.29048290888903
,,2031-01-01,454.0799427709593
,,2031-02-01,451.9050015830695
,,2031-03-01,449.7646941873315
,,2031-04-01,447.6580919824774
,,2031-05-01,445.5843011543304
,,2031-06-01,443.5424610101566
,,2031-07-01,441.5317424097558
,,2031-08-01,439.55134628670214
,,2031-09-01,437.6005022536694
,,2031-10-01,435.67846728623243
,,2031-11-01,433.78452447997097
,,2031-12-01,431.9179818760883
,,2032-01-01,430.078171351118
,,2032-02-01,428.2644475666164
,,2032-03-01,426.476186975041
,,2032-04-01,424.71278687828885
,,2032-05-01,422.9736645356242
,,2032-06-01,421.2582563179552
,,2032-07-01,419.56601690563525
,,2032-08-01,417.8964185271592
,,2032-09-01,416.2489502363115
,,2032-10-01,414.6231172254835
,,2032-11-01,413.018440173039
,,2032-12-01,411.4344546227445
