t,q,t_model,q_model
1992-10-01,4345.0,1993-03-01,25624.923089422573
1992-11-01,51507.0,1993-04-01,11792.07649259075
1992-12-01,31334.0,1993-05-01,8306.844905423746
1993-01-01,33335.0,1993-06-01,6606.547374999505
1993-02-01,28076.0,1993-07-01,5571.258681304601
1993-03-01,25441.0,1993-08-01,4863.77767151286
1993-04-01,11581.0,1993-09-01,4344.532836835425
1993-05-01,10796.0,1993-10-01,3944.4318653318505
1993-06-01,9298.0,1993-11-01,3625.0380436897085
1993-07-01,6328.0,1993-12-01,3363.1250613180723
1993-08-01,5042.0,1994-01-01,3143.761772272471
1993-09-01,4387.0,1994-02-01,2956.876114541697
1993-10-01,4125.0,1994-03-01,2795.406574889058
1993-11-01,3268.0,1994-04-01,2654.243260245257
1993-12-01,2805.0,1994-05-01,2529.5895622605285
1994-01-01,2454.0,1994-06-01,2418.56074496259
1994-02-01,2109.0,1994-07-01,2318.9223581225947
1994-03-01,1794.0,1994-08-01,2228.914492492689
1994-04-01,2196.0,1994-09-01,2147.130550030281
1994-05-01,1762.0,1994-10-01,2072.4316673260687
1994-06-01,1705.0,1994-11-01,2003.885065191931
1994-07-01,1563.0,1994-12-01,1940.7188246584672
1994-08-01,1583.0,1995-01-01,1882.2881716710358
1994-09-01,1392.0,1995-02-01,1828.0499730891422
1994-10-01,1455.0,1995-03-01,1777.543188270042
1994-11-01,1309.0,1995-04-01,1730.3737049186013
1994-12-01,1319.0,1995-05-01,1686.202446486844
1995-01-01,1254.0,1995-06-01,1644.735951253521
1995-02-01,1069.0,1995-07-01,1605.7188401479623
1995-03-01,1166.0,1995-08-01,1568.9277430806972
1995-04-01,1114.0,1995-09-01,1534.1663625201693
1995-05-01,1040.0,1995-10-01,1501.2614318266317
1995-06-01,962.0,1995-11-01,1470.059383469429
1995-07-01,910.0,1995-12-01,1440.4235848596886
1995-08-01,878.0,1996-01-01,1412.232031360866
1995-09-01,822.0,1996-02-01,1385.3754100479955
1995-10-01,935.0,1996-03-01,1359.7554660577332
1995-11-01,815.0,1996-04-01,1335.283617393445
1995-12-01,784.0,1996-05-01,1311.879774896015
1996-01-01,818.0,1996-06-01,1289.4713325435293
1996-02-01,697.0,1996-07-01,1267.9922998762013
1996-03-01,715.0,1996-08-01,1247.3825535830235
1996-04-01,620.0,1996-09-01,1227.5871894522304
1996-05-01,728.0,1996-10-01,1208.5559592188488
1996-06-01,613.0,1996-11-01,1190.242779521567
1996-07-01,584.0,1996-12-01,1172.6053023471984
1996-08-01,573.0,1997-01-01,1155.6045381012739
1996-09-01,534.0,1997-02-01,1139.204523880797
1996-10-01,560.0,1997-03-01,1123.3720307045585
1996-11-01,528.0,1997-04-01,1108.0763044282837
1996-12-01,606.0,1997-05-01,1093.2888358761968
1997-01-01,544.0,1997-06-01,1078.9831563889038
1997-02-01,497.0,1997-07-01,1065.134655544989
1997-03-01,498.0,1997-08-01,1051.720418280507
1997-04-01,485.0,1997-09-01,1038.7190790227621
1997-05-01,490.0,1997-10-01,1026.1106907855017
1997-06-01,580.0,1997-11-01,1013.8766074523853
1997-07-01,532.0,1997-12-01,1001.9993777130411
1997-08-01,439.0,1998-01-01,990.4626493181081
1997-09-01,230.0,1998-02-01,979.2510824922124
1997-10-01,545.0,1998-03-01,968.3502714915543
1997-11-01,436.0,1998-04-01,957.7466734196115
1997-12-01,294.0,1998-05-01,947.4275435236387
1998-01-01,671.0,1998-06-01,937.3808762888541
