t,q,t_model,q_model
2005-05-01,9799.0,2008-09-01,796.9664251910998
2005-06-01,14937.0,2008-10-01,651.9210315288065
2005-07-01,9716.0,2008-11-01,568.3830505048298
2005-08-01,5346.0,2008-12-01,512.1211035664212
2005-09-01,3508.0,2009-01-01,470.80944879579783
2005-10-01,1637.0,2009-02-01,438.75613580236256
2005-11-01,2275.0,2009-03-01,412.9147065969511
2005-12-01,1903.0,2009-04-01,391.4850838400703
2006-01-01,1675.0,2009-05-01,373.3250091058932
2006-02-01,1572.0,2009-06-01,357.6694165635419
2006-03-01,3173.0,2009-07-01,343.9836823089268
2006-04-01,3911.0,2009-08-01,331.8812150766373
2006-05-01,3259.0,2009-09-01,321.07447453528795
2006-06-01,3434.0,2009-10-01,311.3444753574966
2006-07-01,3222.0,2009-11-01,302.5210519981136
2006-08-01,2237.0,2009-12-01,294.46966208579965
2006-09-01,2978.0,2010-01-01,287.08231058567674
2006-10-01,2956.0,2010-02-01,280.27115386727854
2006-11-01,2692.0,2010-03-01,273.96389496847144
2006-12-01,2562.0,2010-04-01,268.10040519645594
2007-01-01,2629.0,2010-05-01,262.63020341730044
2007-02-01,2396.0,2010-06-01,257.5105467190526
2007-03-01,2456.0,2010-07-01,252.70496437644871
2007-04-01,1367.0,2010-08-01,248.182118245007
2007-05-01,444.0,2010-09-01,243.91490691294524
2007-06-01,522.0,2010-10-01,239.87975421518863
2007-07-01,1483.0,2010-11-01,236.05603882594514
2007-08-01,1491.0,2010-12-01,232.42563297433142
2007-09-01,1032.0,2011-01-01,228.9725264063352
2007-10-01,1429.0,2011-02-01,225.68251755421215
2007-11-01,1301.0,2011-03-01,222.54295814443802
2007-12-01,1304.0,2011-04-01,219.5425406340091
2008-01-01,1124.0,2011-05-01,216.67112022607233
2008-02-01,1035.0,2011-06-01,213.9195649982377
2008-03-01,1040.0,2011-07-01,211.2796290347177
2008-04-01,1001.0,2011-08-01,208.74384449667235
2008-05-01,985.0,2011-09-01,206.30542937314962
2008-06-01,936.0,2011-10-01,203.9582082855787
2008-07-01,872.0,2011-11-01,201.69654421438395
2008-08-01,811.0,2011-12-01,199.51527940844213
2008-09-01,778.0,2012-01-01,197.4096840503853
2008-10-01,630.0,2012-02-01,195.3754115009199
2008-11-01,582.0,2012-03-01,193.40845914689183
2008-12-01,555.0,2012-04-01,191.505134041104
2009-01-01,504.0,2012-05-01,189.66202265484014
2009-02-01,443.0,2012-06-01,187.8759641728341
2009-03-01,467.0,2012-07-01,186.14402684985367
2009-04-01,420.0,2012-08-01,184.46348702191662
2009-05-01,386.0,2012-09-01,182.83181042639814
2009-06-01,344.0,2012-10-01,181.24663553628145
2009-07-01,408.0,2012-11-01,179.70575865643286
2009-08-01,383.0,2012-12-01,178.2071205655468
2009-09-01,355.0,2013-01-01,176.74879451752693
2009-10-01,380.0,2013-02-01,175.32897544151618
2009-11-01,307.0,2013-03-01,173.94597020136553
2009-12-01,307.0,2013-04-01,172.59818879367884
2010-01-01,301.0,2013-05-01,171.28413637922395
2010-02-01,275.0,2013-06-01,170.00240605589417
2010-03-01,293.0,2013-07-01,168.75167229289306
2010-04-01,275.0,2013-08-01,167.53068495570375
2010-05-01,294.0,2013-09-01,166.33826385993166
2010-06-01,208.0,2013-10-01,165.1732937994853
