t,q,t_model,q_model
2011-08-01,9766.0,2011-09-01,16732.37314771536
2011-09-01,18363.0,2011-10-01,14736.431164323858
2011-10-01,14887.0,2011-11-01,13024.57767311092
2011-11-01,11615.0,2011-12-01,11550.166620229487
2011-12-01,10330.0,2012-01-01,10275.179744398478
2012-01-01,9663.0,2012-02-01,9168.46032998362
2012-02-01,8431.0,2012-03-01,8204.34176453166
2012-03-01,8365.0,2012-04-01,7361.575570075273
2012-04-01,6560.0,2012-05-01,6622.488228425272
2012-05-01,7149.0,2012-06-01,5972.313993999312
2012-06-01,5906.0,2012-07-01,5398.663952991952
2012-07-01,6023.0,2012-08-01,4891.101212540921
2012-08-01,5395.0,2012-09-01,4440.799246378124
2012-09-01,5281.0,2012-10-01,4040.265761671149
2012-10-01,4807.0,2012-11-01,3683.1184680968504
2012-11-01,4904.0,2012-12-01,3363.9021713590428
2012-12-01,3946.0,2013-01-01,3077.938930253435
2013-01-01,4266.0,2013-02-01,2821.2047918403123
2013-02-01,3355.0,2013-03-01,2590.22798747756
2013-03-01,928.0,2013-04-01,2382.0045324906914
2013-04-01,2600.0,2013-05-01,2193.927997764881
2013-05-01,1252.0,2013-06-01,2023.7308676080543
2013-06-01,3037.0,2013-07-01,1869.4354062701348
2013-07-01,2706.0,2013-08-01,1729.3123568313076
2013-08-01,2742.0,2013-09-01,1601.846114603298
2013-09-01,1899.0,2013-10-01,1485.7052709183126
2013-10-01,271.0,2013-11-01,1379.7176261846964
2013-11-01,460.0,2013-12-01,1282.848934149037
2013-12-01,608.0,2014-01-01,1194.184770780329
2014-01-01,661.0,2014-02-01,1112.915027590887
2014-02-01,547.0,2014-03-01,1038.3206156203462
2014-03-01,460.0,2014-04-01,969.7620367292764
2014-04-01,308.0,2014-05-01,906.669536428082
2014-05-01,96.0,2014-06-01,848.5345996980295
2014-06-01,1072.0,2014-07-01,794.902590125066
2014-07-01,1585.0,2014-08-01,745.3663647424662
2014-08-01,1535.0,2014-09-01,699.560723528613
2014-09-01,1036.0,2014-10-01,657.1575745455489
2014-10-01,1665.0,2014-11-01,617.8617140491176
2014-11-01,1194.0,2014-12-01,581.4071362127254
2014-12-01,49.0,2015-01-01,547.5537999188463
2015-01-01,296.0,2015-02-01,516.0847908204619
2015-02-01,281.0,2015-03-01,486.80382591323786
2015-03-01,342.0,2015-04-01,459.53305547847435
2015-04-01,323.0,2015-05-01,434.11112369449285
2015-05-01,340.0,2015-06-01,410.3914546657031
2015-06-01,53.0,2015-07-01,388.240735245304
2015-07-01,0.0,2015-08-01,367.537569962618
2015-08-01,0.0,2015-09-01,348.17128671986626
2015-09-01,0.0,2015-10-01,330.04087478737904
2015-10-01,0.0,2015-11-01,313.0540390771589
2015-11-01,0.0,2015-12-01,297.12635677605675
2015-12-01,0.0,2016-01-01,282.1805242248276
2016-01-01,0.0,2016-02-01,268.14568348265806
2016-02-01,0.0,2016-03-01,254.95681935589025
2016-03-01,0.0,2016-04-01,242.5542188261685
2016-04-01,0.0,2016-05-01,230.8829858137243
2016-05-01,0.0,2016-06-01,219.89260507848095
2016-06-01,0.0,2016-07-01,209.53654981415954
2016-07-01,0.0,2016-08-01,199.77192814474378
2016-08-01,0.0,2016-09-01,190.55916430226733
2016-09-01,0.0,2016-10-01,181.8617107615956
2016-10-01,0.0,2016-11-01,173.6457880416769
2016-11-01,0.0,2016-12-01,165.88014926214112
2016-12-01,0.0,2017-01-01,158.53586687643875
2017-01-01,0.0,2017-02-01,151.58613929418019
2017-02-01,0.0,2017-03-01,145.00611536132988
2017-03-01,0.0,2017-04-01,138.77273489205268
2017-04-01,0.0,2017-05-01,132.8645836442776
2017-05-01,0.0,2017-06-01,127.26176130586823
2017-06-01,0.0,2017-07-01,121.94576121264063
2017-07-01,0.0,2017-08-01,116.89936065591131
2017-08-01,0.0,2017-09-01,112.10652075801217
2017-09-01,0.0,2017-10-01,107.5522950012153
2017-10-01,0.0,2017-11-01,103.22274559043265
2017-11-01,0.0,2017-12-01,99.10486691436464
2017-12-01,0.0,2018-01-01,95.18651544473357
2018-01-01,0.0,2018-02-01,91.4563454799611
2018-02-01,0.0,2018-03-01,87.90375019910806
2018-03-01,0.0,2018-04-01,84.51880754493229
2018-04-01,0.0,2018-05-01,81.29223050228114
2018-05-01,0.0,2018-06-01,78.21532138036966
2018-06-01,0.0,2018-07-01,75.27992974537484
2018-07-01,0.0,2018-08-01,72.47841368370497
2018-08-01,0.0,2018-09-01,69.80360410671699
2018-09-01,0.0,2018-10-01,67.24877183495218
2018-10-01,0.0,2018-11-01,64.80759722447567
2018-11-01,0.0,2018-12-01,62.47414211994749
2018-12-01,0.0,2019-01-01,60.24282393888694
2019-01-01,0.0,2019-02-01,58.108391709456036
2019-02-01,0.0,2019-03-01,56.06590390019049
2019-03-01,0.0,2019-04-01,54.11070789463581
2019-04-01,0.0,2019-05-01,52.238420976964704
2019-05-01,21.0,2019-06-01,50.44491270650824
2019-06-01,355.0,2019-07-01,48.726288569856266
2019-07-01,377.0,2019-08-01,47.078874808890184
2019-08-01,343.0,2019-09-01,45.49920433190373
2019-09-01,345.0,2019-10-01,43.98400362294065
2019-10-01,316.0,2019-11-01,42.53018057171147
2019-11-01,306.0,2019-12-01,41.13481315301944
2019-12-01,259.0,2020-01-01,39.79513889059428
2020-01-01,278.0,2020-02-01,38.50854504565941
2020-02-01,196.0,2020-03-01,37.2725594754973
2020-03-01,226.0,2020-04-01,36.08484211177475
2020-04-01,287.0,2020-05-01,34.94317701248867
2020-05-01,10.0,2020-06-01,33.84546494513039
2020-06-01,10.0,2020-07-01,32.78971646207691
2020-07-01,172.0,2020-08-01,31.77404543233195
2020-08-01,176.0,2020-09-01,30.796662996585212
2020-09-01,165.0,2020-10-01,29.85587191516098
2020-10-01,157.0,2020-11-01,28.950061280805777
2020-11-01,134.0,2020-12-01,28.07770157044747
2020-12-01,182.0,2021-01-01,27.237340012050844
2021-01-01,197.0,2021-02-01,26.427596244528576
2021-02-01,168.0,2021-03-01,25.64715825034197
2021-03-01,180.0,2021-04-01,24.894778541968293
2021-04-01,171.0,2021-05-01,24.169270584825163
2021-05-01,149.0,2021-06-01,23.4695054405425
2021-06-01,159.0,2021-07-01,22.794408615667418
2021-07-01,142.0,2021-08-01,22.14295710198647
2021-08-01,100.0,2021-09-01,21.514176595661464
2021-09-01,125.0,2021-10-01,20.907138883306327
2021-10-01,122.0,2021-11-01,20.32095938399152
2021-11-01,128.0,2021-12-01,19.754794836952506
2021-12-01,127.0,2022-01-01,19.20784112551046
2022-01-01,13.0,2022-02-01,18.679331228384818
2022-02-01,119.0,2022-03-01,18.16853329020125
2022-03-01,123.0,2022-04-01,17.67474880357139
2022-04-01,101.0,2022-05-01,17.197310895652738
2022-05-01,101.0,2022-06-01,16.73558271258769
2022-06-01,70.0,2022-07-01,16.28895589567503
2022-07-01,43.0,2022-08-01,15.856849143547585
2022-08-01,80.0,2022-09-01,15.438706855019314
2022-09-01,100.0,2022-10-01,15.033997847625596
2022-10-01,62.0,2022-11-01,14.642214147215066
2022-11-01,137.0,2022-12-01,14.26286984426156
2022-12-01,113.0,2023-01-01,13.895500012851777
2023-01-01,97.0,2023-02-01,13.539659688572474
2023-02-01,82.0,2023-03-01,13.19492290176757
2023-03-01,86.0,2023-04-01,12.860881762867287
2023-04-01,72.0,2023-05-01,12.537145596704407
2023-05-01,56.0,2023-06-01,12.223340122932616
2023-06-01,96.0,2023-07-01,11.919106679846628
2023-07-01,67.0,2023-08-01,11.62410148907637
2023-08-01,107.0,2023-09-01,11.337994958787773
2023-09-01,72.0,2023-10-01,11.060471023172266
2023-10-01,50.0,2023-11-01,10.791226516146242
2023-11-01,93.0,2023-12-01,10.529970577311529
2023-12-01,100.0,2024-01-01,10.276424088348952
2024-01-01,63.0,2024-02-01,10.030319138129887
2024-02-01,69.0,2024-03-01,9.791398514936212
2024-03-01,75.0,2024-04-01,9.559415224277133
2024-04-01,58.0,2024-05-01,9.334132030883504
2024-05-01,56.0,2024-06-01,9.115321023545874
2024-06-01,21.0,2024-07-01,8.902763201542774
2024-07-01,14.0,2024-08-01,8.696248081480704
2024-08-01,22.0,2024-09-01,8.495573323437442
2024-09-01,33.0,2024-10-01,8.300544375365888
2024-10-01,66.0,2024-11-01,8.11097413477706
,,2024-12-01,7.9266826267783905
,,2025-01-01,7.747496697597301
,,2025-02-01,7.573249722770518
,,2025-03-01,7.403781329226803
,,2025-04-01,7.238937130535282
,,2025-05-01,7.078568474632917
,,2025-06-01,6.922532203383864
,,2025-07-01,6.770690423359991
,,2025-08-01,6.6229102872662065
,,2025-09-01,6.479063785466549
,,2025-10-01,6.339027547097301
,,2025-11-01,6.202682650281888
,,2025-12-01,6.069914440989087
,,2026-01-01,5.940612360101311
,,2026-02-01,5.814669778283344
,,2026-03-01,5.691983838264231
,,2026-04-01,5.57245530416604
,,2026-05-01,5.455988417532839
,,2026-06-01,5.342490759731953
,,2026-07-01,5.2318731204169975
,,2026-08-01,5.124049371758719
,,2026-09-01,5.018936348165202
,,2026-10-01,4.916453731227684
,,2026-11-01,4.816523939642045
,,2026-12-01,4.71907202386905
,,2027-01-01,4.624025565308755
,,2027-02-01,4.531314579776113
,,2027-03-01,4.4408714250757235
,,2027-04-01,4.352630712484063
,,2027-05-01,4.266529221957342
,,2027-06-01,4.182505820892266
,,2027-07-01,4.100501386275835
,,2027-08-01,4.02045873006846
,,2027-09-01,3.9423225276725664
,,2027-10-01,3.8660392493461475
,,2027-11-01,3.791557094427786
,,2027-12-01,3.7188259282462193
,,2028-01-01,3.64779722159379
,,2028-02-01,3.5784239926490424
,,2028-03-01,3.510660751239327
,,2028-04-01,3.444463445339578
,,2028-05-01,3.3797894097084553
,,2028-06-01,3.316597316567837
,,2028-07-01,3.254847128236088
,,2028-08-01,3.194500051629909
,,2028-09-01,3.13551849455355
,,2028-10-01,3.0778660236980633
,,2028-11-01,3.0215073242769033
,,2028-12-01,2.9664081612276645
,,2029-01-01,2.912535341913012
,,2029-02-01,2.8598566802570105
,,2029-03-01,2.80834096225599
,,2029-04-01,2.7579579128059297
,,2029-05-01,2.708678163791005
,,2029-06-01,2.6604732233804587
,,2029-07-01,2.613315446483437
,,2029-08-01,2.5671780063136347
,,2029-09-01,2.5220348670178607
,,2029-10-01,2.477860757324651
,,2029-11-01,2.4346311451710636
,,2029-12-01,2.3923222132676427
,,2030-01-01,2.3509108355633463
,,2030-02-01,2.310374554573912
,,2030-03-01,2.270691559538763
,,2030-04-01,2.2318406653731033
,,2030-05-01,2.1938012923832932
,,2030-06-01,2.1565534467150203
,,2030-07-01,2.120077701505099
,,2030-08-01,2.08435517870899
,,2030-09-01,2.0493675315773547
,,2030-10-01,2.015096927756105
,,2030-11-01,1.9815260329855005
,,2030-12-01,1.948637995374897
,,2031-01-01,1.9164164302307487
,,2031-02-01,1.884845405416417
,,2031-03-01,1.8539094272232373
,,2031-04-01,1.823593426733183
,,2031-05-01,1.7938827466542682
,,2031-06-01,1.7647631286106351
,,2031-07-01,1.7362207008700177
,,2031-08-01,1.708241966492007
,,2031-09-01,1.6808137918811976
,,2031-10-01,1.6539233957299935
