t,q,t_model,q_model
2006-03-01,18880.0,2007-10-01,16453.035801663267
2006-04-01,25745.0,2007-11-01,10188.404284042346
2006-05-01,26026.0,2007-12-01,7825.246246246931
2006-06-01,24927.0,2008-01-01,6516.147588244824
2006-07-01,25162.0,2008-02-01,5663.06798811863
2006-08-01,25178.0,2008-03-01,5053.929458770618
2006-09-01,24497.0,2008-04-01,4592.555978096852
2006-10-01,25194.0,2008-05-01,4228.374622208151
2006-11-01,23967.0,2008-06-01,3931.994023586588
2006-12-01,24435.0,2008-07-01,3685.047819436126
2007-01-01,17858.0,2008-08-01,3475.4082867095904
2007-02-01,22059.0,2008-09-01,3294.711833372821
2007-03-01,17249.0,2008-10-01,3136.984621841272
2007-04-01,19302.0,2008-11-01,2997.8342194190195
2007-05-01,17925.0,2008-12-01,2873.951333322115
2007-06-01,17969.0,2009-01-01,2762.790419245641
2007-07-01,17916.0,2009-02-01,2662.358038346193
2007-08-01,17220.0,2009-03-01,2571.0685550576804
2007-09-01,16684.0,2009-04-01,2487.6432802227487
2007-10-01,16267.0,2009-05-01,2411.03843006075
2007-11-01,11573.0,2009-06-01,2340.3926688705005
2007-12-01,6971.0,2009-07-01,2274.9882516890866
2008-01-01,6263.0,2009-08-01,2214.221795339291
2008-02-01,4703.0,2009-09-01,2157.5819852458662
2008-03-01,4488.0,2009-10-01,2104.6323572427123
2008-04-01,4599.0,2009-11-01,2054.9978459943977
2008-05-01,4155.0,2009-12-01,2008.3541654659978
2008-06-01,3909.0,2010-01-01,1964.4193442123787
2008-07-01,3665.0,2010-02-01,1922.9469182166483
2008-08-01,3902.0,2010-03-01,1883.7204116825949
2008-09-01,3590.0,2010-04-01,1846.5488279795775
2008-10-01,3658.0,2010-05-01,1811.2629397509147
2008-11-01,3533.0,2010-06-01,1777.712216384402
2008-12-01,1788.0,2010-07-01,1745.7622636417786
2009-01-01,4395.0,2010-08-01,1715.2926777456337
2009-02-01,3145.0,2010-09-01,1686.1952370803133
2009-03-01,1204.0,2010-10-01,1658.372370620428
2009-04-01,2063.0,2010-11-01,1631.73585450783
2009-05-01,2591.0,2010-12-01,1606.2056977631676
2009-06-01,2381.0,2011-01-01,1581.7091856060176
2009-07-01,2119.0,2011-02-01,1558.1800547593807
2009-08-01,2492.0,2011-03-01,1535.5577797959672
2009-09-01,2401.0,2011-04-01,1513.786953320232
2009-10-01,2441.0,2011-05-01,1492.81674577956
2009-11-01,1954.0,2011-06-01,1472.6004331190916
2009-12-01,1835.0,2011-07-01,1453.094982459101
2010-01-01,2110.0,2011-08-01,1434.260687575738
2010-02-01,1605.0,2011-09-01,1416.060847278392
2010-03-01,1825.0,2011-10-01,1398.4614808571207
2010-04-01,1928.0,2011-11-01,1381.4310756664881
2010-05-01,1996.0,2011-12-01,1364.9403626532608
2010-06-01,1245.0,2012-01-01,1348.9621162530111
2010-07-01,1503.0,2012-02-01,1333.4709755972794
2010-08-01,1775.0,2012-03-01,1318.4432844066528
2010-09-01,1687.0,2012-04-01,1303.8569473105158
2010-10-01,1195.0,2012-05-01,1289.6913006430916
2010-11-01,2643.0,2012-06-01,1275.9269960273157
2010-12-01,1362.0,2012-07-01,1262.5458952809238
2011-01-01,1751.0,2012-08-01,1249.5309753692259
2011-02-01,1649.0,2012-09-01,1236.8662422917353
2011-03-01,950.0,2012-10-01,1224.5366529294051
2011-04-01,1985.0,2012-11-01,1212.5280439993214
2011-05-01,803.0,2012-12-01,1200.8270673672976
2011-06-01,1286.0,2013-01-01,1189.421131058415
2011-07-01,1261.0,2013-02-01,1178.2983453831946
2011-08-01,2656.0,2013-03-01,1167.4474736645698
2011-09-01,760.0,2013-04-01,1156.857887109602
2011-10-01,1427.0,2013-05-01,1146.5195234211426
2011-11-01,681.0,2013-06-01,1136.4228487895246
2011-12-01,1889.0,2013-07-01,1126.5588229436576
2012-01-01,1891.0,2013-08-01,1116.9188669754387
2012-02-01,1637.0,2013-09-01,1107.4948336817536
2012-03-01,1361.0,2013-10-01,1098.2789801951255
2012-04-01,1666.0,2013-11-01,1089.2639426977141
2012-05-01,2094.0,2013-12-01,1080.4427130342867
2012-06-01,1148.0,2014-01-01,1071.808617058325
2012-07-01,1625.0,2014-02-01,1063.355294561883
