t,q,t_model,q_model
2014-07-01,11542.0,2015-03-01,23699.45937660972
2014-08-01,22319.0,2015-04-01,16232.120922179907
2014-09-01,22280.0,2015-05-01,12305.566110241136
2014-10-01,27963.0,2015-06-01,9890.053629765205
2014-11-01,24598.0,2015-07-01,8256.677863899966
2014-12-01,28271.0,2015-08-01,7079.781217249512
2015-01-01,26924.0,2015-09-01,6192.183200956318
2015-02-01,25197.0,2015-10-01,5499.318035810789
2015-03-01,23879.0,2015-11-01,4943.708961118078
2015-04-01,16252.0,2015-12-01,4488.427787759791
2015-05-01,11503.0,2016-01-01,4108.6756094640705
2015-06-01,9120.0,2016-02-01,3787.18662886026
2015-07-01,8695.0,2016-03-01,3511.573171754053
2015-08-01,7126.0,2016-04-01,3272.7187677114157
2015-09-01,6674.0,2016-05-01,3063.7666640081507
2015-10-01,5074.0,2016-06-01,2879.4614801126054
2015-11-01,4992.0,2016-07-01,2715.7081535316993
2015-12-01,4288.0,2016-08-01,2569.2689174850884
2016-01-01,6499.0,2016-09-01,2437.5504413895137
2016-02-01,5898.0,2016-10-01,2318.451333665032
2016-03-01,4776.0,2016-11-01,2210.250950489322
2016-04-01,3702.0,2016-12-01,2111.52702979755
2016-05-01,2620.0,2017-01-01,2021.0937992703628
2016-06-01,3242.0,2017-02-01,1937.9548610046036
2016-07-01,1489.0,2017-03-01,1861.2668972797785
2016-08-01,2937.0,2017-04-01,1790.3114068030995
2016-09-01,2283.0,2017-05-01,1724.4724736497585
2016-10-01,2236.0,2017-06-01,1663.2191193300105
2016-11-01,740.0,2017-07-01,1606.0911730664554
2016-12-01,0.0,2017-08-01,1552.6878689197254
2017-01-01,0.0,2017-09-01,1502.658575392051
2017-02-01,643.0,2017-10-01,1455.6952066503195
2017-03-01,2775.0,2017-11-01,1411.5259701975176
2017-04-01,1460.0,2017-12-01,1369.9101844422423
2017-05-01,1417.0,2018-01-01,1330.6339586566191
2017-06-01,1555.0,2018-02-01,1293.5065725440063
2017-07-01,1927.0,2018-03-01,1258.3574268105206
2017-08-01,1076.0,2018-04-01,1225.033462446153
2017-09-01,1643.0,2018-05-01,1193.396966830544
2017-10-01,2235.0,2018-06-01,1163.3237007202142
2017-11-01,2140.0,2018-07-01,1134.701292708737
2017-12-01,2051.0,2018-08-01,1107.4278576689023
2018-01-01,1689.0,2018-09-01,1081.4108035796057
2018-02-01,1613.0,2018-10-01,1056.5657974585267
2018-03-01,1850.0,2018-11-01,1032.8158662062951
2018-04-01,1394.0,2018-12-01,1010.0906122806341
2018-05-01,950.0,2019-01-01,988.3255274619577
2018-06-01,1047.0,2019-02-01,967.4613907018669
2018-07-01,1091.0,2019-03-01,947.4437382852776
2018-08-01,1048.0,2019-04-01,928.2223963815885
2018-09-01,963.0,2019-05-01,909.7510675860971
2018-10-01,885.0,2019-06-01,891.9869643198742
2018-11-01,675.0,2019-07-01,874.8904830123599
2018-12-01,1071.0,2019-08-01,858.424913874354
2019-01-01,972.0,2019-09-01,842.5561818106274
2019-02-01,1031.0,2019-10-01,827.2526146459302
2019-03-01,1027.0,2019-11-01,812.4847353658812
2019-04-01,880.0,2019-12-01,798.225075521472
2019-05-01,556.0,2020-01-01,784.4480073261191
2019-06-01,706.0,2020-02-01,771.1295922983211
2019-07-01,243.0,2020-03-01,758.2474445800722
2019-08-01,49.0,2020-04-01,745.7806072986924
2019-09-01,437.0,2020-05-01,733.7094405438656
2019-10-01,821.0,2020-06-01,722.0155197075289
2019-11-01,489.0,2020-07-01,710.6815430861442
2019-12-01,660.0,2020-08-01,699.6912477763555
2020-01-01,557.0,2020-09-01,689.0293330091176
2020-02-01,504.0,2020-10-01,678.6813901665681
2020-03-01,570.0,2020-11-01,668.6338388123544
2020-04-01,518.0,2020-12-01,658.873868141607
2020-05-01,351.0,2021-01-01,649.3893833227843
2020-06-01,306.0,2021-02-01,640.1689562615131
2020-07-01,550.0,2021-03-01,631.2017803673941
2020-08-01,776.0,2021-04-01,622.47762894949
2020-09-01,688.0,2021-05-01,613.9868169056552
2020-10-01,686.0,2021-06-01,605.7201654056948
2020-11-01,743.0,2021-07-01,597.6689692991501
2020-12-01,706.0,2021-08-01,589.824967005805
2021-01-01,741.0,2021-09-01,582.1803126712264
2021-02-01,677.0,2021-10-01,574.7275503911874
2021-03-01,813.0,2021-11-01,567.4595903279779
2021-04-01,673.0,2021-12-01,560.3696865587008
2021-05-01,722.0,2022-01-01,553.4514165108957
2021-06-01,1001.0,2022-02-01,546.698661854475
2021-07-01,1155.0,2022-03-01,540.1055907311575
2021-08-01,926.0,2022-04-01,533.6666412135331
2021-09-01,449.0,2022-05-01,527.376505895713
2021-10-01,794.0,2022-06-01,521.2301175263452
2021-11-01,763.0,2022-07-01,515.2226356027256
2021-12-01,719.0,2022-08-01,509.3494338518857
2022-01-01,580.0,2022-09-01,503.6060885309988
2022-02-01,1032.0,2022-10-01,497.988367485278
2022-03-01,815.0,2022-11-01,492.4922199068065
2022-04-01,674.0,2022-12-01,487.1137667425191
2022-05-01,718.0,2023-01-01,481.8492917038712
2022-06-01,589.0,2023-02-01,476.69523283465935
2022-07-01,964.0,2023-03-01,471.6481745970129
2022-08-01,673.0,2023-04-01,466.7048404388203
2022-09-01,614.0,2023-05-01,461.8620858087913
2022-10-01,465.0,2023-06-01,457.1168915880462
2022-11-01,573.0,2023-07-01,452.46635790956225
2022-12-01,394.0,2023-08-01,447.907698339044
2023-01-01,758.0,2023-09-01,443.43823439281726
2023-02-01,676.0,2023-10-01,439.05539037021555
2023-03-01,250.0,2023-11-01,434.75668847962544
2023-04-01,466.0,2023-12-01,430.53974423892436
2023-05-01,518.0,2024-01-01,426.4022621324703
2023-06-01,548.0,2024-02-01,422.342031508119
2023-07-01,501.0,2024-03-01,418.3569226989456
