t,q,t_model,q_model
2017-08-01,1618.0,2018-04-01,6570.324285657257
2017-09-01,3363.0,2018-05-01,2351.302400040052
2017-10-01,5003.0,2018-06-01,1911.552077105687
2017-11-01,920.0,2018-07-01,1691.2307245713891
2017-12-01,1556.0,2018-08-01,1549.9026493281312
2018-01-01,2476.0,2018-09-01,1448.2340151792268
2018-02-01,0.0,2018-10-01,1370.0226907417193
2018-03-01,0.0,2018-11-01,1307.1377453045302
2018-04-01,6568.0,2018-12-01,1254.9640950326745
2018-05-01,2830.0,2019-01-01,1210.650140954186
2018-06-01,604.0,2019-02-01,1172.3205645719804
2018-07-01,2244.0,2019-03-01,1138.681648819032
2018-08-01,1809.0,2019-04-01,1108.8064074340175
2018-09-01,2021.0,2019-05-01,1082.0098342150286
2018-10-01,2676.0,2019-06-01,1057.7726294523625
2018-11-01,1593.0,2019-07-01,1035.6925378156673
2018-12-01,97.0,2019-08-01,1015.4521746228138
2019-01-01,317.0,2019-09-01,996.7970980734779
2019-02-01,1966.0,2019-10-01,979.5204685293131
2019-03-01,1737.0,2019-11-01,963.452068847086
2019-04-01,853.0,2019-12-01,948.4502870888964
2019-05-01,522.0,2020-01-01,934.3961575616925
2019-06-01,331.0,2020-02-01,921.1888610632668
2019-07-01,68.0,2020-03-01,908.7422783599668
2019-08-01,1270.0,2020-04-01,896.9823162637382
2019-09-01,629.0,2020-05-01,885.8448088030098
2019-10-01,507.0,2020-06-01,875.2738522038585
2019-11-01,67.0,2020-07-01,865.2204711061536
2019-12-01,1006.0,2020-08-01,855.6415405259374
2020-01-01,973.0,2020-09-01,846.498907313395
2020-02-01,665.0,2020-10-01,837.7586687075728
2020-03-01,764.0,2020-11-01,829.3905756891519
2020-04-01,669.0,2020-12-01,821.3675362836
2020-05-01,762.0,2021-01-01,813.6651995236296
2020-06-01,635.0,2021-02-01,806.2616049656872
2020-07-01,910.0,2021-03-01,799.1368858382023
2020-08-01,1446.0,2021-04-01,792.2730163411252
2020-09-01,1703.0,2021-05-01,785.6535955050291
2020-10-01,1722.0,2021-06-01,779.2636614903312
2020-11-01,1330.0,2021-07-01,773.0895313632714
2020-12-01,1438.0,2021-08-01,767.1186622992933
2021-01-01,835.0,2021-09-01,761.3395308918517
2021-02-01,644.0,2021-10-01,755.7415278270516
2021-03-01,813.0,2021-11-01,750.3148656535535
2021-04-01,575.0,2021-12-01,745.0504977570125
2021-05-01,1021.0,2022-01-01,739.9400469575215
2021-06-01,695.0,2022-02-01,734.975742401507
2021-07-01,511.0,2022-03-01,730.1503636274815
2021-08-01,377.0,2022-04-01,725.4571908567874
2021-09-01,361.0,2022-05-01,720.8899607028801
2021-10-01,232.0,2022-06-01,716.4428266113157
2021-11-01,577.0,2022-07-01,712.1103234417673
2021-12-01,259.0,2022-08-01,707.8873356866284
2022-01-01,638.0,2022-09-01,703.7690688908597
2022-02-01,437.0,2022-10-01,699.7510238969941
2022-03-01,688.0,2022-11-01,695.8289735894684
2022-04-01,1917.0,2022-12-01,691.9989418552071
2022-05-01,1017.0,2023-01-01,688.2571845138694
2022-06-01,1601.0,2023-02-01,684.6001720024163
2022-07-01,926.0,2023-03-01,681.0245736254557
2022-08-01,704.0,2023-04-01,677.527243205916
2022-09-01,1013.0,2023-05-01,674.1052059905137
2022-10-01,565.0,2023-06-01,670.7556466817242
2022-11-01,581.0,2023-07-01,667.4758984829157
2022-12-01,713.0,2023-08-01,664.2634330563133
2023-01-01,758.0,2023-09-01,661.1158513047923
2023-02-01,643.0,2023-10-01,658.0308748984013
2023-03-01,689.0,2023-11-01,655.0063384751824
2023-04-01,671.0,2023-12-01,652.0401824534578
2023-05-01,591.0,2024-01-01,649.13044639944
2023-06-01,529.0,2024-02-01,646.2752628999056
2023-07-01,671.0,2024-03-01,643.4728518948699
2023-08-01,760.0,2024-04-01,640.721515429794
2023-09-01,692.0,2024-05-01,638.0196327909193
2023-10-01,628.0,2024-06-01,635.3656559909435
2023-11-01,227.0,2024-07-01,632.7581055754484
2023-12-01,821.0,2024-08-01,630.1955667233545
2024-01-01,481.0,2024-09-01,627.6766856172244
2024-02-01,1037.0,2024-10-01,625.200166061501
2024-03-01,1125.0,2024-11-01,622.7647663288166
2024-04-01,729.0,2024-12-01,620.3692962163161
2024-05-01,597.0,2025-01-01,618.012614295583
2024-06-01,632.0,2025-02-01,615.6936253412184
2024-07-01,647.0,2025-03-01,613.4112779244474
2024-08-01,631.0,2025-04-01,611.1645621593182
2024-09-01,645.0,2025-05-01,608.9525075901257
2024-10-01,664.0,2025-06-01,606.7741812096716
2024-11-01,624.0,2025-07-01,604.6286855988344
2024-12-01,592.0,2025-08-01,602.5151571787331
2025-01-01,553.0,2025-09-01,600.4327645674699
2025-02-01,567.0,2025-10-01,598.3807070341034
,,2025-11-01,596.3582130430883
,,2025-12-01,594.3645388829592
,,2026-01-01,592.3989673735263
,,2026-02-01,590.4608066462979
,,2026-03-01,588.5493889932527
,,2026-04-01,586.6640697794571
,,2026-05-01,584.8042264153614
,,2026-06-01,582.9692573849248
,,2026-07-01,581.1585813259994
,,2026-08-01,579.3716361596674
,,2026-09-01,577.6078782654662
,,2026-10-01,575.866781699654
,,2026-11-01,574.1478374538735
,,2026-12-01,572.4505527517573
,,2027-01-01,570.7744503811863
,,2027-02-01,569.1190680600774
,,2027-03-01,567.4839578337165
,,2027-04-01,565.8686855017878
,,2027-05-01,564.2728300733803
,,2027-06-01,562.6959832483593
,,2027-07-01,561.1377489236024
,,2027-08-01,559.5977427226956
,,2027-09-01,558.075591547776
,,2027-10-01,556.5709331522941
,,2027-11-01,555.083415733544
,,2027-12-01,553.6126975438832
,,2028-01-01,552.1584465196346
,,2028-02-01,550.7203399267202
,,2028-03-01,549.2980640221388
,,2028-04-01,547.8913137304535
,,2028-05-01,546.4997923345032
,,2028-06-01,545.1232111796015
,,2028-07-01,543.7612893905302
,,2028-08-01,542.4137536006749
,,2028-09-01,541.0803376926872
,,2028-10-01,539.7607825500972
,,2028-11-01,538.4548358193302
,,2028-12-01,537.1622516816132
,,2029-01-01,535.8827906342868
,,2029-02-01,534.616219281067
,,2029-03-01,533.3623101308215
,,2029-04-01,532.1208414044555
,,2029-05-01,530.891596849521
,,2029-06-01,529.6743655621841
,,2029-07-01,528.4689418162076
,,2029-08-01,527.2751248986207
,,2029-09-01,526.0927189517694
,,2029-10-01,524.9215328214542
,,2029-11-01,523.7613799108778
,,2029-12-01,522.612078040142
,,2030-01-01,521.4734493110433
,,2030-02-01,520.3453199769332
,,2030-03-01,519.2275203174178
,,2030-04-01,518.1198845176845
,,2030-05-01,517.0222505522557
,,2030-06-01,515.9344600729759
,,2030-07-01,514.85635830105
,,2030-08-01,513.7877939229634
,,2030-09-01,512.7286189901135
,,2030-10-01,511.6786888220022
,,2030-11-01,510.6378619128348
,,2030-12-01,509.60599984138895
,,2031-01-01,508.5829671840141
,,2031-02-01,507.56863143063606
,,2031-03-01,506.56286290364255
,,2031-04-01,505.5655346795332
,,2031-05-01,504.57652251322395
,,2031-06-01,503.5957047648979
,,2031-07-01,502.6229623293024
,,2031-08-01,501.6581785673965
,,2031-09-01,500.7012392402541
,,2031-10-01,499.7520324451382
,,2031-11-01,498.8104485536587
,,2031-12-01,497.8763801519361
,,2032-01-01,496.94972198269244
,,2032-02-01,496.03037088919785
,,2032-03-01,495.11822576100076
,,2032-04-01,494.21318748137537
,,2032-05-01,493.31515887642354
,,2032-06-01,492.424044665767
,,2032-07-01,491.539751414773
,,2032-08-01,490.66218748825685
,,2032-09-01,489.79126300560694
,,2032-10-01,488.92688979728064
,,2032-11-01,488.06898136262157
,,2032-12-01,487.21745282895193
,,2033-01-01,486.37222091189216
,,2033-02-01,485.53320387686637
,,2033-03-01,484.700321501751
,,2033-04-01,483.87349504062587
,,2033-05-01,483.05264718859104
,,2033-06-01,482.2377020476095
