t,q,t_model,q_model
2004-01-01,227.0,2018-11-01,972.1836566443371
2004-02-01,175.0,2018-12-01,938.3303051203887
2004-03-01,196.0,2019-01-01,906.2389049598892
2004-04-01,175.0,2019-02-01,875.7884693266566
2004-05-01,167.0,2019-03-01,846.8682605066247
2004-06-01,153.0,2019-04-01,819.376762794798
2004-07-01,199.0,2019-05-01,793.2207737053471
2004-08-01,151.0,2019-06-01,768.314598159145
2004-09-01,163.0,2019-07-01,744.5793325085089
2004-10-01,202.0,2019-08-01,721.942227117464
2004-11-01,173.0,2019-09-01,700.3361177866066
2004-12-01,150.0,2019-10-01,679.6989176429223
2005-01-01,191.0,2019-11-01,659.9731622463046
2005-02-01,131.0,2019-12-01,641.1056016285404
2005-03-01,165.0,2020-01-01,623.046833804075
2005-04-01,173.0,2020-02-01,605.7509749971028
2005-05-01,187.0,2020-03-01,589.1753624349367
2005-06-01,136.0,2020-04-01,573.2802860784948
2005-07-01,120.0,2020-05-01,558.0287461099347
2005-08-01,126.0,2020-06-01,543.3862333856678
2005-09-01,141.0,2020-07-01,529.3205303991961
2005-10-01,124.0,2020-08-01,515.8015305899985
2005-11-01,155.0,2020-09-01,502.80107408841667
2005-12-01,180.0,2020-10-01,490.29279820756324
2006-01-01,140.0,2020-11-01,478.2520011862536
2006-02-01,150.0,2020-12-01,466.65551785572626
2006-03-01,175.0,2021-01-01,455.48160605077595
2006-04-01,194.0,2021-02-01,444.70984271568767
2006-05-01,189.0,2021-03-01,434.32102876943793
2006-06-01,163.0,2021-04-01,424.29710189508694
2006-07-01,160.0,2021-05-01,414.6210565068864
2006-08-01,240.0,2021-06-01,405.27687022689804
2006-09-01,133.0,2021-07-01,396.2494362721662
2006-10-01,258.0,2021-08-01,387.52450121485003
2006-11-01,126.0,2021-09-01,379.0886076321649
2006-12-01,98.0,2021-10-01,370.9290412113689
2007-01-01,125.0,2021-11-01,363.0337819180852
2007-02-01,62.0,2021-12-01,355.3914588746155
2007-03-01,85.0,2022-01-01,347.99130862913205
2007-04-01,76.0,2022-02-01,340.82313652721865
2007-05-01,93.0,2022-03-01,333.87728092458843
2007-06-01,92.0,2022-04-01,327.14458000431125
2007-07-01,125.0,2022-05-01,320.61634098385406
2007-08-01,107.0,2022-06-01,314.2843115169689
2007-09-01,80.0,2022-07-01,308.14065311319183
2007-10-01,66.0,2022-08-01,302.17791641367614
2007-11-01,56.0,2022-09-01,296.3890181764559
2007-12-01,60.0,2022-10-01,290.7672198372009
2008-01-01,73.0,2022-11-01,285.30610752322946
2008-02-01,155.0,2022-12-01,279.999573409121
2008-03-01,114.0,2023-01-01,274.84179831184133
2008-04-01,149.0,2023-02-01,269.8272354319608
2008-05-01,95.0,2023-03-01,264.9505951553983
2008-06-01,84.0,2023-04-01,260.206830837254
2008-07-01,66.0,2023-05-01,255.59112549576838
2008-08-01,66.0,2023-06-01,251.09887935032503
2008-09-01,81.0,2023-07-01,246.72569814277736
2008-10-01,983.0,2023-08-01,242.46738218624648
2008-11-01,164.0,2023-09-01,238.3199160899901
