t,q,t_model,q_model
2015-02-01,11743.0,2015-03-01,5728.150016538232
2015-03-01,5770.0,2015-04-01,3369.0753448756363
2015-04-01,3260.0,2015-05-01,2765.5133229782828
2015-05-01,2338.0,2015-06-01,2443.266591153362
2015-06-01,2560.0,2015-07-01,2231.8494005042085
2015-07-01,2048.0,2015-08-01,2078.1638151655266
2015-08-01,1813.0,2015-09-01,1959.2991646660712
2015-09-01,1693.0,2015-10-01,1863.4540151049212
2015-10-01,1802.0,2015-11-01,1783.8184827362327
2015-11-01,298.0,2015-12-01,1716.1374870771826
2015-12-01,2608.0,2016-01-01,1657.590412482989
2016-01-01,2748.0,2016-02-01,1606.2200544225568
2016-02-01,1324.0,2016-03-01,1560.6178848342408
2016-03-01,1664.0,2016-04-01,1519.7395901524505
2016-04-01,1390.0,2016-05-01,1482.7914502218953
2016-05-01,1443.0,2016-06-01,1449.1574166849716
2016-06-01,1298.0,2016-07-01,1418.3506662515786
2016-07-01,1167.0,2016-08-01,1389.9804507328156
2016-08-01,1196.0,2016-09-01,1363.7288285769964
2016-09-01,1668.0,2016-10-01,1339.3339650820458
2016-10-01,1588.0,2016-11-01,1316.5779098930432
2016-11-01,1504.0,2016-12-01,1295.2774945392407
2016-12-01,1274.0,2017-01-01,1275.2774474207586
2017-01-01,1320.0,2017-02-01,1256.4451127923383
2017-02-01,1217.0,2017-03-01,1238.6663485770225
2017-03-01,1240.0,2017-04-01,1221.842303093869
2017-04-01,1303.0,2017-05-01,1205.8868557237888
2017-05-01,945.0,2017-06-01,1190.72456515715
2017-06-01,740.0,2017-07-01,1176.2890099733531
2017-07-01,1359.0,2017-08-01,1162.521435553373
2017-08-01,1418.0,2017-09-01,1149.3696424229845
2017-09-01,1280.0,2017-10-01,1136.7870665304524
2017-10-01,1261.0,2017-11-01,1124.7320133432193
2017-11-01,1423.0,2017-12-01,1113.167016145669
2017-12-01,1631.0,2018-01-01,1102.0582953283547
2018-01-01,1290.0,2018-02-01,1091.3753003369625
2018-02-01,1355.0,2018-03-01,1081.090319694684
2018-03-01,1402.0,2018-04-01,1071.1781474110787
2018-04-01,1241.0,2018-05-01,1061.6157963523049
2018-05-01,1558.0,2018-06-01,1052.3822509247673
2018-06-01,1188.0,2018-07-01,1043.4582528301778
2018-07-01,1145.0,2018-08-01,1034.826114769445
2018-08-01,1252.0,2018-09-01,1026.4695578695723
2018-09-01,1224.0,2018-10-01,1018.3735693302643
