t,q,t_model,q_model
2017-04-01,17183.0,2018-12-01,3734.6499890194273
2017-05-01,10919.0,2019-01-01,2553.890157178658
2017-06-01,10254.0,2019-02-01,2020.8904552173383
2017-07-01,7358.0,2019-03-01,1705.600486549555
2017-08-01,402.0,2019-04-01,1493.0393635512332
2017-09-01,1434.0,2019-05-01,1338.1077134908858
2017-10-01,1597.0,2019-06-01,1219.149366892849
2017-11-01,1701.0,2019-07-01,1124.3458604429554
2017-12-01,2908.0,2019-08-01,1046.647161932937
2018-01-01,3257.0,2019-09-01,981.5619015597115
2018-02-01,2789.0,2019-10-01,926.0799984789203
2018-03-01,3208.0,2019-11-01,878.1011292148131
2018-04-01,2597.0,2019-12-01,836.1108059773088
2018-05-01,2537.0,2020-01-01,798.9867302190424
2018-06-01,2371.0,2020-02-01,765.8778192003729
2018-07-01,2050.0,2020-03-01,736.1257873843101
2018-08-01,2043.0,2020-04-01,709.2126867804421
2018-09-01,2088.0,2020-05-01,684.7248463386034
2018-10-01,2383.0,2020-06-01,662.3274896482151
2018-11-01,2950.0,2020-07-01,641.7464924642646
2018-12-01,3721.0,2020-08-01,622.7550269834601
2019-01-01,2745.0,2020-09-01,605.1636209868803
2019-02-01,1344.0,2020-10-01,588.8126480767095
2019-03-01,2896.0,2020-11-01,573.5665778634326
2019-04-01,1343.0,2020-12-01,559.309519697119
2019-05-01,779.0,2021-01-01,545.9417303380344
2019-06-01,703.0,2021-02-01,533.3768490535283
2019-07-01,665.0,2021-03-01,521.5396880393645
2019-08-01,1567.0,2021-04-01,510.3644513155735
2019-09-01,786.0,2021-05-01,499.79328748764016
2019-10-01,1209.0,2021-06-01,489.77510503377846
2019-11-01,578.0,2021-07-01,480.2645957767934
2019-12-01,546.0,2021-08-01,471.22142475413085
2020-01-01,476.0,2021-09-01,462.6095540699314
2020-02-01,1390.0,2021-10-01,454.39667537411134
2020-03-01,641.0,2021-11-01,446.5537309830446
2020-04-01,1122.0,2021-12-01,439.0545077743828
2020-05-01,307.0,2022-01-01,431.8752911719187
2020-06-01,982.0,2022-02-01,424.9945690158378
2020-07-01,1131.0,2022-03-01,418.3927770585687
2020-08-01,1853.0,2022-04-01,412.0520793622361
2020-09-01,23.0,2022-05-01,405.95617809416905
2020-10-01,81.0,2022-06-01,400.09014819260824
2020-11-01,95.0,2022-07-01,394.44029315922023
2020-12-01,80.0,2022-08-01,388.994018869161
2021-01-01,127.0,2022-09-01,383.7397228046921
2021-02-01,46.0,2022-10-01,378.6666965390695
2021-03-01,852.0,2022-11-01,373.7650396425653
2021-04-01,1368.0,2022-12-01,369.0255834668838
2021-05-01,1347.0,2023-01-01,364.43982349958185
2021-06-01,894.0,2023-02-01,359.9998591756639
2021-07-01,836.0,2023-03-01,355.69834019665154
2021-08-01,1017.0,2023-04-01,351.5284185440161
2021-09-01,672.0,2023-05-01,347.48370548864125
2021-10-01,288.0,2023-06-01,343.55823299476583
2021-11-01,144.0,2023-07-01,339.7464189987369
2021-12-01,78.0,2023-08-01,336.0430361124002
2022-01-01,174.0,2023-09-01,332.4431833601133
2022-02-01,209.0,2023-10-01,328.9422606088877
2022-03-01,1101.0,2023-11-01,325.53594539441855
2022-04-01,1424.0,2023-12-01,322.22017188290664
2022-05-01,1157.0,2024-01-01,318.99111174054997
2022-06-01,851.0,2024-02-01,315.8451567101856
2022-07-01,162.0,2024-03-01,312.77890271844194
