t,q,t_model,q_model
2016-11-01,3779.0,2017-02-01,5525.276039336822
2016-12-01,7051.0,2017-03-01,1919.8566523422523
2017-01-01,2533.0,2017-04-01,1472.6687910048504
2017-02-01,5543.0,2017-05-01,1256.453558701238
2017-03-01,594.0,2017-06-01,1121.4022252627026
2017-04-01,2514.0,2017-07-01,1026.2672265571227
2017-05-01,1519.0,2017-08-01,954.3372835124368
2017-06-01,1358.0,2017-09-01,897.3470411611165
2017-07-01,1571.0,2017-10-01,850.6646955420313
2017-08-01,1387.0,2017-11-01,811.460623637548
2017-09-01,1040.0,2017-12-01,777.892835175178
2017-10-01,1251.0,2018-01-01,748.7022993545745
2017-11-01,1032.0,2018-02-01,722.9944782395345
2017-12-01,874.0,2018-03-01,700.1134703628151
2018-01-01,812.0,2018-04-01,679.565614605941
2018-02-01,690.0,2018-05-01,660.9710769753066
2018-03-01,730.0,2018-06-01,644.0320426683971
2018-04-01,730.0,2018-07-01,628.5111657809547
2018-05-01,753.0,2018-08-01,614.2165767761857
2018-06-01,349.0,2018-09-01,600.9912086825713
2018-07-01,232.0,2018-10-01,588.7050422047752
2018-08-01,170.0,2018-11-01,577.2493692826365
2018-09-01,409.0,2018-12-01,566.5324810681035
2018-10-01,569.0,2019-01-01,556.4763795492755
2018-11-01,462.0,2019-02-01,547.0142369420789
2018-12-01,560.0,2019-03-01,538.0884094662532
2019-01-01,397.0,2019-04-01,529.6488677029322
2019-02-01,354.0,2019-05-01,521.6519438560711
2019-03-01,465.0,2019-06-01,514.0593228231008
2019-04-01,567.0,2019-07-01,506.83722279567576
2019-05-01,361.0,2019-08-01,499.9557246137882
2019-06-01,282.0,2019-09-01,493.3882189102006
2019-07-01,766.0,2019-10-01,487.11094729924963
2019-08-01,546.0,2019-11-01,481.1026192299698
2019-09-01,362.0,2019-12-01,475.3440901537725
2019-10-01,7.0,2020-01-01,469.81808971292685
2019-11-01,24.0,2020-02-01,464.50899099399413
2019-12-01,153.0,2020-03-01,459.40261369387156
2020-01-01,1549.0,2020-04-01,454.4860554482636
2020-02-01,1571.0,2020-05-01,449.7475466705965
2020-03-01,645.0,2020-06-01,445.17632511550113
2020-04-01,287.0,2020-07-01,440.76252706855036
2020-05-01,391.0,2020-08-01,436.4970926131551
2020-06-01,262.0,2020-09-01,432.3716828668171
2020-07-01,983.0,2020-10-01,428.37860743549464
2020-08-01,324.0,2020-11-01,424.5107606244626
2020-09-01,430.0,2020-12-01,420.7615651804897
2020-10-01,338.0,2021-01-01,417.1249225341143
2020-11-01,273.0,2021-02-01,413.595168670631
2020-12-01,521.0,2021-03-01,410.16703489068976
2021-01-01,278.0,2021-04-01,406.8356128313628
2021-02-01,364.0,2021-05-01,403.5963232102843
2021-03-01,453.0,2021-06-01,400.44488783232254
2021-04-01,195.0,2021-07-01,397.37730446286395
2021-05-01,373.0,2021-08-01,394.3898242263027
2021-06-01,499.0,2021-09-01,391.4789312344828
2021-07-01,412.0,2021-10-01,388.64132418903597
2021-08-01,142.0,2021-11-01,385.8738997349539
2021-09-01,261.0,2021-12-01,383.17373737127036
2021-10-01,225.0,2022-01-01,380.53808574918264
2021-11-01,185.0,2022-02-01,377.9643502089621
2021-12-01,216.0,2022-03-01,375.45008142511205
2022-01-01,354.0,2022-04-01,372.9929650448788
2022-02-01,277.0,2022-05-01,370.59081221877454
2022-03-01,129.0,2022-06-01,368.2415509335346
2022-04-01,759.0,2022-07-01,365.9432180681738
2022-05-01,442.0,2022-08-01,363.6939521027353
2022-06-01,358.0,2022-09-01,361.4919864171336
2022-07-01,241.0,2022-10-01,359.3356431243318
2022-08-01,320.0,2022-11-01,357.22332738809615
2022-09-01,328.0,2022-12-01,355.1535221808517
2022-10-01,310.0,2023-01-01,353.12478344181494
2022-11-01,242.0,2023-02-01,351.1357355996885
2022-12-01,475.0,2023-03-01,349.1850674278354
2023-01-01,241.0,2023-04-01,347.2715282030725
2023-02-01,241.0,2023-05-01,345.39392414207737
2023-03-01,375.0,2023-06-01,343.5511150919476
2023-04-01,411.0,2023-07-01,341.7420114537105
2023-05-01,306.0,2023-08-01,339.965571319603
2023-06-01,225.0,2023-09-01,338.2207978067414
2023-07-01,222.0,2023-10-01,336.50673657141635
2023-08-01,213.0,2023-11-01,334.8224734896911
2023-09-01,129.0,2023-12-01,333.1671324912797
