t,q,t_model,q_model
2008-12-01,5823.0,2009-07-01,7193.268296053359
2009-01-01,13278.0,2009-08-01,2811.827636555025
2009-02-01,11742.0,2009-09-01,2170.749472012258
2009-03-01,9394.0,2009-10-01,1856.91919034707
2009-04-01,7573.0,2009-11-01,1659.8575944159556
2009-05-01,12670.0,2009-12-01,1520.6174722891324
2009-06-01,10973.0,2010-01-01,1415.127557303457
2009-07-01,7181.0,2010-02-01,1331.4255630949876
2009-08-01,2954.0,2010-03-01,1262.786232390083
2009-09-01,2768.0,2010-04-01,1205.0912608831568
2009-10-01,1792.0,2010-05-01,1155.6548605271037
2009-11-01,1651.0,2010-06-01,1112.638566253816
2009-12-01,2135.0,2010-07-01,1074.7345859667344
2010-01-01,1624.0,2010-08-01,1040.9830430030877
2010-02-01,968.0,2010-09-01,1010.6608702649983
2010-03-01,800.0,2010-10-01,983.2113099450623
2010-04-01,860.0,2010-11-01,958.1975429072273
2010-05-01,912.0,2010-12-01,935.271241786305
2010-06-01,758.0,2011-01-01,914.1506749304934
2010-07-01,933.0,2011-02-01,894.6051060337118
2010-08-01,1095.0,2011-03-01,876.4434523475843
2010-09-01,1741.0,2011-04-01,859.5058898917526
2010-10-01,1575.0,2011-05-01,843.6575397353078
2010-11-01,478.0,2011-06-01,828.7836507211435
2010-12-01,199.0,2011-07-01,814.7858759301035
2011-01-01,299.0,2011-08-01,801.579360434695
2011-02-01,48.0,2011-09-01,789.0904389622652
2011-03-01,191.0,2011-10-01,777.254797729147
2011-04-01,921.0,2011-11-01,766.0159935249504
2011-05-01,763.0,2011-12-01,755.3242506148624
2011-06-01,653.0,2012-01-01,745.1354757634062
2011-07-01,739.0,2012-02-01,735.4104460332675
2011-08-01,0.0,2012-03-01,726.114134570326
2011-09-01,744.0,2012-04-01,717.2151474384493
2011-10-01,347.0,2012-05-01,708.685250467609
2011-11-01,1027.0,2012-06-01,700.4989695540901
2011-12-01,597.0,2012-07-01,692.6332512762631
2012-01-01,373.0,2012-08-01,685.0671733320488
2012-02-01,720.0,2012-09-01,677.7816963593576
2012-03-01,945.0,2012-10-01,670.7594503108421
2012-04-01,1507.0,2012-11-01,663.9845498244222
2012-05-01,759.0,2012-12-01,657.4424340395649
2012-06-01,1306.0,2013-01-01,651.1197271150912
2012-07-01,700.0,2013-02-01,645.004116351868
2012-08-01,986.0,2013-03-01,639.084245347091
2012-09-01,765.0,2013-04-01,633.3496200320645
2012-10-01,354.0,2013-05-01,627.7905257925557
2012-11-01,766.0,2013-06-01,622.3979541556614
2012-12-01,780.0,2013-07-01,617.1635377618957
2013-01-01,697.0,2013-08-01,612.0794925355625
2013-02-01,566.0,2013-09-01,607.1385661280384
2013-03-01,520.0,2013-10-01,602.3339918434269
2013-04-01,854.0,2013-11-01,597.6594473690153
2013-05-01,689.0,2013-12-01,593.1090177279523
2013-06-01,488.0,2014-01-01,588.6771619517219
2013-07-01,837.0,2014-02-01,584.3586830378512
2013-08-01,524.0,2014-03-01,580.1487008159371
2013-09-01,632.0,2014-04-01,576.0426273941958
2013-10-01,593.0,2014-05-01,572.036144900718
2013-11-01,608.0,2014-06-01,568.125185269589
2013-12-01,449.0,2014-07-01,564.3059118529637
2014-01-01,530.0,2014-08-01,560.5747026668316
2014-02-01,750.0,2014-09-01,556.9281351012404
2014-03-01,645.0,2014-10-01,553.3629719456865
2014-04-01,889.0,2014-11-01,549.8761485977091
2014-05-01,485.0,2014-12-01,546.464761337792
2014-06-01,502.0,2015-01-01,543.1260565668308
2014-07-01,258.0,2015-02-01,539.8574209139149
2014-08-01,369.0,2015-03-01,536.6563721322505
2014-09-01,838.0,2015-04-01,533.5205507098854
2014-10-01,773.0,2015-05-01,530.4477121296771
2014-11-01,395.0,2015-06-01,527.4357197198
2014-12-01,27.0,2015-07-01,524.482538042136
2015-01-01,1059.0,2015-08-01,521.5862267712506
2015-02-01,1159.0,2015-09-01,518.7449350213979
2015-03-01,1062.0,2015-10-01,515.956896083209
2015-04-01,649.0,2015-11-01,513.2204225354635
2015-05-01,199.0,2015-12-01,510.5339017006797
2015-06-01,419.0,2016-01-01,507.8957914162303
2015-07-01,1021.0,2016-02-01,505.3046160953515
2015-08-01,690.0,2016-03-01,502.7589630547881
2015-09-01,517.0,2016-04-01,500.257479087951
2015-10-01,848.0,2016-05-01,497.7988672643697
2015-11-01,540.0,2016-06-01,495.38188393794707
2015-12-01,479.0,2016-07-01,493.0053359480628
2016-01-01,185.0,2016-08-01,490.66807799896736
2016-02-01,353.0,2016-09-01,488.36901020416474
2016-03-01,567.0,2016-10-01,486.1070757836137
2016-04-01,541.0,2016-11-01,483.88125890260693
2016-05-01,266.0,2016-12-01,481.6905826421125
2016-06-01,77.0,2017-01-01,479.53410709120715
2016-07-01,432.0,2017-02-01,477.41092755299263
2016-08-01,517.0,2017-03-01,475.32017285608157
2016-09-01,511.0,2017-04-01,473.2610037643696
2016-10-01,371.0,2017-05-01,471.2326114783867
2016-11-01,758.0,2017-06-01,469.2342162220428
2016-12-01,617.0,2017-07-01,467.2650659090613
2017-01-01,473.0,2017-08-01,465.3244348838309
2017-02-01,351.0,2017-09-01,463.41162273180333
2017-03-01,601.0,2017-10-01,461.52595315493215
2017-04-01,611.0,2017-11-01,459.6667729079796
2017-05-01,546.0,2017-12-01,457.83345079182607
2017-06-01,216.0,2018-01-01,456.0253767001971
2017-07-01,397.0,2018-02-01,454.2419607164825
2017-08-01,430.0,2018-03-01,452.48263225755636
2017-09-01,366.0,2018-04-01,450.746839261729
2017-10-01,401.0,2018-05-01,449.0340474181587
2017-11-01,309.0,2018-06-01,447.3437394352393
2017-12-01,393.0,2018-07-01,445.6754143456479
2018-01-01,366.0,2018-08-01,444.0285868458969
2018-02-01,305.0,2018-09-01,442.40278666837753
2018-03-01,344.0,2018-10-01,440.7975579840184
2018-04-01,343.0,2018-11-01,439.21245883380493
2018-05-01,254.0,2018-12-01,437.647060587523
2018-06-01,426.0,2019-01-01,436.10094742819484
2018-07-01,421.0,2019-02-01,434.5737158607735
2018-08-01,556.0,2019-03-01,433.0649742437567
2018-09-01,492.0,2019-04-01,431.57434234246176
2018-10-01,254.0,2019-05-01,430.10145090278655
2018-11-01,398.0,2019-06-01,428.64594124435047
2018-12-01,518.0,2019-07-01,427.2074648719811
2019-01-01,501.0,2019-08-01,425.78568310457473
2019-02-01,365.0,2019-09-01,424.38026672041593
2019-03-01,389.0,2019-10-01,422.9908956180993
2019-04-01,315.0,2019-11-01,421.6172584922466
2019-05-01,309.0,2019-12-01,420.2590525232606
2019-06-01,230.0,2020-01-01,418.9159830803992
2019-07-01,231.0,2020-02-01,417.5877634375008
2019-08-01,51.0,2020-03-01,416.27411450072407
2019-09-01,129.0,2020-04-01,414.97476454770674
2019-10-01,237.0,2020-05-01,413.68944897757956
2019-11-01,332.0,2020-06-01,412.41791007130445
2019-12-01,449.0,2020-07-01,411.15989676183466
2020-01-01,461.0,2020-08-01,409.9151644136252
2020-02-01,236.0,2020-09-01,408.683474611043
2020-03-01,341.0,2020-10-01,407.4645949552583
2020-04-01,348.0,2020-11-01,406.2582988692135
2020-05-01,362.0,2020-12-01,405.0643654102946
2020-06-01,400.0,2021-01-01,403.8825790903446
2020-07-01,247.0,2021-02-01,402.71272970268296
2020-08-01,287.0,2021-03-01,401.5546121558082
2020-09-01,183.0,2021-04-01,400.40802631348083
2020-10-01,191.0,2021-05-01,399.27277684089813
2020-11-01,115.0,2021-06-01,398.1486730566879
2020-12-01,322.0,2021-07-01,397.03552879046254
2021-01-01,422.0,2021-08-01,395.9331622456859
2021-02-01,185.0,2021-09-01,394.8413958676222
2021-03-01,168.0,2021-10-01,393.7600562161435
2021-04-01,75.0,2021-11-01,392.68897384318564
2021-05-01,151.0,2021-12-01,391.6279831746533
