t,q,t_model,q_model
2008-09-01,4109.0,2009-03-01,2206.0129675052763
2008-10-01,5828.0,2009-04-01,1999.1970966256529
2008-11-01,3647.0,2009-05-01,1840.6064911516414
2008-12-01,3097.0,2009-06-01,1714.0564570004583
2009-01-01,2690.0,2009-07-01,1610.0629037841275
2009-02-01,2191.0,2009-08-01,1522.6532772472387
2009-03-01,2192.0,2009-09-01,1447.8552012149466
2009-04-01,1994.0,2009-10-01,1382.9107176178727
2009-05-01,1883.0,2009-11-01,1325.8374709547672
2009-06-01,1717.0,2009-12-01,1275.169252701444
2009-07-01,1632.0,2010-01-01,1229.7952641892396
2009-08-01,1554.0,2010-02-01,1188.8565844643103
2009-09-01,1430.0,2010-03-01,1151.6772480631234
2009-10-01,1371.0,2010-04-01,1117.7170448247673
2009-11-01,1336.0,2010-05-01,1086.5383908247131
2009-12-01,1234.0,2010-06-01,1057.7825687613524
2010-01-01,1314.0,2010-07-01,1031.1523599818413
2010-02-01,1060.0,2010-08-01,1006.3991313033151
2010-03-01,1174.0,2010-09-01,983.3130867376544
2010-04-01,1097.0,2010-10-01,961.7158067339491
2010-05-01,1108.0,2010-11-01,941.4544666796546
2010-06-01,1044.0,2010-12-01,922.3973056563025
2010-07-01,1032.0,2011-01-01,904.4300381006717
2010-08-01,1067.0,2011-02-01,887.4529850084103
2010-09-01,961.0,2011-03-01,871.3787602108611
2010-10-01,970.0,2011-04-01,856.1303891507641
2010-11-01,952.0,2011-05-01,841.639767781695
2010-12-01,929.0,2011-06-01,827.8463912523321
2011-01-01,909.0,2011-07-01,814.6962982997471
2011-02-01,764.0,2011-08-01,802.1411894055414
2011-03-01,849.0,2011-09-01,790.1376859047771
2011-04-01,838.0,2011-10-01,778.6467041825551
2011-05-01,841.0,2011-11-01,767.6329244179669
2011-06-01,795.0,2011-12-01,757.0643374510275
2011-07-01,778.0,2012-01-01,746.9118565538437
2011-08-01,812.0,2012-02-01,737.148983401942
2011-09-01,730.0,2012-03-01,727.7515195276933
2011-10-01,789.0,2012-04-01,718.6973161163304
2011-11-01,683.0,2012-05-01,709.966056267374
2011-12-01,780.0,2012-06-01,701.5390648595189
2012-01-01,720.0,2012-07-01,693.3991419780392
2012-02-01,685.0,2012-08-01,685.5304165311251
2012-03-01,721.0,2012-09-01,677.9182172267402
2012-04-01,643.0,2012-10-01,670.5489585290347
2012-05-01,749.0,2012-11-01,663.4100395822469
2012-06-01,629.0,2012-12-01,656.4897543954696
2012-07-01,631.0,2013-01-01,649.7772118356089
2012-08-01,554.0,2013-02-01,643.26226418782
2012-09-01,678.0,2013-03-01,636.9354432202966
2012-10-01,578.0,2013-04-01,630.7879028396092
2012-11-01,851.0,2013-05-01,624.811367548792
2012-12-01,677.0,2013-06-01,618.9980860270342
2013-01-01,663.0,2013-07-01,613.3407892404334
2013-02-01,428.0,2013-08-01,607.8326525704384
2013-03-01,614.0,2013-09-01,602.46726151256
2013-04-01,598.0,2013-10-01,597.2385805544308
2013-05-01,605.0,2013-11-01,592.1409248908543
2013-06-01,596.0,2013-12-01,587.1689346753147
2013-07-01,610.0,2014-01-01,582.3175515435519
2013-08-01,611.0,2014-02-01,577.5819971760977
2013-09-01,657.0,2014-03-01,572.9577536938251
2013-10-01,595.0,2014-04-01,568.4405457041918
2013-11-01,749.0,2014-05-01,564.0263238364619
2013-12-01,707.0,2014-06-01,559.711249622193
2014-01-01,642.0,2014-07-01,555.491681593042
2014-02-01,564.0,2014-08-01,551.3641624817778
2014-03-01,553.0,2014-09-01,547.3254074245523
2014-04-01,584.0,2014-10-01,543.3722930731947
2014-05-01,590.0,2014-11-01,539.501847535756
2014-06-01,531.0,2014-12-01,535.7112410718835
2014-07-01,553.0,2015-01-01,531.9977774770165
2014-08-01,539.0,2015-02-01,528.3588860959659
2014-09-01,500.0,2015-03-01,524.7921144122723
2014-10-01,547.0,2015-04-01,521.2951211649431
2014-11-01,493.0,2015-05-01,517.8656699487955
2014-12-01,532.0,2015-06-01,514.5016232587772
2015-01-01,482.0,2015-07-01,511.2009369423281
2015-02-01,481.0,2015-08-01,507.96165502716696
2015-03-01,531.0,2015-09-01,504.78190489485377
2015-04-01,507.0,2015-10-01,501.6598927731487
2015-05-01,484.0,2015-11-01,498.59389952258726
2015-06-01,723.0,2015-12-01,495.5822766948529
2015-07-01,724.0,2016-01-01,492.6234428424732
2015-08-01,693.0,2016-02-01,489.7158800611288
