t,q,t_model,q_model
2023-09-01,7436.0,2023-10-01,20000.0
2023-10-01,29310.0,2023-11-01,12727.88638398163
2023-11-01,22485.0,2023-12-01,9510.539209231323
2023-12-01,15020.0,2024-01-01,7666.975818153119
2024-01-01,13547.0,2024-02-01,6461.552703708253
2024-02-01,17112.0,2024-03-01,5607.016093047115
2024-03-01,14774.0,2024-04-01,4967.108371026703
2024-04-01,12312.0,2024-05-01,4468.542369441309
2024-05-01,12076.0,2024-06-01,4068.2510860181683
2024-06-01,12712.0,2024-07-01,3739.199733630169
2024-07-01,10758.0,2024-08-01,3463.525998912152
2024-08-01,4638.0,2024-09-01,3228.934859729997
2024-09-01,4460.0,2024-10-01,3026.675078057987
2024-10-01,714.0,2024-11-01,2850.3413038897756
2024-11-01,600.0,2024-12-01,2695.1329604590796
2024-12-01,3958.0,2025-01-01,2557.3783813646237
2025-01-01,3634.0,2025-02-01,2434.2194129093373
2025-02-01,3221.0,2025-03-01,2323.3965567997307
,,2025-04-01,2223.0990534405178
,,2025-05-01,2131.858044642851
,,2025-06-01,2048.468994888835
,,2025-07-01,1971.9344054192889
,,2025-08-01,1901.4208697529948
,,2025-09-01,1836.2264377747636
,,2025-10-01,1775.755504188114
,,2025-11-01,1719.499266389994
,,2025-12-01,1667.0203577615625
,,2026-01-01,1617.9406482180566
,,2026-02-01,1571.9314733844665
,,2026-03-01,1528.7057447140362
,,2026-04-01,1488.0115299285717
,,2026-05-01,1449.6267927388417
,,2026-06-01,1413.3550539683333
,,2026-07-01,1379.0217905268446
,,2026-08-01,1346.4714294104222
,,2026-09-01,1315.5648247231513
,,2026-10-01,1286.1771292370815
,,2026-11-01,1258.1959901028263
,,2026-12-01,1231.5200123523696
,,2027-01-01,1206.0574447897213
,,2027-02-01,1181.7250514764069
,,2027-03-01,1158.447138831903
,,2027-04-01,1136.1547137924551
,,2027-05-01,1114.7847528136663
,,2027-06-01,1094.2795649975803
,,2027-07-01,1074.5862354535043
,,2027-08-01,1055.656137302117
,,2027-09-01,1037.4445026120572
,,2027-10-01,1019.9100441010502
,,2027-11-01,1003.0146207055794
,,2027-12-01,986.722941176034
,,2028-01-01,971.0023007293757
,,2028-02-01,955.8223465214503
,,2028-03-01,941.1548683123877
,,2028-04-01,926.9736112122181
,,2028-05-01,913.2541078269139
,,2028-06-01,899.9735274913945
,,2028-07-01,887.1105405868572
,,2028-08-01,874.6451962043235
,,2028-09-01,862.5588116420695
,,2028-10-01,850.8338724178512
,,2028-11-01,839.4539416426874
,,2028-12-01,828.403577745664
,,2029-01-01,817.6682596623268
,,2029-02-01,807.2343187056782
,,2029-03-01,797.0888764310648
,,2029-04-01,787.2197878863951
,,2029-05-01,777.6155897089264
,,2029-06-01,768.2654525907462
,,2029-07-01,759.1591376883295
,,2029-08-01,750.2869565981903
,,2029-09-01,741.639734561607
,,2029-10-01,733.2087765974064
,,2029-11-01,724.9858362935287
,,2029-12-01,716.9630870161112
,,2030-01-01,709.1330953195875
,,2030-02-01,701.4887963632441
,,2030-03-01,694.0234711591388
,,2030-04-01,686.7307254935785
,,2030-05-01,679.604470379747
,,2030-06-01,672.6389039127961
,,2030-07-01,665.828494410961
,,2030-08-01,659.1679647372057
,,2030-09-01,652.6522777057137
,,2030-10-01,646.2766224863193
,,2030-11-01,640.0364019278668
,,2030-12-01,633.927220728571
,,2031-01-01,627.9448743878376
,,2031-02-01,622.0853388797452
,,2031-03-01,616.3447609935831
,,2031-04-01,610.7194492915185
,,2031-05-01,605.2058656377112
,,2031-06-01,599.8006172570209
,,2031-07-01,594.5004492849337
,,2031-08-01,589.3022377734881
,,2031-09-01,584.2029831208441
,,2031-10-01,579.1998038947443
,,2031-11-01,574.2899310224872
,,2031-12-01,569.470702322193
,,2032-01-01,564.7395573521084
,,2032-02-01,560.0940325565011
,,2032-03-01,555.5317566883311
,,2032-04-01,551.0504464903914
,,2032-05-01,546.6479026179852
,,2032-06-01,542.3220057874654
,,2032-07-01,538.0707131361182
,,2032-08-01,533.8920547799329
,,2032-09-01,529.78413055677
,,2032-10-01,525.7451069433404
,,2032-11-01,521.7732141352252
,,2032-12-01,517.866743279929
,,2033-01-01,514.0240438536531
,,2033-02-01,510.24352117312253
,,2033-03-01,506.5236340343921
,,2033-04-01,502.8628924711066
,,2033-05-01,499.2598556251973
,,2033-06-01,495.7131297234637
