t,q,t_model,q_model
2011-09-01,2.0,2012-01-01,12924.736349436771
2011-10-01,9609.0,2012-02-01,10970.088731724594
2011-11-01,13649.0,2012-03-01,9550.455087381632
2011-12-01,13662.0,2012-04-01,8470.376343854443
2012-01-01,12870.0,2012-05-01,7619.70138194612
2012-02-01,10977.0,2012-06-01,6931.509170722375
2012-03-01,9832.0,2012-07-01,6362.738373132671
2012-04-01,8341.0,2012-08-01,5884.393119452208
2012-05-01,7541.0,2012-09-01,5476.215999344523
2012-06-01,6683.0,2012-10-01,5123.616218187482
2012-07-01,6567.0,2012-11-01,4815.811062007455
2012-08-01,5915.0,2012-12-01,4544.65534407869
2012-09-01,5385.0,2013-01-01,4303.87855911037
2012-10-01,5376.0,2013-02-01,4088.5729171836083
2012-11-01,4771.0,2013-03-01,3894.84085383861
2012-12-01,4601.0,2013-04-01,3719.546829930275
2013-01-01,4318.0,2013-05-01,3560.1390565751412
2013-02-01,3656.0,2013-06-01,3414.5191548773755
2013-03-01,3995.0,2013-07-01,3280.9453332134462
2013-04-01,3577.0,2013-08-01,3157.959422390916
2013-05-01,3751.0,2013-09-01,3044.331168717563
2013-06-01,3220.0,2013-10-01,2939.015194935918
2013-07-01,3339.0,2013-11-01,2841.117384896965
2013-08-01,3247.0,2013-12-01,2749.868365046788
2013-09-01,3026.0,2014-01-01,2664.602390941767
2013-10-01,3071.0,2014-02-01,2584.740393356674
2013-11-01,2829.0,2014-03-01,2509.77625651327
2013-12-01,2860.0,2014-04-01,2439.2656303275203
2014-01-01,2733.0,2014-05-01,2372.8167459761526
2014-02-01,2394.0,2014-06-01,2310.0828275926638
2014-03-01,2635.0,2014-07-01,2250.755784954974
2014-04-01,2548.0,2014-08-01,2194.560941286307
2014-05-01,2533.0,2014-09-01,2141.252602865566
2014-06-01,1841.0,2014-10-01,2090.610317386723
2014-07-01,2350.0,2014-11-01,2042.4356990533813
2014-08-01,1762.0,2014-12-01,1996.5497225240401
2014-09-01,645.0,2015-01-01,1952.790406708229
2014-10-01,1707.0,2015-02-01,1911.0108242914544
2014-11-01,2092.0,2015-03-01,1871.077384661501
2014-12-01,2212.0,2015-04-01,1832.8683473146739
2015-01-01,2246.0,2015-05-01,1796.2725303640889
2015-02-01,2002.0,2015-06-01,1761.1881848545065
2015-03-01,2147.0,2015-07-01,1727.5220105175501
2015-04-01,1888.0,2015-08-01,1695.1882926155206
2015-05-01,1947.0,2015-09-01,1664.1081428065045
2015-06-01,2019.0,2015-10-01,1634.20882966272
2015-07-01,1909.0,2015-11-01,1605.4231867017802
2015-08-01,2001.0,2015-12-01,1577.6890876366429
2015-09-01,1890.0,2016-01-01,1550.9489800858075
2015-10-01,1932.0,2016-02-01,1525.149470267761
2015-11-01,1790.0,2016-03-01,1500.2409522784026
2015-12-01,1881.0,2016-04-01,1476.1772764539685
2016-01-01,1828.0,2016-05-01,1452.9154520845102
2016-02-01,1689.0,2016-06-01,1430.4153803884233
2016-03-01,1728.0,2016-07-01,1408.6396142065105
2016-04-01,1615.0,2016-08-01,1387.5531413407282
2016-05-01,1455.0,2016-09-01,1367.123188861241
2016-06-01,1958.0,2016-10-01,1347.3190460467083
2016-07-01,1849.0,2016-11-01,1328.1119039157095
2016-08-01,1813.0,2016-12-01,1309.4747095594757
2016-09-01,1683.0,2017-01-01,1291.3820337037605
2016-10-01,1678.0,2017-02-01,1273.8099501159913
2016-11-01,1583.0,2017-03-01,1256.735925637117
2016-12-01,1648.0,2017-04-01,1240.1387197594543
2017-01-01,1248.0,2017-05-01,1223.9982927954163
2017-02-01,1199.0,2017-06-01,1208.2957217898556
2017-03-01,1380.0,2017-07-01,1193.013123423089
2017-04-01,1357.0,2017-08-01,1178.1335832343211
2017-05-01,1266.0,2017-09-01,1163.6410905677728
2017-06-01,1321.0,2017-10-01,1149.520478707649
2017-07-01,1284.0,2017-11-01,1135.757369724354
2017-08-01,1361.0,2017-12-01,1122.3381236040264
2017-09-01,1230.0,2018-01-01,1109.2497912773936
2017-10-01,1240.0,2018-02-01,1096.4800712028593
2017-11-01,1073.0,2018-03-01,1084.0172691932569
2017-12-01,1006.0,2018-04-01,1071.8502612063874
2018-01-01,800.0,2018-05-01,1059.9684588467742
2018-02-01,1100.0,2018-06-01,1048.3617773504038
2018-03-01,1152.0,2018-07-01,1037.0206058459546
2018-04-01,927.0,2018-08-01,1025.9357797054518
2018-05-01,575.0,2018-09-01,1015.0985548146724
2018-06-01,963.0,2018-10-01,1004.5005836092184
2018-07-01,715.0,2018-11-01,994.1338927361768
2018-08-01,645.0,2018-12-01,983.990862213859
2018-09-01,463.0,2019-01-01,974.0642059734446
2018-10-01,325.0,2019-02-01,964.3469536765418
2018-11-01,274.0,2019-03-01,954.8324337118955
2018-12-01,52.0,2019-04-01,945.5142572827783
2019-01-01,4.0,2019-05-01,936.3863035041156
2019-02-01,5.0,2019-06-01,927.4427054352118
2019-03-01,39.0,2019-07-01,918.6778369800957
2019-04-01,0.0,2019-08-01,910.0863005931158
2019-05-01,0.0,2019-09-01,901.6629157324844
2019-06-01,673.0,2019-10-01,893.4027080090965
2019-07-01,781.0,2019-11-01,885.3008989821552
2019-08-01,1025.0,2019-12-01,877.3528965569586
2019-09-01,987.0,2020-01-01,869.5542859437045
2019-10-01,1067.0,2020-02-01,861.9008211393511
2019-11-01,741.0,2020-03-01,854.3884168974846
2019-12-01,1086.0,2020-04-01,847.0131411538142
2020-01-01,1027.0,2020-05-01,839.77120787734
2020-02-01,952.0,2020-06-01,832.6589703194853
2020-03-01,978.0,2020-07-01,825.6729146355208
2020-04-01,1008.0,2020-08-01,818.8096538544931
2020-05-01,899.0,2020-09-01,812.065922175591
2020-06-01,976.0,2020-10-01,805.4385695704691
2020-07-01,973.0,2020-11-01,798.924556672507
2020-08-01,961.0,2020-12-01,792.5209499353228
2020-09-01,916.0,2021-01-01,786.2249170440989
2020-10-01,948.0,2021-02-01,780.0337225644121
2020-11-01,887.0,2021-03-01,773.9447238143196
2020-12-01,922.0,2021-04-01,767.9553669464167
2021-01-01,906.0,2021-05-01,762.0631832274802
2021-02-01,755.0,2021-06-01,756.265785504147
2021-03-01,907.0,2021-07-01,750.5608648438322
2021-04-01,876.0,2021-08-01,744.9461873408163
2021-05-01,878.0,2021-09-01,739.4195910780762
2021-06-01,840.0,2021-10-01,733.9789832360531
2021-07-01,766.0,2021-11-01,728.6223373401131
2021-08-01,808.0,2021-12-01,723.3476906389814
2021-09-01,812.0,2022-01-01,718.1531416069203
2021-10-01,822.0,2022-02-01,713.0368475628724
2021-11-01,812.0,2022-03-01,707.9970224002159
2021-12-01,887.0,2022-04-01,703.0319344211664
2022-01-01,823.0,2022-05-01,698.139904270229
2022-02-01,760.0,2022-06-01,693.31930296144
2022-03-01,803.0,2022-07-01,688.568549994464
2022-04-01,773.0,2022-08-01,683.8861115548923
2022-05-01,779.0,2022-09-01,679.2704987943822
2022-06-01,771.0,2022-10-01,674.720266186521
2022-07-01,776.0,2022-11-01,670.2340099545446
2022-08-01,778.0,2022-12-01,665.8103665672668
2022-09-01,706.0,2023-01-01,661.4480112997811
2022-10-01,571.0,2023-02-01,657.1456568556988
2022-11-01,821.0,2023-03-01,652.9020520478653
2022-12-01,815.0,2023-04-01,648.7159805346759
2023-01-01,779.0,2023-05-01,644.5862596092672
2023-02-01,717.0,2023-06-01,640.5117390390171
