t,q,t_model,q_model
2022-08-01,0.0,2022-12-01,1069.7200690366758
2022-09-01,5.0,2023-01-01,993.6323524409702
2022-10-01,1059.0,2023-02-01,979.6280115056868
2022-11-01,1023.0,2023-03-01,971.4528701911667
2022-12-01,1069.0,2023-04-01,965.6729905040305
2023-01-01,1053.0,2023-05-01,961.2046740841805
2023-02-01,921.0,2023-06-01,957.5646349875359
2023-03-01,991.0,2023-07-01,954.4951614615354
2023-04-01,940.0,2023-08-01,951.842560388793
2023-05-01,975.0,2023-09-01,949.5078069725976
2023-06-01,889.0,2023-10-01,947.4233683323394
2023-07-01,952.0,2023-11-01,945.5411340517072
2023-08-01,977.0,2023-12-01,943.8256233675808
2023-09-01,928.0,2024-01-01,942.2499229344008
2023-10-01,954.0,2024-02-01,940.793135947935
2023-11-01,978.0,2024-03-01,939.4387146122266
2023-12-01,942.0,2024-04-01,938.1733326850399
2024-01-01,945.0,2024-05-01,936.9861009960512
2024-02-01,894.0,2024-06-01,935.8680079416175
2024-03-01,972.0,2024-07-01,934.8115117494979
2024-04-01,924.0,2024-08-01,933.8102376658397
2024-05-01,1027.0,2024-09-01,932.8587492599718
2024-06-01,797.0,2024-10-01,931.9523731000378
2024-07-01,967.0,2024-11-01,931.0870625246969
2024-08-01,941.0,2024-12-01,930.2592904994887
2024-09-01,983.0,2025-01-01,929.4659644143183
2024-10-01,977.0,2025-02-01,928.7043576445208
2024-11-01,951.0,2025-03-01,927.9720540690794
2024-12-01,957.0,2025-04-01,927.2669027109014
2025-01-01,958.0,2025-05-01,926.5869803621306
2025-02-01,816.0,2025-06-01,925.930560565807
,,2025-07-01,925.2960876999016
,,2025-08-01,924.6821551890943
,,2025-09-01,924.0874870800917
,,2025-10-01,923.5109223763565
,,2025-11-01,922.951401650988
,,2025-12-01,922.4079555516278
,,2026-01-01,921.8796948854848
,,2026-02-01,921.3658020309456
,,2026-03-01,920.8655234684392
,,2026-04-01,920.3781632600595
,,2026-05-01,919.9030773369853
,,2026-06-01,919.4396684775758
,,2026-07-01,918.9873818783515
,,2026-08-01,918.545701235854
,,2026-09-01,918.1141452702968
,,2026-10-01,917.6922646325844
,,2026-11-01,917.2796391450914
,,2026-12-01,916.8758753339171
,,2027-01-01,916.4806042164518
,,2027-02-01,916.0934793132213
,,2027-03-01,915.7141748572826
,,2027-04-01,915.3423841780865
,,2027-05-01,914.9778182398121
,,2027-06-01,914.6202043167987
,,2027-07-01,914.2692847909333
,,2027-08-01,913.9248160577766
,,2027-09-01,913.5865675298403
,,2027-10-01,913.2543207268508
,,2027-11-01,912.9278684440521
,,2027-12-01,912.607013990653
,,2028-01-01,912.2915704914413
,,2028-02-01,911.9813602453871
,,2028-03-01,911.6762141357439
,,2028-04-01,911.3759710867688
,,2028-05-01,911.0804775627138
,,2028-06-01,910.7895871052008
,,2028-07-01,910.5031599055102
,,2028-08-01,910.2210624086675
,,2028-09-01,909.9431669465367
,,2028-10-01,909.6693513974062
,,2028-11-01,909.3994988698086
,,2028-12-01,909.1334974085321
,,2029-01-01,908.8712397209822
,,2029-02-01,908.6126229222286
,,2029-03-01,908.3575482972258
,,2029-04-01,908.1059210788397
,,2029-05-01,907.8576502404369
,,2029-06-01,907.612648301905
,,2029-07-01,907.3708311480746
,,2029-08-01,907.1321178586043
,,2029-09-01,906.8964305484715
,,2029-10-01,906.6636942182857
,,2029-11-01,906.4338366137084
,,2029-12-01,906.2067880933215
,,2030-01-01,905.9824815043448
,,2030-02-01,905.7608520656487
,,2030-03-01,905.5418372575534
,,2030-04-01,905.3253767179526
,,2030-05-01,905.1114121443228
,,2030-06-01,904.8998872012334
,,2030-07-01,904.6907474329812
,,2030-08-01,904.4839401810211
,,2030-09-01,904.279414505874
,,2030-10-01,904.0771211132284
,,2030-11-01,903.8770122839659
,,2030-12-01,903.6790418078651
,,2031-01-01,903.4831649207532
,,2031-02-01,903.2893382448921
,,2031-03-01,903.0975197324036
,,2031-04-01,902.9076686115483
,,2031-05-01,902.7197453356853
,,2031-06-01,902.5337115347589
,,2031-07-01,902.3495299691588
,,2031-08-01,902.1671644858181
,,2031-09-01,901.986579976421
,,2031-10-01,901.8077423375977
,,2031-11-01,901.6306184329953
,,2031-12-01,901.4551760571204
,,2032-01-01,901.2813839008535
,,2032-02-01,901.1092115185454
,,2032-03-01,900.9386292966062
,,2032-04-01,900.7696084235099
,,2032-05-01,900.6021208611378
,,2032-06-01,900.4361393173864
,,2032-07-01,900.2716372199792
,,2032-08-01,900.1085886914153
,,2032-09-01,899.9469685249962
,,2032-10-01,899.7867521618789
,,2032-11-01,899.6279156690997
,,2032-12-01,899.4704357185203
,,2033-01-01,899.3142895666534
,,2033-02-01,899.1594550353188
,,2033-03-01,899.005910493094
,,2033-04-01,898.8536348375184
,,2033-05-01,898.7026074780143
,,2033-06-01,898.5528083194922
