t,q,t_model,q_model
2012-05-01,1413.0,2013-05-01,2070.424626446233
2012-06-01,3184.0,2013-06-01,960.859737739645
2012-07-01,3563.0,2013-07-01,712.6206088962737
2012-08-01,3111.0,2013-08-01,589.8163664192172
2012-09-01,2553.0,2013-09-01,513.4381399893982
2012-10-01,2833.0,2013-10-01,460.1607437143533
2012-11-01,1341.0,2013-11-01,420.31866391902764
2012-12-01,2507.0,2013-12-01,389.0935750318484
2013-01-01,1498.0,2014-01-01,363.78088517960117
2013-02-01,1206.0,2014-02-01,342.730627143728
2013-03-01,1234.0,2014-03-01,324.871938160722
2013-04-01,851.0,2014-04-01,309.4756876619192
2013-05-01,2082.0,2014-05-01,296.0260688626885
2013-06-01,752.0,2014-06-01,284.1466004135551
2013-07-01,900.0,2014-07-01,273.5552443746191
2013-08-01,564.0,2014-08-01,264.03600760908733
2013-09-01,469.0,2014-09-01,255.42032167721317
2013-10-01,521.0,2014-10-01,247.5744574945784
2013-11-01,585.0,2014-11-01,240.3907925784227
2013-12-01,650.0,2014-12-01,233.7816110347194
2014-01-01,543.0,2015-01-01,227.67461194009243
2014-02-01,308.0,2015-02-01,222.00959652554386
2014-03-01,350.0,2015-03-01,216.7359853302524
2014-04-01,182.0,2015-04-01,211.8109303855776
2014-05-01,245.0,2015-05-01,207.19786100322705
2014-06-01,275.0,2015-06-01,202.86535023422147
2014-07-01,170.0,2015-07-01,198.78622168726315
2014-08-01,248.0,2015-08-01,194.9368387356267
2014-09-01,295.0,2015-09-01,191.29653369237656
2014-10-01,238.0,2015-10-01,187.84714552098765
2014-11-01,178.0,2015-11-01,184.57264251882407
2014-12-01,221.0,2015-12-01,181.45881212057392
2015-01-01,230.0,2016-01-01,178.49300415979303
2015-02-01,199.0,2016-02-01,175.6639170368146
2015-03-01,170.0,2016-03-01,172.96141857280543
2015-04-01,228.0,2016-04-01,170.37639509425773
2015-05-01,259.0,2016-05-01,167.9006236395057
2015-06-01,202.0,2016-06-01,165.5266632161905
2015-07-01,109.0,2016-07-01,163.24776184355756
2015-08-01,153.0,2016-08-01,161.05777674272647
2015-09-01,140.0,2016-09-01,158.95110553340808
2015-10-01,170.0,2016-10-01,156.9226266880292
2015-11-01,139.0,2016-11-01,154.9676478071535
2015-12-01,170.0,2016-12-01,153.08186053105877
2016-01-01,235.0,2017-01-01,151.26130110474153
2016-02-01,125.0,2017-02-01,149.50231577773332
2016-03-01,33.0,2017-03-01,147.80153035385285
2016-04-01,61.0,2017-04-01,146.15582331552872
2016-05-01,102.0,2017-05-01,144.56230203741254
2016-06-01,3.0,2017-06-01,143.01828167843516
2016-07-01,216.0,2017-07-01,141.52126640321416
2016-08-01,34.0,2017-08-01,140.06893263516596
2016-09-01,72.0,2017-09-01,138.65911408669817
2016-10-01,98.0,2017-10-01,137.28978834796618
2016-11-01,192.0,2017-11-01,135.9590648460934
2016-12-01,178.0,2017-12-01,134.66517401246085
2017-01-01,165.0,2018-01-01,133.40645751746825
2017-02-01,288.0,2018-02-01,132.18135945071026
2017-03-01,167.0,2018-03-01,130.98841834032902
2017-04-01,135.0,2018-04-01,129.82625991883984
2017-05-01,163.0,2018-05-01,128.69359055434094
2017-06-01,133.0,2018-06-01,127.58919127601042
2017-07-01,129.0,2018-07-01,126.51191233141401
2017-08-01,146.0,2018-08-01,125.460668220602
2017-09-01,215.0,2018-09-01,124.43443315843611
2017-10-01,165.0,2018-10-01,123.43223692220313
2017-11-01,173.0,2018-11-01,122.45316104646398
2017-12-01,175.0,2018-12-01,121.4963353313555
2018-01-01,180.0,2019-01-01,120.56093463429782
2018-02-01,123.0,2019-02-01,119.64617591833337
2018-03-01,177.0,2019-03-01,118.7513155331993
2018-04-01,236.0,2019-04-01,117.87564670776578
2018-05-01,121.0,2019-05-01,117.01849723470285
2018-06-01,85.0,2019-06-01,116.17922733021096
2018-07-01,124.0,2019-07-01,115.35722765339268
2018-08-01,100.0,2019-08-01,114.55191747138997
2018-09-01,89.0,2019-09-01,113.7627429577836
2018-10-01,125.0,2019-10-01,112.98917561297267
2018-11-01,81.0,2019-11-01,112.230710796339
2018-12-01,156.0,2019-12-01,111.48686636097199
2019-01-01,122.0,2020-01-01,110.75718138259602
2019-02-01,131.0,2020-02-01,110.04121497511883
2019-03-01,110.0,2020-03-01,109.33854518591382
2019-04-01,135.0,2020-04-01,108.6487679645737
2019-05-01,38.0,2020-05-01,107.97149619943293
2019-06-01,41.0,2020-06-01,107.30635881666151
2019-07-01,120.0,2020-07-01,106.65299993718601
2019-08-01,83.0,2020-08-01,106.01107808710512
2019-09-01,177.0,2020-09-01,105.38026545763599
2019-10-01,39.0,2020-10-01,104.76024721096312
2019-11-01,179.0,2020-11-01,104.15072082866477
2019-12-01,200.0,2020-12-01,103.551395499666
2020-01-01,153.0,2021-01-01,102.96199154491737
2020-02-01,115.0,2021-02-01,102.38223987622487
2020-03-01,101.0,2021-03-01,101.81188148686181
2020-04-01,100.0,2021-04-01,101.25066697178188
2020-05-01,206.0,2021-05-01,100.6983560754228
2020-06-01,142.0,2021-06-01,100.15471726524585
2020-07-01,88.0,2021-07-01,99.61952732929959
2020-08-01,0.0,2021-08-01,99.09257099622472
2020-09-01,117.0,2021-09-01,98.5736405762377
