t,q,t_model,q_model
2019-08-01,16379.0,2019-09-01,17569.383103628184
2019-09-01,17293.0,2019-10-01,13169.359802676905
2019-10-01,13591.0,2019-11-01,10683.721597605201
2019-11-01,10867.0,2019-12-01,9065.318194287296
2019-12-01,9267.0,2020-01-01,7918.346919389572
2020-01-01,8223.0,2020-02-01,7058.171897966635
2020-02-01,7077.0,2020-03-01,6386.413415269374
2020-03-01,6589.0,2020-04-01,5845.572863866446
2020-04-01,5009.0,2020-05-01,5399.668497426679
2020-05-01,3117.0,2020-06-01,5024.965875989108
2020-06-01,5794.0,2020-07-01,4705.139387494328
2020-07-01,6124.0,2020-08-01,4428.569443227586
2020-08-01,5595.0,2020-09-01,4186.747784566123
2020-09-01,5260.0,2020-10-01,3973.293168224834
2020-10-01,4435.0,2020-11-01,3783.3203434478396
2020-11-01,3054.0,2020-12-01,3613.022241847171
2020-12-01,3344.0,2021-01-01,3459.3855230830013
2021-01-01,3246.0,2021-02-01,3319.9921497099085
2021-02-01,2134.0,2021-03-01,3192.8779821330913
2021-03-01,3185.0,2021-04-01,3076.430079315795
2021-04-01,2144.0,2021-05-01,2969.3108367306795
2021-05-01,1956.0,2021-06-01,2870.4010891151283
2021-06-01,2392.0,2021-07-01,2778.75684605074
2021-07-01,3240.0,2021-08-01,2693.5759803845535
2021-08-01,2462.0,2021-09-01,2614.172285929302
2021-09-01,2001.0,2021-10-01,2539.955062191271
2021-10-01,1171.0,2021-11-01,2470.4128936448233
2021-11-01,1315.0,2021-12-01,2405.100647099643
2021-12-01,1185.0,2022-01-01,2343.628962929703
2022-01-01,1306.0,2022-02-01,2285.655696984222
2022-02-01,619.0,2022-03-01,2230.8789015567268
2022-03-01,3166.0,2022-04-01,2179.031030467296
2022-04-01,2726.0,2022-05-01,2129.8741251136676
2022-05-01,1806.0,2022-06-01,2083.19579219801
2022-06-01,1403.0,2022-07-01,2038.8058245981347
2022-07-01,1225.0,2022-08-01,1996.5333479735482
2022-08-01,1185.0,2022-09-01,1956.224399651344
2022-09-01,1722.0,2022-10-01,1917.7398649161366
2022-10-01,1915.0,2022-11-01,1880.953710342393
2022-11-01,1628.0,2022-12-01,1845.7514652233153
2022-12-01,4977.0,2023-01-01,1812.0289111872194
2023-01-01,4548.0,2023-02-01,1779.6909472896245
2023-02-01,3674.0,2023-03-01,1748.650603634746
2023-03-01,5149.0,2023-04-01,1718.8281812239757
2023-04-01,3831.0,2023-05-01,1690.1504994891447
2023-05-01,2317.0,2023-06-01,1662.5502360281328
2023-06-01,2099.0,2023-07-01,1635.9653455621328
2023-07-01,2711.0,2023-08-01,1610.338547188633
2023-08-01,2078.0,2023-09-01,1585.616870699124
2023-09-01,1992.0,2023-10-01,1561.751254134539
2023-10-01,1345.0,2023-11-01,1538.696185918993
2023-11-01,1066.0,2023-12-01,1516.4093858871001
2023-12-01,1994.0,2024-01-01,1494.8515203367895
2024-01-01,1979.0,2024-02-01,1473.9859469261692
2024-02-01,1771.0,2024-03-01,1453.7784858122593
2024-03-01,1449.0,2024-04-01,1434.197213919693
2024-04-01,1291.0,2024-05-01,1415.2122796437359
2024-05-01,938.0,2024-06-01,1396.795735646448
2024-06-01,1098.0,2024-07-01,1378.9213877075472
2024-07-01,1084.0,2024-08-01,1361.564657850803
2024-08-01,657.0,2024-09-01,1344.70246018945
2024-09-01,931.0,2024-10-01,1328.313088125792
2024-10-01,957.0,2024-11-01,1312.3761117056536
2024-11-01,600.0,2024-12-01,1296.87228407149
2024-12-01,671.0,2025-01-01,1281.7834560821545
2025-01-01,609.0,2025-02-01,1267.0924982752465
2025-02-01,419.0,2025-03-01,1252.7832294420139
,,2025-04-01,1238.8403511668796
,,2025-05-01,1225.2493877554816
,,2025-06-01,1211.9966310381
,,2025-07-01,1199.069089590629
,,2025-08-01,1186.4544419639403
,,2025-09-01,1174.1409935553836
,,2025-10-01,1162.117636794067
,,2025-11-01,1150.373814345097
,,2025-12-01,1138.8994850676643
,,2026-01-01,1127.685092488245
,,2026-02-01,1116.7215355736373
,,2026-03-01,1106.0001416094399
