t,q,t_model,q_model
2015-01-01,8701.0,2015-03-01,6608.698565251444
2015-02-01,9158.0,2015-04-01,2861.4464657381827
2015-03-01,6585.0,2015-05-01,2145.0467244462275
2015-04-01,3378.0,2015-06-01,1794.21472865633
2015-05-01,1979.0,2015-07-01,1575.8730284384892
2015-06-01,1673.0,2015-08-01,1423.0967633211976
2015-07-01,1606.0,2015-09-01,1308.4197907126916
2015-08-01,1342.0,2015-10-01,1218.2014348174878
2015-09-01,1179.0,2015-11-01,1144.794109586407
2015-10-01,1313.0,2015-12-01,1083.531851531427
2015-11-01,391.0,2016-01-01,1031.3839306152083
2015-12-01,426.0,2016-02-01,986.2843112062034
2016-01-01,559.0,2016-03-01,946.7693453962886
2016-02-01,2.0,2016-04-01,911.7690796968844
2016-03-01,735.0,2016-05-01,880.4806735209072
2016-04-01,1108.0,2016-06-01,852.2882780406143
2016-05-01,899.0,2016-07-01,826.7104729855031
2016-06-01,867.0,2016-08-01,803.3647131566454
2016-07-01,787.0,2016-09-01,781.9426377199514
2016-08-01,838.0,2016-10-01,762.1925244009511
2016-09-01,698.0,2016-11-01,743.9065660359091
2016-10-01,851.0,2016-12-01,726.9114768851058
2016-11-01,640.0,2017-01-01,711.0614451335905
2016-12-01,528.0,2017-02-01,696.232768789072
2017-01-01,858.0,2017-03-01,682.3197193083921
2017-02-01,0.0,2017-04-01,669.2313139639152
2017-03-01,1199.0,2017-05-01,656.8887699507378
2017-04-01,745.0,2017-06-01,645.2234762650822
2017-05-01,1111.0,2017-07-01,634.1753632817855
2017-06-01,905.0,2017-08-01,623.6915809925409
2017-07-01,904.0,2017-09-01,613.7254191101731
2017-08-01,1109.0,2017-10-01,604.2354183912472
2017-09-01,828.0,2017-11-01,595.1846343893816
2017-10-01,945.0,2017-12-01,586.5400236585649
2017-11-01,910.0,2018-01-01,578.2719290323815
2017-12-01,919.0,2018-02-01,570.3536456083286
2018-01-01,892.0,2018-03-01,562.761052889262
2018-02-01,803.0,2018-04-01,555.4723014793616
2018-03-01,932.0,2018-05-01,548.467545019123
2018-04-01,770.0,2018-06-01,541.7287098329768
2018-05-01,885.0,2018-07-01,535.2392961724307
2018-06-01,772.0,2018-08-01,528.9842060550477
2018-07-01,760.0,2018-09-01,522.9495935910929
2018-08-01,663.0,2018-10-01,517.1227344051653
2018-09-01,540.0,2018-11-01,511.49191133754965
2018-10-01,585.0,2018-12-01,506.04631407851434
2018-11-01,631.0,2019-01-01,500.77595077079627
