t,q,t_model,q_model
2014-05-01,0.0,2014-08-01,8347.524939838393
2014-06-01,8151.0,2014-09-01,6837.57129101701
2014-07-01,9579.0,2014-10-01,5837.599552369192
2014-08-01,8684.0,2014-11-01,5121.009685121343
2014-09-01,6631.0,2014-12-01,4579.361188143574
2014-10-01,5608.0,2015-01-01,4153.862080439192
2014-11-01,4885.0,2015-02-01,3809.713801909245
2014-12-01,4412.0,2015-03-01,3524.9285063923885
2015-01-01,4145.0,2015-04-01,3284.8911454576955
2015-02-01,3382.0,2015-05-01,3079.4861616170692
2015-03-01,3405.0,2015-06-01,2901.47666659586
2015-04-01,3153.0,2015-07-01,2745.5404204991096
2015-05-01,3265.0,2015-08-01,2607.6707791682893
2015-06-01,2922.0,2015-09-01,2484.7904498631688
2015-07-01,2842.0,2015-10-01,2374.4944874883045
2015-08-01,2703.0,2015-11-01,2274.8745662233896
2015-09-01,2504.0,2015-12-01,2184.3959324753155
2015-10-01,2559.0,2016-01-01,2101.8094216919053
2015-11-01,2360.0,2016-02-01,2026.0873657443872
2015-12-01,2410.0,2016-03-01,1956.37612062601
2016-01-01,2375.0,2016-04-01,1891.9603744679087
2016-02-01,2061.0,2016-05-01,1832.2359469559276
2016-03-01,2063.0,2016-06-01,1776.6888034448486
2016-04-01,2086.0,2016-07-01,1724.87868103364
2016-05-01,2051.0,2016-08-01,1676.426180890628
2016-06-01,1846.0,2016-09-01,1631.0024962448047
2016-07-01,1966.0,2016-10-01,1588.3211660938155
2016-08-01,1864.0,2016-11-01,1548.1314013439521
2016-09-01,1696.0,2016-12-01,1510.212642794469
2016-10-01,1874.0,2017-01-01,1474.3700924288107
2016-11-01,1747.0,2017-02-01,1440.431019884484
2016-12-01,1672.0,2017-03-01,1408.241690914851
2017-01-01,1270.0,2017-04-01,1377.6647984171332
2017-02-01,1225.0,2017-05-01,1348.5773021947866
2017-03-01,1705.0,2017-06-01,1320.8686031911332
2017-04-01,1501.0,2017-07-01,1294.4389930136479
2017-05-01,1459.0,2017-08-01,1269.1983312812301
2017-06-01,1317.0,2017-09-01,1245.064912487977
2017-07-01,1453.0,2017-10-01,1221.9644912907495
2017-08-01,1311.0,2017-11-01,1199.8294408444694
2017-09-01,996.0,2017-12-01,1178.5980233667465
2017-10-01,1195.0,2018-01-01,1158.2137557679807
2017-11-01,1118.0,2018-02-01,1138.6248561294935
2017-12-01,1215.0,2018-03-01,1119.7837592000453
2018-01-01,1378.0,2018-04-01,1101.6466910258287
2018-02-01,1234.0,2018-05-01,1084.1732944203434
2018-03-01,1369.0,2018-06-01,1067.326298288594
2018-04-01,1258.0,2018-07-01,1051.0712248998357
2018-05-01,1305.0,2018-08-01,1035.376130098177
2018-06-01,1245.0,2018-09-01,1020.2113721852112
2018-07-01,943.0,2018-10-01,1005.5494058310748
2018-08-01,1075.0,2018-11-01,991.3645978920182
2018-09-01,1056.0,2018-12-01,977.6330624514408
2018-10-01,1080.0,2019-01-01,964.3325127718321
2018-11-01,1018.0,2019-02-01,951.4421281588046
2018-12-01,1095.0,2019-03-01,938.942434004923
2019-01-01,1021.0,2019-04-01,926.8151935081154
2019-02-01,943.0,2019-05-01,915.0433097534988
2019-03-01,965.0,2019-06-01,903.6107370137104
2019-04-01,936.0,2019-07-01,892.5024002656892
2019-05-01,918.0,2019-08-01,881.7041220448982
2019-06-01,873.0,2019-09-01,871.2025558642376
2019-07-01,907.0,2019-10-01,860.9851255168793
2019-08-01,932.0,2019-11-01,851.0399696620627
2019-09-01,905.0,2019-12-01,841.3558911623006
2019-10-01,945.0,2020-01-01,831.9223107009241
2019-11-01,856.0,2020-02-01,822.7292242617381
2019-12-01,896.0,2020-03-01,813.7671640987918
2020-01-01,882.0,2020-04-01,805.0271628648164
2020-02-01,782.0,2020-05-01,796.5007206025188
2020-03-01,679.0,2020-06-01,788.1797743342738
2020-04-01,629.0,2020-07-01,780.0566700134309
2020-05-01,643.0,2020-08-01,772.1241366248803
2020-06-01,640.0,2020-09-01,764.3752622441589
2020-07-01,640.0,2020-10-01,756.8034718835494
2020-08-01,593.0,2020-11-01,749.4025069706487
2020-09-01,591.0,2020-12-01,742.1664063200332
2020-10-01,600.0,2021-01-01,735.089488472125
2020-11-01,576.0,2021-02-01,728.1663352854098
2020-12-01,608.0,2021-03-01,721.3917766788963
2021-01-01,644.0,2021-04-01,714.7608764313335
2021-02-01,485.0,2021-05-01,708.268918952315
2021-03-01,723.0,2021-06-01,701.9113969481366
2021-04-01,709.0,2021-07-01,695.6839999122117
2021-05-01,629.0,2021-08-01,689.582603376103
2021-06-01,569.0,2021-09-01,683.6032588628551
2021-07-01,533.0,2021-10-01,677.7421844893847
2021-08-01,590.0,2021-11-01,671.9957561692685
2021-09-01,567.0,2021-12-01,666.3604993714106
2021-10-01,631.0,2022-01-01,660.8330813938181
2021-11-01,594.0,2022-02-01,655.41030411511
2021-12-01,637.0,2022-03-01,650.0890971894629
2022-01-01,648.0,2022-04-01,644.866511653496
2022-02-01,555.0,2022-05-01,639.7397139161346
2022-03-01,599.0,2022-06-01,634.7059801048113
2022-04-01,625.0,2022-07-01,629.7626907434608
2022-05-01,631.0,2022-08-01,624.9073257396938
2022-06-01,587.0,2022-09-01,620.1374596602808
2022-07-01,616.0,2022-10-01,615.4507572756797
2022-08-01,622.0,2022-11-01,610.8449693558065
2022-09-01,558.0,2022-12-01,606.3179287005812
2022-10-01,635.0,2023-01-01,601.8675463900171
2022-11-01,585.0,2023-02-01,597.4918082397351
2022-12-01,590.0,2023-03-01,593.188771448825
2023-01-01,587.0,2023-04-01,588.9565614279186
2023-02-01,541.0,2023-05-01,584.7933687962096
2023-03-01,595.0,2023-06-01,580.6974465369613
2023-04-01,510.0,2023-07-01,576.6671073017687
2023-05-01,560.0,2023-08-01,572.7007208545382
2023-06-01,524.0,2023-09-01,568.7967116467522
2023-07-01,489.0,2023-10-01,564.9535565161863
2023-08-01,507.0,2023-11-01,561.1697825017588
2023-09-01,454.0,2023-12-01,557.4439647677015
2023-10-01,400.0,2024-01-01,553.7747246306855
2023-11-01,474.0,2024-02-01,550.160727683963
2023-12-01,481.0,2024-03-01,546.6006820129735
2024-01-01,436.0,2024-04-01,543.0933364972234
2024-02-01,437.0,2024-05-01,539.6374791935892
2024-03-01,513.0,2024-06-01,536.231935796496
2024-04-01,463.0,2024-07-01,532.8755681707195
2024-05-01,511.0,2024-08-01,529.5672729528238
2024-06-01,464.0,2024-09-01,526.3059802174993
2024-07-01,492.0,2024-10-01,523.0906522052911
2024-08-01,481.0,2024-11-01,519.9202821084327
2024-09-01,457.0,2024-12-01,516.7938929116921
2024-10-01,488.0,2025-01-01,513.7105362853295
2024-11-01,468.0,2025-02-01,510.66929152743876
2024-12-01,454.0,2025-03-01,507.66926455310727
2025-01-01,398.0,2025-04-01,504.7095869279803
,,2025-05-01,501.7894149439594
,,2025-06-01,498.9079287348939
,,2025-07-01,496.0643314302517
,,2025-08-01,493.25784834486745
,,2025-09-01,490.48772620297933
,,2025-10-01,487.7532323948609
,,2025-11-01,485.053654264456
,,2025-12-01,482.38829842650836
,,2026-01-01,479.756490111764
,,2026-02-01,477.1575725389003
,,2026-03-01,474.5909063119141
,,2026-04-01,472.05586884176154
,,2026-05-01,469.5518537911159
,,2026-06-01,467.07827054116564
,,2026-07-01,464.63454367943183
,,2026-08-01,462.220112507641
,,2026-09-01,459.83443056873665
,,2026-10-01,457.476965192163
,,2026-11-01,455.14719705659707
,,2026-12-01,452.8446197693501
,,2027-01-01,450.5687394616952
,,2027-02-01,448.3190743994215
,,2027-03-01,446.09515460794313
,,2027-04-01,443.89652151133197
,,2027-05-01,441.7227275846692
,,2027-06-01,439.5733360191438
,,2027-07-01,437.4479203993522
,,2027-08-01,435.3460643922812
,,2027-09-01,433.2673614474814
,,2027-10-01,431.2114145079595
,,2027-11-01,429.1778357313459
,,2027-12-01,427.16624622090893
,,2028-01-01,425.1762757660103
,,2028-02-01,423.2075625916178
,,2028-03-01,421.2597531165032
,,2028-04-01,419.33250171977693
,,2028-05-01,417.42547051542215
,,2028-06-01,415.5383291345097
,,2028-07-01,413.6707545147882
,,2028-08-01,411.8224306973587
,,2028-09-01,409.99304863015385
,,2028-10-01,408.18230597795826
,,2028-11-01,406.38990693871364
,,2028-12-01,404.61556206586823
,,2029-01-01,402.85898809653685
,,2029-02-01,401.11990778525126
,,2029-03-01,399.39804974308674
,,2029-04-01,397.69314828196434
,,2029-05-01,396.0049432639322
,,2029-06-01,394.33317995524203
,,2029-07-01,392.67760888504137
,,2029-08-01,391.0379857085119
,,2029-09-01,389.41407107429023
,,2029-10-01,387.80563049601545
,,2029-11-01,386.2124342278522
,,2029-12-01,384.6342571438469
,,2030-01-01,383.0708786209791
,,2030-02-01,381.5220824257749
,,2030-03-01,379.9876566043575
,,2030-04-01,378.4673933758114
,,2030-05-01,376.96108902874533
,,2030-06-01,375.4685438209404
,,2030-07-01,373.9895618819773
,,2030-08-01,372.5239511187388
,,2030-09-01,371.07152312368794
,,2030-10-01,369.6320930858276
,,2030-11-01,368.20547970424934
,,2030-12-01,366.79150510418395
,,2031-01-01,365.3899947554687
,,2031-02-01,364.0007773933505
,,2031-03-01,362.623684941547
,,2031-04-01,361.2585524374897
,,2031-05-01,359.9052179596773
,,2031-06-01,358.5635225570702
,,2031-07-01,357.23331018045803
,,2031-08-01,355.91442761573677
,,2031-09-01,354.6067244190329
,,2031-10-01,353.3100528536159
,,2031-11-01,352.024267828539
,,2031-12-01,350.7492268389566
,,2032-01-01,349.48478990806115
,,2032-02-01,348.2308195305911
,,2032-03-01,346.987180617858
,,2032-04-01,345.753740444247
,,2032-05-01,344.53036859514265
,,2032-06-01,343.3169369162379
,,2032-07-01,342.1133194641811
,,2032-08-01,340.9193924585211
,,2032-09-01,339.73503423491064
,,2032-10-01,338.5601251995291
,,2032-11-01,337.3945477846868
,,2032-12-01,336.2381864055769
,,2033-01-01,335.0909274181386
,,2033-02-01,333.9526590779988
,,2033-03-01,332.8232715004606
,,2033-04-01,331.70265662150575
,,2033-05-01,330.59070815978396
