t,q,t_model,q_model
2013-08-01,4512.0,2013-09-01,3979.6756148887866
2013-09-01,3954.0,2013-10-01,2223.501417680346
2013-10-01,2184.0,2013-11-01,1556.596088855497
2013-11-01,1910.0,2013-12-01,1202.8750846134576
2013-12-01,1268.0,2014-01-01,982.839463060437
2014-01-01,987.0,2014-02-01,832.3880421412813
2014-02-01,636.0,2014-03-01,722.8396099148691
2014-03-01,742.0,2014-04-01,639.409714732388
2014-04-01,590.0,2014-05-01,573.69218346969
2014-05-01,438.0,2014-06-01,520.549240309996
2014-06-01,287.0,2014-07-01,476.6611818670725
2014-07-01,299.0,2014-08-01,439.78615883324255
2014-08-01,363.0,2014-09-01,408.35476678041556
2014-09-01,296.0,2014-10-01,381.23502602075047
2014-10-01,327.0,2014-11-01,357.5896075153989
2014-11-01,231.0,2014-12-01,336.7856230102295
2014-12-01,335.0,2015-01-01,318.3356879998364
2015-01-01,336.0,2015-02-01,301.858289140532
2015-02-01,241.0,2015-03-01,287.0504543985876
2015-03-01,309.0,2015-04-01,273.6684854378421
2015-04-01,285.0,2015-05-01,261.5141048899918
2015-05-01,89.0,2015-06-01,250.4243208035807
2015-06-01,325.0,2015-07-01,240.26389323125377
2015-07-01,237.0,2015-08-01,230.91965474327444
2015-08-01,124.0,2015-09-01,222.29617300792893
2015-09-01,305.0,2015-10-01,214.31239908227766
2015-10-01,177.0,2015-11-01,206.89904932712017
2015-11-01,177.0,2015-12-01,199.99653999852126
2015-12-01,183.0,2016-01-01,193.55334287849823
2016-01-01,149.0,2016-02-01,187.52466498949502
2016-02-01,189.0,2016-03-01,181.87138016115122
2016-03-01,279.0,2016-04-01,176.55915806381643
2016-04-01,165.0,2016-05-01,171.5577493544944
2016-05-01,204.0,2016-06-01,166.84039519940947
2016-06-01,212.0,2016-07-01,162.38333660863535
2016-07-01,189.0,2016-08-01,158.16540441537035
2016-08-01,171.0,2016-09-01,154.167674830347
2016-09-01,167.0,2016-10-01,150.37317863916022
2016-10-01,278.0,2016-11-01,146.7666545309609
2016-11-01,168.0,2016-12-01,143.33433892846784
2016-12-01,159.0,2017-01-01,140.06378616187428
2017-01-01,202.0,2017-02-01,136.9437139894198
2017-02-01,261.0,2017-03-01,133.96387038715707
2017-03-01,311.0,2017-04-01,131.11491826390784
2017-04-01,166.0,2017-05-01,128.3883353456047
2017-05-01,180.0,2017-06-01,125.77632694744393
2017-06-01,185.0,2017-07-01,123.27174973656662
2017-07-01,212.0,2017-08-01,120.86804490091036
2017-08-01,286.0,2017-09-01,118.55917939586901
2017-09-01,157.0,2017-10-01,116.33959415074692
2017-10-01,111.0,2017-11-01,114.20415829057426
2017-11-01,100.0,2017-12-01,112.14812857266512
2017-12-01,138.0,2018-01-01,110.16711335692253
2018-01-01,126.0,2018-02-01,108.25704052876341
2018-02-01,115.0,2018-03-01,106.41412887721445
2018-03-01,74.0,2018-04-01,104.63486250108141
2018-04-01,86.0,2018-05-01,102.91596787544067
2018-05-01,120.0,2018-06-01,101.2543932609218
2018-06-01,139.0,2018-07-01,99.647290180879
2018-07-01,85.0,2018-08-01,98.09199672784116
2018-08-01,122.0,2018-09-01,96.58602249161633
2018-09-01,79.0,2018-10-01,95.12703492795399
2018-10-01,101.0,2018-11-01,93.71284700944058
2018-11-01,120.0,2018-12-01,92.34140601990208
2018-12-01,87.0,2019-01-01,91.01078337049516
2019-01-01,136.0,2019-02-01,89.71916533029271
2019-02-01,144.0,2019-03-01,88.46484457684444
2019-03-01,137.0,2019-04-01,87.24621248320705
2019-04-01,75.0,2019-05-01,86.06175206752715
2019-05-01,115.0,2019-06-01,84.91003153962747
2019-06-01,57.0,2019-07-01,83.78969838636148
2019-07-01,104.0,2019-08-01,82.69947394391215
2019-08-01,119.0,2019-09-01,81.63814841083432
2019-09-01,59.0,2019-10-01,80.60457626058916
2019-10-01,148.0,2019-11-01,79.59767201667685
2019-11-01,202.0,2019-12-01,78.6164063573211
2019-12-01,78.0,2020-01-01,77.6598025200604
2020-01-01,95.0,2020-02-01,76.72693297961233
2020-02-01,41.0,2020-03-01,75.81691637505017
2020-03-01,37.0,2020-04-01,74.9289146647036
2020-04-01,80.0,2020-05-01,74.06213048930877
2020-05-01,136.0,2020-06-01,73.21580472581437
2020-06-01,56.0,2020-07-01,72.38921421593115
2020-07-01,107.0,2020-08-01,71.58166965501334
2020-08-01,110.0,2020-09-01,70.79251362820443
2020-09-01,82.0,2020-10-01,70.02111878198416
2020-10-01,42.0,2020-11-01,69.26688612033452
2020-11-01,118.0,2020-12-01,68.5292434157136
2020-12-01,0.0,2021-01-01,67.80764372589996
2021-01-01,116.0,2021-02-01,67.10156400855763
2021-02-01,0.0,2021-03-01,66.41050382608131
2021-03-01,235.0,2021-04-01,65.7339841339229
2021-04-01,125.0,2021-05-01,65.07154614617995
2021-05-01,11.0,2021-06-01,64.4227502727506
2021-06-01,0.0,2021-07-01,63.7871751228358
2021-07-01,185.0,2021-08-01,63.16441656999952
2021-08-01,43.0,2021-09-01,62.554086874390194
2021-09-01,74.0,2021-10-01,61.95581385808118
2021-10-01,119.0,2021-11-01,61.36924012981276
2021-11-01,0.0,2021-12-01,60.7940223557122
2021-12-01,188.0,2022-01-01,60.22983057283751
2022-01-01,64.0,2022-02-01,59.67634754263544
2022-02-01,62.0,2022-03-01,59.13326814162872
2022-03-01,92.0,2022-04-01,58.600298786851305
2022-04-01,75.0,2022-05-01,58.07715689373901
2022-05-01,72.0,2022-06-01,57.56357036435303
2022-06-01,225.0,2022-07-01,57.05927710397254
2022-07-01,70.0,2022-08-01,56.56402456423516
2022-08-01,0.0,2022-09-01,56.07756931113833
2022-09-01,5.0,2022-10-01,55.59967661633439
,,2022-11-01,55.13012007026589
,,2022-12-01,54.66868121578892
,,2023-01-01,54.21514920102852
,,2023-02-01,53.76932045029658
,,2023-03-01,53.330998351983915
,,2023-04-01,52.89999296241221
,,2023-05-01,52.476120724700536
,,2023-06-01,52.05920420176443
,,2023-07-01,51.64907182262462
,,2023-08-01,51.24555764125641
,,2023-09-01,50.84850110726163
,,2023-10-01,50.457746847691325
,,2023-11-01,50.0731444593909
,,2023-12-01,49.69454831127955
,,2024-01-01,49.32181735601316
,,2024-02-01,48.954814950514425
,,2024-03-01,48.59340868488623
,,2024-04-01,48.23747021925443
,,2024-05-01,47.88687512811391
,,2024-06-01,47.54150275177772
,,2024-07-01,47.20123605455378
,,2024-08-01,46.865961489295486
,,2024-09-01,46.535568867994314
,,2024-10-01,46.20995123810172
,,2024-11-01,45.88900476428625
,,2024-12-01,45.57262861534871
,,2025-01-01,45.260724856034635
,,2025-02-01,44.95319834349775
,,2025-03-01,44.64995662818278
,,2025-04-01,44.35090985890856
,,2025-05-01,44.055970691945106
,,2025-06-01,43.76505420388958
,,2025-07-01,43.47807780815699
,,2025-08-01,43.194961174911676
,,2025-09-01,42.91562615427504
,,2025-10-01,42.639996702653946
,,2025-11-01,42.36799881204264
,,2025-12-01,42.099560442159
,,2026-01-01,41.83461145528298
,,2026-02-01,41.57308355367274
,,2026-03-01,41.31491021943982
,,2026-04-01,41.06002665677128
,,2026-05-01,40.8083697363926
,,2026-06-01,40.55987794217021
,,2026-07-01,40.31449131975826
,,2026-08-01,40.072151427198506
,,2026-09-01,39.83280128738723
,,2026-10-01,39.59638534232719
,,2026-11-01,39.36284940908692
,,2026-12-01,39.13214063739314
,,2027-01-01,38.9042074687862
,,2027-02-01,38.67899959727148
,,2027-03-01,38.456467931403346
,,2027-04-01,38.23656455774079
,,2027-05-01,38.01924270561744
,,2027-06-01,37.80445671317075
,,2027-07-01,37.592161994578404
,,2027-08-01,37.38231500845179
,,2027-09-01,37.17487322733936
,,2027-10-01,36.96979510829439
,,2027-11-01,36.767040064464176
,,2027-12-01,36.5665684376593
,,2028-01-01,36.36834147186388
,,2028-02-01,36.17232128764912
,,2028-03-01,35.97847085745458
,,2028-04-01,35.78675398170276
,,2028-05-01,35.59713526571453
,,2028-06-01,35.40958009739413
,,2028-07-01,35.22405462565396
,,2028-08-01,35.04052573955066
,,2028-09-01,34.858961048105186
,,2028-10-01,34.67932886078091
,,2028-11-01,34.50159816859474
,,2028-12-01,34.325738625837474
,,2029-01-01,34.151720532380445
,,2029-02-01,33.97951481654674
,,2029-03-01,33.80909301852596
