t,q,t_model,q_model
2014-09-01,264.0,2014-10-01,1079.0153497908962
2014-10-01,1082.0,2014-11-01,568.1012240720495
2014-11-01,536.0,2014-12-01,422.74502168586065
2014-12-01,425.0,2015-01-01,348.13128662456256
2015-01-01,496.0,2015-02-01,301.1790482860929
2015-02-01,358.0,2015-03-01,268.29934268351644
2015-03-01,175.0,2015-04-01,243.69333716569142
2015-04-01,65.0,2015-05-01,224.42395469258463
2015-05-01,0.0,2015-06-01,208.8269559814186
2015-06-01,181.0,2015-07-01,195.88109411427746
2015-07-01,57.0,2015-08-01,184.9211077443915
2015-08-01,233.0,2015-09-01,175.4929876415171
2015-09-01,78.0,2015-10-01,167.27511330824322
2015-10-01,449.0,2015-11-01,160.032565874315
2015-11-01,298.0,2015-12-01,153.58930942711874
2015-12-01,0.0,2016-01-01,147.81053791535408
2016-01-01,235.0,2016-02-01,142.59107550161772
2016-02-01,348.0,2016-03-01,137.84752379508942
2016-03-01,173.0,2016-04-01,133.51280658643262
2016-04-01,461.0,2016-05-01,129.53229355289412
2016-05-01,284.0,2016-06-01,125.8609904947915
2016-06-01,140.0,2016-07-01,122.4614662679558
2016-07-01,104.0,2016-08-01,119.30229882497879
2016-08-01,109.0,2016-09-01,116.35689363996464
2016-09-01,48.0,2016-10-01,113.60257360437748
2016-10-01,133.0,2016-11-01,111.01986974177362
2016-11-01,46.0,2016-12-01,108.59196246810602
2016-12-01,7.0,2017-01-01,106.30423709286549
2017-01-01,33.0,2017-02-01,104.14392698656877
2017-02-01,197.0,2017-03-01,102.09982471896939
2017-03-01,146.0,2017-04-01,100.16204640207641
2017-04-01,26.0,2017-05-01,98.32183804962864
2017-05-01,123.0,2017-06-01,96.57141539138988
2017-06-01,149.0,2017-07-01,94.90383053021836
2017-07-01,254.0,2017-08-01,93.31286029154869
2017-08-01,53.0,2017-09-01,91.79291222118725
2017-09-01,187.0,2017-10-01,90.33894503200662
2017-10-01,88.0,2017-11-01,88.94640095044404
2017-11-01,177.0,2017-12-01,87.6111479182984
2017-12-01,101.0,2018-01-01,86.32942999971758
2018-01-01,103.0,2018-02-01,85.09782465367691
2018-02-01,58.0,2018-03-01,83.91320577815694
2018-03-01,104.0,2018-04-01,82.77271162824782
2018-04-01,46.0,2018-05-01,81.67371686757922
2018-05-01,45.0,2018-06-01,80.6138081392
2018-06-01,31.0,2018-07-01,79.59076264475306
2018-07-01,102.0,2018-08-01,78.60252930447352
2018-08-01,12.0,2018-09-01,77.6472121390414
2018-09-01,0.0,2018-10-01,76.72305557065204
2018-10-01,2.0,2018-11-01,75.82843138719643
2018-11-01,0.0,2018-12-01,74.96182715203503
2018-12-01,87.0,2019-01-01,74.12183587398559
2019-01-01,0.0,2019-02-01,73.30714677901037
2019-02-01,9.0,2019-03-01,72.51653704762846
2019-03-01,7.0,2019-04-01,71.74886440105773
2019-04-01,305.0,2019-05-01,71.00306043512529
2019-05-01,78.0,2019-06-01,70.27812461457616
2019-06-01,28.0,2019-07-01,69.57311885196586
2019-07-01,165.0,2019-08-01,68.88716260517782
2019-08-01,11.0,2019-09-01,68.21942843603662
2019-09-01,11.0,2019-10-01,67.56913797971742
2019-10-01,99.0,2019-11-01,66.93555828087148
2019-11-01,33.0,2019-12-01,66.31799845774864
2019-12-01,37.0,2020-01-01,65.71580666023385
2020-01-01,10.0,2020-02-01,65.12836729173131
2020-02-01,24.0,2020-03-01,64.55509846831922
2020-03-01,101.0,2020-04-01,63.995449691635706
2020-04-01,48.0,2020-05-01,63.44889971460737
2020-05-01,82.0,2020-06-01,62.914954581449074
2020-06-01,33.0,2020-07-01,62.393145825394576
2020-07-01,59.0,2020-08-01,61.88302880940069
2020-08-01,11.0,2020-09-01,61.38418119663581
2020-09-01,8.0,2020-10-01,60.89620153894603
2020-10-01,0.0,2020-11-01,60.41870797271289
2020-11-01,0.0,2020-12-01,59.951337012596014
2020-12-01,0.0,2021-01-01,59.49374243461103
2021-01-01,0.0,2021-02-01,59.045594240841865
2021-02-01,0.0,2021-03-01,58.6065776988417
2021-03-01,132.0,2021-04-01,58.176392449448684
2021-04-01,65.0,2021-05-01,57.75475167734266
2021-05-01,42.0,2021-06-01,57.34138133920341
2021-06-01,16.0,2021-07-01,56.93601944481145
2021-07-01,2.0,2021-08-01,56.53841538685988
2021-08-01,4.0,2021-09-01,56.148329315631734
2021-09-01,0.0,2021-10-01,55.765531555042436
2021-10-01,0.0,2021-11-01,55.389802056858024
2021-11-01,2.0,2021-12-01,55.02092989017988
2021-12-01,0.0,2022-01-01,54.65871276353916
2022-01-01,14.0,2022-02-01,54.302956577172026
2022-02-01,21.0,2022-03-01,53.95347500325316
2022-03-01,27.0,2022-04-01,53.610089092051
2022-04-01,3.0,2022-05-01,53.27262690213778
2022-05-01,11.0,2022-06-01,52.940923152940265
2022-06-01,41.0,2022-07-01,52.61481889805641
2022-07-01,10.0,2022-08-01,52.29416121788978
2022-08-01,0.0,2022-09-01,51.97880293026853
2022-09-01,32.0,2022-10-01,51.66860231782086
2022-10-01,19.0,2022-11-01,51.36342287097435
2022-11-01,19.0,2022-12-01,51.06313304553377
2022-12-01,136.0,2023-01-01,50.76760603387213
2023-01-01,72.0,2023-02-01,50.47671954884213
2023-02-01,0.0,2023-03-01,50.19035561958225
2023-03-01,51.0,2023-04-01,49.90840039845305
2023-04-01,90.0,2023-05-01,49.63074397839469
2023-05-01,1.0,2023-06-01,49.35728022004908
2023-06-01,2.0,2023-07-01,49.08790658803634
2023-07-01,343.0,2023-08-01,48.82252399581965
2023-08-01,122.0,2023-09-01,48.56103665863181
2023-09-01,114.0,2023-10-01,48.30335195397412
2023-10-01,64.0,2023-11-01,48.049380289232076
2023-11-01,100.0,2023-12-01,47.79903497598327
2023-12-01,98.0,2024-01-01,47.55223211060243
2024-01-01,77.0,2024-02-01,47.30889046079456
2024-02-01,80.0,2024-03-01,47.06893135771226
2024-03-01,72.0,2024-04-01,46.832278593335914
2024-04-01,77.0,2024-05-01,46.59885832281655
2024-05-01,125.0,2024-06-01,46.36859897150075
2024-06-01,101.0,2024-07-01,46.14143114637521
2024-07-01,62.0,2024-08-01,45.91728755168512
2024-08-01,74.0,2024-09-01,45.69610290849643
,,2024-10-01,45.477813877986364
,,2024-11-01,45.262358988260004
,,2024-12-01,45.04967856450349
,,2025-01-01,44.8397146622957
,,2025-02-01,44.63241100391147
,,2025-03-01,44.42771291745923
,,2025-04-01,44.22556727870563
,,2025-05-01,44.02592245544813
,,2025-06-01,43.828728254305176
,,2025-07-01,43.63393586980087
,,2025-08-01,43.441497835628454
,,2025-09-01,43.25136797798332
,,2025-10-01,43.063501370862824
,,2025-11-01,42.87785429323585
,,2025-12-01,42.69438418799051
,,2026-01-01,42.513049622573625
,,2026-02-01,42.333810251240344
,,2026-03-01,42.15662677883675
,,2026-04-01,41.98146092604266
,,2026-05-01,41.80827539600556
,,2026-06-01,41.637033842300546
,,2026-07-01,41.467700838154606
,,2026-08-01,41.30024184687669
,,2026-09-01,41.13462319343832
,,2026-10-01,40.97081203715239
,,2026-11-01,40.808776345400226
,,2026-12-01,40.64848486835998
,,2027-01-01,40.48990711469166
,,2027-02-01,40.33301332813626
,,2027-03-01,40.17777446498878
,,2027-04-01,40.02416217240694
,,2027-05-01,39.87214876751926
,,2027-06-01,39.72170721729793
,,2027-07-01,39.57281111916371
,,2027-08-01,39.425434682291694
,,2027-09-01,39.279552709588195
,,2027-10-01,39.135140580310576
,,2027-11-01,38.9921742333031
,,2027-12-01,38.85063015082324
,,2028-01-01,38.710485342934085
,,2028-02-01,38.571717332439555
,,2028-03-01,38.43430414034043
,,2028-04-01,38.29822427178991
,,2028-05-01,38.163456702528784
,,2028-06-01,38.02998086578081
,,2028-07-01,37.8977766395902
,,2028-08-01,37.76682433458361
,,2028-09-01,37.637104682139935
,,2028-10-01,37.50859882295207
,,2028-11-01,37.381288295965305
,,2028-12-01,37.25515502767792
,,2029-01-01,37.13018132179
,,2029-02-01,37.00634984918717
,,2029-03-01,36.88364363824662
,,2029-04-01,36.7620460654532
,,2029-05-01,36.641540846313966
,,2029-06-01,36.52211202656003
,,2029-07-01,36.40374397362515
,,2029-08-01,36.28642136839067
,,2029-09-01,36.17012919718726
,,2029-10-01,36.05485274404392
,,2029-11-01,35.94057758317537
,,2029-12-01,35.8272895716992
,,2030-01-01,35.71497484257451
,,2030-02-01,35.60361979775425
,,2030-03-01,35.49321110154348
,,2030-04-01,35.38373567415648
,,2030-05-01,35.27518068546563
,,2030-06-01,35.167533548935346
,,2030-07-01,35.060781915734715
,,2030-08-01,34.954913669022595
,,2030-09-01,34.84991691839925
,,2030-10-01,34.745779994518934
,,2030-11-01,34.64249144385776
,,2030-12-01,34.540040023631725
,,2031-01-01,34.438414696859915
,,2031-02-01,34.337604627567764
,,2031-03-01,34.23759917612598
,,2031-04-01,34.13838789472046
,,2031-05-01,34.03996052294897
,,2031-06-01,33.94230698354034
,,2031-07-01,33.8454173781923
,,2031-08-01,33.749281983523936
,,2031-09-01,33.653891247139185
,,2031-10-01,33.559235783797796
,,2031-11-01,33.465306371690176
,,2031-12-01,33.372093948813024
,,2032-01-01,33.27958960944236
,,2032-02-01,33.18778460070098
,,2032-03-01,33.09667031921735
,,2032-04-01,33.00623830787308
,,2032-05-01,32.91648025263622
,,2032-06-01,32.82738797947763
,,2032-07-01,32.73895345136817
,,2032-08-01,32.651168765353745
,,2032-09-01,32.564026149706265
,,2032-10-01,32.47751796114802
,,2032-11-01,32.391636682147166
,,2032-12-01,32.30637491828243
