t,q,t_model,q_model
2018-08-01,11994.0,2018-09-01,14097.967763072904
2018-09-01,13841.0,2018-10-01,11464.780645870496
2018-10-01,11497.0,2018-11-01,9692.45486743464
2018-11-01,9766.0,2018-12-01,8414.332282759624
2018-12-01,8807.0,2019-01-01,7446.921249507311
2019-01-01,8271.0,2019-02-01,6687.970129480083
2019-02-01,6612.0,2019-03-01,6075.87726047987
2019-03-01,6742.0,2019-04-01,5571.26263102986
2019-04-01,5550.0,2019-05-01,5147.747907918824
2019-05-01,3562.0,2019-06-01,4786.983443901681
2019-06-01,5362.0,2019-07-01,4475.799943212497
2019-07-01,4309.0,2019-08-01,4204.494808200377
2019-08-01,4044.0,2019-09-01,3965.7579375192754
2019-09-01,3677.0,2019-10-01,3753.974503601147
2019-10-01,3636.0,2019-11-01,3564.758666697289
2019-11-01,3416.0,2019-12-01,3394.6335191137687
2019-12-01,2894.0,2020-01-01,3240.8063320727106
2020-01-01,3580.0,2020-02-01,3101.007509849996
2020-02-01,2282.0,2020-03-01,2973.373099324718
2020-03-01,2625.0,2020-04-01,2856.3576817374224
2020-04-01,2591.0,2020-05-01,2748.6688437088596
2020-05-01,3125.0,2020-06-01,2649.217227226261
2020-06-01,2617.0,2020-07-01,2557.077994618706
2020-07-01,2572.0,2020-08-01,2471.4607713305563
2020-08-01,2445.0,2020-09-01,2391.685963529273
2020-09-01,2273.0,2020-10-01,2317.1659241350167
2020-10-01,2298.0,2020-11-01,2247.389845300972
2020-11-01,2136.0,2020-12-01,2181.91154300224
2020-12-01,2200.0,2021-01-01,2120.3395065580057
2021-01-01,2060.0,2021-02-01,2062.3287368918545
2021-02-01,1878.0,2021-03-01,2007.5740085785806
2021-03-01,2158.0,2021-04-01,1955.8042735322647
2021-04-01,1932.0,2021-05-01,1906.7779864203005
2021-05-01,1937.0,2021-06-01,1860.2791790746296
2021-06-01,1837.0,2021-07-01,1816.1141472530085
2021-07-01,1867.0,2021-08-01,1774.1086409119664
2021-08-01,1838.0,2021-09-01,1734.1054707461608
2021-09-01,1694.0,2021-10-01,1695.962460633752
2021-10-01,1773.0,2021-11-01,1659.5506889187748
2021-11-01,1511.0,2021-12-01,1624.7529719902363
2021-12-01,1939.0,2022-01-01,1591.462552007909
2022-01-01,1568.0,2022-02-01,1559.5819573489673
2022-02-01,1618.0,2022-03-01,1529.022009767693
2022-03-01,1613.0,2022-04-01,1499.7009566486095
2022-04-01,1526.0,2022-05-01,1471.5437103048816
2022-05-01,1598.0,2022-06-01,1444.4811791941927
2022-06-01,1476.0,2022-07-01,1418.4496783229984
2022-07-01,1499.0,2022-08-01,1393.390408088679
2022-08-01,1571.0,2022-09-01,1369.2489924479175
2022-09-01,1319.0,2022-10-01,1345.9750686623192
2022-10-01,1470.0,2022-11-01,1323.5219220096258
2022-11-01,1462.0,2022-12-01,1301.846159801607
2022-12-01,1291.0,2023-01-01,1280.9074198505111
2023-01-01,1380.0,2023-02-01,1260.6681092013587
2023-02-01,1245.0,2023-03-01,1241.0931695187871
2023-03-01,1291.0,2023-04-01,1222.1498660021418
2023-04-01,1435.0,2023-05-01,1203.807597115321
2023-05-01,1363.0,2023-06-01,1186.0377227703214
2023-06-01,1149.0,2023-07-01,1168.8134089051023
2023-07-01,1271.0,2023-08-01,1152.1094866553449
2023-08-01,1249.0,2023-09-01,1135.902324542522
2023-09-01,1198.0,2023-10-01,1120.1697122929388
2023-10-01,1153.0,2023-11-01,1104.8907550686622
2023-11-01,1121.0,2023-12-01,1090.0457770353646
2023-12-01,1213.0,2024-01-01,1075.6162333173093
2024-01-01,1180.0,2024-02-01,1061.5846294987232
2024-02-01,1076.0,2024-03-01,1047.9344479259107
2024-03-01,1105.0,2024-04-01,1034.6500801476368
2024-04-01,1125.0,2024-05-01,1021.7167649041581
2024-05-01,1147.0,2024-06-01,1009.1205311392496
2024-06-01,1016.0,2024-07-01,996.8481455658055
2024-07-01,1099.0,2024-08-01,984.887064365166
2024-08-01,1028.0,2024-09-01,973.2253886440471
2024-09-01,1066.0,2024-10-01,961.8518233116341
2024-10-01,1053.0,2024-11-01,950.7556390736432
,,2024-12-01,939.9266372705458
,,2025-01-01,929.355117314141
,,2025-02-01,919.0318465006865
,,2025-03-01,908.9480320002142
,,2025-04-01,899.0952948407597
,,2025-05-01,889.4656457233227
,,2025-06-01,880.0514625186595
,,2025-07-01,870.8454693107186
,,2025-08-01,861.8407168638254
,,2025-09-01,853.0305644017743
,,2025-10-01,844.408662596939
,,2025-11-01,835.9689376764626
,,2025-12-01,827.7055765606818
,,2026-01-01,819.613012956227
,,2026-02-01,811.6859143328516
,,2026-03-01,803.9191697190087
,,2026-04-01,796.3078782566075
,,2026-05-01,788.8473384602966
,,2026-06-01,781.533038131073
,,2026-07-01,774.3606448780766
,,2026-08-01,767.3259972061102
,,2026-09-01,760.4250961297926
,,2026-10-01,753.6540972783064
,,2026-11-01,747.0093034575077
,,2026-12-01,740.4871576387083
,,2027-01-01,734.0842363457806
,,2027-02-01,727.7972434143744
,,2027-03-01,721.6230040989827
,,2027-04-01,715.5584595053965
,,2027-05-01,709.600661327728
,,2027-06-01,703.7467668706976
,,2027-07-01,697.9940343392622
,,2027-08-01,692.3398183789462
,,2027-09-01,686.7815658514091
,,2027-10-01,681.3168118308628
,,2027-11-01,675.9431758079592
,,2027-12-01,670.6583580886785
,,2028-01-01,665.460136376606
,,2028-02-01,660.3463625277687
,,2028-03-01,655.3149594679269
,,2028-04-01,650.3639182628904
,,2028-05-01,645.4912953330495
,,2028-06-01,640.6952098038859
,,2028-07-01,635.9738409847632
,,2028-08-01,631.325425968795
,,2028-09-01,626.7482573470402
,,2028-10-01,622.2406810307116
,,2028-11-01,617.8010941754749
,,2028-12-01,613.4279432022807
,,2029-01-01,609.1197219095288
,,2029-02-01,604.8749696716628
,,2029-03-01,600.6922697196127
,,2029-04-01,596.5702474987621
,,2029-05-01,592.5075691003882
,,2029-06-01,588.5029397627545
,,2029-07-01,584.5551024382696
,,2029-08-01,580.6628364233283
,,2029-09-01,576.824956047655
,,2029-10-01,573.0403094201448
,,2029-11-01,569.3077772283799
,,2029-12-01,565.6262715891496
,,2030-01-01,561.9947349474596
,,2030-02-01,558.4121390216557
,,2030-03-01,554.8774837924171
,,2030-04-01,551.3897965335028
