t,q,t_model,q_model
2014-06-01,10107.0,2014-07-01,15923.909131046332
2014-07-01,15971.0,2014-08-01,9659.960350938558
2014-08-01,9526.0,2014-09-01,7254.2242562776755
2014-09-01,7089.0,2014-10-01,5929.75729257622
2014-10-01,5888.0,2014-11-01,5074.7380871323985
2014-11-01,5073.0,2014-12-01,4470.0126176041085
2014-12-01,4742.0,2015-01-01,4016.091029749345
2015-01-01,3943.0,2015-02-01,3660.7723860779965
2015-02-01,3679.0,2015-03-01,3373.8265586600482
2015-03-01,3386.0,2015-04-01,3136.4407861136806
2015-04-01,3328.0,2015-05-01,2936.2463817789962
2015-05-01,3284.0,2015-06-01,2764.7508451352087
2015-06-01,2876.0,2015-07-01,2615.9144386927264
2015-07-01,2893.0,2015-08-01,2485.3149892109145
2015-08-01,2722.0,2015-09-01,2369.6344229316996
2015-09-01,2507.0,2015-10-01,2266.3305365222104
2015-10-01,2440.0,2015-11-01,2173.420109625401
2015-11-01,2213.0,2015-12-01,2089.3314455242153
2015-12-01,2199.0,2016-01-01,2012.8015983239186
2016-01-01,1994.0,2016-02-01,1942.8031682938424
2016-02-01,1478.0,2016-03-01,1878.4911438779334
2016-03-01,1342.0,2016-04-01,1819.1636317097987
2016-04-01,1301.0,2016-05-01,1764.2323955004795
2016-05-01,1355.0,2016-06-01,1713.200444040604
2016-06-01,1560.0,2016-07-01,1665.64476512943
2016-07-01,975.0,2016-08-01,1621.2028700182484
2016-08-01,1015.0,2016-09-01,1579.5621964582801
2016-09-01,793.0,2016-10-01,1540.4516819638836
2016-10-01,770.0,2016-11-01,1503.6350028448965
2016-11-01,1513.0,2016-12-01,1468.9051048247402
2016-12-01,2444.0,2017-01-01,1436.0797445449061
2017-01-01,2154.0,2017-02-01,1404.9978291769687
2017-02-01,1849.0,2017-03-01,1375.5163912776673
2017-03-01,1845.0,2017-04-01,1347.5080730963512
2017-04-01,1706.0,2017-05-01,1320.8590223548383
2017-05-01,1667.0,2017-06-01,1295.467122576203
2017-06-01,1549.0,2017-07-01,1271.2404971206697
2017-07-01,1391.0,2017-08-01,1248.096238469597
2017-08-01,1407.0,2017-09-01,1225.959323906742
2017-09-01,938.0,2017-10-01,1204.7616862554005
2017-10-01,1410.0,2017-11-01,1184.4414142393707
2017-11-01,1238.0,2017-12-01,1164.9420617160204
2017-12-01,1340.0,2018-01-01,1146.2120487594434
2018-01-01,1117.0,2018-02-01,1128.2041405611626
2018-02-01,1027.0,2018-03-01,1110.874992525229
2018-03-01,1271.0,2018-04-01,1094.184751886666
2018-04-01,1168.0,2018-05-01,1078.0967077717212
2018-05-01,1205.0,2018-06-01,1062.5769829188525
2018-06-01,1152.0,2018-07-01,1047.5942613481852
2018-07-01,1105.0,2018-08-01,1033.119547149452
2018-08-01,1085.0,2018-09-01,1019.125950289717
2018-09-01,980.0,2018-10-01,1005.5884959507893
2018-10-01,1056.0,2018-11-01,992.4839544146239
2018-11-01,924.0,2018-12-01,979.7906889412816
2018-12-01,965.0,2019-01-01,967.488519442675
2019-01-01,918.0,2019-02-01,955.5586000581172
2019-02-01,723.0,2019-03-01,943.9833089941492
2019-03-01,874.0,2019-04-01,932.7461492090141
2019-04-01,866.0,2019-05-01,921.8316587078343
2019-05-01,938.0,2019-06-01,911.2253293732402
2019-06-01,828.0,2019-07-01,900.9135333922219
2019-07-01,1073.0,2019-08-01,890.8834564568448
2019-08-01,1005.0,2019-09-01,881.1230370171943
2019-09-01,1033.0,2019-10-01,871.6209109518918
2019-10-01,1094.0,2019-11-01,862.3663610968504
2019-11-01,1179.0,2019-12-01,853.3492711383155
2019-12-01,1079.0,2020-01-01,844.5600834330986
2020-01-01,1276.0,2020-02-01,835.9897603684931
2020-02-01,1158.0,2020-03-01,827.6297489176777
2020-03-01,1066.0,2020-04-01,819.4719480843349
2020-04-01,970.0,2020-05-01,811.5086789634777
2020-05-01,917.0,2020-06-01,803.7326571747229
2020-06-01,865.0,2020-07-01,796.136967449993
2020-07-01,776.0,2020-08-01,788.7150401803545
2020-08-01,790.0,2020-09-01,781.4606297467725
2020-09-01,730.0,2020-10-01,774.367794477339
2020-10-01,713.0,2020-11-01,767.4308780893012
2020-11-01,671.0,2020-12-01,760.644492488215
2020-12-01,710.0,2021-01-01,754.0035018090102
2021-01-01,657.0,2021-02-01,747.5030075948596
2021-02-01,490.0,2021-03-01,741.1383350196459
2021-03-01,702.0,2021-04-01,734.9050200686844
2021-04-01,680.0,2021-05-01,728.7987976002781
2021-05-01,673.0,2021-06-01,722.8155902177931
2021-06-01,602.0,2021-07-01,716.9514978883121
2021-07-01,565.0,2021-08-01,711.2027882496608
2021-08-01,606.0,2021-09-01,705.5658875527531
2021-09-01,624.0,2021-10-01,700.0373721908509
2021-10-01,624.0,2021-11-01,694.6139607715252
2021-11-01,727.0,2021-12-01,689.2925066908905
2021-12-01,695.0,2022-01-01,684.0699911731098
2022-01-01,631.0,2022-02-01,678.9435167412648
2022-02-01,440.0,2022-03-01,673.9103010884982
2022-03-01,639.0,2022-04-01,668.9676713208811
2022-04-01,604.0,2022-05-01,664.1130585457768
2022-05-01,607.0,2022-06-01,659.343992781575
2022-06-01,594.0,2022-07-01,654.6580981665901
2022-07-01,553.0,2022-08-01,650.0530884466583
2022-08-01,606.0,2022-09-01,645.5267627225678
2022-09-01,524.0,2022-10-01,641.0770014399034
2022-10-01,514.0,2022-11-01,636.7017626052195
