t,q,t_model,q_model
2022-01-01,2139.0,2022-04-01,21163.975328887296
2022-02-01,9856.0,2022-05-01,12611.77955820425
2022-03-01,13582.0,2022-06-01,9246.151480505063
2022-04-01,20739.0,2022-07-01,7402.1070618907825
2022-05-01,13704.0,2022-08-01,6223.2380142679895
2022-06-01,11501.0,2022-09-01,5398.208551821668
2022-07-01,7481.0,2022-10-01,4785.238152104691
2022-08-01,5169.0,2022-11-01,4310.038054966044
2022-09-01,4606.0,2022-12-01,3929.7315700666354
2022-10-01,2325.0,2023-01-01,3617.75055352875
2022-11-01,1729.0,2023-02-01,3356.710088499274
2022-12-01,2711.0,2023-03-01,3134.7319127078554
2023-01-01,3451.0,2023-04-01,2943.409939587635
2023-02-01,2741.0,2023-05-01,2776.619331245364
2023-03-01,2129.0,2023-06-01,2629.786347324995
2023-04-01,2129.0,2023-07-01,2499.422991040591
2023-05-01,3631.0,2023-08-01,2382.8204702437697
2023-06-01,3074.0,2023-09-01,2277.841449198668
2023-07-01,3369.0,2023-10-01,2182.775722356776
2023-08-01,2943.0,2023-11-01,2096.2377415292026
2023-09-01,1114.0,2023-12-01,2017.0924419266394
2023-10-01,3041.0,2024-01-01,1944.400619546195
2023-11-01,4031.0,2024-02-01,1877.378079518636
2023-12-01,3472.0,2024-03-01,1815.3646538974165
2024-01-01,2625.0,2024-04-01,1757.8004047276372
2024-02-01,2599.0,2024-05-01,1704.2071334924092
2024-03-01,1750.0,2024-06-01,1654.17386080849
2024-04-01,2443.0,2024-07-01,1607.3453124199184
2024-05-01,2333.0,2024-08-01,1563.4127067762556
2024-06-01,1523.0,2024-09-01,1522.1063226781414
2024-07-01,2771.0,2024-10-01,1483.189456667767
2024-08-01,777.0,2024-11-01,1446.4534749613301
2024-09-01,1588.0,2024-12-01,1411.7137344778578
2024-10-01,1846.0,2025-01-01,1378.806199223946
2024-11-01,1879.0,2025-02-01,1347.5846170012596
2024-12-01,1570.0,2025-03-01,1317.9181506510447
2025-01-01,1583.0,2025-04-01,1289.6893803427347
2025-02-01,1526.0,2025-05-01,1262.7926105452875
,,2025-06-01,1237.1324285868814
,,2025-07-01,1212.6224720577109
,,2025-08-01,1189.1843704391122
,,2025-09-01,1166.7468327681945
,,2025-10-01,1145.2448582584518
,,2025-11-01,1124.619050886241
,,2025-12-01,1104.8150222430068
,,2026-01-01,1085.7828696139682
,,2026-02-01,1067.4767184068344
,,2026-03-01,1049.854319820588
,,2026-04-01,1032.8766960937494
,,2026-05-01,1016.5078268659214
,,2026-06-01,1000.7143711748006
,,2026-07-01,985.4654204320492
,,2026-08-01,970.7322784063253
,,2026-09-01,956.4882648151196
,,2026-10-01,942.7085396087103
,,2026-11-01,929.3699454355466
,,2026-12-01,916.4508661217275
,,2027-01-01,903.9310992885327
,,2027-02-01,891.7917414798217
,,2027-03-01,880.0150843826414
,,2027-04-01,868.5845209054222
,,2027-05-01,857.4844600334766
,,2027-06-01,846.7002495151879
,,2027-07-01,836.2181055475576
,,2027-08-01,826.0250487294808
,,2027-09-01,816.1088456375194
,,2027-10-01,806.4579554540119
,,2027-11-01,797.061481142713
,,2027-12-01,787.9091247241796
,,2028-01-01,778.991146252985
,,2028-02-01,770.298326142522
,,2028-03-01,761.8219305215099
,,2028-04-01,753.5536793400423
,,2028-05-01,745.4857169727387
,,2028-06-01,737.6105850927911
,,2028-07-01,729.9211976139032
,,2028-08-01,722.410817517662
,,2028-09-01,715.0730354021176
,,2028-10-01,707.9017496035492
,,2028-11-01,700.8911477578172
,,2028-12-01,694.0356896805538
,,2029-01-01,687.3300914569268
,,2029-02-01,680.7693106419656
,,2029-03-01,674.3485324816327
,,2029-04-01,668.0631570730513
,,2029-05-01,661.9087873897022
,,2029-06-01,655.8812181040423
,,2029-07-01,649.9764251459851
,,2029-08-01,644.1905559410702
,,2029-09-01,638.5199202770164
,,2029-10-01,632.9609817517453
,,2029-11-01,627.5103497599391
,,2029-12-01,622.1647719787886
,,2030-01-01,616.92112731686
,,2030-02-01,611.7764192929552
,,2030-03-01,606.7277698145432
,,2030-04-01,601.772413327772
,,2030-05-01,596.9076913133077
,,2030-06-01,592.1310471042649
,,2030-07-01,587.4400210043498
,,2030-08-01,582.8322456860238
,,2030-09-01,578.3054418500349
,,2030-10-01,573.8574141290783
,,2030-11-01,569.4860472196434
,,2030-12-01,565.1893022272778
,,2031-01-01,560.9652132115943
,,2031-02-01,556.811883918339
,,2031-03-01,552.7274846867529
,,2031-04-01,548.7102495213022
,,2031-05-01,544.7584733176271
,,2031-06-01,540.8705092332698
,,2031-07-01,537.0447661943997
,,2031-08-01,533.2797065303622
,,2031-09-01,529.5738437284307
,,2031-10-01,525.9257403016636
,,2031-11-01,522.3340057632429
,,2031-12-01,518.7972947011084
,,2032-01-01,515.3143049471178
,,2032-02-01,511.8837758353341
,,2032-03-01,508.5044865443945
,,2032-04-01,505.1752545192419
,,2032-05-01,501.89493396779835
,,2032-06-01,498.6624144284426
,,2032-07-01,495.47661940441236
,,2032-08-01,492.33650506149314
,,2032-09-01,489.24105898558406
,,2032-10-01,486.18929899693586
,,2032-11-01,483.1802720180532
,,2032-12-01,480.21305299243744
,,2033-01-01,477.28674385151066
,,2033-02-01,474.4004725272245
,,2033-03-01,471.55339200800097
,,2033-04-01,468.74467943579356
,,2033-05-01,465.97353524218323
,,2033-06-01,463.23918232154494
