t,q,t_model,q_model
2013-01-01,8382.0,2015-12-01,3362.928343243358
2013-02-01,15301.0,2016-01-01,2535.9290443760287
2013-03-01,19480.0,2016-02-01,2123.851851570856
2013-04-01,8745.0,2016-03-01,1865.6788536602305
2013-05-01,5335.0,2016-04-01,1684.4303675943927
2013-06-01,3827.0,2016-05-01,1548.1267507776708
2013-07-01,2100.0,2016-06-01,1440.7740915301754
2013-08-01,3414.0,2016-07-01,1353.3648585696121
2013-09-01,3403.0,2016-08-01,1280.3861718146209
2013-10-01,3081.0,2016-09-01,1218.2490993603283
2013-11-01,3146.0,2016-10-01,1164.5029479963532
2013-12-01,3006.0,2016-11-01,1117.4093189981934
2014-01-01,2574.0,2016-12-01,1075.6961278665462
2014-02-01,2471.0,2017-01-01,1038.408102049059
2014-03-01,2675.0,2017-02-01,1004.8119955527311
2014-04-01,2436.0,2017-03-01,974.3343209515207
2014-05-01,2223.0,2017-04-01,946.5191841129558
2014-06-01,2206.0,2017-05-01,920.998974070448
2014-07-01,2246.0,2017-06-01,897.4735178172264
2014-08-01,2172.0,2017-07-01,875.6949539126448
2014-09-01,2332.0,2017-08-01,855.4565581320655
2014-10-01,2554.0,2017-09-01,836.5843557849679
2014-11-01,2088.0,2017-10-01,818.9307347383118
2014-12-01,995.0,2017-11-01,802.3695183935234
2015-01-01,460.0,2017-12-01,786.7921198178285
2015-02-01,758.0,2018-01-01,772.1045073113484
2015-03-01,1301.0,2018-02-01,758.2247864814937
2015-04-01,1318.0,2018-03-01,745.0812560158419
2015-05-01,1143.0,2018-04-01,732.6108312110141
2015-06-01,1581.0,2018-05-01,720.7577557520657
2015-07-01,1580.0,2018-06-01,709.4725414364062
2015-08-01,1618.0,2018-07-01,698.7110896440058
2015-09-01,1565.0,2018-08-01,688.4339588354193
2015-10-01,1547.0,2018-09-01,678.6057502232478
2015-11-01,1528.0,2018-10-01,669.1945897200332
2015-12-01,3682.0,2018-11-01,660.1716888186746
2016-01-01,2013.0,2018-12-01,651.510970570318
