t,q,t_model,q_model
2012-03-01,10227.0,2015-12-01,1577.4514545551904
2012-04-01,15470.0,2016-01-01,1123.7914880552933
2012-05-01,18504.0,2016-02-01,895.3561269573593
2012-06-01,19830.0,2016-03-01,754.5118652924967
2012-07-01,13309.0,2016-04-01,657.6886926166632
2012-08-01,6163.0,2016-05-01,586.4124316922466
2012-09-01,3038.0,2016-06-01,531.4090891541883
2012-10-01,4470.0,2016-07-01,487.4732749591877
2012-11-01,317.0,2016-08-01,451.4405193482027
2012-12-01,1723.0,2016-09-01,421.26792940884025
2013-01-01,877.0,2016-10-01,395.5732574067917
2013-02-01,1814.0,2016-11-01,373.3852703940836
2013-03-01,1382.0,2016-12-01,354.00002050510557
2013-04-01,790.0,2017-01-01,336.8938587945995
2013-05-01,80.0,2017-02-01,321.66856287447587
2013-06-01,94.0,2017-03-01,308.01548861201434
2013-07-01,49.0,2017-04-01,295.6914368753806
2013-08-01,456.0,2017-05-01,284.50197881258185
2013-09-01,656.0,2017-06-01,274.2896692504175
2013-10-01,1001.0,2017-07-01,264.92554612577715
2013-11-01,1100.0,2017-08-01,256.3028892211226
2013-12-01,1184.0,2017-09-01,248.33256375958933
2014-01-01,873.0,2017-10-01,240.9394959455738
2014-02-01,266.0,2017-11-01,234.05997021127988
2014-03-01,352.0,2017-12-01,227.63953181578705
2014-04-01,415.0,2018-01-01,221.6313414394004
2014-05-01,471.0,2018-02-01,215.99487144137962
2014-06-01,547.0,2018-03-01,210.6948633145738
2014-07-01,462.0,2018-04-01,205.70048691159377
2014-08-01,547.0,2018-05-01,200.98465704557904
2014-09-01,497.0,2018-06-01,196.52347393918677
2014-10-01,438.0,2018-07-01,192.29576195122513
2014-11-01,483.0,2018-08-01,188.28268689673996
2014-12-01,519.0,2018-09-01,184.46743667609243
2015-01-01,543.0,2018-10-01,180.83495324846822
2015-02-01,368.0,2018-11-01,177.37170651272118
2015-03-01,332.0,2018-12-01,174.06550259874766
2015-04-01,358.0,2019-01-01,170.905320573845
2015-05-01,349.0,2019-02-01,167.88117273868946
2015-06-01,262.0,2019-03-01,164.9839846060672
2015-07-01,256.0,2019-04-01,162.2054913812094
2015-08-01,77.0,2019-05-01,159.5381483395692
2015-09-01,18.0,2019-06-01,156.9750529593387
2015-10-01,0.0,2019-07-01,154.50987703714966
2015-11-01,255.0,2019-08-01,152.13680731550423
2015-12-01,1473.0,2019-09-01,149.85049339438078
2016-01-01,1224.0,2019-10-01,147.64600189864225
2016-02-01,1229.0,2019-11-01,145.5187760362908
2016-03-01,939.0,2019-12-01,143.46459981728344
2016-04-01,619.0,2020-01-01,141.47956631406936
2016-05-01,476.0,2020-02-01,139.56004943761434
2016-06-01,424.0,2020-03-01,137.70267877992154
