t,q,t_model,q_model
2011-09-01,4195.0,2012-10-01,6073.024096477478
2011-10-01,10453.0,2012-11-01,4061.1076782502823
2011-11-01,14660.0,2012-12-01,3203.9993690464735
2011-12-01,16242.0,2013-01-01,2706.7222837759596
2012-01-01,13582.0,2013-02-01,2374.335399894804
2012-02-01,13628.0,2013-03-01,2133.0744564569554
2012-03-01,12565.0,2013-04-01,1948.2051673205042
2012-04-01,8322.0,2013-05-01,1800.9988961390345
2012-05-01,10824.0,2013-06-01,1680.3719814094188
2012-06-01,3180.0,2013-07-01,1579.3019543388577
2012-07-01,5737.0,2013-08-01,1493.100681983379
2012-08-01,6267.0,2013-09-01,1418.5061326967138
2012-09-01,5418.0,2013-10-01,1353.170951310514
2012-10-01,5999.0,2013-11-01,1295.3582466401604
2012-11-01,4457.0,2013-12-01,1243.7522920196932
2012-12-01,2836.0,2014-01-01,1197.336199313002
2013-01-01,3379.0,2014-02-01,1155.3102922887304
2013-02-01,946.0,2014-03-01,1117.036110999758
2013-03-01,3117.0,2014-04-01,1081.9970629923923
2013-04-01,1617.0,2014-05-01,1049.77018127833
2013-05-01,1865.0,2014-06-01,1020.0054705837692
2013-06-01,818.0,2014-07-01,992.4105483431548
2013-07-01,2923.0,2014-08-01,966.7390503446131
2013-08-01,954.0,2014-09-01,942.7817588364712
2013-09-01,1378.0,2014-10-01,920.359729821011
2013-10-01,1542.0,2014-11-01,899.3189090052999
2013-11-01,2007.0,2014-12-01,879.5258704407335
2013-12-01,1065.0,2015-01-01,860.8644117817252
2014-01-01,511.0,2015-02-01,843.23281020074
2014-02-01,1321.0,2015-03-01,826.5415928980658
2014-03-01,934.0,2015-04-01,810.7117121309445
2014-04-01,547.0,2015-05-01,795.6730409537587
2014-05-01,1446.0,2015-06-01,781.3631252501839
2014-06-01,732.0,2015-07-01,767.7261421007292
2014-07-01,1132.0,2015-08-01,754.7120254223538
2014-08-01,1070.0,2015-09-01,742.2757280968478
2014-09-01,663.0,2015-10-01,730.3765961522969
2014-10-01,1524.0,2015-11-01,718.9778354673605
2014-11-01,927.0,2015-12-01,708.0460552877271
2014-12-01,705.0,2016-01-01,697.5508758394999
2015-01-01,84.0,2016-02-01,687.4645896891473
2015-02-01,1916.0,2016-03-01,677.7618683786422
