t,q,t_model,q_model
2019-09-01,1914.0,2019-12-01,3397.064660587323
2019-10-01,12209.0,2020-01-01,1148.6635025795142
2019-11-01,5505.0,2020-02-01,888.9337698201225
2019-12-01,3401.0,2020-03-01,762.924999330652
2020-01-01,815.0,2020-04-01,683.9379950002583
2020-02-01,921.0,2020-05-01,628.1250534780264
2020-03-01,1021.0,2020-06-01,585.8134774844183
2020-04-01,1013.0,2020-07-01,552.2119315832323
2020-05-01,824.0,2020-08-01,524.6312308451003
2020-06-01,668.0,2020-09-01,501.42605161192927
2020-07-01,544.0,2020-10-01,481.5238195258853
2020-08-01,594.0,2020-11-01,464.19043188229057
2020-09-01,457.0,2020-12-01,448.903655830988
2020-10-01,459.0,2021-01-01,435.28012309075535
2020-11-01,425.0,2021-02-01,423.03097277837765
2020-12-01,553.0,2021-03-01,411.9337157880178
2021-01-01,395.0,2021-04-01,401.8137330215877
2021-02-01,270.0,2021-05-01,392.5317294979283
2021-03-01,320.0,2021-06-01,383.9749990225381
2021-04-01,361.0,2021-07-01,376.05120024328977
2021-05-01,362.0,2021-08-01,368.68383131153934
2021-06-01,298.0,2021-09-01,361.8088799611999
2021-07-01,343.0,2021-10-01,355.37230364027494
2021-08-01,385.0,2021-11-01,349.3281065430936
2021-09-01,288.0,2021-12-01,343.6368529503674
2021-10-01,252.0,2022-01-01,338.26450423966384
2021-11-01,316.0,2022-02-01,333.18149925608645
2021-12-01,336.0,2022-03-01,328.3620199194273
2022-01-01,357.0,2022-04-01,323.78339942199943
2022-02-01,235.0,2022-05-01,319.42564133222027
2022-03-01,453.0,2022-06-01,315.27102578871
2022-04-01,347.0,2022-07-01,311.30378469221085
2022-05-01,374.0,2022-08-01,307.50983201307275
2022-06-01,390.0,2022-09-01,303.8765384639414
2022-07-01,353.0,2022-10-01,300.3925421406976
2022-08-01,306.0,2022-11-01,297.0475885199819
2022-09-01,296.0,2022-12-01,293.83239456800743
2022-10-01,337.0,2023-01-01,290.738532769848
2022-11-01,347.0,2023-02-01,287.7583317085539
2022-12-01,160.0,2023-03-01,284.8847904660728
2023-01-01,366.0,2023-04-01,282.11150462496937
2023-02-01,243.0,2023-05-01,279.43260205258593
2023-03-01,293.0,2023-06-01,276.84268697104324
2023-04-01,319.0,2023-07-01,274.33679107510187
2023-05-01,293.0,2023-08-01,271.9103306689481
2023-06-01,274.0,2023-09-01,269.5590689628227
2023-07-01,131.0,2023-10-01,267.2790828091325
2023-08-01,361.0,2023-11-01,265.06673327151174
2023-09-01,248.0,2023-12-01,262.91863951413603
2023-10-01,221.0,2024-01-01,260.8316555762817
2023-11-01,228.0,2024-02-01,258.8028496617175
2023-12-01,170.0,2024-03-01,256.82948562642974
2024-01-01,292.0,2024-04-01,254.9090063933649
2024-02-01,297.0,2024-05-01,253.03901906086602
2024-03-01,247.0,2024-06-01,251.21728150354653
2024-04-01,275.0,2024-07-01,249.44169029150032
2024-05-01,257.0,2024-08-01,247.71026977681387
2024-06-01,213.0,2024-09-01,246.02116221600818
2024-07-01,217.0,2024-10-01,244.3726188138407
2024-08-01,242.0,2024-11-01,242.762991588304
2024-09-01,295.0,2024-12-01,241.19072596904084
2024-10-01,166.0,2025-01-01,239.6543540520691
2024-11-01,106.0,2025-02-01,238.15248844293401
2024-12-01,314.0,2025-03-01,236.68381662839644
2025-01-01,210.0,2025-04-01,235.2470958237049
2025-02-01,226.0,2025-05-01,233.84114824854154
,,2025-06-01,232.4648567900008
,,2025-07-01,231.117161015569
,,2025-08-01,229.7970535031099
,,2025-09-01,228.5035764584071
,,2025-10-01,227.23581859393187
,,2025-11-01,225.99291224525606
,,2025-12-01,224.77403070395505
,,2026-01-01,223.57838574799544
,,2026-02-01,222.40522535250568
,,2026-03-01,221.25383156551655
,,2026-04-01,220.12351853476255
,,2026-05-01,219.0136306729742
,,2026-06-01,217.92354095028392
,,2026-07-01,216.85264930343737
,,2026-08-01,215.80038115245503
,,2026-09-01,214.766186016246
,,2026-10-01,213.74953621944343
,,2026-11-01,212.7499256834203
,,2026-12-01,211.7668687950666
,,2027-01-01,210.79989934746783
,,2027-02-01,209.848569547129
,,2027-03-01,208.91244908284526
,,2027-04-01,207.9911242517325
,,2027-05-01,207.08419713830398
,,2027-06-01,206.1912848428185
,,2027-07-01,205.31201875543238
,,2027-08-01,204.44604387296712
,,2027-09-01,203.59301815535747
,,2027-10-01,202.75261191907788
,,2027-11-01,201.92450726505342
,,2027-12-01,201.1083975387559
,,2028-01-01,200.30398682036048
,,2028-02-01,199.51098944299792
,,2028-03-01,198.72912953728655
,,2028-04-01,197.95814060046027
,,2028-05-01,197.1977650885338
,,2028-06-01,196.44775403005963
,,2028-07-01,195.7078666601335
,,2028-08-01,194.9778700734031
,,2028-09-01,194.25753889492032
,,2028-10-01,193.54665496776016
,,2028-11-01,192.84500705640272
,,2028-12-01,192.1523905649442
,,2029-01-01,191.4686072692658
,,2029-02-01,190.79346506234805
,,2029-03-01,190.12677771197363
,,2029-04-01,189.46836463010894
,,2029-05-01,188.81805065330417
,,2029-06-01,188.17566583349284
,,2029-07-01,187.54104523861173
,,2029-08-01,186.91402876249984
,,2029-09-01,186.29446094356825
,,2029-10-01,185.68219079176546
,,2029-11-01,185.07707162339202
,,2029-12-01,184.47896090334592
,,2030-01-01,183.88772009440524
,,2030-02-01,183.30321451317948
,,2030-03-01,182.72531319238234
,,2030-04-01,182.15388874909956
,,2030-05-01,181.5888172587452
,,2030-06-01,181.0299781344171
,,2030-07-01,180.47725401137984
,,2030-08-01,179.93053063641858
,,2030-09-01,179.3896967618222
,,2030-10-01,178.85464404376793
,,2030-11-01,178.3252669448924
,,2030-12-01,177.80146264084647
,,2031-01-01,177.28313093064153
,,2031-02-01,176.7701741506069
