t,q,t_model,q_model
2006-06-01,5440.0,2006-08-01,3674.2762913069246
2006-07-01,3314.0,2006-09-01,1827.9530859396314
2006-08-01,3616.0,2006-10-01,1325.5026603162755
2006-09-01,2290.0,2006-11-01,1073.1933423433418
2006-10-01,1270.0,2006-12-01,916.7888002955268
2006-11-01,1108.0,2007-01-01,808.5109839638059
2006-12-01,836.0,2007-02-01,728.2296353386511
2007-01-01,732.0,2007-03-01,665.8499339647992
2007-02-01,597.0,2007-04-01,615.698653756499
2007-03-01,533.0,2007-05-01,574.3187912494604
2007-04-01,472.0,2007-06-01,539.4721299651633
2007-05-01,208.0,2007-07-01,509.6394786510954
2007-06-01,654.0,2007-08-01,483.74989562524667
2007-07-01,428.0,2007-09-01,461.0246147921436
2007-08-01,352.0,2007-10-01,440.8824467617083
2007-09-01,291.0,2007-11-01,422.87999888808196
2007-10-01,304.0,2007-12-01,406.6725453721829
2007-11-01,313.0,2008-01-01,391.98763125462
2007-12-01,343.0,2008-02-01,378.6067961145755
2008-01-01,267.0,2008-03-01,366.3526280019915
2008-02-01,245.0,2008-04-01,355.0794067955832
2008-03-01,268.0,2008-05-01,344.66621983235586
2008-04-01,246.0,2008-06-01,335.01181490401194
2008-05-01,246.0,2008-07-01,326.0306963653473
2008-06-01,209.0,2008-08-01,317.6501252777658
2008-07-01,207.0,2008-09-01,309.80778675590125
2008-08-01,203.0,2008-10-01,302.44995638102023
2008-09-01,193.0,2008-11-01,295.5300445263747
2008-10-01,515.0,2008-12-01,289.0074300959914
2008-11-01,460.0,2009-01-01,282.8465182176136
2008-12-01,357.0,2009-02-01,277.01597290895
2009-01-01,395.0,2009-03-01,271.48808767238336
2009-02-01,334.0,2009-04-01,266.2382657209545
2009-03-01,289.0,2009-05-01,261.2445880196619
2009-04-01,233.0,2009-06-01,256.4874521771035
2009-05-01,250.0,2009-07-01,251.9492688878846
2009-06-01,232.0,2009-08-01,247.61420542047495
2009-07-01,187.0,2009-09-01,243.46796779317725
2009-08-01,227.0,2009-10-01,239.49761494502093
2009-09-01,220.0,2009-11-01,235.69139950724352
2009-10-01,206.0,2009-12-01,232.0386308018375
2009-11-01,168.0,2010-01-01,228.52955650122829
2009-12-01,220.0,2010-02-01,225.15526002604093
2010-01-01,197.0,2010-03-01,221.90757127272497
2010-02-01,169.0,2010-04-01,218.77898867736937
2010-03-01,184.0,2010-05-01,215.76261095766282
2010-04-01,162.0,2010-06-01,212.8520771480407
2010-05-01,124.0,2010-07-01,210.0415137663512
2010-06-01,172.0,2010-08-01,207.32548813377775
2010-07-01,180.0,2010-09-01,204.69896702107653
2010-08-01,126.0,2010-10-01,202.15727991955208
2010-09-01,176.0,2010-11-01,199.696086339486
2010-10-01,132.0,2010-12-01,197.31134662581786
2010-11-01,174.0,2011-01-01,194.9992958538736
2010-12-01,116.0,2011-02-01,192.75642042933325
2011-01-01,161.0,2011-03-01,190.57943706845336
2011-02-01,132.0,2011-04-01,188.46527387843923
2011-03-01,645.0,2011-05-01,186.4110532951392
2011-04-01,1475.0,2011-06-01,184.41407666699428
2011-05-01,1170.0,2011-07-01,182.47181030131748
2011-06-01,569.0,2011-08-01,180.58187281223545
2011-07-01,772.0,2011-09-01,178.7420236296117
2011-08-01,176.0,2011-10-01,176.9501525454892
2011-09-01,121.0,2011-11-01,175.20427018946296
2011-10-01,148.0,2011-12-01,173.50249933727048
2011-11-01,84.0,2012-01-01,171.843066968065
2011-12-01,120.0,2012-02-01,170.22429699555803
2012-01-01,139.0,2012-03-01,168.64460360669582
2012-02-01,87.0,2012-04-01,167.1024851489379
2012-03-01,115.0,2012-05-01,165.5965185136928
2012-04-01,118.0,2012-06-01,164.1253539691525
2012-05-01,153.0,2012-07-01,162.68771040076888
2012-06-01,104.0,2012-08-01,161.28237092201886
2012-07-01,133.0,2012-09-01,159.9081788219908
2012-08-01,150.0,2012-10-01,158.56403381975937
2012-09-01,114.0,2012-11-01,157.24888859855722
2012-10-01,127.0,2012-12-01,155.96174559544912
2012-11-01,114.0,2013-01-01,154.7016540246112
2012-12-01,114.0,2013-02-01,153.46770711444958
2013-01-01,125.0,2013-03-01,152.25903954069375
2013-02-01,109.0,2013-04-01,151.07482503929668
2013-03-01,114.0,2013-05-01,149.9142741844891
2013-04-01,109.0,2013-06-01,148.77663231869377
2013-05-01,111.0,2013-07-01,147.66117762222223
2013-06-01,104.0,2013-08-01,146.56721931176907
2013-07-01,116.0,2013-09-01,145.49409595769993
2013-08-01,124.0,2013-10-01,144.44117391101474
2013-09-01,121.0,2013-11-01,143.40784583166254
2013-10-01,174.0,2013-12-01,142.39352931060466
2013-11-01,294.0,2014-01-01,141.3976655786703
2013-12-01,304.0,2014-02-01,140.41971829583818
2014-01-01,256.0,2014-03-01,139.45917241510725
2014-02-01,21.0,2014-04-01,138.51553311560383
2014-03-01,390.0,2014-05-01,137.5883248000083
2014-04-01,286.0,2014-06-01,136.677090151783
2014-05-01,330.0,2014-07-01,135.7813892480441
2014-06-01,257.0,2014-08-01,134.90079872424963
2014-07-01,269.0,2014-09-01,134.03491098717566
2014-08-01,302.0,2014-10-01,133.18333347292602
2014-09-01,50.0,2014-11-01,132.34568794697162
2014-10-01,140.0,2014-12-01,131.5216098434429
2014-11-01,73.0,2015-01-01,130.71074764110847
2014-12-01,96.0,2015-02-01,129.9127622736644
2015-01-01,77.0,2015-03-01,129.12732657213343
2015-02-01,225.0,2015-04-01,128.35412473733467
2015-03-01,212.0,2015-05-01,127.59285184053226
2015-04-01,76.0,2015-06-01,126.84321335050626
2015-05-01,154.0,2015-07-01,126.10492468541509
2015-06-01,225.0,2015-08-01,125.37771078793239
2015-07-01,230.0,2015-09-01,124.66130572224812
2015-08-01,163.0,2015-10-01,123.95545229162038
2015-09-01,73.0,2015-11-01,123.25990167525487
2015-10-01,61.0,2015-12-01,122.5744130833717
2015-11-01,15.0,2016-01-01,121.89875342939646
2015-12-01,235.0,2016-02-01,121.23269701828248
2016-01-01,0.0,2016-03-01,120.57602525003792
2016-02-01,74.0,2016-04-01,119.92852633759139
2016-03-01,158.0,2016-05-01,119.2899950381863
2016-04-01,192.0,2016-06-01,118.66023239754635
2016-05-01,158.0,2016-07-01,118.03904550610295
2016-06-01,180.0,2016-08-01,117.42624726662042
2016-07-01,93.0,2016-09-01,116.82165617259648
2016-08-01,18.0,2016-10-01,116.22509609685412
2016-09-01,0.0,2016-11-01,115.63639608977778
2016-10-01,270.0,2016-12-01,115.05539018667915
2016-11-01,162.0,2017-01-01,114.48191722381064
2016-12-01,147.0,2017-02-01,113.91582066257226
2017-01-01,134.0,2017-03-01,113.3569484214861
2017-02-01,111.0,2017-04-01,112.80515271553678
2017-03-01,134.0,2017-05-01,112.260289902501
2017-04-01,111.0,2017-06-01,111.72222033591044
2017-05-01,143.0,2017-07-01,111.1908082243135
2017-06-01,0.0,2017-08-01,110.66592149652071
2017-07-01,172.0,2017-09-01,110.14743167253567
2017-08-01,93.0,2017-10-01,109.63521373989215
2017-09-01,91.0,2017-11-01,109.12914603513174
2017-10-01,85.0,2017-12-01,108.62911013017259
2017-11-01,75.0,2018-01-01,108.13499072333333
2017-12-01,78.0,2018-02-01,107.64667553478887
2018-01-01,40.0,2018-03-01,107.16405520624764
2018-02-01,86.0,2018-04-01,106.68702320465073
2018-03-01,123.0,2018-05-01,106.21547572970432
2018-04-01,57.0,2018-06-01,105.7493116250674
2018-05-01,46.0,2018-07-01,105.28843229302497
2018-06-01,57.0,2018-08-01,104.83274161248762
2018-07-01,96.0,2018-09-01,104.38214586016512
2018-08-01,132.0,2018-10-01,103.93655363477069
2018-09-01,80.0,2018-11-01,103.49587578411956
2018-10-01,80.0,2018-12-01,103.06002533499239
2018-11-01,80.0,2019-01-01,102.62891742564103
2018-12-01,74.0,2019-02-01,102.20246924082018
2019-01-01,91.0,2019-03-01,101.78059994923416
2019-02-01,76.0,2019-04-01,101.36323064329385
2019-03-01,97.0,2019-05-01,100.95028428108425
2019-04-01,110.0,2019-06-01,100.54168563044699
2019-05-01,80.0,2019-07-01,100.13736121508848
2019-06-01,169.0,2019-08-01,99.73723926262723
2019-07-01,125.0,2019-09-01,99.34124965449888
2019-08-01,161.0,2019-10-01,98.94932387764129
2019-09-01,100.0,2019-11-01,98.56139497788529
2019-10-01,89.0,2019-12-01,98.1773975149812
2019-11-01,100.0,2020-01-01,97.79726751919341
2019-12-01,126.0,2020-02-01,97.42094244939919
2020-01-01,100.0,2020-03-01,97.0483611526308
2020-02-01,60.0,2020-04-01,96.67946382500268
2020-03-01,122.0,2020-05-01,96.314191973968
2020-04-01,124.0,2020-06-01,95.95248838185192
2020-05-01,138.0,2020-07-01,95.59429707061079
2020-06-01,89.0,2020-08-01,95.23956326776924
2020-07-01,137.0,2020-09-01,94.88823337348863
2020-08-01,200.0,2020-10-01,94.54025492872356
2020-09-01,100.0,2020-11-01,94.19557658442359
2020-10-01,117.0,2020-12-01,93.85414807174064
2020-11-01,100.0,2021-01-01,93.51592017320317
2020-12-01,0.0,2021-02-01,93.18084469482056
2021-01-01,75.0,2021-03-01,92.84887443908264
2021-02-01,60.0,2021-04-01,92.51996317882059
2021-03-01,45.0,2021-05-01,92.19406563189703
2021-04-01,7.0,2021-06-01,91.87113743669461
2021-05-01,80.0,2021-07-01,91.5511351283734
2021-06-01,100.0,2021-08-01,91.23401611586912
2021-07-01,80.0,2021-09-01,90.91973865960485
2021-08-01,0.0,2021-10-01,90.60826184989037
2021-09-01,127.0,2021-11-01,90.2995455859845
2021-10-01,128.0,2021-12-01,89.99355055579636
2021-11-01,0.0,2022-01-01,89.69023821620256
2021-12-01,0.0,2022-02-01,89.38957077395906
2022-01-01,23.0,2022-03-01,89.09151116718589
2022-02-01,100.0,2022-04-01,88.79602304740504
2022-03-01,80.0,2022-05-01,88.50307076211216
2022-04-01,62.0,2022-06-01,88.21261933786322
2022-05-01,105.0,2022-07-01,87.92463446385854
2022-06-01,0.0,2022-08-01,87.63908247600696
2022-07-01,0.0,2022-09-01,87.35593034145374
2022-08-01,0.0,2022-10-01,87.07514564355628
2022-09-01,10.0,2022-11-01,86.79669656729257
2022-10-01,0.0,2022-12-01,86.52055188508776
2022-11-01,203.0,2023-01-01,86.24668094304472
2022-12-01,151.0,2023-02-01,85.9750536475653
2023-01-01,139.0,2023-03-01,85.70564045234893
