t,q,t_model,q_model
2004-01-01,887.0,2009-10-01,1543.793176429121
2004-02-01,910.0,2009-11-01,1042.2339557236758
2004-03-01,998.0,2009-12-01,905.9675363383311
2004-04-01,795.0,2010-01-01,830.215986294319
2004-05-01,801.0,2010-02-01,779.0647026588501
2004-06-01,801.0,2010-03-01,741.0378377706718
2004-07-01,871.0,2010-04-01,711.0813373283919
2004-08-01,837.0,2010-05-01,686.5472006094675
2004-09-01,900.0,2010-06-01,665.8850615439918
2004-10-01,789.0,2010-07-01,648.1138097371949
2004-11-01,543.0,2010-08-01,632.5757054174409
2004-12-01,597.0,2010-09-01,618.8096902603343
2005-01-01,406.0,2010-10-01,606.4808805167609
2005-02-01,477.0,2010-11-01,595.3388757619683
2005-03-01,489.0,2010-12-01,585.1918686272003
2005-04-01,640.0,2011-01-01,575.8899027313981
2005-05-01,762.0,2011-02-01,567.3136714586371
2005-06-01,185.0,2011-03-01,559.3668029777067
2005-07-01,869.0,2011-04-01,551.9704114888884
2005-08-01,984.0,2011-05-01,545.0591638525412
2005-09-01,822.0,2011-06-01,538.5783848973626
2005-10-01,400.0,2011-07-01,532.4818903801931
2005-11-01,1213.0,2011-08-01,526.7303397024618
2005-12-01,1148.0,2011-09-01,521.2899663988112
2006-01-01,1181.0,2011-10-01,516.1315875358068
2006-02-01,270.0,2011-11-01,511.2298219732868
2006-03-01,569.0,2011-12-01,506.56246706576104
2006-04-01,616.0,2012-01-01,502.1099969808226
2006-05-01,727.0,2012-02-01,497.8551553859191
2006-06-01,705.0,2012-03-01,493.7826220938127
2006-07-01,699.0,2012-04-01,489.8787382077068
2006-08-01,672.0,2012-05-01,486.13127793510773
2006-09-01,583.0,2012-06-01,482.52925792881365
2006-10-01,731.0,2012-07-01,479.06277702809984
2006-11-01,534.0,2012-08-01,475.7228807973877
2006-12-01,588.0,2012-09-01,472.5014464235088
2007-01-01,547.0,2012-10-01,469.39108442899504
2007-02-01,593.0,2012-11-01,466.38505435473036
2007-03-01,525.0,2012-12-01,463.47719210971405
2007-04-01,351.0,2013-01-01,460.66184711463796
2007-05-01,425.0,2013-02-01,457.933827706247
2007-06-01,575.0,2013-03-01,455.28835354109304
2007-07-01,476.0,2013-04-01,452.7210139554526
2007-08-01,424.0,2013-05-01,450.22773141439643
2007-09-01,470.0,2013-06-01,447.80472932611093
2007-10-01,415.0,2013-07-01,445.44850361439023
2007-11-01,379.0,2013-08-01,443.1557975380513
2007-12-01,328.0,2013-09-01,440.92357932500494
2008-01-01,403.0,2013-10-01,438.7490222540978
2008-02-01,398.0,2013-11-01,436.62948687219654
2008-03-01,518.0,2013-12-01,434.56250507936267
2008-04-01,340.0,2014-01-01,432.5457658529847
2008-05-01,621.0,2014-02-01,430.5771024137224
2008-06-01,449.0,2014-03-01,428.65448066311063
2008-07-01,602.0,2014-04-01,426.77598874554116
2008-08-01,504.0,2014-05-01,424.93982760677136
2008-09-01,325.0,2014-06-01,423.144302437678
2008-10-01,494.0,2014-07-01,421.3878149061385
2008-11-01,511.0,2014-08-01,419.66885609207304
2008-12-01,447.0,2014-09-01,417.98600005112985
2009-01-01,398.0,2014-10-01,416.3378979415033
2009-02-01,426.0,2014-11-01,414.72327265617076
2009-03-01,667.0,2014-12-01,413.1409139095826
2009-04-01,747.0,2015-01-01,411.5896737337099
2009-05-01,533.0,2015-02-01,410.0684623434671
2009-06-01,581.0,2015-03-01,408.5762443359849
