t,q,t_model,q_model
2010-06-01,1049.0,2011-06-01,2929.491293836513
2010-07-01,8948.0,2011-07-01,2124.8993258834357
2010-08-01,6759.0,2011-08-01,1743.0266936477692
2010-09-01,4773.0,2011-09-01,1509.7946860296875
2010-10-01,4329.0,2011-10-01,1348.7885436962674
2010-11-01,3838.0,2011-11-01,1229.2021522109155
2010-12-01,3378.0,2011-12-01,1135.9325118284373
2011-01-01,465.0,2012-01-01,1060.5977678096262
2011-02-01,2539.0,2012-02-01,998.1266328599573
2011-03-01,3507.0,2012-03-01,945.2485203515309
2011-04-01,2152.0,2012-04-01,899.7476971413786
2011-05-01,2096.0,2012-05-01,860.0630824005143
2011-06-01,3153.0,2012-06-01,825.0591232690762
2011-07-01,1581.0,2012-07-01,793.88756858418
2011-08-01,1829.0,2012-08-01,765.9004003264708
2011-09-01,1120.0,2012-09-01,740.5929637004341
2011-10-01,899.0,2012-10-01,717.5656555787996
2011-11-01,1099.0,2012-11-01,696.4974173402966
2011-12-01,1392.0,2012-12-01,677.1269632836489
2012-01-01,1294.0,2013-01-01,659.2392121614279
2012-02-01,1594.0,2013-02-01,642.6552998842076
2012-03-01,1461.0,2013-03-01,627.2251079801104
2012-04-01,964.0,2013-04-01,612.8215920138323
2012-05-01,936.0,2013-05-01,599.3364192387314
2012-06-01,476.0,2013-06-01,586.6765728638635
2012-07-01,1334.0,2013-07-01,574.7616797356391
2012-08-01,881.0,2013-08-01,563.5218861822237
2012-09-01,450.0,2013-09-01,552.8961539794873
2012-10-01,874.0,2013-10-01,542.8308816975541
2012-11-01,630.0,2013-11-01,533.2787805033836
2012-12-01,741.0,2013-12-01,524.1979507476505
2013-01-01,655.0,2014-01-01,515.5511183112718
2013-02-01,587.0,2014-02-01,507.3049990603194
2013-03-01,789.0,2014-03-01,499.4297667766648
2013-04-01,754.0,2014-04-01,491.8986052375864
2013-05-01,402.0,2014-05-01,484.68732916470253
2013-06-01,886.0,2014-06-01,477.774061875603
2013-07-01,635.0,2014-07-01,471.1389598849902
2013-08-01,637.0,2014-08-01,464.76397658713887
2013-09-01,585.0,2014-09-01,458.6326586340961
2013-10-01,580.0,2014-10-01,452.72996979788786
2013-11-01,579.0,2014-11-01,447.04213804021424
2013-12-01,568.0,2014-12-01,441.5565222626402
2014-01-01,450.0,2015-01-01,436.2614958143785
2014-02-01,545.0,2015-02-01,431.1463443242426
2014-03-01,571.0,2015-03-01,426.2011758219914
2014-04-01,579.0,2015-04-01,421.41684144052107
2014-05-01,771.0,2015-05-01,416.78486525857386
2014-06-01,666.0,2015-06-01,412.29738206512553
2014-07-01,640.0,2015-07-01,407.9470820102877
2014-08-01,590.0,2015-08-01,403.7271612604968
2014-09-01,496.0,2015-09-01,399.63127790359187
2014-10-01,720.0,2015-10-01,395.6535124566279
2014-11-01,304.0,2015-11-01,391.7883324195623
2014-12-01,382.0,2015-12-01,388.0305603942354
2015-01-01,386.0,2016-01-01,384.3753453527182
2015-02-01,441.0,2016-02-01,380.8181366940763
