t,q,t_model,q_model
2015-09-01,14369.0,2015-10-01,16859.973776725146
2015-10-01,17176.0,2015-11-01,12138.091753546045
2015-11-01,11669.0,2015-12-01,9310.233102154374
2015-12-01,8954.0,2016-01-01,7453.701138966976
2016-01-01,7318.0,2016-02-01,6154.659654823594
2016-02-01,6143.0,2016-03-01,5202.093939042175
2016-03-01,5204.0,2016-04-01,4478.03542125397
2016-04-01,4629.0,2016-05-01,3911.7879914537775
2016-05-01,4629.0,2016-06-01,3458.6153664866556
2016-06-01,3782.0,2016-07-01,3088.9401003414396
2016-07-01,3358.0,2016-08-01,2782.4884149760564
2016-08-01,2863.0,2016-09-01,2524.9369533080508
2016-09-01,2573.0,2016-10-01,2305.902589343262
2016-10-01,2447.0,2016-11-01,2117.689878267261
2016-11-01,2138.0,2016-12-01,1954.4842925510147
2016-12-01,2076.0,2017-01-01,1811.817433526775
2017-01-01,1934.0,2017-02-01,1686.2034910560503
2017-02-01,1696.0,2017-03-01,1574.8865562607566
2017-03-01,1694.0,2017-04-01,1475.6614735323353
2017-04-01,1377.0,2017-05-01,1386.7445569295433
2017-05-01,1397.0,2017-06-01,1306.6787883428365
2017-06-01,1164.0,2017-07-01,1234.2632866732338
2017-07-01,1101.0,2017-08-01,1168.500137958725
2017-08-01,1027.0,2017-09-01,1108.553827193418
2017-09-01,1011.0,2017-10-01,1053.7199409222674
2017-10-01,936.0,2017-11-01,1003.4007748189211
2017-11-01,914.0,2017-12-01,957.0861430400689
2017-12-01,844.0,2018-01-01,914.3381477467564
2018-01-01,1040.0,2018-02-01,874.7789931433127
2018-02-01,832.0,2018-03-01,838.0811614715417
2018-03-01,806.0,2018-04-01,803.9594370301669
2018-04-01,792.0,2018-05-01,772.1643876253019
2018-05-01,761.0,2018-06-01,742.4770039860372
2018-06-01,617.0,2018-07-01,714.7042656549148
2018-07-01,725.0,2018-08-01,688.6754530236852
2018-08-01,669.0,2018-09-01,664.2390640148748
2018-09-01,635.0,2018-10-01,641.2602236155367
2018-10-01,686.0,2018-11-01,619.618497365672
2018-11-01,511.0,2018-12-01,599.2060376764033
2018-12-01,579.0,2019-01-01,579.9260057412123
2019-01-01,506.0,2019-02-01,561.6912227254776
2019-02-01,472.0,2019-03-01,544.4230125606227
