t,q,t_model,q_model
2022-01-01,0.0,2022-07-01,9634.877189063933
2022-02-01,0.0,2022-08-01,6320.890209733937
2022-03-01,0.0,2022-09-01,4897.134983223627
2022-04-01,0.0,2022-10-01,4075.7311072586567
2022-05-01,4990.0,2022-11-01,3530.9107672251994
2022-06-01,11573.0,2022-12-01,3138.5128397390336
2022-07-01,9518.0,2023-01-01,2840.029607331486
2022-08-01,5960.0,2023-02-01,2603.9692175258865
2022-09-01,6952.0,2023-03-01,2411.7473991723414
2022-10-01,4470.0,2023-04-01,2251.6282696984435
2022-11-01,2050.0,2023-05-01,2115.8044176015655
2022-12-01,3282.0,2023-06-01,1998.8626031332421
2023-01-01,2526.0,2023-07-01,1896.9211095492403
2023-02-01,1919.0,2023-08-01,1807.1175704540572
2023-03-01,2333.0,2023-09-01,1727.2909271202693
2023-04-01,2963.0,2023-10-01,1655.7763595829256
2023-05-01,1483.0,2023-11-01,1591.2687556549165
2023-06-01,1229.0,2023-12-01,1532.729264817348
2023-07-01,1010.0,2024-01-01,1479.3197823425262
2023-08-01,1624.0,2024-02-01,1430.356032705776
2023-09-01,1467.0,2024-03-01,1385.2733356389133
2023-10-01,458.0,2024-04-01,1343.6012043666044
2023-11-01,1171.0,2024-05-01,1304.9442115403967
2023-12-01,432.0,2024-06-01,1268.9673790655006
2024-01-01,1041.0,2024-07-01,1235.3848836723378
2024-02-01,1683.0,2024-08-01,1203.9512268847145
2024-03-01,1639.0,2024-09-01,1174.454260125394
2024-04-01,2251.0,2024-10-01,1146.7096227447125
2024-05-01,2422.0,2024-11-01,1120.5562678115243
2024-06-01,2293.0,2024-12-01,1095.8528336995807
2024-07-01,2380.0,2025-01-01,1072.4746794091348
2024-08-01,2869.0,2025-02-01,1050.3114452267507
,,2025-03-01,1029.265032509891
,,2025-04-01,1009.2479203543787
,,2025-05-01,990.1817549328239
,,2025-06-01,971.9961609775753
,,2025-07-01,954.6277353588923
,,2025-08-01,938.0191907947008
,,2025-09-01,922.1186240157717
,,2025-10-01,906.8788876343924
,,2025-11-01,892.2570488472029
,,2025-12-01,878.2139211838085
,,2026-01-01,864.7136579723685
,,2026-02-01,851.7233981682167
,,2026-03-01,839.2129567858688
,,2026-04-01,827.1545534685574
,,2026-05-01,815.522573784529
,,2026-06-01,804.293358703841
,,2026-07-01,793.4450184209426
,,2026-08-01,782.9572672764713
,,2026-09-01,772.8112770198742
,,2026-10-01,762.9895460612397
,,2026-11-01,753.4757827009729
,,2026-12-01,744.254800611561
,,2027-01-01,735.3124250862809
,,2027-02-01,726.6354087730513
,,2027-03-01,718.2113557840632
,,2027-04-01,710.0286532184765
,,2027-05-01,702.0764092605826
,,2027-06-01,694.3443971228676
,,2027-07-01,686.8230041952345
,,2027-08-01,679.5031858406344
,,2027-09-01,672.3764233454715
,,2027-10-01,665.4346855920453
,,2027-11-01,658.6703940713332
,,2027-12-01,652.0763908987535
,,2028-01-01,645.6459095341528
,,2028-02-01,639.3725479409436
,,2028-03-01,633.2502439487671
,,2028-04-01,627.2732526098647
,,2028-05-01,621.4361253619926
,,2028-06-01,615.7336908306446
,,2028-07-01,610.161037120908
,,2028-08-01,604.713495464784
,,2028-09-01,599.3866251035181
,,2028-10-01,594.1761992966316
,,2028-11-01,589.0781923601342
,,2028-12-01,584.0887676459744
,,2029-01-01,579.2042663833257
,,2029-02-01,574.4211973099048
,,2029-03-01,569.7362270283239
,,2029-04-01,565.1461710285455
,,2029-05-01,560.6479853229583
,,2029-06-01,556.2387586454662
,,2029-07-01,551.9157051703716
,,2029-08-01,547.6761577107723
,,2029-09-01,543.5175613597397
,,2029-10-01,539.4374675407471
,,2029-11-01,535.433528436704
,,2029-12-01,531.5034917695623
,,2030-01-01,527.6451959048196
,,2030-02-01,523.8565652573893
,,2030-03-01,520.1356059772372
,,2030-04-01,516.4804018949562
,,2030-05-01,512.8891107090423
,,2030-06-01,509.35996039809453
,,2030-07-01,505.89124584248725
,,2030-08-01,502.48132564127104
,,2030-09-01,499.12861911115954
,,2030-10-01,495.8316034554715
,,2030-11-01,492.58881109181164
,,2030-12-01,489.3988271281221
,,2031-01-01,486.2602869775048
,,2031-02-01,483.17187410292274
,,2031-03-01,480.1323178835389
,,2031-04-01,477.14039159504506
,,2031-05-01,474.19491049688247
,,2031-06-01,471.2947300197587
,,2031-07-01,468.4387440473298
,,2031-08-01,465.62588328634376
,,2031-09-01,462.8551137199336
,,2031-10-01,460.1254351391147
,,2031-11-01,457.4358797478742
,,2031-12-01,454.78551083755076
,,2032-01-01,452.17342152649036
,,2032-02-01,449.5987335612284
,,2032-03-01,447.0605961756942
,,2032-04-01,444.5581850051607
,,2032-05-01,442.09070105187607
,,2032-06-01,439.6573696995051
,,2032-07-01,437.257439773694
,,2032-08-01,434.89018264623917
,,2032-09-01,432.5548913804984
,,2032-10-01,430.2508799158269
,,2032-11-01,427.97748228895983
,,2032-12-01,425.73405189038635
