t,q,t_model,q_model
2004-01-01,9936.0,2004-01-01,10077.26185674965
2004-02-01,7774.0,2004-02-01,7943.796494732813
2004-03-01,7177.0,2004-03-01,6670.532395951237
2004-04-01,5765.0,2004-04-01,5809.998470201325
2004-05-01,5502.0,2004-05-01,5182.770461021138
2004-06-01,4723.0,2004-06-01,4701.707760699018
2004-07-01,4564.0,2004-07-01,4318.94901083882
2004-08-01,4114.0,2004-08-01,4005.8361496959114
2004-09-01,3882.0,2004-09-01,3744.0719627716076
2004-10-01,3528.0,2004-10-01,3521.3790479635145
2004-11-01,3206.0,2004-11-01,3329.185936468978
2004-12-01,3055.0,2004-12-01,3161.3112595150437
2005-01-01,2943.0,2005-01-01,3013.1752383906523
2005-02-01,2690.0,2005-02-01,2881.306258868774
2005-03-01,2768.0,2005-03-01,2763.02064091134
2005-04-01,2692.0,2005-04-01,2656.2082441441967
2005-05-01,2629.0,2005-05-01,2559.1850197974372
2005-06-01,2303.0,2005-06-01,2470.5891965818237
2005-07-01,2531.0,2005-07-01,2389.306661306265
2005-08-01,2587.0,2005-08-01,2314.4163306618298
2005-09-01,2214.0,2005-09-01,2245.149496898656
2005-10-01,2152.0,2005-10-01,2180.8591232058166
2005-11-01,1962.0,2005-11-01,2120.9963422617316
2005-12-01,1557.0,2005-12-01,2065.0922487190437
2006-01-01,1871.0,2006-01-01,2012.7436361483135
2006-02-01,1678.0,2006-02-01,1963.601710024846
2006-03-01,1885.0,2006-03-01,1917.3630720776305
2006-04-01,1858.0,2006-04-01,1873.7624566405032
2006-05-01,1861.0,2006-05-01,1832.5668316962963
2006-06-01,1857.0,2006-06-01,1793.5705726169965
2006-07-01,1964.0,2006-07-01,1756.591486223424
2006-08-01,1813.0,2006-08-01,1721.4675142084443
2006-09-01,1646.0,2006-09-01,1688.0539833399516
2006-10-01,1789.0,2006-10-01,1656.2212987720507
2006-11-01,1606.0,2006-11-01,1625.8529987745555
2006-12-01,1639.0,2006-12-01,1596.8441060453147
2007-01-01,1617.0,2007-01-01,1569.0997237960182
2007-02-01,1337.0,2007-02-01,1542.5338349452225
2007-03-01,1437.0,2007-03-01,1517.0682707063434
2007-04-01,1367.0,2007-04-01,1492.6318211375415
2007-05-01,1437.0,2007-05-01,1469.1594652087592
2007-06-01,1303.0,2007-06-01,1446.591701927841
2007-07-01,1372.0,2007-07-01,1424.8739672719246
2007-08-01,1260.0,2007-08-01,1403.9561242596362
2007-09-01,1251.0,2007-09-01,1383.7920156028204
2007-10-01,1306.0,2007-10-01,1364.3390700932532
2007-11-01,1256.0,2007-11-01,1345.5579552875784
2007-12-01,1299.0,2007-12-01,1327.412270213332
2008-01-01,1255.0,2008-01-01,1309.8682727782048
2008-02-01,1173.0,2008-02-01,1292.8946373614745
2008-03-01,1197.0,2008-03-01,1276.46223873096
2008-04-01,1082.0,2008-04-01,1260.543958984946
2008-05-01,1150.0,2008-05-01,1245.1145146856522
2008-06-01,1097.0,2008-06-01,1230.1503017445737
2008-07-01,1103.0,2008-07-01,1215.6292559529857
2008-08-01,1071.0,2008-08-01,1201.530727333434
2008-09-01,1027.0,2008-09-01,1187.8353667284282
2008-10-01,1033.0,2008-10-01,1174.5250232477608
2008-11-01,1025.0,2008-11-01,1161.5826513715274
2008-12-01,1041.0,2008-12-01,1148.9922266566655
2009-01-01,1055.0,2009-01-01,1136.738669124581
2009-02-01,882.0,2009-02-01,1124.8077735193772
2009-03-01,947.0,2009-03-01,1113.186145723013
2009-04-01,928.0,2009-04-01,1101.8611446976763
2009-05-01,932.0,2009-05-01,1090.8208293986079
2009-06-01,909.0,2009-06-01,1080.0539101641496
