t,q,t_model,q_model
2013-07-01,0.0,2014-01-01,9030.576230683464
2013-08-01,23182.0,2014-02-01,7110.154597256987
2013-09-01,18343.0,2014-03-01,5947.89298275824
2013-10-01,11103.0,2014-04-01,5158.066833300579
2013-11-01,5217.0,2014-05-01,4581.280114652489
2013-12-01,10067.0,2014-06-01,4138.829295092359
2014-01-01,9464.0,2014-07-01,3787.0536962937413
2014-02-01,6656.0,2014-08-01,3499.644379584722
2014-03-01,6261.0,2014-09-01,3259.73454657605
2014-04-01,5623.0,2014-10-01,3055.9760303759667
2014-05-01,3019.0,2014-11-01,2880.4323509293376
2014-06-01,2107.0,2014-12-01,2727.3739780287888
2014-07-01,3384.0,2015-01-01,2592.553429191212
2014-08-01,3420.0,2015-02-01,2472.7502390652
2014-09-01,3356.0,2015-03-01,2365.4749505880454
2014-10-01,3406.0,2015-04-01,2268.770581807956
2014-11-01,3307.0,2015-05-01,2181.0759018534227
2014-12-01,3229.0,2015-06-01,2101.1290705215474
2015-01-01,3138.0,2015-07-01,2027.898325887073
2015-02-01,2729.0,2015-08-01,1960.531215464426
2015-03-01,2866.0,2015-09-01,1898.3168015909343
2015-04-01,2700.0,2015-10-01,1840.6571114232318
2015-05-01,2563.0,2015-11-01,1787.045283296471
2015-06-01,2530.0,2015-12-01,1737.0486364865142
2015-07-01,2473.0,2016-01-01,1690.295410339324
2015-08-01,2380.0,2016-02-01,1646.464272342198
2015-09-01,2294.0,2016-03-01,1605.275939649076
2015-10-01,2245.0,2016-04-01,1566.486430801403
2015-11-01,2088.0,2016-05-01,1529.8815871757001
2015-12-01,2093.0,2016-06-01,1495.2725923561775
2016-01-01,2043.0,2016-07-01,1462.4922824199543
2016-02-01,1843.0,2016-08-01,1431.392087987524
2016-03-01,1888.0,2016-09-01,1401.839484617123
2016-04-01,1809.0,2016-10-01,1373.7158550436277
2016-05-01,1729.0,2016-11-01,1346.914687232764
2016-06-01,1706.0,2016-12-01,1321.340047917286
2016-07-01,1745.0,2017-01-01,1296.9052834124332
2016-08-01,1576.0,2017-02-01,1273.5319089532265
2016-09-01,1477.0,2017-03-01,1251.1486552023655
2016-10-01,1533.0,2017-04-01,1229.690646423491
2016-11-01,1435.0,2017-05-01,1209.0986894581627
2016-12-01,1238.0,2017-06-01,1189.3186563554002
2017-01-01,1596.0,2017-07-01,1170.300946484394
2017-02-01,1552.0,2017-08-01,1152.0000163700097
2017-03-01,1221.0,2017-09-01,1134.3739674470294
2017-04-01,1097.0,2017-10-01,1117.3841835254946
2017-05-01,1639.0,2017-11-01,1100.9950110683485
2017-06-01,1329.0,2017-12-01,1085.1734764603896
2017-07-01,895.0,2018-01-01,1069.8890353389177
2017-08-01,1070.0,2018-02-01,1055.1133497966139
2017-09-01,864.0,2018-03-01,1040.8200898842094
2017-10-01,1236.0,2018-04-01,1026.9847563567828
2017-11-01,1098.0,2018-05-01,1013.5845220410516
2017-12-01,1145.0,2018-06-01,1000.598089566353
2018-01-01,1118.0,2018-07-01,988.0055635108478
2018-02-01,1026.0,2018-08-01,975.788335276426
2018-03-01,1450.0,2018-09-01,963.9289792286382
2018-04-01,1087.0,2018-10-01,952.4111588281072
2018-05-01,1102.0,2018-11-01,941.2195416425787
2018-06-01,1044.0,2018-12-01,930.3397222683635
2018-07-01,944.0,2019-01-01,919.7581523100238
2018-08-01,978.0,2019-02-01,909.4620766707383
2018-09-01,945.0,2019-03-01,899.4394754953512
2018-10-01,920.0,2019-04-01,889.6790111857321
2018-11-01,862.0,2019-05-01,880.1699799755143
2018-12-01,756.0,2019-06-01,870.902267609997
2019-01-01,829.0,2019-07-01,861.8663087282265
2019-02-01,697.0,2019-08-01,853.053049589076
2019-03-01,891.0,2019-09-01,844.4539138223928
2019-04-01,895.0,2019-10-01,836.0607709207469
2019-05-01,880.0,2019-11-01,827.865907217624
2019-06-01,787.0,2019-12-01,819.8619991246227
2019-07-01,703.0,2020-01-01,812.042088423798
2019-08-01,710.0,2020-02-01,804.3995594321511
2019-09-01,581.0,2020-03-01,796.9281178737481
2019-10-01,655.0,2020-04-01,789.6217713113391
2019-11-01,646.0,2020-05-01,782.4748110039368
2019-12-01,857.0,2020-06-01,775.4817950697767
2020-01-01,475.0,2020-07-01,768.6375328456602
2020-02-01,486.0,2020-08-01,761.9370703440031
2020-03-01,626.0,2020-09-01,755.3756767181582
