t,q,t_model,q_model
2012-08-01,11073.0,2013-07-01,7634.794746293753
2012-09-01,12973.0,2013-08-01,3874.2799843815546
2012-10-01,17099.0,2013-09-01,2960.6901386755485
2012-11-01,19002.0,2013-10-01,2495.8587527817003
2012-12-01,22950.0,2013-11-01,2201.6509833449395
2013-01-01,15903.0,2013-12-01,1993.7886168949378
2013-02-01,10039.0,2014-01-01,1836.770681769506
2013-03-01,10160.0,2014-02-01,1712.6844738350098
2013-04-01,3059.0,2014-03-01,1611.3783452361304
2013-05-01,4503.0,2014-04-01,1526.6095781471984
2013-06-01,3585.0,2014-05-01,1454.298771058827
2013-07-01,7724.0,2014-06-01,1391.6517088889223
2013-08-01,3458.0,2014-07-01,1336.6811766970716
2013-09-01,2155.0,2014-08-01,1287.9297901243185
2013-10-01,2198.0,2014-09-01,1244.3010135972909
2013-11-01,1892.0,2014-10-01,1204.9517397039083
2013-12-01,2104.0,2014-11-01,1169.221557325798
2014-01-01,1428.0,2014-12-01,1136.5847573650667
2014-02-01,1708.0,2015-01-01,1106.616910225499
2014-03-01,1764.0,2015-02-01,1078.9710571858668
2014-04-01,1536.0,2015-03-01,1053.3604081303877
2014-05-01,1960.0,2015-04-01,1029.5455426498947
2014-06-01,1832.0,2015-05-01,1007.3247911221781
2014-07-01,1642.0,2015-06-01,986.5269018807095
2014-08-01,1628.0,2015-07-01,967.0053786076613
2014-09-01,2072.0,2015-08-01,948.6340559817287
2014-10-01,2400.0,2015-09-01,931.3036056379208
2014-11-01,1685.0,2015-10-01,914.9187496403473
2014-12-01,1477.0,2015-11-01,899.3960180727663
2015-01-01,897.0,2015-12-01,884.6619294157741
2015-02-01,987.0,2016-01-01,870.6515025743824
2015-03-01,1323.0,2016-02-01,857.3070313691362
2015-04-01,1019.0,2016-03-01,844.5770684467051
2015-05-01,1042.0,2016-04-01,832.4155775674783
2015-06-01,1144.0,2016-05-01,820.7812222409228
2015-07-01,1249.0,2016-06-01,809.6367655125405
2015-08-01,1317.0,2016-07-01,798.948560932376
2015-09-01,1165.0,2016-08-01,788.6861187652994
2015-10-01,1225.0,2016-09-01,778.8217346356006
2015-11-01,1485.0,2016-10-01,769.3301702507482
2015-12-01,2424.0,2016-11-01,760.1883777823734
2016-01-01,2326.0,2016-12-01,751.3752610165383
2016-02-01,276.0,2017-01-01,742.871467610081
2016-03-01,665.0,2017-02-01,734.659207773401
2016-04-01,303.0,2017-03-01,726.7220954943305
2016-05-01,61.0,2017-04-01,719.0450090625773
2016-06-01,656.0,2017-05-01,711.6139681803413
2016-07-01,1820.0,2017-06-01,704.4160253760504
2016-08-01,1803.0,2017-07-01,697.4391697933996
2016-09-01,1635.0,2017-08-01,690.6722417217279
2016-10-01,1106.0,2017-09-01,684.1048564778508
2016-11-01,1037.0,2017-10-01,677.727336453014
2016-12-01,1206.0,2017-11-01,671.5306503090424
2017-01-01,1206.0,2017-12-01,665.5063584509306
2017-02-01,241.0,2018-01-01,659.6465640238438
2017-03-01,1051.0,2018-02-01,653.9438687846294
2017-04-01,758.0,2018-03-01,648.3913332846306
2017-05-01,996.0,2018-04-01,642.9824408743942
2017-06-01,856.0,2018-05-01,637.7110651039037
2017-07-01,1023.0,2018-06-01,632.571440145942
2017-08-01,664.0,2018-07-01,627.5581339165592
2017-09-01,639.0,2018-08-01,622.666023606538
2017-10-01,146.0,2018-09-01,617.8902733722285
2017-11-01,1171.0,2018-10-01,613.2263139639556
