t,q,t_model,q_model
2010-07-01,3439.0,2010-08-01,5664.473269436962
2010-08-01,5750.0,2010-09-01,4105.419220286779
2010-09-01,3633.0,2010-10-01,3296.622767137383
2010-10-01,3432.0,2010-11-01,2790.5668681469274
2010-11-01,2887.0,2010-12-01,2439.593715121426
2010-12-01,2668.0,2011-01-01,2179.692550278091
2011-01-01,2264.0,2011-02-01,1978.2751405483637
2011-02-01,1897.0,2011-03-01,1816.869975191604
2011-03-01,2116.0,2011-04-01,1684.166126909227
2011-04-01,1886.0,2011-05-01,1572.820618628397
2011-05-01,1952.0,2011-06-01,1477.842917367635
2011-06-01,1703.0,2011-07-01,1395.7136688061564
2011-07-01,1635.0,2011-08-01,1323.8743243247195
2011-08-01,1465.0,2011-09-01,1260.416770214188
2011-09-01,1481.0,2011-10-01,1203.8867473184387
2011-10-01,1463.0,2011-11-01,1153.1549808852546
2011-11-01,889.0,2011-12-01,1107.3301659108163
2011-12-01,947.0,2012-01-01,1065.698688545811
2012-01-01,1762.0,2012-02-01,1027.6819203417162
2012-02-01,1330.0,2012-03-01,992.8053560155784
2012-03-01,935.0,2012-04-01,960.6759127141723
2012-04-01,742.0,2012-05-01,930.9649660741309
2012-05-01,657.0,2012-06-01,903.3954911578844
2012-06-01,585.0,2012-07-01,877.7321881668736
2012-07-01,680.0,2012-08-01,853.7738103718748
2012-08-01,1710.0,2012-09-01,831.3471386341666
2012-09-01,1278.0,2012-10-01,810.3022021647116
2012-10-01,407.0,2012-11-01,790.5084531287555
2012-11-01,285.0,2012-12-01,771.8516788809919
2012-12-01,405.0,2013-01-01,754.231490102631
2013-01-01,356.0,2013-02-01,737.5592625750334
2013-02-01,419.0,2013-03-01,721.7564392415383
2013-03-01,520.0,2013-04-01,706.7531206286379
2013-04-01,496.0,2013-05-01,692.4868877244182
2013-05-01,358.0,2013-06-01,678.901813517482
2013-06-01,316.0,2013-07-01,665.9476286239735
2013-07-01,357.0,2013-08-01,653.5790135179284
2013-08-01,353.0,2013-09-01,641.7549953685574
2013-09-01,248.0,2013-10-01,630.4384317694155
2013-10-01,305.0,2013-11-01,619.5955670073765
2013-11-01,64.0,2013-12-01,609.1956491783044
2013-12-01,490.0,2014-01-01,599.2105985717423
2014-01-01,373.0,2014-02-01,589.6147194398609
